SSC_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SSC50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,4,4,3,3,4,3,0,24
SSC50002,6,0,9,4,0,0,0,6,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,3,0,4,0,13,54,84,94,52,42,29,16,24,3,401
SSC50003,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,7,4,3,0,0,26
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14
SSC50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6
SSC50006,3,0,12,0,3,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,4,0,0,0,3,0,0,0,0,12,75,196,53,44,47,18,15,27,0,483
SSC50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,3,0,10
SSC50008,11,3,47,21,29,16,9,19,0,153,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,0,4,4,4,24,0,4,11,8,5,3,4,17,16,61,181,424,461,280,272,139,114,166,40,2077
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3
SSC50010,4,0,10,10,7,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,13,0,4,3,0,4,0,0,0,8,23,163,362,99,80,109,47,16,33,16,925
SSC50011,14,6,64,29,34,23,10,15,0,195,0,0,0,0,0,0,0,3,0,3,0,3,3,10,3,0,8,0,0,22,8,5,12,14,4,12,11,4,3,76,211,472,559,367,283,150,99,152,14,2312
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9
SSC50013,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,31,69,16,22,7,19,14,3,192
SSC50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,4,0,0,3,0,22
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC50016,0,0,8,0,0,0,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,28,18,33,19,15,6,14,22,0,159
SSC50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,3,0,30
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,9,11,24,3,4,0,7,4,0,63
SSC50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,4,3,0,0,0,0,0,24
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,10,0,16,16,6,4,0,3,0,68,0,0,0,0,0,0,0,0,0,4,5,7,0,3,0,4,0,0,0,25,7,4,7,0,3,0,0,5,3,29,524,1088,198,151,300,149,28,58,44,2529
SSC50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,13
SSC50024,11,4,12,6,9,3,0,3,0,50,0,0,0,0,0,0,0,0,0,0,4,8,0,4,8,3,0,0,0,21,0,4,3,0,0,3,0,3,10,21,260,651,126,123,190,85,26,44,22,1525
SSC50025,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,8,23,57,42,20,15,15,15,4,6,188
SSC50026,14,8,60,14,29,29,15,26,0,188,0,0,0,0,0,0,0,5,0,3,0,0,3,8,6,3,10,3,0,34,4,3,19,25,11,10,18,33,14,139,174,406,570,458,312,191,235,240,42,2628
SSC50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,0,13
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9
SSC50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,20
SSC50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,3,0,31
SSC50031,5,0,13,9,13,3,3,8,0,56,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,5,0,11,6,9,3,3,3,0,35,161,269,148,76,119,47,29,37,19,909
SSC50032,0,0,14,8,9,5,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,3,4,4,3,0,4,3,0,3,23,72,205,162,90,97,41,39,42,10,771
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50034,0,0,3,3,5,3,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,14,41,126,76,42,48,19,21,18,6,385
SSC50035,10,3,22,5,17,12,0,7,0,79,0,0,0,0,0,0,0,0,0,0,6,6,0,4,7,0,0,3,0,33,5,3,7,0,3,3,0,3,6,29,474,838,204,157,260,139,29,67,34,2209
SSC50036,20,4,55,18,29,34,9,19,3,177,0,0,0,0,0,0,0,3,0,3,4,6,4,3,4,0,4,0,0,24,6,7,12,9,10,4,0,9,10,72,393,952,586,311,415,158,121,139,44,3111
SSC50037,10,5,43,22,25,8,6,5,0,130,0,0,0,0,0,0,0,0,0,0,4,4,6,6,0,0,0,0,0,29,4,3,7,0,3,8,3,0,5,36,278,738,416,219,303,104,90,97,22,2276
SSC50038,0,0,11,3,0,6,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,34,43,68,42,28,35,7,34,3,295
SSC50039,13,7,80,41,30,33,26,23,7,267,0,0,0,0,0,0,0,0,0,3,7,10,9,0,3,4,6,0,3,45,3,7,29,7,5,8,16,23,10,112,369,806,1025,476,405,261,314,284,58,3990
SSC50040,27,7,81,54,44,28,12,17,3,270,0,0,0,0,0,4,0,0,0,6,0,8,7,9,3,7,3,3,0,45,7,5,12,11,13,6,13,5,8,88,386,682,667,511,467,218,219,174,45,3366
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,0,3,0,0,6,0,17
SSC50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
SSC50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,11
SSC50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
SSC50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC50048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,9,0,5,0,3,5,0,61
SSC50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC50050,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14
SSC50051,0,0,7,3,0,0,3,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,12,30,50,75,48,37,12,30,33,0,310
SSC50052,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,10,11,4,3,3,0,3,0,40
SSC50053,20,5,102,29,17,24,18,14,0,233,0,0,0,0,0,3,0,3,0,9,0,3,4,0,4,3,3,3,0,30,3,3,16,3,16,6,8,7,9,81,333,888,629,325,368,222,162,200,55,3177
SSC50054,72,18,247,110,100,89,53,56,5,743,0,3,0,0,0,0,3,0,0,13,5,14,17,17,16,5,24,11,8,109,28,19,34,32,15,16,25,30,32,228,945,1935,2433,1344,1104,533,607,520,138,9555
SSC50055,21,4,104,35,19,21,35,25,3,265,0,0,3,0,0,0,3,3,0,19,5,3,3,7,9,0,13,4,0,42,3,3,19,11,3,6,17,14,32,106,262,529,637,581,328,202,296,371,72,3280
SSC50056,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,6,35,33,22,18,12,11,9,19,0,157
SSC50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,5,0,0,5,0,23
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50061,36,9,119,57,45,49,19,28,0,365,0,0,0,4,5,0,0,6,3,25,3,5,15,5,6,5,7,6,5,58,8,14,39,12,5,13,13,18,17,139,513,1013,1090,700,647,353,332,318,83,5051
SSC50062,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,10
SSC50063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,3,0,0,4,0,0,0,14
SSC50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11
SSC50065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,10
SSC50066,3,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,26,25,11,8,12,3,0,0,97
SSC50067,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,15,27,0,3,0,25,6,0,85
SSC50068,7,0,13,12,4,3,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,3,3,3,3,3,0,0,13,108,214,153,80,113,40,41,32,11,789
SSC50069,15,10,97,34,29,20,14,27,0,235,0,0,0,3,0,0,0,3,0,6,3,3,3,13,5,0,7,0,0,41,8,3,17,10,7,0,10,6,14,74,241,570,728,448,412,188,163,229,41,3020
SSC50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50071,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,19,24,3,0,0,10,6,0,71
SSC50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
SSC50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50075,0,0,6,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,3,0,4,0,3,0,0,11,23,42,55,27,28,15,14,7,3,223
SSC50076,0,0,15,3,0,0,5,25,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,13,0,0,9,0,0,0,3,6,0,26,56,123,615,20,35,0,99,183,23,1157
SSC50077,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,9,8,15,0,3,3,0,86
SSC50078,23,3,61,25,30,12,8,8,0,174,0,0,3,0,0,0,0,0,0,4,7,10,0,12,9,0,3,0,0,46,5,6,11,10,10,6,5,10,11,75,450,1204,589,391,474,167,130,152,40,3591
SSC50079,6,0,16,6,0,3,4,3,0,40,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,15,4,0,0,0,4,0,0,0,3,14,184,589,148,112,133,59,42,50,12,1337
SSC50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50081,8,8,10,5,14,3,4,9,3,71,0,0,3,0,0,0,0,3,0,7,3,3,4,9,5,3,0,3,0,31,9,0,14,4,8,3,6,11,3,58,196,313,366,142,169,43,92,86,33,1446
SSC50082,3,0,17,4,10,4,3,8,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,7,4,0,3,3,0,4,0,3,3,26,73,167,155,130,118,53,50,51,18,813
SSC50083,34,4,98,37,22,24,11,36,6,265,0,0,0,0,0,0,0,4,0,7,12,28,4,10,9,3,3,3,3,75,5,16,21,5,13,10,10,8,15,97,745,1958,819,549,616,275,160,250,85,5454
SSC50084,0,0,9,0,7,7,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,3,0,0,0,0,0,3,0,12,52,120,61,47,38,22,12,28,4,396
SSC50085,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,11,4,0,0,3,0,3,0,42
SSC50086,9,0,26,8,8,11,0,6,0,65,0,0,0,3,0,0,0,0,0,5,4,10,0,0,0,3,0,0,0,20,3,10,6,3,0,3,0,5,11,40,259,693,234,141,150,79,36,75,29,1692
SSC50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,4,0,19
SSC50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12
SSC50090,5,0,73,13,18,14,10,14,0,146,0,0,0,0,0,0,0,0,0,3,0,3,3,5,3,0,3,4,0,22,3,4,20,6,9,0,3,10,6,61,158,473,471,301,269,132,149,185,29,2168
SSC50091,14,3,29,15,4,11,3,9,0,88,0,0,0,0,0,0,0,0,0,0,4,7,3,5,4,0,0,0,3,26,3,4,8,5,4,3,3,3,7,37,281,722,269,180,195,114,51,73,26,1913
SSC50092,3,4,14,3,11,6,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,13,4,0,10,0,8,0,3,8,4,30,129,197,235,70,115,42,42,32,14,892
SSC50093,7,4,56,22,9,14,14,20,0,148,0,0,0,0,0,0,0,0,0,4,0,5,7,4,0,0,3,0,0,29,7,4,19,5,11,4,8,7,10,77,169,371,549,344,274,151,152,195,44,2247
SSC50094,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,0,0,0,7,6,0,40
SSC50095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12
SSC50096,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,6
SSC50097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,0,5,5,0,3,7,0,33
SSC50098,27,0,67,21,22,15,17,11,0,181,0,0,0,0,0,0,0,0,0,3,0,3,9,0,8,0,3,0,4,26,7,3,16,3,9,4,8,6,8,67,310,662,545,279,353,131,126,132,45,2581
SSC50099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9
SSC50100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0,3,0,8,0,24
SSC50101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,9,4,0,3,0,0,37
SSC50102,3,0,24,7,8,8,5,11,0,81,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,15,0,0,6,0,3,0,3,4,0,20,120,312,328,152,166,62,43,77,13,1280
SSC50103,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,14,4,6,0,0,8,0,75
SSC50104,3,0,5,5,3,4,3,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,0,0,3,0,3,3,0,15,32,73,115,62,61,21,37,30,3,432
SSC50105,13,6,58,14,8,15,11,15,3,143,0,0,0,0,0,0,0,0,0,3,0,8,7,0,3,4,0,3,5,30,4,7,4,11,3,0,10,8,9,57,204,531,469,250,227,127,137,157,29,2124
SSC50106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,13,5,7,0,3,0,0,50
SSC50107,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,17,13,11,6,10,3,0,8,3,70
SSC50108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5
SSC50109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,4,0,8,3,0,39
SSC50110,10,3,37,19,10,12,12,10,3,113,0,0,0,0,0,0,0,4,0,4,3,3,5,3,5,0,9,0,0,28,6,3,8,3,6,8,10,6,14,52,127,289,280,200,195,106,93,105,29,1423
SSC50111,3,3,44,24,8,5,4,16,0,110,0,0,3,3,0,0,0,6,0,7,0,7,3,3,4,4,3,6,0,29,3,3,5,4,0,7,9,10,12,53,140,554,294,285,190,163,127,299,37,2084
SSC50112,0,0,10,3,3,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,7,0,0,0,3,0,16,51,141,98,52,33,23,12,35,5,448
SSC50113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,10
SSC50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50115,13,8,46,22,13,27,17,13,4,151,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,3,3,3,19,3,8,15,0,7,3,8,8,7,54,156,371,368,268,239,130,149,128,32,1836
SSC50116,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,0,5,0,0,0,3,0,10,37,34,43,22,25,7,19,13,4,208
SSC50117,11,3,33,9,12,10,4,12,0,83,0,0,0,0,0,0,0,0,0,3,4,8,6,3,3,0,0,0,0,23,3,6,12,4,6,6,5,4,9,44,229,623,398,188,253,105,61,96,21,1979
SSC50118,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,42,82,29,24,26,13,3,8,3,233
SSC50119,10,4,23,7,12,12,0,0,0,80,0,0,0,0,0,0,0,0,0,3,3,3,5,3,5,0,3,0,0,18,0,0,9,0,3,3,0,3,10,25,425,934,255,180,231,132,36,51,41,2296
SSC50120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50121,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,7,3,3,0,3,3,3,48
SSC50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6
SSC50123,5,0,12,12,8,8,0,5,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,3,0,0,0,18,54,136,110,101,80,28,16,35,6,551
