SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50870,0,4,0,5,4,4,0,0,0,17,0,3,4,3,6,3,0,0,0,22,32,32,47,59,107,100,18,0,0,397
SSC50871,0,0,3,3,8,4,0,0,0,21,3,0,0,6,0,3,4,0,0,19,21,40,74,84,98,61,13,0,0,384
SSC50872,9,24,22,24,28,19,6,0,0,129,0,8,15,19,31,29,0,3,0,116,145,230,394,471,507,421,90,3,0,2261
SSC50873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC50874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,4,0,0,25
SSC50875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC50876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,7,0,0,16
SSC50877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,6,4,0,0,14
SSC50878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11
SSC50880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,8,0,0,0,23
SSC50881,11,25,21,24,30,12,8,0,0,119,3,8,25,16,20,13,8,0,0,105,126,274,546,470,583,517,136,17,0,2670
SSC50882,6,11,19,11,21,9,4,0,0,79,4,3,12,20,18,18,3,0,0,71,126,163,363,350,414,359,105,25,0,1898
SSC50883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,4,0,0,14
SSC50884,0,3,12,10,10,13,3,3,0,56,3,4,23,23,12,7,3,0,0,81,82,184,425,443,393,306,69,6,0,1900
SSC50885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,10,13,14,11,10,3,0,76
SSC50886,6,29,65,51,66,36,4,0,0,258,12,28,67,55,66,31,10,3,0,275,275,484,1056,1040,1039,713,137,19,0,4767
SSC50887,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,3,0,3,0,25
SSC50888,0,0,0,0,0,3,0,0,0,7,0,0,3,0,3,3,0,0,0,13,12,11,35,45,41,31,14,0,0,178
SSC50889,0,0,4,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,10,6,19,73,56,46,38,17,3,0,257
SSC50890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,3,8,0,0,30
SSC50891,0,0,0,3,3,3,3,0,0,13,0,0,0,4,12,3,0,0,0,18,19,22,30,53,76,52,9,0,0,261
SSC50892,0,0,0,3,0,0,0,0,0,6,0,0,8,4,7,0,0,0,0,18,0,36,263,155,150,60,4,0,0,676
SSC50893,3,8,22,37,35,13,3,0,0,125,12,12,33,57,42,38,6,3,0,203,200,213,891,1051,778,551,115,5,3,3802
SSC50894,3,3,3,3,3,5,0,0,0,24,3,0,6,3,4,10,3,0,0,30,35,39,70,54,100,107,26,0,0,426
SSC50895,3,0,3,4,5,9,3,0,0,34,3,0,6,13,13,12,7,0,0,47,60,79,144,237,268,256,72,10,0,1129
SSC50896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9
SSC50897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7
SSC50898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,0,4,0,0,24
SSC50899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
