SSC_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SSC50001,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,20
SSC50002,0,3,5,0,4,6,0,3,3,0,4,5,7,14,23,16,7,23,31,10,35,11,3,20,21,3,25,37,7,39,25,3,26,29,3,31,42,6,48,31,0,31,17,0,17,15,3,18,17,0,18,42,3,50,4,3,3,352,84,433
SSC50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,0,3,3,4,0,4,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,25,13,35
SSC50004,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,8,3,12
SSC50005,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,17
SSC50006,0,4,6,0,4,3,4,14,17,3,15,15,10,36,41,10,34,47,23,16,42,21,20,37,37,21,60,30,13,40,29,10,40,28,10,34,30,17,49,34,0,29,20,0,20,6,5,13,40,0,36,28,3,32,3,6,8,361,221,577
SSC50007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,15,3,20
SSC50008,14,3,18,8,7,18,10,39,48,12,34,47,52,92,142,51,37,86,124,26,151,116,35,148,175,56,228,170,38,207,157,20,177,159,23,177,306,32,341,180,3,190,145,3,142,64,10,74,107,3,111,221,16,236,24,21,43,2082,493,2575
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SSC50010,3,13,13,5,6,10,3,5,12,4,18,18,14,42,52,15,13,29,24,11,36,33,23,54,52,15,67,26,12,35,29,7,37,27,9,37,72,28,98,73,0,70,51,0,51,61,6,68,145,3,147,79,7,83,7,7,14,713,221,928
SSC50011,11,5,16,4,0,4,12,8,18,10,12,21,32,25,53,45,15,64,57,21,79,55,47,104,83,55,136,113,54,161,118,40,158,122,27,151,326,42,366,229,6,233,125,5,133,60,8,68,94,0,94,232,11,238,12,7,23,1729,380,2110
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4
SSC50013,0,3,3,0,0,0,0,7,7,0,3,3,7,5,11,0,3,3,16,6,21,5,8,10,8,0,7,6,0,13,14,0,13,9,0,8,25,11,39,14,0,14,6,0,6,7,3,9,14,0,14,33,0,35,0,0,0,168,53,223
SSC50014,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,3,3,0,3,5,0,3,4,0,4,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,33,8,40
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC50016,0,0,3,4,0,4,0,3,3,0,0,0,3,3,7,3,0,3,5,0,5,11,0,10,5,0,5,9,0,9,4,0,4,8,0,5,22,0,22,16,0,16,8,0,13,6,0,6,6,0,6,23,0,23,0,0,3,133,12,144
SSC50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,15,4,18
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50019,0,0,4,0,0,0,0,0,3,0,0,0,4,0,6,0,0,0,4,0,3,5,0,5,4,0,3,0,0,4,8,3,9,4,0,4,10,3,8,4,0,4,0,0,0,7,0,11,8,0,8,5,0,5,0,0,0,67,15,79
SSC50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,3,0,0,0,4,0,4,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,30,27,49,7,12,21,14,32,48,4,31,36,25,65,87,15,54,70,53,52,101,58,38,97,86,64,156,100,36,134,69,46,114,87,32,126,171,66,238,120,4,128,96,6,105,143,59,197,540,3,550,226,14,246,15,14,30,1873,663,2532
SSC50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,15,10,22
SSC50024,14,22,30,0,8,15,7,22,29,3,24,26,19,50,70,13,26,39,38,36,75,42,30,73,74,25,103,59,19,80,61,25,87,58,9,74,130,26,157,79,0,83,75,3,81,89,17,101,269,3,274,135,12,152,12,7,22,1192,367,1558
SSC50025,3,0,4,0,0,0,0,3,0,3,0,3,3,3,5,3,3,6,12,0,16,9,0,9,16,0,13,12,0,10,7,0,7,6,0,8,14,0,16,16,0,16,11,0,11,10,0,10,14,0,14,20,0,16,0,0,0,156,22,180
SSC50026,32,38,73,26,26,49,40,126,171,53,176,230,143,392,533,166,180,342,397,146,546,303,208,508,366,184,546,291,113,406,265,79,345,213,38,251,295,42,333,173,7,177,58,4,61,39,13,52,68,0,70,293,47,341,86,94,176,3315,1897,5215
SSC50027,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,4,15
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4
SSC50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,17,0,17
SSC50030,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,4,0,4,3,3,6,0,0,0,4,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,30,7,39
SSC50031,7,14,23,3,3,7,3,11,13,0,9,13,13,19,31,14,9,26,32,27,57,31,22,59,46,35,81,43,21,63,25,13,40,30,23,54,82,27,107,61,4,70,48,5,46,48,10,56,108,9,111,74,8,89,9,5,15,682,285,967
SSC50032,8,5,7,0,3,5,0,8,10,4,24,28,18,74,94,9,44,58,44,39,81,35,14,40,49,23,72,51,15,63,51,9,63,47,7,50,99,12,115,63,0,68,51,0,50,36,0,36,48,0,48,86,5,89,12,12,25,707,302,1007
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50034,6,6,18,0,3,3,0,23,23,4,25,25,9,28,38,11,8,21,34,18,47,19,11,33,13,11,24,16,15,36,28,6,32,20,8,30,29,7,45,32,0,33,18,4,15,17,5,22,28,0,28,40,9,42,3,11,17,335,196,532
SSC50035,17,8,33,8,11,19,7,19,29,6,31,37,30,60,89,20,43,62,54,42,97,56,44,102,88,49,132,73,44,113,69,43,103,53,25,74,165,55,216,115,4,123,116,5,119,116,33,150,440,4,445,206,19,228,22,19,40,1655,552,2212
SSC50036,20,15,31,9,7,18,17,11,28,3,15,18,22,35,56,41,16,62,80,24,100,72,35,108,119,45,163,139,29,170,132,38,169,127,26,157,359,49,412,326,9,333,213,0,213,169,16,185,255,10,264,294,13,308,15,14,28,2421,390,2815
SSC50037,8,13,17,3,0,3,12,7,20,4,4,10,21,19,37,22,7,26,51,12,61,47,22,64,74,18,95,88,27,114,100,27,126,128,13,137,275,37,309,222,7,229,153,0,151,107,4,112,180,9,186,188,9,193,9,3,15,1673,238,1914
SSC50038,3,7,12,0,3,3,6,12,17,3,19,27,20,58,75,15,30,41,61,15,83,26,25,48,36,17,50,36,5,42,28,7,35,14,3,19,24,5,30,20,0,17,10,0,10,3,7,13,4,0,9,41,3,46,9,14,24,373,226,602
SSC50039,36,25,56,17,13,28,23,45,69,23,65,97,80,167,250,92,91,180,272,67,345,202,79,284,234,82,316,276,67,337,254,67,323,273,36,307,565,74,643,381,6,390,232,3,236,160,31,186,219,5,225,512,27,533,45,35,83,3883,1003,4884
SSC50040,23,7,32,6,3,10,13,16,22,12,10,25,38,29,65,44,20,64,83,24,107,76,42,123,169,87,251,200,68,271,188,48,244,213,42,253,512,53,567,349,8,350,194,3,197,147,8,153,181,3,184,328,13,343,29,12,38,2790,503,3298
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
SSC50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,17,0,16
SSC50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SSC50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
SSC50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SSC50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50048,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,4,3,0,3,3,4,8,0,6,8,3,0,3,4,0,4,3,0,9,9,0,9,10,0,10,0,0,0,3,0,3,6,0,6,3,0,3,59,17,75
SSC50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9
SSC50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
SSC50051,3,0,7,0,0,0,4,3,5,3,4,12,6,21,28,11,8,19,40,11,46,20,7,18,16,14,32,32,5,36,11,10,20,12,8,25,37,6,44,32,0,30,19,0,19,8,3,8,24,0,24,42,0,43,11,4,9,318,107,427
SSC50052,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,0,0,0,3,0,3,0,0,0,3,0,3,6,0,3,0,0,0,0,0,0,3,0,3,3,0,3,6,0,6,0,0,0,0,0,0,6,0,6,0,0,3,46,7,51
SSC50053,26,45,66,15,21,36,8,69,80,4,144,152,81,273,350,70,106,172,240,111,350,169,113,277,202,125,331,192,113,299,152,92,243,184,61,237,340,101,444,233,27,260,181,9,186,77,26,104,181,10,187,248,41,290,43,69,109,2634,1548,4182
SSC50054,82,49,134,34,18,44,33,46,76,43,69,111,123,184,301,151,134,289,384,88,472,306,123,430,441,206,639,505,150,657,528,142,675,529,107,635,1338,183,1519,904,28,935,548,18,565,411,50,461,602,22,627,1198,68,1267,62,55,112,8217,1723,9946
SSC50055,47,44,95,14,26,43,32,81,118,39,152,191,109,238,349,154,98,250,249,113,364,262,137,391,314,182,499,297,123,421,251,114,362,222,63,288,335,82,411,174,13,184,97,4,101,38,18,58,55,3,63,271,59,333,55,72,130,3014,1630,4646
SSC50056,0,0,0,0,0,0,3,4,9,0,8,12,7,27,32,3,12,16,16,3,18,11,6,17,19,6,27,14,3,11,17,7,18,11,4,10,10,3,12,5,0,5,0,0,0,3,0,3,3,0,3,18,3,25,3,0,3,152,80,236
SSC50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,0,3,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,20,5,28
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50061,57,36,92,24,14,35,30,50,80,38,85,119,108,173,278,112,74,189,331,75,404,270,90,363,382,105,492,378,97,472,341,66,407,355,46,403,673,47,723,497,11,508,261,8,270,193,19,211,290,7,295,562,27,588,60,38,94,4951,1070,6022
SSC50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC50063,0,0,3,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,3,5,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,20,20,36
SSC50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,15
SSC50065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,4,20
SSC50066,0,0,0,0,0,0,0,0,0,0,3,3,7,3,5,3,0,3,3,3,3,3,0,8,7,0,7,3,0,5,3,0,3,10,0,10,14,3,11,11,0,11,4,0,4,6,0,6,6,0,6,12,0,12,0,0,5,80,16,98
SSC50067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7
SSC50068,6,0,7,0,0,0,0,3,8,0,0,3,11,8,14,5,4,5,18,5,21,13,10,24,23,7,30,38,7,44,23,8,33,30,6,35,64,6,71,45,0,45,50,0,51,43,6,55,85,3,87,81,7,89,5,0,10,552,85,636
SSC50069,11,15,26,10,6,10,12,32,43,16,29,53,43,30,68,60,21,83,96,34,127,117,53,171,158,86,238,223,70,297,195,48,247,197,35,228,441,41,481,269,14,275,132,4,130,70,8,76,84,3,88,276,16,293,20,25,39,2439,567,3001
SSC50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,20,6,25
SSC50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8
SSC50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
SSC50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7
SSC50075,0,0,3,0,0,6,0,0,7,0,0,0,9,6,10,4,6,11,13,8,14,3,6,11,15,3,15,6,0,6,20,3,27,17,4,17,28,3,35,18,0,18,14,0,14,12,0,12,25,0,25,39,0,42,6,4,9,239,49,280
SSC50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50077,3,4,5,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,0,3,3,0,6,8,3,7,4,0,3,3,0,6,0,0,0,7,0,8,6,0,6,4,0,4,6,0,6,17,0,17,14,0,14,0,0,0,83,16,95
SSC50078,21,40,59,12,18,32,18,63,77,25,109,128,65,221,287,62,99,157,146,68,222,102,113,216,181,112,297,170,87,256,151,87,244,157,67,226,337,111,454,307,13,322,210,4,217,133,19,149,282,5,286,288,43,333,33,69,102,2696,1369,4064
SSC50079,10,4,15,3,4,4,9,14,21,8,22,28,13,29,45,14,21,34,41,15,53,42,15,55,73,14,90,53,14,66,50,16,61,42,10,55,110,22,132,112,0,116,55,7,63,83,10,95,162,3,168,104,4,110,9,8,19,1007,240,1238
SSC50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50081,9,3,8,0,0,3,0,4,7,0,0,3,4,0,5,6,7,10,8,4,14,5,3,11,15,14,25,12,16,28,24,18,39,38,20,62,136,39,178,104,4,113,110,5,115,135,21,158,255,12,271,99,10,113,9,6,15,980,189,1174
SSC50082,5,3,9,3,3,7,9,8,13,6,20,22,25,49,75,36,23,55,68,20,89,48,22,71,83,17,104,60,14,74,67,14,85,55,9,65,91,7,100,65,3,69,34,0,34,17,0,20,31,0,31,99,7,105,17,10,28,810,235,1050
SSC50083,28,41,72,25,26,48,30,101,128,16,173,187,91,259,348,83,141,222,188,124,315,161,119,277,226,141,370,223,106,332,195,99,296,186,90,277,461,148,609,408,23,431,329,17,343,243,45,286,528,23,545,349,69,412,27,70,99,3791,1819,5612
SSC50084,7,4,10,3,3,6,0,17,16,7,43,48,12,58,65,5,24,29,28,18,50,13,18,27,32,20,56,33,11,44,18,16,35,27,10,40,32,11,45,18,3,24,12,0,18,7,3,17,16,0,16,40,4,46,4,25,31,323,287,612
SSC50085,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,3,0,3,0,0,0,0,3,5,0,5,5,8,0,5,0,0,3,9,0,9,5,0,6,0,0,0,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,44,14,58
SSC50086,14,26,38,9,10,22,20,47,63,12,70,81,44,111,156,34,41,67,73,33,103,63,48,110,72,35,115,83,25,111,69,31,102,65,28,92,124,38,162,119,10,131,96,0,94,68,17,86,187,6,193,161,27,191,16,30,48,1325,629,1953
SSC50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,16,7,25
SSC50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
SSC50090,24,27,58,12,11,21,18,30,45,15,58,74,53,86,141,63,45,105,145,40,179,140,65,206,181,79,264,169,41,210,135,37,169,131,38,169,246,42,284,161,3,163,98,7,99,58,6,64,68,6,75,200,34,236,25,29,48,1944,679,2622
SSC50091,16,14,29,5,7,10,9,30,38,4,34,37,43,88,134,26,47,73,73,24,102,62,37,95,97,34,137,94,36,129,72,30,105,80,37,113,188,58,244,130,5,136,102,6,111,108,22,131,179,9,185,149,24,165,17,30,54,1443,568,2016
SSC50092,4,4,16,0,0,0,3,3,5,0,3,4,12,10,16,10,9,17,29,11,34,21,4,29,47,6,55,37,4,41,35,4,37,50,3,57,106,4,113,83,0,86,65,0,65,57,10,68,106,0,106,102,0,103,11,3,10,773,82,858
SSC50093,25,11,40,11,16,26,27,52,79,24,79,104,66,125,193,69,59,124,159,63,222,162,71,235,199,82,278,206,44,253,185,31,214,191,32,219,307,38,344,175,4,174,104,6,108,61,4,69,90,4,89,224,17,236,34,34,70,2308,760,3069
SSC50094,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,0,0,0,0,3,3,0,3,6,0,5,3,0,8,3,0,9,7,0,7,3,0,3,3,0,3,3,0,3,7,0,7,7,0,7,0,0,0,41,15,52
SSC50095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14
SSC50096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,11
SSC50097,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,3,0,3,3,0,3,3,0,3,0,0,0,34,9,42
SSC50098,10,17,22,7,0,8,14,17,25,16,29,43,36,45,82,41,26,67,82,21,110,71,36,110,109,46,150,102,34,134,117,27,144,123,17,135,303,38,336,242,3,244,143,8,151,134,16,152,210,8,221,234,22,255,26,14,41,2009,429,2440
SSC50099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5
SSC50100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,3,0,0,0,3,0,9,3,3,4,0,0,0,0,0,0,7,0,7,6,0,6,0,0,0,25,14,43
SSC50101,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,4,3,0,3,0,3,3,3,3,6,0,0,3,4,0,4,3,0,4,3,3,6,9,0,9,0,0,0,6,0,6,0,0,0,11,0,11,0,0,0,49,14,67
SSC50102,4,5,11,6,8,13,7,17,22,3,15,18,21,57,82,24,34,55,74,18,93,56,27,87,67,29,100,75,31,102,77,16,94,65,30,98,184,26,207,120,0,120,70,3,72,44,6,46,65,0,68,128,6,135,16,10,21,1096,350,1447
SSC50103,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,7,3,5,4,0,7,3,3,4,7,0,7,7,0,10,6,0,6,3,0,3,3,0,3,9,0,9,13,0,13,4,0,4,78,8,88
