SSC_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SSC51385,26,34,60,16,11,23,24,57,83,15,82,95,91,215,305,79,91,173,246,70,316,160,98,254,196,95,287,170,79,250,184,62,241,164,51,214,323,60,389,241,7,250,125,3,128,91,16,109,161,4,163,313,31,347,47,98,146,2667,1167,3838
SSC51386,3,7,13,5,3,6,11,29,36,3,69,76,39,118,159,32,73,104,106,33,143,70,38,102,74,33,107,76,19,95,64,15,75,43,17,60,76,10,93,57,4,63,32,0,32,21,0,23,30,0,36,80,3,82,12,38,56,838,528,1360
SSC51387,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,4,3,8,3,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,20,15,34
SSC51388,3,3,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,4,0,7,4,6,5,6,0,6,4,0,4,0,0,0,3,3,6,8,0,8,6,0,6,4,0,4,0,0,0,3,0,3,12,0,10,0,0,0,63,15,80
SSC51389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
SSC51390,0,0,0,3,0,3,13,4,15,6,12,18,21,0,24,18,0,20,29,0,30,34,3,35,23,0,22,23,0,24,6,0,5,9,3,15,8,4,10,3,0,3,6,0,6,0,0,0,3,0,3,30,0,31,7,0,7,247,29,278
SSC51391,20,27,43,7,13,18,12,45,60,6,73,79,28,70,100,31,58,85,47,49,98,47,42,85,74,43,123,63,39,96,74,54,126,47,42,89,150,53,204,100,17,117,85,11,91,71,7,81,103,4,106,100,41,136,7,22,29,1063,699,1760
SSC51392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,0,3,0,0,3,0,0,0,3,0,3,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,20
SSC51393,0,3,5,0,0,0,0,0,0,0,0,0,7,0,7,0,0,3,5,0,5,0,0,7,10,0,6,6,0,6,6,0,7,6,0,11,9,3,9,11,0,11,12,0,12,13,0,15,17,0,17,17,0,17,0,0,0,134,13,143
SSC51394,33,29,65,14,12,32,18,29,40,13,55,67,57,102,161,36,56,89,153,45,190,90,51,142,138,41,188,131,39,165,133,42,175,140,26,175,287,48,337,248,9,256,190,3,194,167,29,195,503,9,512,307,20,322,33,12,42,2688,667,3350
