SSC_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SSC51505,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,0,0,0,4,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,4,3,0,0,0,31
SSC51506,0,3,14,22,9,67,3,29,3,149,5,21,52,30,26,19,11,16,3,198,40,104,86,61,73,25,23,24,4,446,79,144,68,65,70,28,35,36,7,532,68,101,37,49,71,37,40,33,11,447,44,46,25,24,34,20,17,12,3,229,12,12,3,3,3,3,4,4,4,43,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,247,425,292,256,288,197,138,166,34,2045
SSC51507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,7,4,0,5,0,0,0,3,0,22,3,0,0,0,0,0,0,3,3,14,6,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,35,5,3,5,4,0,4,10,3,62
SSC51508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,4,0,0,3,25
SSC51509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,0,0,0,0,0,12,4,0,0,0,0,0,0,3,0,12,13,0,0,0,0,0,0,0,0,16,13,0,0,0,4,0,0,0,0,13,6,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,3,7,4,7,0,9,6,0,70
SSC51510,0,3,7,12,3,33,0,20,0,76,0,7,36,23,10,13,4,15,0,112,20,44,62,28,17,19,22,22,3,245,43,49,64,37,32,25,35,21,3,316,48,71,56,31,37,29,35,32,10,355,36,43,50,21,47,27,30,26,3,283,15,22,12,0,11,5,4,6,0,73,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,168,233,288,151,164,162,136,140,27,1462
SSC51511,8,0,40,35,15,104,10,62,6,287,30,58,134,75,51,87,21,87,14,552,88,228,309,152,150,85,105,146,21,1289,145,214,239,107,147,65,86,106,17,1116,143,162,167,124,195,75,120,128,26,1146,116,120,156,98,149,67,93,107,10,911,24,26,38,24,46,15,17,38,16,248,8,3,3,0,0,3,0,7,3,22,0,0,0,0,0,0,0,0,0,0,564,814,1089,614,758,494,451,674,114,5572
SSC51512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,3,0,0,0,3,0,22
SSC51513,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,3,12,0,0,0,0,3,0,0,0,0,4,0,3,3,0,3,0,3,4,0,22,3,0,6,0,0,0,8,0,0,24,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,11,4,15,4,11,7,4,77
SSC51514,0,0,0,0,0,0,0,0,0,6,0,4,3,8,3,3,0,0,0,14,4,3,3,10,4,3,0,0,0,27,7,13,0,9,0,0,0,5,3,31,3,5,0,3,0,0,0,4,0,22,0,4,0,5,5,0,0,4,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,11,31,13,12,0,12,0,129
