SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC50139,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,9,..,22,28
SSC50140,62,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,147,22,..,90,147
SSC50141,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,41,7,..,22,41
SSC50142,65,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,70,180,9,..,82,180
SSC50143,41,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,138,20,..,60,138
SSC50144,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,..,6,3
SSC50145,36,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,40,119,11,..,53,119
SSC50146,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,44,8,..,19,44
SSC50147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50148,1380,4087,507,862,105,237,613,1100,33,32,0,0,0,0,0,0,33,32,0,3,0,0,0,0,0,0,0,3,3,4,2026,5225,198,..,2227,5225
SSC50149,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,..,12,12
SSC50150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50151,51,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,54,113,27,..,84,113
SSC50152,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,5,..,18,34
SSC50153,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,6,..,19,25
SSC50154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,..,0,4
SSC50155,26,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,55,3,..,31,55
SSC50156,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,6,..,17,30
SSC50157,36,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,87,9,..,48,87
SSC50158,29,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,55,3,..,34,55
SSC50159,1317,3552,260,540,25,37,291,580,3,12,0,0,0,0,0,0,3,12,28,38,0,0,0,0,4,11,29,46,3,11,1647,4204,343,..,1996,4204
SSC50160,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,17,48,5,..,26,48
SSC50161,278,663,40,51,4,8,44,60,0,0,0,0,0,0,0,0,0,0,4,8,8,10,0,0,0,0,12,24,4,6,343,758,116,..,459,758
SSC50162,141,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,144,426,20,..,159,426
SSC50163,28,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,66,14,..,50,66
SSC50164,32,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,74,4,..,34,74
SSC50165,41,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,99,12,..,49,99
SSC50166,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,3,..,20,34
SSC50167,25,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,29,81,10,..,42,81
SSC50168,246,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,627,31,..,274,627
SSC50169,416,1082,4,11,0,0,4,11,5,14,0,0,0,0,0,0,5,14,0,0,0,0,0,5,3,7,5,15,3,4,431,1121,43,..,476,1121
SSC50170,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,10,..,17,19
SSC50171,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,3,..,14,30
SSC50172,347,778,6,11,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,358,788,98,..,454,788
SSC50173,891,2558,229,573,0,3,235,576,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,1123,3136,126,..,1255,3136
SSC50174,25,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,65,14,..,37,65
SSC50175,23,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,4,..,26,39
SSC50176,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,6,..,12,28
SSC50177,133,259,5,6,0,0,8,10,0,0,0,0,0,0,0,0,0,0,10,17,0,0,3,5,0,5,7,21,0,0,145,295,252,..,397,295
SSC50178,544,1428,214,429,24,66,234,493,8,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,788,1928,86,..,873,1928
SSC50179,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,6,3
SSC50180,1088,2401,41,51,0,0,41,51,9,11,0,0,0,0,0,0,9,11,5,6,3,3,0,0,0,6,8,15,0,3,1150,2473,235,..,1386,2473
SSC50181,253,752,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,5,0,3,255,763,33,..,283,763
SSC50182,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,..,11,28
SSC50183,1221,3109,190,307,16,29,202,337,16,22,0,0,0,0,0,0,16,22,15,24,10,14,0,0,0,0,22,38,0,4,1463,3505,326,..,1790,3505
SSC50184,209,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,680,12,..,222,680
SSC50185,295,758,40,51,0,0,40,51,4,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,3,337,816,105,..,441,816
SSC50186,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,..,11,6
SSC50187,910,2743,20,33,0,0,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,2779,59,..,993,2779
SSC50188,85,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,214,17,..,103,214
SSC50189,258,586,7,11,0,0,7,11,11,22,0,0,0,0,0,0,11,22,10,8,0,0,0,0,0,0,10,8,0,9,283,640,75,..,356,640
SSC50190,792,2245,109,220,58,135,167,357,157,302,5,5,0,0,0,0,162,306,84,126,0,0,15,22,4,6,99,155,40,77,1256,3136,276,..,1527,3136
SSC50191,38,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,101,3,..,40,101
SSC50192,84,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,86,210,23,..,104,210
SSC50193,48,126,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,51,129,14,..,68,129
SSC50194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50195,29,82,8,6,0,0,8,6,0,0,0,0,0,0,0,0,0,0,25,33,0,0,0,0,0,3,25,40,3,3,66,133,5,..,69,133
SSC50196,260,582,20,29,0,0,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,285,622,48,..,333,622
SSC50197,387,995,14,25,0,0,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,7,7,8,414,1032,63,..,471,1032
SSC50198,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,3,..,11,21
SSC50199,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,5,..,22,28
SSC50200,724,1993,57,112,36,88,96,200,73,97,3,3,0,0,0,0,70,102,0,0,0,0,0,0,0,0,0,0,0,0,890,2300,388,..,1281,2300
SSC50201,2169,6385,302,612,12,29,318,642,169,201,0,0,87,134,0,0,258,338,0,0,0,0,0,0,0,4,0,4,7,14,2753,7384,270,..,3022,7384
SSC50202,0,3,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,..,7,11
SSC50203,33,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,92,13,..,46,92
SSC50204,31,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0,0,0,0,0,0,17,23,0,0,50,115,3,..,54,115
SSC50205,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,15,..,30,31
SSC50206,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,..,9,3
SSC50207,1599,4494,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,12,29,0,0,14,36,7,6,1616,4536,135,..,1749,4536
SSC50208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50209,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,5,..,20,38
SSC50210,751,1814,136,231,273,541,413,771,194,284,49,80,37,66,0,0,281,434,3,3,35,50,0,0,4,7,37,61,7,21,1486,3097,455,..,1943,3097
SSC50211,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,..,3,14
SSC50212,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,3,..,14,22
SSC50213,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,51,8,..,22,51
SSC50214,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,14,..,28,47
SSC50215,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,7,..,18,30
SSC50216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50217,252,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,723,35,..,289,723
SSC50218,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,..,5,7
SSC50219,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,17,40,14,..,36,40
SSC50220,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,..,6,7
SSC50221,996,3181,23,59,4,15,22,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,1022,3267,76,..,1099,3267
SSC50222,77,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,4,6,86,239,56,..,138,239
SSC50223,30,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,3,9,0,4,34,87,6,..,40,87
SSC50224,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,..,7,17
SSC50225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50226,177,430,47,96,171,394,221,494,15,24,22,33,489,966,0,0,530,1030,0,0,0,0,0,0,0,0,0,0,0,0,926,1955,279,..,1205,1955
SSC50227,555,1236,152,220,15,17,166,233,0,0,0,0,0,0,0,0,0,0,10,17,78,120,0,0,3,7,99,144,3,11,824,1624,216,..,1043,1624
SSC50228,3983,11667,142,285,9,5,152,294,49,72,0,0,0,0,0,0,49,72,0,0,0,0,0,0,0,3,0,3,7,21,4193,12056,344,..,4535,12056
SSC50229,4635,13786,72,136,0,3,74,140,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,5,13,4716,13938,456,..,5166,13938
SSC50230,1385,4078,31,60,43,79,75,141,119,253,0,0,0,0,0,6,122,254,159,302,0,0,0,3,3,8,161,312,23,54,1769,4843,241,..,2003,4843
SSC50231,26,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,14,..,37,52
SSC50232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50233,78,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,183,22,..,103,183
SSC50234,565,1384,188,270,23,45,212,309,35,45,0,0,0,0,0,0,35,45,0,0,0,0,0,0,0,0,0,0,0,0,810,1741,77,..,887,1741
SSC50235,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,8,..,27,35
SSC50236,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,3,..,8,16
SSC50237,149,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,151,668,24,..,175,668
SSC50238,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,..,3,8
SSC50239,1505,3970,76,153,0,0,76,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1586,4127,174,..,1755,4127
SSC50240,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,..,7,30
SSC50241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50242,17,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65,8,..,29,65
SSC50243,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,..,6,24
SSC50244,8806,28690,779,2072,87,251,869,2328,71,122,0,0,0,0,0,0,71,122,0,0,0,3,0,3,3,10,7,11,4,13,9755,31173,703,..,10452,31173
SSC50245,1023,2837,794,1986,103,262,895,2253,128,301,24,57,28,44,0,3,178,412,0,0,0,0,0,0,8,5,8,5,10,17,2111,5526,386,..,2494,5526
SSC50246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50247,202,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,3,0,0,0,0,14,14,0,0,214,447,23,..,236,447
SSC50248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,..,5,3
SSC50249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,0,0,3,0,0,12,21,0,0,9,19,12,..,25,19
SSC50250,838,2148,43,62,0,0,43,62,7,12,0,0,0,0,0,3,6,14,0,0,0,0,0,0,0,0,0,0,3,4,894,2234,79,..,972,2234
SSC50251,60,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,135,3,..,62,135
SSC50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,6,14,0,..,6,14
SSC50253,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,7,..,10,19
SSC50254,125,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,391,10,..,135,391
SSC50255,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,6,..,13,24
SSC50256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50257,39,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,107,14,..,54,107
SSC50258,46,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,104,7,..,55,104
SSC50259,314,1028,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,5,19,319,1057,21,..,341,1057
SSC50260,1629,3733,464,805,13,16,476,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,2107,4561,288,..,2398,4561
SSC50261,1966,5776,212,406,25,57,237,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,6243,164,..,2365,6243
SSC50262,1554,3828,844,1732,55,111,897,1842,27,31,51,72,0,0,0,0,76,107,0,0,0,0,0,0,11,25,8,26,17,33,2554,5835,376,..,2931,5835
SSC50263,33,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,90,20,..,53,90
SSC50264,174,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,68,17,68,4,6,200,618,11,..,215,618
SSC50265,153,331,0,0,0,0,0,0,6,7,0,0,0,0,0,0,6,7,0,5,0,0,0,0,0,0,0,5,0,3,162,344,65,..,232,344
SSC50266,35,89,12,23,0,0,12,23,13,18,0,0,0,0,0,0,13,18,4,13,0,0,0,0,0,0,4,13,6,13,71,153,19,..,88,153
SSC50267,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
SSC50268,2118,6729,60,129,5,8,67,141,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,11,0,0,2187,6875,154,..,2338,6875
SSC50269,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41,8,..,22,41
SSC50270,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,49,3,..,20,49
SSC50271,35,95,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,92,21,..,57,92
SSC50272,1292,3256,26,52,3,8,24,55,46,96,0,0,0,0,0,0,46,96,4,11,0,0,3,6,0,0,5,18,7,11,1379,3437,251,..,1635,3437
SSC50273,243,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,245,753,17,..,265,753
SSC50274,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,11,..,17,19
SSC50275,65,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,68,172,13,..,82,172
SSC50276,1607,4727,69,151,9,19,77,171,0,0,0,0,0,0,0,0,0,0,66,105,0,0,0,0,0,0,66,105,6,24,1760,5024,199,..,1959,5024
SSC50277,173,381,127,153,11,22,135,171,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,5,10,3,6,318,566,82,..,399,566
SSC50278,199,415,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,8,0,0,206,432,289,..,489,432
SSC50279,55,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,3,3,6,9,3,9,65,150,8,..,68,150
SSC50280,338,959,31,65,8,18,40,88,0,0,0,0,0,0,0,0,0,0,26,31,0,0,0,0,0,0,26,31,0,0,402,1076,48,..,452,1076
SSC50281,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,3,..,7,15
SSC50282,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,43,6,..,17,43
SSC50283,45,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,116,18,..,65,116
SSC50284,39,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,103,3,..,45,103
SSC50285,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,50,3,..,23,50
SSC50286,20,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,53,4,..,27,53
SSC50287,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,8,13,3,..,10,13
SSC50288,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,..,3,10
SSC50289,616,1666,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,6,6,5,19,628,1700,51,..,679,1700
SSC50290,300,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,9,24,0,9,310,820,76,..,381,820
SSC50291,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,13,..,28,33
SSC50292,763,2425,62,145,112,260,167,399,169,324,88,155,0,0,0,0,257,484,0,0,0,0,0,0,0,0,0,0,0,0,1185,3315,144,..,1331,3315
SSC50293,1900,5688,34,62,72,179,111,240,209,295,0,0,0,0,0,0,209,295,0,0,0,0,0,0,3,5,3,5,4,4,2221,6228,231,..,2453,6228
SSC50294,131,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,303,23,..,160,303
SSC50295,1504,3991,459,879,358,772,811,1651,237,373,244,361,409,710,0,0,895,1443,0,3,0,0,0,0,0,0,0,3,22,44,3230,7122,540,..,3773,7122
SSC50296,3662,10342,613,1349,159,330,771,1684,3,6,9,22,0,0,0,0,20,33,0,0,4,9,0,0,0,0,4,9,7,13,4457,12079,538,..,4997,12079
SSC50297,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,5,..,13,16
SSC50298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,6,10,0,0,6,10,0,..,6,10
SSC50299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50300,2235,5917,342,828,170,371,513,1198,91,113,11,18,0,0,0,3,96,134,0,0,0,0,0,0,5,8,5,8,12,21,2856,7274,386,..,3244,7274
SSC50301,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,42,0,..,19,42
SSC50302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC50303,164,449,0,0,0,0,0,0,0,0,113,199,294,516,0,0,403,709,0,0,0,0,0,0,0,0,0,0,0,0,569,1163,206,..,772,1163
SSC50304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
