SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC51594,0,0,4,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,10,9,38,24,16,7,0,0,0,118
SSC51595,4,82,188,211,276,228,105,26,12,1136,0,40,149,223,204,169,46,3,0,835,0,18,97,226,212,171,45,6,0,771,0,10,84,189,177,128,29,0,3,633,0,7,112,349,332,211,41,7,0,1051,0,3,26,164,203,102,22,0,0,516,45,30,67,89,88,73,76,40,32,541,1583,1202,1573,2694,2617,2296,1625,606,229,14423
SSC51596,0,0,0,0,3,5,0,0,0,5,0,0,3,0,4,4,3,0,0,12,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,6,3,13,8,22,31,19,5,0,113
SSC51597,0,6,25,16,12,20,4,3,0,80,0,3,10,17,12,16,3,0,0,60,0,3,7,8,7,9,4,0,0,42,0,0,10,12,6,8,4,0,0,42,0,0,11,6,3,7,3,0,0,38,0,0,0,0,3,3,0,0,0,7,3,5,11,6,10,20,21,5,4,90,23,34,122,110,119,183,101,46,13,752
SSC51598,0,0,0,0,4,5,0,0,0,8,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,18,4,8,19,17,25,18,32,6,0,124
SSC51599,0,0,6,12,13,3,0,0,0,35,0,3,7,13,10,0,0,0,0,29,0,0,3,5,13,7,3,0,0,30,0,0,4,0,4,0,0,0,0,15,0,0,3,3,8,3,0,0,0,19,0,0,0,3,6,3,0,0,0,15,0,4,3,0,3,9,3,0,0,30,34,21,54,71,85,82,65,11,9,427
SSC51600,0,28,146,73,62,61,24,0,10,415,0,21,102,60,41,40,3,4,3,277,0,8,72,54,34,41,18,0,0,228,0,3,52,49,50,35,3,0,0,193,0,4,78,77,65,55,8,0,0,288,0,0,20,41,29,16,3,0,3,121,27,68,82,48,35,33,33,51,75,457,360,843,1296,754,597,599,458,370,213,5485
SSC51601,0,0,13,3,7,3,3,0,0,28,0,0,11,8,13,3,3,0,0,35,0,13,16,8,7,6,0,0,0,51,0,3,15,11,4,0,0,0,0,38,0,3,42,24,17,11,0,0,0,104,0,0,7,15,11,8,3,0,0,45,4,13,48,31,17,11,6,0,0,132,30,47,192,139,110,75,29,7,0,638
SSC51602,0,3,5,5,0,3,0,0,0,22,0,0,0,3,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,8,4,5,3,4,4,11,3,0,0,34,5,11,27,26,14,34,18,6,0,143
SSC51603,0,0,0,3,4,3,0,0,0,7,0,0,0,0,3,3,0,0,0,10,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,11,0,0,0,0,4,0,0,0,0,3,7,0,0,0,3,0,0,0,0,8,11,3,6,16,32,19,13,4,0,106
