SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC50001,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,9,4,5,18,7,3,3,0,0,53
SSC50002,0,0,3,20,32,14,8,0,3,82,0,0,10,21,11,6,6,0,0,59,0,0,13,15,22,9,4,4,0,60,0,0,7,7,14,3,3,0,0,30,0,0,12,15,9,10,0,0,0,49,0,0,3,10,13,0,0,0,0,26,0,0,6,8,9,9,11,0,3,53,80,38,128,176,178,148,129,67,20,968
SSC50003,0,0,3,0,3,0,0,0,0,11,0,4,0,4,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,12,0,4,11,12,12,17,7,4,0,75
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,7,4,5,3,0,0,28
SSC50005,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,6,0,9,6,5,5,8,3,0,46
SSC50006,0,4,14,11,28,25,14,3,0,101,0,0,7,6,13,22,13,4,0,57,0,0,12,9,18,16,9,0,0,61,0,0,4,5,11,12,4,0,0,34,0,0,3,5,25,26,9,0,0,78,0,0,0,0,12,14,5,0,0,37,4,3,6,0,13,9,17,11,7,80,72,51,138,92,201,276,225,94,40,1170
SSC50007,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,6,7,9,4,5,0,0,38
SSC50008,3,49,139,126,134,151,30,3,3,638,0,22,94,106,118,69,12,0,0,420,0,3,56,71,91,61,7,0,0,296,0,3,38,51,63,40,6,0,0,200,0,5,46,77,87,44,8,0,0,269,0,0,15,10,22,17,3,0,0,69,39,36,59,61,58,68,22,28,6,380,591,593,1009,1037,1191,1082,512,282,58,6371
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,9
SSC50010,0,10,32,20,35,27,15,0,3,148,0,3,26,25,27,20,10,3,3,117,0,0,22,32,25,21,8,4,0,110,0,0,19,23,29,13,3,0,0,89,0,0,36,75,69,38,10,4,0,226,0,0,15,66,56,26,4,0,0,173,11,6,24,17,15,15,6,14,5,126,151,130,298,377,356,302,223,122,62,2019
SSC50011,3,72,228,104,75,25,6,3,0,516,0,33,190,97,69,23,9,0,0,426,0,15,156,91,52,18,3,0,0,337,0,15,92,96,50,13,3,0,0,264,0,3,119,106,79,16,4,0,0,325,0,3,24,37,19,11,0,0,0,96,34,36,150,89,53,36,18,10,0,421,325,552,1603,984,678,296,174,34,3,4639
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,6,6,0,0,0,19
SSC50013,0,0,3,3,3,10,0,0,0,19,0,4,3,0,8,3,0,0,0,23,0,0,3,3,5,5,0,0,0,17,0,0,0,8,7,5,0,0,0,18,0,0,3,18,24,11,0,0,0,65,0,0,0,0,6,13,0,0,0,18,9,0,6,5,7,9,4,0,0,33,43,25,45,86,106,107,54,12,4,479
SSC50014,0,0,0,0,4,4,0,0,0,8,0,0,3,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,8,0,3,0,0,9,4,5,14,8,28,20,14,3,0,90
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11
SSC50016,0,0,3,12,7,8,3,0,0,33,0,0,0,6,10,4,0,0,0,21,0,0,0,8,12,3,0,0,0,17,0,0,0,3,0,7,3,0,0,15,0,0,4,7,13,0,0,0,0,26,0,0,0,3,0,0,0,0,0,5,3,0,0,7,6,3,6,0,0,24,41,16,31,77,82,58,45,7,3,347
SSC50017,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,17,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,4,3,0,0,8,0,0,4,10,8,15,7,3,0,56
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9
SSC50019,0,0,4,4,3,3,0,0,0,16,0,0,0,0,0,4,0,0,0,11,0,3,3,0,4,6,0,0,0,11,0,0,0,0,6,7,0,0,0,13,0,0,0,3,0,3,3,0,0,7,0,0,0,3,5,0,0,0,0,12,0,0,3,0,3,3,0,0,0,20,26,14,20,30,35,40,35,3,0,210
SSC50020,0,0,0,0,7,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,12,7,11,3,0,50
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,0,38,92,54,70,55,56,30,10,409,0,21,77,39,59,54,36,11,3,312,3,8,74,50,67,76,31,12,3,325,0,3,44,46,48,51,34,16,10,247,0,6,72,97,112,119,52,15,3,475,0,3,59,186,247,189,94,35,3,810,30,32,72,57,50,60,56,67,63,490,427,453,804,824,931,955,779,427,218,5806
SSC50023,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,15,10,3,4,0,40
SSC50024,0,21,51,29,38,58,39,13,7,254,0,10,46,27,38,40,22,12,4,191,0,3,36,37,42,43,21,3,0,184,0,0,28,32,39,43,10,4,0,155,0,0,53,74,83,74,12,3,0,300,0,0,27,97,107,72,22,0,0,329,10,14,22,30,18,29,15,10,14,171,304,293,442,535,573,606,385,224,118,3476
SSC50025,0,0,3,3,10,8,3,0,0,28,0,3,3,8,6,8,0,0,0,31,0,0,0,6,6,8,3,0,0,26,0,0,0,3,8,5,0,0,0,22,0,0,3,11,10,8,3,0,0,38,0,0,3,3,10,0,0,0,0,16,4,0,3,3,7,11,6,0,0,31,41,6,28,69,100,92,66,12,7,425
SSC50026,5,61,234,174,184,133,42,23,7,849,0,33,126,109,93,89,22,5,0,476,0,21,92,84,83,72,10,6,0,375,0,4,36,44,30,38,7,0,0,156,0,0,42,46,52,42,3,0,4,196,0,0,5,15,18,18,9,4,0,63,111,116,218,178,167,180,183,169,96,1415,749,1003,1960,1610,1574,1564,1270,847,357,10925
SSC50027,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,7,14,4,0,0,40
SSC50028,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,9
SSC50029,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,10,8,8,6,0,0,0,35
SSC50030,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,4,0,7,8,28,13,7,8,4,89
SSC50031,0,16,33,42,41,40,19,11,0,195,0,7,50,27,39,31,17,3,0,163,0,5,30,24,27,22,11,0,0,117,0,3,31,22,29,20,7,4,0,113,0,3,26,42,58,49,6,0,0,182,0,0,5,32,41,23,5,0,4,118,18,20,49,26,46,30,40,12,3,249,134,166,366,337,397,404,288,100,18,2219
SSC50032,0,9,55,44,38,22,9,4,0,173,0,3,46,33,30,10,6,0,0,136,0,3,42,48,21,13,0,0,0,125,0,0,27,34,17,8,4,3,0,94,0,4,43,44,31,17,0,0,0,136,0,0,9,13,11,8,0,0,0,43,5,12,28,27,12,16,9,16,7,140,126,146,412,396,292,214,235,222,47,2102
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,10
SSC50034,0,0,21,15,6,3,5,0,0,61,0,0,25,17,16,8,0,0,0,65,0,0,21,17,18,8,0,0,3,72,0,0,20,12,5,8,3,0,0,44,0,0,18,28,12,8,7,0,0,70,0,0,3,7,6,5,0,0,0,21,4,4,7,16,12,14,7,7,0,85,62,62,224,215,174,139,108,79,19,1082
SSC50035,0,31,59,58,80,68,51,28,9,393,0,16,64,64,65,55,23,11,7,303,0,6,57,68,91,51,31,18,9,325,0,0,34,58,66,42,14,8,3,221,0,0,64,108,122,88,29,23,8,437,0,3,31,139,226,110,30,20,3,562,93,24,46,38,72,33,33,26,21,393,518,392,575,765,1029,724,558,384,170,5106
SSC50036,3,44,136,190,136,59,12,4,0,589,0,28,123,145,129,50,19,0,0,495,0,13,96,145,119,47,9,0,0,422,0,8,83,113,108,36,3,0,0,349,0,10,106,252,205,51,15,0,0,637,3,0,34,130,78,31,3,0,0,286,40,20,41,63,62,34,28,14,3,308,757,525,1134,1756,1366,642,365,139,28,6712
SSC50037,0,34,145,118,55,28,5,0,4,387,0,17,103,115,55,26,7,0,0,335,0,4,114,110,57,34,0,0,0,322,0,7,94,110,45,19,0,0,0,275,0,7,130,209,85,19,4,0,0,456,0,0,39,91,35,15,0,0,0,187,18,17,72,53,32,25,15,29,32,291,330,324,1232,1284,611,341,167,94,60,4433
SSC50038,0,0,7,5,16,21,14,3,0,75,0,4,8,4,6,10,8,0,4,43,0,0,3,7,10,7,7,0,0,45,0,0,0,5,3,11,0,0,0,23,0,0,0,4,15,6,3,0,0,28,0,0,0,0,3,3,0,0,0,9,10,5,11,11,13,22,20,23,19,126,64,38,89,98,189,256,276,182,74,1252
SSC50039,7,68,217,192,172,129,44,12,4,849,3,38,151,153,133,103,27,8,0,613,0,24,134,145,152,117,19,4,0,590,0,12,108,131,113,77,12,0,0,453,0,13,187,265,223,105,6,0,3,805,4,4,71,102,77,51,5,4,0,321,97,52,144,162,177,139,115,84,22,987,949,697,2014,2080,1834,1556,1128,514,148,10921
SSC50040,0,82,316,204,153,71,21,4,0,842,0,44,225,204,120,58,5,0,0,660,0,22,186,163,120,41,5,0,0,542,0,14,105,120,91,18,7,0,0,353,0,8,146,200,149,56,14,0,0,569,0,0,37,88,41,17,0,0,0,185,43,54,127,114,62,32,24,17,0,471,602,703,2091,1784,1148,578,355,144,17,7425
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8
SSC50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,15
SSC50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,4,3,0,0,42
SSC50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,3,0,0,23
SSC50045,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,9,3,0,0,0,34
SSC50046,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,4,0,3,16
SSC50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,5,0,0,3,0,14
SSC50048,0,0,3,4,10,4,3,0,0,20,0,0,3,6,5,0,3,0,0,14,0,0,0,3,3,7,0,0,0,18,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,4,0,0,0,15,3,8,30,18,37,34,26,6,0,165
SSC50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,11
SSC50050,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,13,3,6,5,3,10,4,6,5,0,40
SSC50051,0,3,10,15,20,17,4,0,3,78,0,0,11,16,18,12,0,0,0,61,0,0,6,11,10,6,0,0,0,40,0,0,8,4,8,14,4,0,0,43,0,0,10,15,16,19,0,0,0,53,0,0,9,7,9,3,0,0,0,31,4,3,9,8,13,18,17,3,0,71,55,31,109,137,170,187,161,42,10,904
SSC50052,0,0,0,0,5,4,0,0,0,12,0,0,0,0,3,0,0,0,0,5,0,0,3,3,0,4,0,0,0,7,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,16,25,5,7,15,34,18,13,13,0,131
SSC50053,3,51,279,163,153,108,27,14,6,803,0,27,188,123,113,64,23,7,0,543,0,15,170,105,101,58,20,0,0,465,0,7,88,98,66,27,7,0,0,299,0,0,150,152,78,55,7,3,0,448,0,0,40,51,44,21,8,0,0,163,45,51,176,91,85,80,123,122,141,908,450,631,1974,1421,1215,981,965,817,360,8811
SSC50054,13,257,766,456,419,206,54,9,0,2178,0,135,576,440,281,139,31,0,0,1606,3,71,548,410,336,124,20,0,0,1513,0,38,387,335,254,114,12,0,0,1152,3,43,581,647,467,176,12,0,0,1925,0,15,185,242,212,75,10,0,0,747,173,254,574,394,309,199,147,65,18,2129,1881,2285,6259,4750,3585,2130,1490,567,100,23041
SSC50055,3,75,339,216,156,84,32,9,0,918,3,29,233,140,77,49,15,0,0,543,0,13,182,90,59,38,6,0,0,391,0,7,69,56,33,16,3,0,0,191,0,3,83,51,37,18,4,0,0,201,0,0,20,15,10,5,0,0,0,47,72,128,322,167,157,126,112,72,13,1178,655,1087,3046,1700,1303,1061,834,464,97,10241
SSC50056,0,0,3,5,5,12,6,0,0,33,0,0,0,4,7,6,0,0,0,20,0,0,0,3,3,9,0,0,0,14,0,0,0,3,0,4,4,0,0,13,0,0,3,0,0,3,3,0,0,15,0,0,0,0,5,0,3,0,0,6,3,3,3,3,6,13,15,3,0,50,22,14,47,46,58,136,122,35,8,476
SSC50057,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,3,8,4,3,3,3,0,0,20
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,4,0,3,7,12,18,7,3,0,61
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5
SSC50061,6,115,317,274,376,266,45,7,4,1417,0,51,202,205,289,189,21,3,0,959,0,15,153,147,227,148,17,0,0,705,0,9,107,96,175,108,10,0,0,497,0,4,107,128,236,140,13,0,0,633,0,3,20,54,80,48,8,0,0,222,107,101,150,111,165,121,82,33,16,881,1577,1473,2401,2281,3071,2372,1118,520,161,14981
SSC50062,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,3,3,5,0,0,19
SSC50063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,5,0,9,15,10,15,7,0,59
SSC50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,5,16,11,0,0,41
SSC50065,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,3,3,10,3,7,10,3,3,0,40
SSC50066,0,3,9,3,3,4,0,0,0,25,0,0,3,3,3,4,0,0,0,15,0,0,0,4,4,0,0,0,0,10,0,0,3,3,6,0,0,0,0,11,0,0,5,6,7,8,0,0,0,23,0,0,0,0,0,4,0,0,0,9,0,0,3,7,7,7,8,0,0,28,17,18,37,41,45,42,30,7,0,237
SSC50067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,3,0,0,0,0,14,0,3,16,11,3,3,0,0,0,37,0,6,26,10,6,3,0,0,0,51,0,0,0,3,8,0,0,0,0,18,0,0,5,3,3,0,0,0,0,13,11,13,71,45,35,11,0,0,0,189
SSC50068,0,17,50,27,34,13,10,0,0,144,0,12,34,17,20,21,6,0,0,109,0,7,44,22,22,18,8,0,0,119,0,3,26,22,22,11,0,0,0,83,0,0,38,36,45,14,0,0,0,135,0,0,15,18,30,16,10,0,0,92,14,10,33,23,32,16,12,4,5,145,151,159,379,278,296,249,145,42,17,1711
SSC50069,0,88,373,197,128,47,8,0,0,836,0,38,244,170,86,43,3,0,0,585,0,13,195,133,68,25,0,0,0,434,0,0,102,87,53,10,3,0,0,254,0,5,123,103,41,17,0,0,0,290,0,0,22,37,26,8,0,0,0,92,52,61,187,81,70,42,9,4,0,517,614,732,2323,1485,922,480,174,52,15,6793
SSC50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50071,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,10,0,4,3,4,5,3,0,0,0,14,0,0,13,11,14,4,0,0,0,35,0,0,3,6,3,3,0,0,0,19,0,0,3,3,6,9,0,0,0,16,0,3,37,25,33,22,0,3,0,123
SSC50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,4,3,0,0,21
SSC50073,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,3,0,12
SSC50074,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,3,3,3,8,4,3,0,0,21
SSC50075,0,6,3,13,19,10,4,0,0,54,0,0,3,9,8,7,4,0,0,27,0,3,4,4,11,6,3,0,0,24,0,0,3,6,15,4,0,0,0,28,0,0,3,18,19,6,0,0,0,53,0,0,4,11,12,3,3,0,0,24,0,4,3,10,7,10,11,6,0,50,80,51,60,130,152,112,107,43,8,737
SSC50076,0,0,9,15,14,3,0,0,0,41,0,3,21,16,26,9,0,0,0,78,0,4,33,18,17,5,0,0,0,71,0,6,20,31,17,7,0,0,0,89,0,7,109,97,56,27,3,0,0,302,0,31,326,271,204,99,9,0,0,938,0,13,116,135,88,45,6,0,0,406,0,69,656,590,428,202,24,0,0,1961
