SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC51495,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,5,0,0,5
SSC51496,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,7,3,0,9
SSC51497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
SSC51498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC51502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51503,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,6
SSC51504,0,0,0,0,0,0,0,0,0,25,25,0,56,3,5,4,59,27,0,90
SSC51505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51506,0,0,0,0,0,0,0,0,3,48,37,10,99,4,5,9,104,43,0,148
SSC51507,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SSC51508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC51510,0,0,0,0,0,0,0,0,3,28,39,3,73,3,4,8,84,37,0,123
SSC51511,3,3,0,0,0,3,6,3,9,135,117,17,273,36,22,50,322,170,6,500
SSC51512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51514,0,0,0,0,0,0,0,0,0,8,0,0,4,0,3,8,15,20,0,31
SSC51515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51517,0,0,0,0,0,0,0,0,0,0,7,0,8,3,0,3,13,18,0,28
SSC51518,0,4,0,0,0,8,3,0,14,173,117,20,313,30,19,49,362,195,7,565
SSC51519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51520,0,0,0,0,0,0,4,3,6,29,27,8,67,10,7,15,82,43,3,128
SSC51521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51524,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,6,6,0,11
SSC51525,0,0,0,0,0,0,0,0,0,45,48,0,86,5,0,8,97,42,0,139
SSC51526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51528,0,0,0,0,0,0,0,0,0,15,15,0,32,3,0,5,37,21,0,56
SSC51529,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC51530,0,0,0,0,0,0,0,0,0,10,14,0,21,0,0,0,21,11,0,30
SSC51531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4
SSC51532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51533,0,0,0,0,0,3,0,0,7,67,42,10,115,5,4,10,126,43,0,175
SSC51534,0,0,0,0,0,0,0,0,0,10,0,0,11,0,0,0,7,6,0,21
SSC51535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51536,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,9,0,0,7
SSC51537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51538,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SSC51539,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,8
SSC51540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51542,0,0,0,0,0,0,3,0,3,119,73,7,193,18,22,32,228,98,0,329
