SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC50612,..,4,4,8,0,8,0,0,0,3,0,3,0,0,0,0,0,0,18,4,17
SSC50613,..,336,336,395,16,411,152,4,156,167,3,174,80,0,80,41,0,37,833,361,1202
SSC50614,..,4,4,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,9,4,18
SSC50615,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50616,..,27,27,54,0,54,20,0,20,15,0,15,6,0,6,0,0,0,97,27,125
SSC50617,..,25,25,75,8,85,59,0,59,40,0,42,24,0,24,11,0,11,201,33,242
SSC50618,..,134,134,112,5,119,43,0,42,34,0,32,18,0,18,10,0,10,217,142,357
SSC50619,..,7,7,17,0,15,3,0,3,3,0,3,0,0,0,0,0,0,23,9,26
SSC50620,..,559,559,806,76,882,447,19,467,396,6,401,135,0,137,51,3,54,1839,659,2497
SSC50621,..,236,236,461,25,489,198,0,199,242,0,247,100,0,100,43,0,43,1049,264,1311
SSC50622,..,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
SSC50623,..,79,79,256,9,264,150,3,152,164,0,164,70,0,70,39,0,39,684,87,772
SSC50624,..,5,5,25,3,27,6,0,6,3,0,3,4,0,4,3,0,3,40,13,51
SSC50625,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50626,..,102,102,188,5,199,86,0,86,80,0,80,33,0,33,26,0,26,420,110,525
SSC50627,..,28,28,57,0,58,30,0,30,26,0,26,5,0,5,3,0,3,120,30,148
SSC50628,..,7,7,9,0,9,3,0,3,3,0,3,0,0,0,3,0,3,23,12,34
SSC50629,..,3,3,16,3,23,5,0,5,3,0,3,0,0,0,0,0,0,30,9,38
SSC50630,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50631,..,937,937,1399,110,1507,712,23,738,729,3,737,284,0,284,137,0,137,3259,1078,4338
SSC50632,..,19,19,44,4,47,11,0,11,13,0,13,4,0,4,3,0,3,77,28,101
SSC50633,..,431,431,309,82,391,100,32,127,63,11,72,13,3,19,3,0,5,485,551,1040
SSC50634,..,72,72,154,21,166,107,0,110,95,0,95,35,0,35,30,0,30,424,94,515
SSC50635,..,8,8,19,0,19,7,0,8,3,0,3,3,0,3,0,0,0,30,6,39
SSC50636,..,508,508,1230,34,1268,605,13,620,829,9,836,339,4,344,93,0,93,3101,563,3671
SSC50637,..,154,154,243,19,259,109,7,112,79,0,82,41,0,41,26,0,26,497,181,680
SSC50638,..,5,5,6,0,11,3,0,3,3,0,3,0,0,0,0,0,0,19,6,23
SSC50639,..,460,460,434,66,496,225,26,258,197,4,204,69,0,67,27,0,28,949,561,1509
SSC50640,..,3,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,11,3,12
SSC50641,..,6,6,10,0,10,0,0,0,3,0,3,0,0,0,0,0,0,17,6,25
SSC50642,..,0,0,9,0,6,0,0,0,4,0,4,0,0,0,0,0,0,17,4,20
SSC50643,..,288,288,551,35,584,355,6,364,504,3,506,162,0,162,59,3,64,1633,331,1965
SSC50644,..,14,14,22,0,19,5,0,5,3,0,3,0,0,0,0,0,0,27,17,47
SSC50645,..,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6
SSC50646,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50647,..,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
SSC50648,..,3,3,3,0,3,0,0,0,7,0,7,0,0,0,0,0,0,9,3,17
SSC50649,..,6,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10
SSC50650,..,3,3,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,14,3,14
SSC50651,..,14,14,33,0,37,24,0,24,21,0,21,8,0,8,7,0,7,87,15,100
SSC50652,..,129,129,128,6,134,27,0,27,21,0,21,23,0,23,7,0,7,206,130,332
SSC50653,..,24,24,30,0,35,4,0,4,3,0,3,0,0,0,0,0,0,43,20,65
SSC50654,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50655,..,37,37,88,4,95,35,0,35,48,0,48,12,0,12,8,0,8,185,39,227
SSC50656,..,15,15,21,4,24,9,0,9,3,0,3,3,0,3,3,0,3,31,12,49
SSC50657,..,5,5,6,0,3,0,0,0,3,0,3,0,0,0,0,0,0,16,3,19
SSC50658,..,0,0,5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,8,0,9
SSC50659,..,450,450,805,42,846,549,8,558,558,4,565,261,6,267,149,3,154,2323,514,2838
SSC50660,..,35,35,45,5,47,27,0,29,18,0,18,12,0,12,3,0,3,100,37,137
SSC50661,..,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,10,0,10
SSC50662,..,132,132,466,0,464,297,0,298,516,0,516,176,0,178,62,0,62,1509,135,1647
SSC50663,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50664,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8
SSC50665,..,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,9,0,6
SSC50666,..,705,705,673,79,746,323,24,345,348,5,351,93,0,93,19,0,23,1463,810,2275
SSC50667,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,10
SSC50668,..,1208,1208,1216,159,1378,539,79,620,293,12,304,65,4,68,15,0,15,2127,1472,3593
SSC50669,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
