SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC50407,0,0,0,4,3,0,9,12,0,20
SSC50408,569,94,673,3529,1432,105,5059,13461,1215,19738
SSC50409,0,0,0,4,0,0,4,4,3,17
SSC50410,0,0,0,28,11,3,39,98,17,155
SSC50411,0,0,0,33,8,0,33,54,5,95
SSC50412,0,0,0,0,0,0,0,4,0,4
SSC50413,0,0,0,9,3,0,6,25,6,40
SSC50414,4,0,3,579,105,33,718,1168,201,2088
SSC50415,28,3,32,174,57,26,265,752,117,1129
SSC50416,0,0,0,3,0,0,3,14,4,25
SSC50417,0,0,0,0,0,0,0,3,3,5
SSC50418,66,8,76,420,172,22,617,1396,237,2249
SSC50419,0,0,0,0,6,0,8,26,8,35
SSC50420,0,0,0,6,3,0,9,45,7,69
SSC50421,0,0,0,0,0,0,0,0,0,0
SSC50422,136,17,161,1449,427,48,1918,4339,593,6851
SSC50423,10,0,10,72,30,5,112,218,29,364
SSC50424,0,0,0,3,3,0,8,25,11,41
SSC50425,9,0,6,312,58,6,377,630,98,1102
SSC50426,0,0,0,0,0,0,0,0,0,0
SSC50427,0,0,0,0,0,0,0,10,6,23
SSC50428,0,0,0,10,0,0,10,0,0,10
SSC50429,0,0,0,17,0,0,17,33,4,57
SSC50430,246,23,272,741,409,36,1183,3814,400,5401
SSC50431,0,0,0,4,3,0,5,13,0,20
SSC50432,0,0,0,8,3,0,7,29,8,41
SSC50433,0,0,0,4,0,0,4,11,3,19
SSC50434,3,0,3,23,10,0,38,134,19,188
SSC50435,0,0,3,14,14,0,26,99,39,166
SSC50436,0,0,0,35,15,0,51,150,32,227
SSC50437,244,71,316,2936,1143,137,4214,7213,582,12019
SSC50438,0,0,0,0,0,0,0,0,0,0
SSC50439,0,0,0,3,0,0,3,11,0,11
SSC50440,51,6,56,1131,287,55,1469,2240,332,4037
SSC50441,3,0,3,21,3,0,20,108,23,156
SSC50442,0,0,0,12,4,0,19,31,7,52
SSC50443,0,0,0,4,4,0,7,0,0,7
SSC50444,0,0,0,3,0,0,3,9,0,15
SSC50445,7,0,7,79,32,4,116,269,73,454
SSC50446,0,0,0,4,12,0,23,39,12,71
SSC50447,0,0,0,0,0,4,3,20,0,26
SSC50448,0,0,0,9,3,0,10,31,0,41
SSC50449,0,0,0,11,3,0,15,53,8,78
SSC50450,0,0,0,6,3,0,8,26,17,45
SSC50451,106,25,132,532,297,25,850,2193,268,3310
SSC50452,30,3,30,894,246,17,1159,2861,365,4384
SSC50453,10,3,13,135,47,3,189,392,91,677
SSC50454,0,0,0,5,0,0,10,18,0,34
SSC50455,0,0,0,3,0,0,3,5,0,11
SSC50456,104,66,170,1285,491,71,1850,3696,482,6027
SSC50457,0,0,0,0,0,0,0,0,0,3
SSC50458,0,0,0,12,6,3,20,16,17,51
SSC50459,0,0,0,0,0,0,3,3,0,7
SSC50460,0,0,0,3,0,0,4,3,0,8
SSC50461,0,0,0,3,0,0,3,17,3,27
SSC50462,0,0,0,4,0,0,4,8,0,11
SSC50463,65,11,70,794,361,9,1170,7292,1511,9971
SSC50464,0,0,0,43,14,3,53,108,13,181
SSC50465,0,0,0,3,0,0,3,14,4,13
SSC50466,5,6,6,9,4,0,16,180,51,249
SSC50467,100,26,125,1535,388,50,1971,5555,951,8477
SSC50468,0,0,0,8,0,0,8,26,0,33
SSC50469,0,0,0,10,0,0,7,18,5,33
SSC50470,3,3,9,25,5,0,28,60,21,107
SSC50471,200,34,240,1428,508,89,2016,4204,564,6782
SSC50472,56,13,67,510,232,18,764,1846,227,2838
SSC50473,81,3,88,775,325,27,1121,2359,180,3661
SSC50474,0,0,0,3,3,3,8,25,3,34
SSC50475,3,0,3,367,80,8,453,676,129,1255
SSC50476,3,0,3,0,3,0,6,77,14,100
SSC50477,0,0,0,8,0,0,8,12,0,20
SSC50478,0,0,0,3,0,0,4,7,4,10
SSC50479,0,0,0,19,11,0,29,59,14,100
SSC50480,0,0,0,69,23,3,92,206,16,309
SSC50481,105,133,236,4979,1076,162,6215,8862,1401,16482
SSC50482,0,0,0,0,0,0,0,12,0,11
SSC50483,88,51,135,466,145,11,625,1781,252,2652
SSC50484,0,0,0,4,0,0,8,13,6,25
SSC50485,30,0,32,16,15,0,34,217,38,288
SSC50486,0,0,0,19,7,4,31,86,3,122
SSC50487,0,0,0,0,0,0,0,0,0,0
SSC50488,0,0,0,3,0,0,3,11,0,16
SSC50489,0,0,0,5,0,0,3,8,0,11
SSC50490,160,31,189,457,292,8,766,2989,385,4135
SSC50491,125,25,149,216,102,17,335,1200,327,1866
SSC50492,0,0,0,0,0,0,0,0,0,0
SSC50493,0,0,0,0,0,0,0,38,20,58
SSC50494,0,0,0,0,0,0,0,3,0,4
SSC50495,0,0,0,4,0,0,4,23,0,24
SSC50496,6,5,14,458,109,24,587,1189,206,1981
SSC50497,0,0,0,8,0,0,9,19,6,35
SSC50498,0,0,0,8,3,0,12,23,4,37
SSC50499,85,18,105,725,331,27,1087,2933,313,4335
SSC50500,3,0,3,33,11,0,50,120,26,188
SSC50501,150,14,166,639,273,28,943,2472,201,3620
SSC50502,0,0,0,0,0,0,0,0,0,0
SSC50503,0,0,0,0,0,0,0,0,0,0
SSC50504,0,0,0,0,0,0,0,0,0,0
SSC50505,0,0,0,0,0,0,0,0,0,0
SSC50506,12,0,14,152,128,19,307,542,162,1007
