SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC50769,0,0,0,18,3,0,26,40,3,62
SSC50770,0,0,0,7,3,0,12,29,9,45
SSC50771,0,0,0,0,0,0,3,22,14,38
SSC50772,0,0,0,5,3,0,9,4,0,12
SSC50773,0,0,0,22,5,0,20,41,23,94
SSC50774,0,0,0,14,3,0,18,32,0,52
SSC50775,25,3,31,551,206,22,777,2062,294,3133
SSC50776,7,0,9,161,48,4,212,485,102,798
SSC50777,7,0,7,39,13,4,52,139,23,215
SSC50778,0,0,0,3,3,0,8,39,0,40
SSC50779,4,4,4,12,6,3,20,89,15,135
SSC50780,0,3,3,0,8,0,5,21,15,42
SSC50781,3,0,3,37,19,0,49,117,14,178
SSC50782,0,0,3,11,5,0,18,50,7,76
SSC50783,0,0,0,9,0,0,8,21,0,31
SSC50784,0,0,0,11,0,0,11,22,16,52
SSC50785,0,0,0,24,6,0,34,57,12,97
SSC50786,12,4,13,51,19,3,73,177,36,292
SSC50787,0,0,0,16,3,0,15,45,3,66
SSC50788,0,0,0,3,0,0,3,7,0,13
SSC50789,0,0,0,10,0,0,15,28,11,54
SSC50790,0,0,0,8,5,0,12,19,0,31
SSC50791,7,0,7,4,0,0,4,39,6,57
SSC50792,10,5,14,768,222,44,1041,2490,592,4126
SSC50793,0,0,0,0,0,0,0,6,0,4
SSC50794,0,0,0,7,0,0,3,15,3,24
SSC50795,0,0,0,8,0,0,8,4,8,12
SSC50796,0,0,0,0,0,0,0,4,6,11
SSC50797,0,0,0,0,7,0,7,3,0,6
SSC50798,0,0,0,46,13,0,61,103,26,189
SSC50799,0,0,0,7,0,0,6,11,3,21
SSC50800,0,0,0,124,78,8,206,217,14,446
SSC50801,0,0,0,25,12,5,43,109,35,179
SSC50802,0,0,0,0,0,0,0,0,13,13
SSC50803,0,0,0,9,0,0,12,18,3,32
SSC50804,0,0,0,3,3,0,3,8,0,14
SSC50805,0,0,0,12,0,0,12,14,0,21
SSC50806,0,0,0,0,0,0,0,7,3,10
SSC50807,0,0,0,103,47,3,152,312,68,542
SSC50808,0,0,0,4,0,0,4,19,26,48
SSC50809,0,0,0,15,5,0,15,29,21,61
SSC50810,8,0,10,82,31,0,117,263,51,433
SSC50811,0,0,0,9,0,0,9,16,0,20
SSC50812,0,0,0,3,0,0,3,4,0,8
SSC50813,0,0,0,14,4,0,20,49,6,76
SSC50814,0,0,0,4,0,0,4,14,0,16
SSC50815,0,0,0,0,0,0,0,8,10,20
SSC50816,0,0,0,0,0,0,0,11,5,19
SSC50817,0,0,0,20,0,0,21,26,4,48
SSC50818,0,0,0,0,0,0,0,4,7,7
SSC50819,10,3,14,1036,247,49,1335,1927,258,3517
SSC50820,8,0,8,469,84,18,570,892,103,1568
SSC50821,7,3,11,73,37,4,118,445,76,634
SSC50822,25,0,26,2664,582,76,3322,5532,450,9312
SSC50823,0,0,0,25,14,0,40,173,14,219
SSC50824,49,5,55,909,240,32,1185,3057,282,4524
SSC50825,0,0,0,12,0,0,14,33,0,43
SSC50826,67,6,73,576,175,35,783,1815,185,2787
SSC50827,0,0,0,111,47,3,161,417,188,766
SSC50828,0,0,0,4,0,0,3,0,0,3
SSC50829,0,0,0,645,186,29,858,1306,241,2404
SSC50830,8,0,8,28,18,0,47,119,37,206
SSC50831,58,4,60,379,135,15,522,2003,268,2795
SSC50832,3,0,3,44,15,0,60,201,35,296
SSC50833,128,12,147,1739,844,58,2639,5966,324,8926
SSC50834,0,0,0,0,0,0,0,4,0,4
SSC50835,0,0,0,117,11,3,129,194,138,468
SSC50836,0,0,0,29,23,0,58,81,13,152
SSC50837,4,3,5,90,26,0,118,399,149,666
SSC50838,8,0,10,470,208,15,698,1565,144,2406
SSC50839,0,0,0,0,0,0,0,0,0,0
SSC50840,148,33,191,1386,635,66,2090,4274,382,6738
SSC50841,0,0,0,0,3,0,4,15,3,27
SSC50842,0,0,0,6,0,0,6,5,0,8
SSC50843,3,0,3,8,4,0,14,36,9,49
SSC50844,17,3,15,258,67,12,339,798,66,1204
SSC50845,0,0,0,0,3,0,5,8,0,13
SSC50846,0,0,0,0,0,0,0,0,3,5
SSC50847,0,0,0,8,0,0,8,3,0,10
SSC50848,25,4,28,526,175,25,730,1754,294,2783
SSC50849,11,4,21,184,40,10,243,635,136,1014
SSC50850,0,0,0,5,0,0,5,9,7,13
SSC50851,0,0,0,0,0,0,0,0,0,0
SSC50852,0,0,0,5,0,0,11,12,6,28
SSC50853,0,0,0,10,6,0,19,85,3,111
SSC50854,4,0,3,389,149,6,548,952,161,1661
SSC50855,0,0,0,4,0,0,4,11,8,23
SSC50856,26,7,31,301,104,15,426,907,125,1457
SSC50857,0,0,4,22,8,0,34,85,18,133
SSC50858,0,0,0,11,4,0,20,49,13,85
SSC50859,0,0,0,17,4,0,23,30,6,55
SSC50860,0,0,0,3,0,0,3,7,0,11
SSC50861,0,0,0,3,0,0,3,30,17,55
SSC50862,58,10,69,542,187,21,749,1803,253,2808
SSC50863,0,0,0,3,0,0,3,21,4,31
SSC50864,168,34,206,1856,543,72,2468,5815,740,9026
SSC50865,125,8,129,1243,319,34,1598,2893,258,4750
SSC50866,21,9,25,532,157,32,729,1241,141,2112
SSC50867,0,0,0,0,0,0,0,3,9,17
SSC50868,0,0,0,0,0,0,0,0,0,5
SSC50869,0,0,0,11,0,0,8,14,3,21
SSC50870,11,0,11,107,60,11,176,452,122,747
SSC50871,8,0,12,119,59,12,183,425,56,666
SSC50872,48,9,54,719,344,35,1097,2349,189,3642
SSC50873,0,0,0,0,0,0,0,4,0,7
SSC50874,0,0,0,4,0,0,5,28,9,45
SSC50875,0,0,0,0,0,0,0,3,3,6
SSC50876,0,0,0,4,5,0,8,14,13,34
SSC50877,0,0,0,5,0,0,6,18,0,26
SSC50878,0,0,0,0,0,0,0,0,0,0
SSC50879,0,0,0,8,0,0,8,3,0,12
SSC50880,0,0,4,3,3,0,5,34,10,50
SSC50881,224,97,322,849,442,31,1315,4681,898,6899
SSC50882,81,39,122,644,247,37,924,2195,360,3477
SSC50883,0,0,0,6,0,0,6,22,0,25
SSC50884,73,4,78,783,203,32,1019,2061,197,3273
SSC50885,0,0,0,24,6,0,30,92,9,132
SSC50886,185,45,224,1655,585,82,2324,5700,551,8565
SSC50887,0,0,0,10,3,0,17,31,7,46
SSC50888,0,0,0,76,26,6,109,133,14,252
SSC50889,0,0,3,77,66,13,152,244,104,495
SSC50890,0,0,0,6,3,0,7,23,0,30
SSC50891,0,0,3,74,37,0,115,262,22,401
SSC50892,0,0,0,144,18,3,158,528,277,970
SSC50893,84,8,93,1570,363,88,2024,3326,522,5874
SSC50894,8,0,8,114,73,3,191,453,51,699
SSC50895,33,4,34,389,204,23,617,1108,108,1829
SSC50896,0,0,0,3,0,0,3,3,3,12
SSC50897,0,0,0,0,0,0,3,6,0,10
SSC50898,0,0,0,14,0,0,13,18,0,38
SSC50899,0,0,0,0,0,0,0,0,0,0
SSC50900,0,0,0,0,0,0,3,0,0,4
SSC50901,41,42,77,201,84,11,300,853,162,1313
SSC50902,0,0,0,14,0,0,10,57,18,81
SSC50903,6,0,6,18,19,0,39,107,62,207
SSC50904,0,0,0,0,0,0,0,0,0,0
SSC50905,0,0,0,5,3,0,6,8,4,17
SSC50906,3,0,3,30,11,0,43,93,3,139
SSC50907,107,22,129,1720,546,48,2310,7598,1028,10941
SSC50908,0,0,0,7,4,0,13,31,5,50
SSC50909,0,0,0,3,3,0,9,15,24,44
SSC50910,17,3,22,671,212,27,907,1551,153,2610
SSC50911,0,0,0,0,0,0,0,4,0,10
SSC50912,261,55,317,1495,433,67,1994,3949,473,6413
SSC50913,0,0,3,43,8,0,52,123,13,190
SSC50914,0,0,0,0,0,0,0,16,0,21
SSC50915,30,13,39,315,125,13,448,1232,241,1924
SSC50916,5,5,10,79,29,7,112,336,133,583
SSC50917,0,0,0,0,0,0,0,6,0,8
SSC50918,3,0,3,26,9,4,46,97,15,158
SSC50919,0,0,0,3,3,0,11,15,0,29
SSC50920,0,0,0,20,8,0,29,92,18,137
SSC50921,0,0,0,0,0,0,0,0,0,0
SSC50922,146,55,205,1111,333,52,1497,2733,284,4522
SSC50923,235,138,368,333,170,13,521,1427,291,2238
SSC50924,0,0,0,10,0,0,8,51,21,89
SSC50925,0,0,0,0,3,0,3,14,0,19
SSC50926,0,0,0,20,8,0,23,24,10,63
SSC50927,3,0,3,10,0,0,10,26,8,42
SSC50928,49,12,63,407,131,28,561,1501,232,2299
SSC50929,236,75,307,851,283,52,1191,2694,432,4309
SSC50930,0,0,0,3,3,0,3,24,0,35
SSC50931,4,0,4,32,22,8,66,94,22,181
SSC50932,0,0,0,10,3,0,8,6,0,19
SSC50933,0,0,0,3,0,0,3,6,0,11
SSC50934,27,5,40,418,147,13,582,1476,247,2308
SSC50935,9,0,9,21,13,0,39,138,20,194
SSC50936,35,0,37,102,60,7,159,389,64,616
SSC50937,183,75,257,730,237,24,993,3347,749,5086
SSC50938,21,6,28,191,86,7,281,794,147,1222
SSC50939,0,0,0,18,11,3,37,51,17,105
SSC50940,0,0,0,368,69,16,454,792,110,1360
SSC50941,7,0,7,582,114,14,711,918,98,1724
SSC50942,0,0,0,45,15,3,60,144,14,220
SSC50943,7,4,10,71,41,0,110,308,37,452
SSC50944,0,0,0,3,0,0,3,14,16,36
SSC50945,0,0,0,3,0,0,3,10,3,15
SSC50946,0,0,0,3,0,0,5,5,0,10
SSC50947,12,6,21,129,57,4,189,451,40,686
SSC50948,0,0,0,3,0,0,3,13,0,18
SSC50949,0,0,0,13,3,0,18,23,3,46
SSC50950,53,68,127,1324,436,48,1815,3951,353,6115
SSC50951,0,0,0,4,0,0,4,15,7,26
SSC50952,0,0,0,3,3,0,10,22,0,25
SSC50953,0,0,3,26,8,3,35,163,34,238
SSC50954,0,0,0,10,3,0,21,24,11,54
SSC50955,0,0,0,0,0,0,0,10,5,19
SSC50956,0,0,0,14,4,0,15,10,0,30
SSC50957,0,0,0,0,0,0,3,26,3,30
SSC50958,0,0,3,5,3,0,5,82,11,103
SSC50959,44,7,53,254,96,16,365,1002,102,1470
SSC50960,60,6,68,1158,420,29,1601,4117,444,6167
SSC50961,0,0,0,3,0,0,3,7,23,31
SSC50962,0,0,0,10,0,0,8,20,5,38
SSC50963,0,0,0,15,4,0,26,35,8,65
SSC50964,0,0,0,0,0,0,4,39,7,52
SSC50965,3,0,3,32,10,3,39,113,13,172
SSC50966,0,0,0,5,8,0,12,31,3,47
SSC50967,0,0,0,5,3,0,13,8,0,17
SSC50968,0,0,3,3,11,0,14,90,7,109
SSC50969,0,0,0,4,0,0,5,9,0,13
SSC50970,4,0,4,63,18,3,82,213,58,350
SSC50971,0,0,0,11,0,0,10,32,9,43
SSC50972,0,0,0,16,0,0,13,13,7,39
SSC50973,0,0,0,18,6,4,25,102,15,143
SSC50974,0,0,0,8,3,0,8,12,0,26
SSC50975,0,0,0,3,5,0,8,25,4,35
SSC50976,0,0,0,9,0,0,9,11,6,24
SSC50977,3,0,3,39,12,3,62,125,14,200
SSC50978,35,3,41,228,96,10,336,924,163,1417
SSC50979,0,0,0,0,0,0,0,0,0,0
SSC50980,0,0,0,6,0,0,6,6,0,17
SSC50981,0,0,0,8,0,0,8,36,15,59
SSC50982,3,0,3,105,27,0,140,471,49,658
SSC50983,10,5,10,76,17,3,90,286,54,433
SSC50984,0,0,0,3,0,0,4,15,0,19
SSC50985,0,0,0,6,0,0,6,16,3,23
SSC50986,4,0,4,164,64,6,231,428,38,697
SSC50987,9,0,9,104,28,4,140,378,124,640
SSC50988,342,75,424,3244,1238,101,4587,12169,1322,18072
SSC50989,0,0,0,9,3,0,7,21,10,41
SSC50990,115,60,182,1362,505,52,1919,4619,705,7248
SSC50991,0,0,0,13,0,0,20,14,0,33
SSC50992,0,0,0,0,3,0,5,7,0,9
SSC50993,0,0,0,0,0,0,0,0,0,0
SSC50994,54,24,77,374,165,16,552,1444,248,2245
SSC50995,0,0,0,3,0,0,3,7,0,11
SSC50996,0,0,0,16,15,0,26,32,0,55
SSC50997,0,0,0,0,0,0,0,6,0,11
SSC50998,118,20,144,812,288,39,1139,2361,217,3716
SSC50999,19,4,26,87,38,0,130,375,48,551
SSC51000,0,0,0,20,10,0,23,49,5,80
SSC51001,0,0,0,0,0,0,3,0,0,4
SSC51002,0,0,0,3,0,0,5,12,7,26
SSC51003,3,0,5,22,8,0,37,98,10,143
SSC51004,0,0,0,103,45,25,167,111,27,307
SSC51005,91,13,108,1620,317,60,2000,3493,303,5796
SSC51006,19,5,27,579,180,20,785,1579,160,2526
SSC51007,0,0,0,8,0,0,8,18,6,31
SSC51008,0,0,0,0,0,3,3,0,0,3
SSC51009,0,0,0,9,3,0,15,11,0,23
SSC51010,0,0,0,0,0,0,0,0,0,0
SSC51011,215,105,329,1453,559,46,2060,6569,1012,9644
SSC51012,0,0,0,0,0,0,0,0,0,0
SSC51013,0,0,0,13,3,0,14,4,3,23
SSC51014,0,0,0,48,19,0,70,203,103,376
SSC51015,20,7,28,131,51,12,197,669,61,926
SSC51016,26,6,38,447,237,24,711,1623,167,2499
SSC51017,0,0,0,3,0,0,3,0,0,5
SSC51018,0,0,0,0,0,0,0,0,0,0
SSC51019,0,0,0,0,0,0,0,0,0,0
SSC51020,169,11,183,1106,553,30,1690,3654,300,5635
SSC51021,44,11,56,244,176,10,436,1121,146,1694
SSC51022,0,0,0,0,0,0,0,0,0,0
SSC51023,0,0,0,208,37,3,245,604,213,1062
SSC51024,0,0,0,3,4,0,4,29,5,41
SSC51025,0,0,0,3,0,0,4,9,0,15
SSC51026,23,7,32,569,215,12,797,1532,187,2516
SSC51027,0,0,0,8,6,0,13,22,3,40
SSC51028,0,0,0,0,0,0,0,0,0,0
SSC51029,0,0,0,0,0,0,0,0,0,0
SSC51030,9,0,9,158,59,4,216,498,87,800
SSC51031,3,0,6,20,9,3,26,96,13,139
SSC51032,0,0,0,46,25,7,85,119,75,272
SSC51033,0,0,0,3,3,0,5,7,0,16
SSC51034,7,4,5,57,24,3,87,157,34,276
SSC51035,0,0,0,0,0,0,0,0,0,0
SSC51036,0,0,0,15,3,0,26,83,68,179
SSC51037,39,8,55,1122,421,38,1586,2834,279,4701
SSC51038,0,0,0,15,3,0,17,95,18,132
SSC51039,9,0,7,44,22,4,75,199,60,336
SSC51040,3,0,5,60,25,3,89,121,25,236
SSC51041,0,0,0,24,8,3,35,95,39,170
SSC51042,0,0,3,10,0,0,14,50,9,69
SSC51043,0,0,0,12,4,0,13,36,4,46
SSC51044,0,0,0,0,0,0,0,0,3,8
SSC51045,77,38,118,479,230,14,718,1610,216,2543
SSC51046,12,6,20,208,76,8,291,597,95,985
SSC51047,0,0,0,8,0,0,5,10,0,24
SSC51048,0,0,0,5,5,0,14,24,0,37
SSC51049,0,0,0,19,9,0,26,54,20,98
SSC51050,37,6,47,791,296,20,1106,2249,207,3561
SSC51051,0,0,0,7,0,0,7,25,8,37
SSC51052,3,0,3,13,6,0,22,55,12,86
SSC51053,0,0,0,8,4,0,9,35,11,49
SSC51054,155,149,308,267,198,7,472,2285,503,3262
SSC51055,0,0,0,7,0,0,13,11,0,20
SSC51056,0,0,0,3,0,0,3,19,0,24
SSC51057,0,3,3,42,14,4,57,176,63,302
SSC51058,0,0,0,0,0,0,0,0,0,0
SSC51059,85,48,138,336,88,12,438,971,162,1570
SSC51060,0,0,4,79,41,3,118,243,59,421
SSC51061,0,0,0,18,10,3,34,67,16,115
SSC51062,0,0,0,0,0,0,0,14,3,19
SSC51063,0,0,0,0,0,0,0,10,0,6
SSC51064,0,0,0,7,3,0,10,10,0,12
SSC51065,0,0,0,6,3,0,8,8,0,19
SSC51066,3,0,3,52,24,3,81,159,17,254
SSC51067,3,0,3,5,0,0,7,23,0,28
SSC51068,0,0,0,7,0,0,6,22,0,32
SSC51069,0,0,0,0,0,0,0,9,6,14
SSC51070,0,0,0,0,0,0,0,0,0,0
SSC51071,0,0,0,7,7,0,12,30,4,51
SSC51072,0,0,0,5,0,0,5,9,0,8
SSC51073,12,5,19,130,51,7,189,512,83,781
SSC51074,0,0,0,11,3,0,17,56,24,94
SSC51075,0,0,0,11,3,0,11,49,6,71
SSC51076,3,0,4,42,15,0,52,165,16,236
SSC51077,0,0,0,0,0,0,4,10,0,10
SSC51078,19,3,23,62,26,6,90,263,42,396
SSC51079,0,0,0,3,6,3,9,40,333,386
SSC51080,0,0,0,18,5,0,20,32,6,58
SSC51081,0,0,0,10,0,0,7,7,7,21
SSC51082,5,0,5,65,32,3,102,260,49,409
SSC51083,105,24,128,580,250,20,851,2090,435,3375
SSC51084,0,0,0,25,5,3,35,54,3,90
SSC51085,0,0,0,11,3,0,17,26,13,56
SSC51086,0,0,0,3,0,0,3,14,9,21
SSC51087,0,0,0,0,0,0,0,0,0,0
SSC51088,255,41,305,1753,679,59,2490,5367,442,8300
SSC51089,0,0,0,21,0,0,25,39,13,77
SSC51090,0,0,0,6,0,0,6,3,3,15
SSC51091,0,3,4,18,10,0,29,26,21,73
SSC51092,0,0,0,33,8,0,45,137,26,203
SSC51093,0,0,0,0,0,0,0,8,0,9
SSC51094,0,0,0,36,4,3,42,30,16,89
SSC51095,0,0,0,0,0,0,0,0,0,0
SSC51096,0,0,0,0,0,0,0,5,0,4
SSC51097,0,0,0,7,0,0,7,52,30,89
SSC51098,0,0,0,3,0,4,3,13,0,19
SSC51099,0,0,3,21,0,3,31,81,10,119
SSC51100,0,0,0,14,6,0,22,66,5,99
SSC51101,3,0,4,1280,318,79,1676,2794,1453,5921
SSC51102,0,0,0,96,136,94,326,167,212,705
SSC51103,0,0,3,1084,174,60,1327,1603,265,3191
SSC51104,4,0,4,31,10,0,34,147,15,199
SSC51105,0,0,0,6,7,0,10,28,8,43
SSC51106,0,0,0,0,0,0,0,5,8,15
SSC51107,0,0,0,3,0,0,3,3,4,14
SSC51108,0,0,0,11,6,0,17,34,4,59
SSC51109,0,0,0,10,3,0,21,40,8,69
SSC51110,0,0,0,14,0,0,15,20,4,40
SSC51111,0,0,0,5,0,0,10,5,0,12
SSC51112,135,26,166,1739,420,44,2207,6664,903,9768
SSC51113,0,0,0,9,8,0,18,14,5,30
SSC51114,160,25,178,1164,602,43,1813,4535,394,6743
SSC51115,0,0,0,3,0,0,11,46,4,59
SSC51116,0,0,0,3,0,0,8,8,4,15
SSC51117,7,0,6,58,19,0,79,343,55,479
SSC51118,0,0,0,3,0,0,6,20,10,33
SSC51119,0,0,0,0,0,0,0,0,0,0
SSC51120,62,5,66,532,275,31,836,1792,184,2809
SSC51121,0,0,0,3,0,0,3,8,6,15
SSC51122,0,0,4,54,17,0,74,178,20,272
SSC51123,0,0,0,5,0,0,5,0,0,3
SSC51124,0,0,0,0,0,0,0,3,4,4
SSC51125,4,10,11,320,138,10,473,1343,223,2036
SSC51126,8,0,8,102,38,7,150,364,63,576
SSC51127,0,0,0,4,0,0,4,0,7,7
SSC51128,39,23,62,425,270,14,708,1866,360,2927
SSC51129,0,0,0,19,7,0,24,68,4,99
SSC51130,3,0,3,19,8,0,28,24,11,61
SSC51131,0,0,0,12,0,0,12,12,0,26
SSC51132,0,0,0,22,10,0,31,21,6,56
SSC51133,3,0,3,5,3,0,5,11,0,18
SSC51134,5,0,6,219,92,7,320,714,53,1088
SSC51135,0,0,0,3,0,0,3,7,3,18
SSC51136,0,0,0,3,0,3,13,17,0,25
SSC51137,227,26,261,1396,406,74,1870,4944,547,7365
SSC51138,0,0,0,40,22,0,59,185,44,293
SSC51139,0,0,0,7,3,0,7,5,0,20
SSC51140,0,0,0,25,9,3,37,43,6,86
SSC51141,0,0,0,3,0,0,3,11,3,16
SSC51142,0,0,0,12,8,0,16,49,10,78
SSC51143,0,0,0,17,0,0,19,70,17,109
SSC51144,0,0,0,4,0,0,7,3,0,10
SSC51145,0,0,0,3,0,0,3,10,0,18
SSC51146,17,6,22,112,67,3,177,480,53,716
SSC51147,137,30,167,889,389,56,1333,3248,617,5202
SSC51148,20,17,33,71,43,3,122,472,105,702
SSC51149,0,0,3,44,16,0,57,805,399,1270
SSC51150,5,3,6,45,14,4,64,149,20,234
SSC51151,0,0,0,3,4,0,3,9,0,17
SSC51152,0,0,0,21,16,0,41,107,20,170
SSC51153,0,0,0,3,0,0,8,7,0,15
SSC51154,0,0,0,10,0,3,7,24,4,40
SSC51155,0,0,0,367,71,6,444,966,248,1662
SSC51156,0,0,0,11,0,0,11,13,3,25
SSC51157,10,0,12,146,61,8,214,493,137,843
SSC51158,0,3,3,16,10,0,27,81,13,120
SSC51159,0,0,0,0,0,0,0,6,0,6
SSC51160,0,0,0,9,3,0,15,59,10,85
SSC51161,0,0,0,53,18,3,75,125,32,236
SSC51162,5,0,5,58,30,0,88,288,42,416
SSC51163,0,0,0,0,0,0,0,0,0,0
SSC51164,8,3,17,509,211,10,736,1275,91,2105
SSC51165,12,0,13,155,52,7,215,476,91,776
SSC51166,72,11,84,1318,565,53,1935,4125,328,6390
SSC51167,0,0,0,16,3,0,19,17,4,41
SSC51168,0,0,0,15,3,0,20,26,0,44
SSC51169,5,0,5,45,22,3,77,180,23,278
SSC51170,0,0,0,5,9,0,18,53,4,77
SSC51171,3,0,3,109,36,5,150,453,118,722
SSC51172,0,0,0,0,0,0,0,10,0,15
SSC51173,0,0,0,0,5,0,5,3,0,4
SSC51174,42,10,50,314,106,15,431,1064,163,1659
SSC51175,5,0,9,92,44,0,136,438,72,647
SSC51176,0,0,0,0,0,0,0,13,0,15
SSC51177,0,0,0,3,0,0,3,24,0,31
SSC51178,0,0,0,11,6,0,17,75,12,104
SSC51179,35,12,51,745,242,35,1021,2262,448,3731
SSC51180,60,16,76,513,180,11,708,2595,343,3645
SSC51181,0,0,0,23,8,0,35,58,16,105
SSC51182,76,8,87,1541,549,74,2166,4036,328,6531
SSC51183,3,0,3,18,7,0,28,89,12,135
SSC51184,0,0,0,11,6,0,17,42,17,81
SSC51185,0,0,0,0,0,3,3,12,4,18
SSC51186,0,0,0,3,4,0,7,34,14,61
SSC51187,129,29,162,1223,386,54,1668,3593,391,5652
SSC51188,0,0,0,174,21,8,207,259,33,500
SSC51189,0,0,0,10,0,0,10,15,4,27
SSC51190,0,0,0,343,40,14,396,425,153,975
SSC51191,0,0,4,27,12,3,41,86,9,133
SSC51192,0,0,0,0,0,0,0,30,25,52
SSC51193,0,0,0,0,0,0,0,0,0,0
SSC51194,12,3,20,432,155,21,603,1061,128,1789
SSC51195,0,0,0,5,0,0,10,38,3,46
SSC51196,0,0,0,7,4,0,9,24,12,42
SSC51197,3,0,3,75,56,5,142,314,30,484
SSC51198,81,0,87,943,407,32,1382,3506,185,5075
SSC51199,48,17,66,919,359,55,1335,2922,552,4807
SSC51200,0,0,0,13,3,0,18,39,6,63
SSC51201,0,0,0,7,0,0,10,47,0,56
SSC51202,0,0,0,4,4,0,4,33,3,44
SSC51203,0,0,0,3,3,0,7,32,9,51
SSC51204,0,0,0,0,0,0,0,6,0,11
SSC51205,0,3,3,3,8,0,13,48,6,63
SSC51206,0,0,0,26,14,9,50,62,26,132
SSC51207,3,0,12,787,204,30,1019,1841,186,3037
SSC51208,0,0,0,0,4,0,8,4,4,13
SSC51209,0,0,0,0,0,0,0,14,0,9
SSC51210,0,0,0,313,67,12,395,932,305,1629
SSC51211,3,0,6,147,73,0,222,454,54,731
SSC51212,18,7,23,146,57,6,210,478,92,777
SSC51213,30,3,41,243,124,7,370,843,110,1326
SSC51214,0,0,3,71,19,5,101,250,39,392
SSC51215,3,0,3,44,5,0,48,151,29,226
SSC51216,0,0,0,10,0,0,10,24,3,38
SSC51217,0,0,0,0,3,0,4,16,4,22
SSC51218,79,18,92,849,369,25,1240,7701,1690,10626
SSC51219,0,0,0,0,0,0,0,0,28,28
SSC51220,0,0,0,23,8,0,31,87,7,130
SSC51221,0,0,0,3,0,0,3,6,0,7
SSC51222,7,0,8,2380,387,57,2824,3547,269,6641
SSC51223,0,0,0,8,6,0,17,31,3,47
SSC51224,4,0,4,409,90,22,520,1090,195,1802
SSC51225,5,0,10,93,41,3,133,292,42,465
SSC51226,0,0,0,3,3,0,12,43,21,72
SSC51227,0,0,0,17,7,0,24,76,5,106
SSC51228,0,0,3,33,10,0,46,97,27,169
SSC51229,0,0,0,12,4,0,22,23,0,45
SSC51230,0,0,0,3,3,0,6,21,0,26
SSC51231,0,0,0,11,0,0,17,41,4,63
SSC51232,23,3,24,71,37,10,121,461,95,676
SSC51233,0,0,0,57,10,0,65,99,25,196
SSC51234,0,0,0,16,16,0,30,34,14,76
SSC51235,98,18,115,729,276,45,1054,2380,454,3883
SSC51236,6,0,11,150,54,11,212,419,95,723
SSC51237,0,0,0,3,8,0,11,15,0,19
SSC51238,0,0,0,21,11,0,33,58,23,107
SSC51239,0,0,0,9,8,0,18,65,60,144
SSC51240,0,0,0,13,5,0,22,56,7,85
SSC51241,0,0,0,48,39,4,93,174,31,298
SSC51242,0,0,0,0,0,0,0,0,0,0
SSC51243,0,0,0,37,17,0,50,120,24,193
SSC51244,0,0,3,15,0,0,19,111,24,157
SSC51245,12,0,10,30,20,3,51,166,33,255
SSC51246,3,0,7,13,9,4,27,63,17,106
SSC51247,38,10,50,175,74,9,262,802,132,1193
SSC51248,3,0,4,796,125,32,945,1840,496,3278
SSC51249,67,107,180,2567,838,141,3550,5909,969,10424
SSC51250,0,0,0,0,0,0,0,0,0,0
SSC51251,4,3,11,22,18,0,40,133,30,203
SSC51252,0,0,0,13,9,0,24,81,4,107
SSC51253,0,0,0,34,7,0,41,93,20,149
SSC51254,0,0,0,3,0,0,3,0,0,3
SSC51255,0,0,0,7,0,0,7,5,3,17
SSC51256,0,0,0,0,3,0,6,3,0,10
SSC51257,19,0,23,54,39,4,93,376,77,550
SSC51258,0,0,0,17,0,0,17,22,13,44
SSC51259,3,0,3,77,24,3,104,173,43,318
SSC51260,54,14,66,1188,250,23,1455,3455,395,5303
SSC51261,0,0,0,17,0,0,20,35,15,66
SSC51262,0,0,0,8,8,0,8,4,0,17
SSC51263,0,0,0,5,0,0,5,8,13,26
SSC51264,16,3,17,244,72,5,323,656,101,1078
SSC51265,0,0,0,3,0,0,9,31,7,43
SSC51266,4,0,4,23,11,0,25,84,14,126
SSC51267,47,7,56,1736,505,70,2310,3913,483,6712
SSC51268,0,0,0,24,6,3,29,113,3,149
SSC51269,13,3,16,241,106,11,358,835,215,1415
SSC51270,0,0,0,71,33,0,104,257,63,422
SSC51271,47,10,59,305,118,21,442,1139,185,1765
SSC51272,0,0,0,3,0,0,3,24,0,25
SSC51273,0,0,0,0,0,0,0,24,5,31
SSC51274,0,0,0,11,8,0,17,33,5,57
SSC51275,0,0,0,6,0,0,10,19,5,35
SSC51276,137,39,178,794,213,22,1032,2533,513,4075
SSC51277,0,0,0,7,3,0,12,55,5,72
SSC51278,4,0,3,33,12,0,39,113,11,166
SSC51279,0,0,0,14,0,3,15,26,13,56
SSC51280,0,0,0,0,0,0,0,3,0,3
SSC51281,0,0,0,5,0,0,5,10,0,19
SSC51282,3,0,3,41,19,0,60,121,12,198
SSC51283,0,0,0,0,0,0,0,0,0,0
SSC51284,0,0,0,0,0,0,0,0,0,0
SSC51285,40,6,51,865,239,41,1136,1999,385,3520
SSC51286,0,0,0,24,4,0,26,52,3,87
SSC51287,84,13,96,1004,299,32,1323,3018,175,4520
SSC51288,109,26,139,1261,405,37,1702,6031,1230,8963
SSC51289,3,3,12,102,45,5,150,314,42,503
