SSC_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SSC51542,2892,2873,5769,180,189,373,17,14,30,10,12,20,14,13,31,11,11,22,881,878,1755,0,3,3,6,11,14,4,0,5,0,0,0,946,940,1888,91,124,210,7,8,17,1220,1265,2485,355,276,635,4472,4416,8891
SSC51543,29,20,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,5,0,0,0,34,28,57
SSC51544,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7
SSC51545,48,52,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,3,9,7,14,58,63,121
SSC51546,32,27,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,3,3,0,0,0,3,5,10,3,3,6,40,43,82
SSC51547,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,11,5,14,13,5,19
SSC51548,3951,4109,8057,186,191,380,14,16,28,15,15,30,20,14,34,7,11,13,575,620,1200,0,3,4,3,0,6,0,0,0,0,0,0,634,677,1311,213,233,449,8,6,16,1044,1111,2154,497,445,947,5497,5669,11164
SSC51549,2561,2439,4999,63,51,115,0,4,10,4,6,4,3,4,10,0,3,8,331,310,647,0,0,0,0,0,0,0,0,3,0,0,0,345,331,673,41,47,88,0,4,7,452,431,887,206,170,380,3221,3044,6267
SSC51550,25,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,0,0,0,32,22,56
SSC51551,568,596,1165,43,55,102,0,0,0,0,0,3,3,0,4,0,3,3,27,37,66,0,0,0,0,0,0,0,0,0,0,0,3,39,42,79,4,0,7,0,0,0,86,104,189,61,62,123,713,764,1480
SSC51552,4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10
SSC51553,3027,3414,6439,341,405,742,4,4,8,0,3,8,7,8,13,0,4,4,232,243,477,0,0,0,0,0,3,0,0,0,0,0,0,248,262,509,21,25,40,3,5,9,612,693,1304,335,370,701,3975,4474,8449
SSC51554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51555,13,12,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,14,30
SSC51556,68,55,120,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,0,0,0,0,0,0,3,6,16,12,5,13,84,68,154
SSC51557,194,207,396,5,13,18,0,0,0,0,0,3,0,0,0,0,0,0,22,14,32,0,0,0,0,0,0,0,0,0,0,0,0,22,16,34,3,3,11,0,0,0,31,32,60,23,25,49,243,265,511
SSC51558,9,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,17
SSC51559,8,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,9,19
SSC51560,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,3,0,3,13,3,18
SSC51561,532,491,1022,33,31,62,0,0,3,4,4,3,0,0,0,0,0,0,80,85,163,0,0,0,5,5,5,0,0,0,0,0,0,88,92,181,8,11,22,3,0,3,136,135,268,65,58,124,728,678,1406
SSC51562,1334,1418,2745,66,80,149,4,8,19,8,5,13,11,9,17,6,3,13,261,261,518,0,0,0,0,0,0,0,0,0,0,0,0,287,289,578,42,54,99,4,4,5,396,433,828,186,168,351,1910,2012,3929
SSC51563,7,10,15,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,0,0,0,0,0,3,6,6,3,0,3,14,9,20
SSC51564,1487,1432,2917,179,158,340,19,14,34,15,23,41,22,28,48,6,0,6,431,386,815,0,3,6,5,6,12,0,3,4,0,0,0,500,458,961,221,215,430,17,12,28,913,841,1755,477,408,883,2881,2676,5561
SSC51565,46,39,90,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,0,0,0,0,0,0,7,10,14,9,3,15,66,52,114
SSC51566,160,160,319,8,5,15,0,0,0,0,0,0,0,0,0,0,0,0,23,15,41,0,0,0,0,0,0,0,0,0,0,0,0,23,15,41,0,0,0,0,0,0,31,22,51,23,19,36,207,205,411
SSC51567,23,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,0,0,0,0,3,3,11,5,0,11,34,29,58
SSC51568,47,27,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,6,8,10,52,35,83
SSC51569,212,209,419,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,14,10,28,0,0,0,0,0,0,0,0,0,0,0,0,17,14,30,0,0,3,0,0,0,16,17,36,17,419,434,254,643,896
SSC51570,194,181,375,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,9,15,27,0,0,4,0,0,0,14,21,37,20,24,42,231,229,457
SSC51571,41,42,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,3,3,5,3,5,10,50,49,95
