SSC_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SSC51583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51584,154,165,317,5,7,13,0,0,0,0,0,0,0,0,0,0,0,0,9,4,17,0,0,0,0,0,0,0,0,0,0,0,0,15,5,21,0,0,0,0,0,0,17,18,33,7,11,21,184,192,374
SSC51585,855,722,1575,85,74,158,10,0,12,3,3,7,16,13,23,3,0,3,89,77,168,0,0,0,0,0,0,0,0,0,0,0,0,117,98,208,8,8,16,0,3,7,212,180,388,220,63,285,1283,961,2249
SSC51586,10,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,16
SSC51587,12,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,12,13,32
SSC51588,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4
SSC51589,30,25,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,34,21,57
SSC51590,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
SSC51591,8,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,21
SSC51592,12,10,23,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,3,3,4,19,15,38
SSC51593,1706,1949,3660,47,51,100,3,5,4,4,3,8,10,10,18,5,0,5,250,274,528,0,0,0,0,0,0,0,0,0,0,0,0,270,292,563,21,27,46,3,0,8,347,373,717,192,235,424,2245,2556,4802
SSC51594,58,73,128,6,3,11,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,6,15,8,3,8,0,0,0,19,10,34,10,3,12,89,85,170
SSC51595,7260,7500,14756,231,234,467,7,18,25,32,20,49,12,9,20,12,12,26,706,694,1400,0,0,0,3,7,9,4,3,9,0,0,0,775,758,1535,257,257,514,7,6,12,1272,1261,2530,382,393,776,8907,9160,18065
SSC51596,59,59,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,3,4,6,9,4,14,64,71,138
SSC51597,383,351,727,23,27,43,0,0,0,0,0,0,3,3,3,0,0,0,37,28,64,0,0,0,0,3,3,0,0,0,0,0,0,42,32,69,0,0,0,0,0,0,64,59,122,44,35,84,489,441,927
SSC51598,60,44,100,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,8,5,13,10,7,17,75,59,137
SSC51599,226,238,463,12,11,22,0,0,0,0,0,0,0,0,3,0,0,0,21,20,39,0,0,0,0,0,0,0,0,0,0,0,0,25,20,44,0,0,6,0,0,0,40,33,75,10,13,26,278,288,568
SSC51600,2230,2220,4456,162,139,308,4,4,8,4,6,11,4,5,8,5,4,9,383,338,722,0,0,0,3,5,9,0,0,0,0,0,0,404,365,770,135,135,269,7,7,17,711,649,1354,273,228,504,3212,3098,6312
SSC51601,320,155,477,11,9,23,3,0,3,0,0,0,0,0,0,0,0,0,56,27,84,0,0,0,0,0,4,0,0,0,0,0,0,60,26,90,3,0,4,4,5,11,82,46,126,101,25,120,497,223,720
SSC51602,70,65,133,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,3,3,0,0,0,8,6,13,16,19,29,95,85,178
SSC51603,58,46,101,3,7,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,11,10,16,3,0,6,72,55,128
