SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC51110,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18
SSC51111,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC51112,1274,2468,32,0,21,3791,317,372,5,0,0,703,42,73,3,0,3,123,1634,2919,40,0,22,4618
SSC51113,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC51114,2048,352,6,0,3,2414,238,93,5,0,0,340,56,7,0,0,0,67,2343,448,12,0,3,2809
SSC51115,18,0,0,0,0,22,6,0,0,0,0,6,0,0,0,0,0,0,28,0,0,0,0,31
SSC51116,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51117,141,3,0,0,3,148,88,0,0,3,0,89,21,0,0,0,0,18,246,3,4,4,7,264
SSC51118,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC51119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51120,752,357,60,0,5,1167,67,56,49,0,0,175,5,13,3,0,0,27,821,426,110,0,7,1365
SSC51121,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC51122,101,0,0,0,0,97,9,0,0,0,0,9,0,0,0,0,0,0,110,0,0,0,0,111
SSC51123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51125,265,246,287,3,3,806,3,7,24,5,0,38,0,3,7,5,3,22,271,257,316,16,5,862
SSC51126,182,0,0,0,0,190,36,0,0,3,0,42,9,0,0,0,0,9,228,0,0,3,0,239
SSC51127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51128,400,470,329,0,3,1204,34,86,17,0,0,134,5,4,10,0,0,17,438,563,350,0,3,1357
SSC51129,38,0,0,0,0,43,5,0,0,0,0,5,0,0,0,0,0,0,48,0,0,0,0,48
SSC51130,18,0,0,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,25
SSC51131,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC51132,19,0,0,0,0,19,0,0,0,0,0,0,8,0,0,0,0,8,28,0,0,0,0,28
SSC51133,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,9
SSC51134,388,17,0,0,0,408,25,0,0,0,0,23,8,0,0,0,0,8,420,16,0,0,0,437
SSC51135,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC51136,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC51137,1944,600,311,3,7,2870,261,79,67,0,3,412,54,13,4,3,0,77,2260,693,384,6,12,3359
SSC51138,69,0,0,5,0,72,18,0,0,0,0,26,5,0,0,0,0,5,99,0,0,3,0,102
SSC51139,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC51140,35,0,0,0,0,34,3,0,0,0,0,3,0,0,0,0,0,0,40,0,0,0,0,40
SSC51141,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC51142,18,0,0,0,4,26,10,0,0,0,0,9,0,0,0,0,0,0,27,0,0,0,4,35
SSC51143,13,0,0,16,0,30,0,0,0,16,0,16,0,0,0,0,0,0,13,0,0,38,0,47
SSC51144,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51145,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC51146,242,10,3,0,0,262,44,0,3,0,0,42,4,0,0,0,0,3,292,15,5,0,0,308
SSC51147,1624,15,46,24,9,1720,503,28,27,14,3,578,57,0,7,0,0,64,2183,52,77,32,15,2363
SSC51148,204,0,0,3,0,209,93,0,5,3,0,101,15,0,0,0,0,17,314,0,5,8,0,327
SSC51149,8,50,307,0,13,367,0,4,32,0,0,37,0,0,8,0,3,14,8,54,350,0,11,421
SSC51150,73,0,0,3,0,82,23,4,0,0,0,28,6,0,0,0,0,4,99,5,0,3,0,108
SSC51151,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC51152,52,0,0,0,0,52,4,0,0,0,0,9,3,0,0,0,0,3,59,0,0,0,0,62
SSC51153,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC51154,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,12
SSC51155,19,0,0,0,0,24,9,0,0,0,0,9,3,0,0,0,0,3,34,0,0,0,0,37
SSC51156,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8
SSC51157,225,16,0,0,4,253,103,16,0,0,4,129,14,9,0,0,3,22,348,42,0,0,13,404
SSC51158,37,0,0,0,0,42,20,0,0,0,0,20,0,0,0,0,0,0,64,0,0,0,0,62
SSC51159,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SSC51160,29,0,0,0,0,29,8,0,0,0,0,8,3,0,0,0,0,3,41,0,0,0,0,41
SSC51161,87,0,3,0,0,94,12,0,3,0,0,12,0,0,0,0,0,0,96,0,6,3,0,105
SSC51162,107,43,25,0,0,175,8,7,3,0,3,26,0,4,0,0,0,3,115,55,29,0,3,200
SSC51163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51164,725,0,0,3,0,735,44,0,0,0,0,44,14,0,0,0,0,14,783,0,0,3,0,782
SSC51165,295,0,0,3,0,301,32,0,0,0,0,32,3,0,0,0,0,3,330,0,0,3,0,334
SSC51166,2320,62,17,3,0,2403,121,8,14,0,0,144,34,0,0,0,0,36,2476,65,33,3,3,2578
SSC51167,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
SSC51168,18,0,0,0,0,16,5,0,0,0,0,5,0,0,0,0,0,0,26,0,0,0,0,25
SSC51169,93,0,0,0,0,99,12,0,0,0,0,12,3,0,0,0,0,3,113,0,0,0,0,113
SSC51170,30,0,0,0,0,30,15,0,0,0,0,13,4,0,0,0,0,4,45,0,0,0,0,46
SSC51171,159,11,22,32,0,226,44,4,7,3,0,59,17,0,0,3,3,19,216,16,27,40,6,303
SSC51172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51173,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51174,516,37,0,9,0,560,169,30,0,3,0,201,15,3,0,0,0,18,699,71,0,6,0,779
SSC51175,156,0,0,72,0,229,15,0,0,31,0,46,6,0,0,11,0,14,180,0,0,111,0,292
SSC51176,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51177,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15
SSC51178,20,0,0,3,0,19,6,0,3,0,0,6,0,0,0,0,0,3,27,0,3,3,0,33
SSC51179,1116,20,195,0,0,1334,207,18,72,0,0,294,44,4,6,0,0,51,1366,44,270,0,0,1678
SSC51180,240,945,320,0,3,1504,58,184,105,0,0,349,13,33,24,0,0,67,310,1158,453,0,6,1921
SSC51181,42,0,0,0,0,42,5,0,0,0,0,4,0,0,0,0,0,0,48,0,0,0,0,43
SSC51182,2551,164,0,0,0,2713,217,48,0,0,0,263,44,11,0,0,3,54,2808,218,0,0,3,3032
SSC51183,44,0,0,0,0,44,16,0,0,0,0,16,0,0,0,0,0,0,55,0,0,0,3,56
SSC51184,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
SSC51185,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7
SSC51186,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
SSC51187,1505,906,33,0,6,2448,165,250,12,0,0,432,37,34,0,0,0,71,1701,1196,51,0,6,2948
SSC51188,130,58,0,4,0,196,3,10,0,0,0,10,0,0,0,0,0,3,140,70,3,3,0,214
SSC51189,9,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,10
SSC51190,331,25,0,0,0,357,21,9,0,0,0,32,7,3,0,0,0,5,362,34,0,0,3,398
SSC51191,47,0,0,0,0,48,12,0,0,0,0,12,0,0,0,0,0,0,63,0,0,0,0,62
SSC51192,3,0,0,14,0,18,0,0,0,5,0,5,0,0,0,0,0,0,3,0,0,24,0,26
SSC51193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51194,693,0,0,0,0,690,36,0,0,0,0,36,10,0,0,0,0,10,738,0,0,0,0,740
SSC51195,3,0,0,0,6,10,9,0,0,0,0,9,0,0,0,0,0,3,12,0,0,0,4,16
SSC51196,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC51197,173,0,0,0,0,173,11,0,0,0,0,11,0,0,0,0,0,0,191,0,0,0,0,191
SSC51198,1719,192,89,0,0,2004,176,38,22,0,0,236,38,8,0,0,0,46,1937,237,109,0,0,2284
SSC51199,1621,52,17,49,0,1748,288,27,14,7,0,341,43,5,0,3,0,60,1959,88,33,64,0,2142
SSC51200,17,0,0,0,0,17,8,0,0,0,0,8,0,0,0,0,0,0,23,0,0,0,0,23
SSC51201,18,0,0,0,3,21,3,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0,3,20
SSC51202,10,0,0,3,3,17,9,0,0,0,0,9,0,0,0,0,0,0,20,0,0,3,3,25
SSC51203,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,3,0,14
SSC51204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
SSC51205,15,0,0,0,0,13,11,0,0,0,0,11,4,0,0,0,0,4,31,0,0,0,0,32
SSC51206,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,10,0,0,0,0,10
SSC51207,961,260,4,0,0,1229,48,35,3,0,0,85,9,6,0,0,0,15,1016,296,8,0,0,1327
SSC51208,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC51209,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7
SSC51210,448,92,43,0,3,579,47,25,3,0,0,75,8,3,4,0,0,18,503,113,49,0,0,669
SSC51211,250,40,0,0,0,299,14,3,0,0,0,19,5,0,0,0,0,6,272,43,0,0,0,319
SSC51212,250,9,5,0,3,261,76,8,0,0,0,84,10,0,0,0,0,10,336,14,3,0,3,363
SSC51213,362,43,54,0,0,462,19,10,10,0,0,32,14,0,0,0,0,16,389,57,64,0,0,513
SSC51214,158,0,0,0,0,158,11,0,0,0,0,11,0,0,0,0,0,0,172,0,0,0,0,172
SSC51215,72,0,0,0,0,77,19,0,0,0,0,18,5,0,0,0,0,3,91,4,0,3,0,104
SSC51216,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC51217,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14
SSC51218,535,443,2968,13,29,3996,67,27,327,5,13,438,32,15,79,10,6,140,636,486,3379,32,44,4571
SSC51219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51220,42,0,0,3,0,40,19,0,0,0,0,19,0,0,0,0,0,0,57,0,0,3,0,61
SSC51221,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6
SSC51222,2669,111,0,0,0,2775,82,3,0,0,0,87,38,0,0,0,0,44,2786,116,0,0,0,2904
SSC51223,16,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19
SSC51224,569,121,0,0,3,698,75,44,6,0,0,125,14,3,0,0,0,20,652,178,8,0,3,841
SSC51225,156,0,0,0,3,160,35,0,0,0,0,34,5,0,0,0,0,5,193,0,0,0,3,204
SSC51226,10,0,0,3,0,18,4,0,0,8,0,7,0,0,0,0,0,3,19,0,0,8,0,26
SSC51227,20,0,0,21,0,42,0,0,0,12,0,16,0,0,0,0,0,0,20,0,0,29,3,52
SSC51228,46,0,0,0,8,57,5,0,0,0,0,5,0,0,0,0,0,0,55,0,0,0,8,63
SSC51229,17,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19
SSC51230,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,12
SSC51231,22,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,24
SSC51232,193,3,3,0,0,203,103,0,18,0,0,118,8,0,0,0,0,8,306,3,22,0,0,327
SSC51233,65,0,0,0,0,74,6,0,0,0,0,6,3,0,0,0,0,3,80,0,0,0,0,80
SSC51234,24,0,0,0,0,24,3,0,0,0,0,3,4,0,0,0,0,4,31,0,0,0,0,31
SSC51235,1251,93,3,21,3,1366,222,73,3,17,0,313,32,12,0,4,0,46,1510,169,7,40,3,1728
SSC51236,225,0,0,11,6,245,36,0,0,3,0,38,7,0,0,0,0,6,264,0,0,15,11,291
SSC51237,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12
SSC51238,42,0,0,0,0,42,3,0,0,0,0,3,0,0,0,0,0,0,43,0,0,0,0,48
SSC51239,13,5,0,3,0,12,3,0,0,0,0,3,0,0,0,0,0,0,15,5,0,4,0,17
SSC51240,33,0,0,0,0,33,10,0,0,0,0,10,0,0,0,0,0,0,43,0,0,0,0,43
SSC51241,15,0,0,0,0,15,15,0,0,0,0,15,5,0,0,0,0,5,30,0,0,0,0,30
SSC51242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51243,64,0,0,7,3,76,7,0,0,6,0,13,0,0,0,3,0,3,71,0,0,12,3,89
SSC51244,48,0,0,0,0,48,17,0,0,0,0,16,0,0,0,0,0,3,65,0,0,0,0,65
SSC51245,89,0,0,0,7,89,20,0,0,0,0,25,7,0,0,0,0,7,109,0,0,0,7,119
SSC51246,39,3,0,0,0,39,11,0,0,0,0,9,0,0,0,0,0,0,46,3,0,0,0,49
SSC51247,417,8,12,7,3,444,88,8,20,3,5,125,17,0,3,0,0,23,523,18,39,11,8,592
SSC51248,780,62,229,19,3,1087,61,17,53,0,0,134,20,3,18,7,0,50,857,82,297,26,9,1274
SSC51249,3655,187,0,0,0,3848,238,74,3,0,0,315,62,20,0,0,0,79,3960,280,3,0,0,4241
SSC51250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51251,75,0,0,0,0,70,20,0,0,0,0,20,4,0,0,0,0,4,94,0,0,0,3,100
SSC51252,31,0,0,0,0,31,15,0,0,0,0,15,0,0,0,0,0,0,44,0,0,0,0,44
SSC51253,54,0,0,0,0,54,4,0,0,0,0,8,0,0,0,0,0,0,60,0,0,0,0,67
SSC51254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51255,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC51256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC51257,186,0,0,0,3,190,67,0,12,0,3,80,3,0,0,0,0,3,259,0,9,0,3,272
SSC51258,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SSC51259,109,0,0,0,0,105,4,0,0,0,0,4,0,0,0,0,0,0,111,0,0,0,0,115
SSC51260,1471,324,0,3,11,1810,197,100,0,0,0,298,48,16,0,0,0,66,1714,449,0,3,11,2172
SSC51261,21,0,0,0,0,21,7,0,0,0,0,7,0,0,0,0,0,0,23,0,0,0,0,23
SSC51262,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC51263,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC51264,363,17,3,31,3,412,23,0,0,15,3,46,7,0,0,5,0,20,398,17,3,59,4,474
SSC51265,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17
SSC51266,42,0,0,0,0,47,17,0,0,0,0,17,4,0,0,0,0,4,63,0,0,0,0,66
SSC51267,2484,71,0,0,3,2561,190,17,0,0,0,208,45,3,0,0,0,43,2721,93,0,0,3,2812
SSC51268,59,0,0,0,0,59,15,0,0,0,0,15,0,0,0,0,0,0,78,0,0,0,0,77
SSC51269,389,35,0,6,0,431,165,29,0,3,0,200,20,3,0,0,0,26,575,63,3,12,0,653
SSC51270,133,3,0,3,3,148,32,0,0,0,0,31,3,0,0,0,0,6,172,3,0,6,3,181
SSC51271,645,4,0,24,0,674,103,0,0,15,0,123,16,0,0,0,0,16,770,6,0,35,0,815
SSC51272,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC51273,3,0,0,0,0,3,6,0,0,0,0,6,3,0,0,0,0,3,17,0,0,0,0,17
SSC51274,19,0,0,0,0,19,7,0,0,0,0,7,0,0,0,0,0,0,23,0,0,0,0,26
SSC51275,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC51276,1134,263,11,0,3,1416,169,90,0,0,0,263,29,21,0,0,0,51,1335,376,14,0,9,1730
SSC51277,26,0,0,0,0,29,4,0,0,0,0,8,0,0,0,0,0,0,32,3,0,0,0,34
SSC51278,52,0,0,0,0,53,17,0,0,3,0,24,3,0,0,0,0,3,74,0,0,3,0,74
SSC51279,12,0,0,0,0,12,7,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,16
SSC51280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51281,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,10
SSC51282,71,0,0,0,0,71,6,0,0,0,0,11,0,0,0,0,0,0,78,0,0,0,0,76
SSC51283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51285,1127,163,0,0,0,1289,132,36,0,0,0,175,35,8,0,0,0,43,1296,215,0,0,0,1508
SSC51286,31,0,0,0,0,31,4,0,0,0,0,3,0,0,0,0,0,0,33,0,0,0,0,40
SSC51287,1514,198,29,0,3,1741,144,18,13,0,0,174,25,5,0,0,0,29,1680,222,42,0,3,1949
SSC51288,1479,758,1063,0,11,3310,288,187,150,0,0,629,61,37,41,0,0,141,1821,991,1252,0,12,4080
SSC51289,185,0,0,0,0,187,25,0,0,0,0,26,3,0,0,0,0,3,218,3,0,0,0,222
SSC51290,3477,789,368,3,3,4643,644,440,156,3,0,1245,89,67,24,0,0,187,4209,1300,554,4,3,6072
SSC51291,15,0,0,0,0,17,17,0,0,0,0,17,3,0,0,0,0,3,28,0,0,0,0,30
SSC51292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51293,22,0,0,0,0,28,14,0,0,0,0,13,0,0,0,0,0,0,38,0,0,0,0,40
SSC51294,59,16,0,6,7,90,67,28,6,0,3,104,14,3,0,0,0,13,136,49,6,11,8,211
SSC51295,82,0,0,34,3,121,20,0,0,8,0,33,3,0,0,8,0,13,104,0,0,57,3,161
SSC51296,220,3,0,0,11,235,13,7,0,0,0,19,7,0,0,0,0,7,238,7,0,0,11,254
SSC51297,2100,0,0,3,0,2112,153,0,0,0,0,154,34,0,0,0,7,39,2286,4,0,5,6,2295
SSC51298,61,0,0,0,0,59,10,0,0,0,0,10,0,0,0,0,0,0,72,0,0,0,0,77
SSC51299,49,0,0,0,0,47,8,0,0,5,0,16,3,0,0,0,0,3,59,0,0,3,0,68
SSC51300,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC51301,834,112,0,0,0,951,56,89,0,0,0,145,15,11,0,0,0,21,903,209,0,0,0,1115
SSC51302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51303,16,0,0,0,4,25,0,0,0,0,0,0,4,0,0,0,15,15,19,0,0,0,16,37
SSC51304,18,0,0,0,0,19,4,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,24
SSC51305,44,0,0,0,0,49,4,0,0,0,0,4,0,0,0,0,0,0,50,0,0,0,0,51
SSC51306,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC51307,19,0,0,0,0,17,6,0,0,0,0,6,0,0,0,0,0,0,22,0,0,0,0,26
SSC51308,2270,23,83,14,0,2383,364,12,37,3,0,420,69,3,0,0,0,72,2703,37,120,18,0,2873
SSC51309,45,0,0,3,0,48,6,0,0,0,0,6,0,0,0,0,0,0,56,0,0,3,0,56
SSC51310,639,84,54,0,8,794,42,12,16,0,0,72,9,0,3,0,0,11,689,101,81,0,9,881
SSC51311,534,40,0,0,0,577,83,29,0,0,0,115,13,6,0,0,0,16,623,81,0,0,0,707
SSC51312,307,8,0,0,0,319,32,3,0,0,0,34,3,0,0,0,0,3,345,15,0,0,0,358
SSC51313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51315,27,0,0,0,0,26,11,0,0,0,0,11,0,0,0,0,0,3,32,0,0,0,0,38
SSC51316,24,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,26
SSC51317,303,0,0,0,0,306,32,0,0,0,0,35,3,0,0,0,0,3,341,0,3,0,0,341
SSC51318,31,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,33
SSC51319,2144,2928,734,0,15,5819,202,327,122,0,0,650,56,88,18,0,0,157,2402,3339,870,0,23,6634
SSC51320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51321,138,0,0,0,0,138,11,0,0,0,0,15,0,0,0,0,0,0,156,0,0,0,0,154
SSC51322,11,0,0,0,0,16,0,0,0,0,3,3,0,0,0,0,0,0,11,0,0,0,6,16
SSC51323,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51324,21,0,0,0,0,21,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,24
SSC51325,19,0,0,0,0,19,15,0,0,0,0,15,0,0,0,0,0,0,29,0,0,0,0,29
SSC51326,3285,53,0,0,0,3338,126,9,0,0,0,139,64,3,0,0,0,61,3475,59,0,0,0,3543
SSC51327,50,0,0,0,0,50,11,0,0,0,0,11,0,0,0,0,0,0,65,0,0,0,0,65
SSC51328,656,0,0,3,6,671,87,0,0,0,0,88,16,0,0,0,0,16,763,0,0,7,4,777
SSC51329,2676,140,0,0,3,2814,292,21,0,0,0,314,60,40,0,0,0,99,3025,206,0,0,7,3233
SSC51330,22,0,0,0,0,23,14,0,0,0,3,14,0,0,0,0,0,0,35,0,0,0,3,36
SSC51331,207,0,0,0,0,212,24,0,0,0,0,22,3,0,0,0,0,3,235,0,0,3,0,239
SSC51332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51334,1161,284,3,0,0,1453,81,59,0,0,0,137,17,13,0,0,0,23,1257,351,3,0,0,1616
SSC51335,1065,226,242,0,0,1531,41,20,51,0,0,117,21,0,10,0,0,29,1129,248,299,0,0,1676
SSC51336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51337,1099,67,134,0,0,1306,206,51,93,0,0,355,34,8,14,0,0,55,1342,127,239,0,3,1716
SSC51338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51339,11,0,0,0,9,18,7,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,11,23
SSC51340,388,19,0,0,0,406,54,4,0,0,0,55,8,0,0,0,0,10,452,24,0,0,0,476
SSC51341,678,122,0,0,0,800,43,12,0,0,0,58,16,3,0,0,0,16,735,144,0,0,0,876
SSC51342,210,16,0,0,3,233,35,5,0,0,0,39,6,0,0,0,0,10,257,19,0,0,3,280
SSC51343,1080,12,0,0,0,1090,68,5,0,0,0,73,18,0,0,0,0,18,1162,14,0,0,0,1181
SSC51344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51346,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
SSC51347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51348,841,260,0,62,3,1168,50,36,0,31,3,121,18,8,0,8,0,39,911,305,0,95,13,1325
SSC51349,1944,324,77,0,3,2349,98,37,56,0,0,199,31,7,11,0,0,51,2072,368,151,0,3,2593
SSC51350,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC51351,292,8,0,27,4,325,79,4,0,7,0,95,16,3,0,3,0,23,390,9,0,36,4,442
SSC51352,2086,469,103,18,7,2686,325,149,102,15,0,599,50,15,16,0,0,84,2467,634,226,35,6,3365
SSC51353,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC51354,237,3,0,7,0,244,86,3,0,0,0,85,15,3,0,0,0,22,339,5,0,11,0,358
SSC51355,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC51356,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
SSC51357,644,269,78,70,15,1079,71,13,22,24,4,134,18,3,3,4,19,50,738,286,103,97,39,1262
SSC51358,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
