SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC50938,322,89,0,0,0,415,76,54,0,0,0,130,15,11,0,0,0,25,416,157,0,0,0,572
SSC50939,36,0,0,6,0,41,3,0,0,0,0,3,0,0,0,0,0,0,45,0,0,6,0,49
SSC50940,434,117,0,0,0,546,38,29,0,0,0,70,7,6,0,0,0,17,481,150,0,0,0,634
SSC50941,665,21,0,0,0,685,44,0,0,0,0,51,7,0,0,0,0,7,724,20,0,0,3,744
SSC50942,67,0,0,0,0,67,16,0,0,0,0,16,3,0,0,0,0,3,87,0,0,0,0,87
SSC50943,154,0,0,0,0,154,7,0,0,0,0,7,3,0,0,0,0,3,168,0,0,0,0,168
SSC50944,7,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7
SSC50945,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5
SSC50946,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC50947,224,0,0,30,0,249,39,0,0,11,0,57,4,0,0,0,0,7,264,4,0,41,0,316
SSC50948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50949,19,0,0,0,0,19,3,0,0,0,0,8,0,0,0,0,0,0,25,0,0,0,0,23
SSC50950,2033,205,33,0,0,2268,69,30,3,0,0,106,24,7,0,0,0,26,2126,238,31,0,0,2401
SSC50951,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,6
SSC50952,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC50953,75,0,7,0,0,86,28,0,0,0,0,31,0,0,0,0,0,6,105,0,3,3,0,120
SSC50954,22,0,0,0,0,22,4,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,20
SSC50955,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4
SSC50956,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC50957,8,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,13
SSC50958,16,0,0,14,0,36,4,0,0,4,0,12,0,0,0,5,0,6,19,0,3,27,0,50
SSC50959,492,64,3,0,0,566,101,37,0,0,0,138,14,3,0,0,0,17,610,104,3,0,3,718
SSC50960,1724,197,7,0,0,1929,281,123,11,0,0,412,54,29,4,0,0,87,2059,348,20,0,0,2433
SSC50961,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6
SSC50962,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
SSC50963,26,0,0,0,0,26,7,0,0,0,0,7,0,0,0,0,0,0,30,0,0,0,0,30
SSC50964,18,0,0,0,0,19,6,0,0,0,0,6,0,0,0,0,0,0,20,0,0,0,0,21
SSC50965,64,0,0,0,0,64,10,0,0,0,0,10,0,0,0,0,0,0,80,0,0,0,0,80
SSC50966,21,0,0,0,0,21,3,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,21
SSC50967,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC50968,42,0,0,0,0,42,7,0,0,0,0,7,3,0,0,0,0,3,52,0,0,0,0,52
SSC50969,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC50970,104,0,0,5,0,112,19,0,0,0,0,18,0,0,0,0,0,0,126,0,0,5,0,135
SSC50971,17,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,23
SSC50972,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,9
SSC50973,49,0,0,0,0,49,9,0,0,0,0,9,0,0,0,0,0,0,59,0,0,0,0,59
SSC50974,4,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,3,0,12
SSC50975,14,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,15
SSC50976,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12
SSC50977,69,0,0,0,0,69,14,0,0,0,0,16,3,0,0,0,0,3,83,0,0,0,0,87
SSC50978,441,9,0,3,0,453,160,3,0,0,0,163,17,0,0,5,0,24,613,12,0,11,0,642
SSC50979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50980,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC50981,15,0,0,0,3,17,3,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,3,25
SSC50982,232,0,0,11,0,246,31,0,0,4,0,40,7,0,0,0,0,7,273,0,0,18,0,291
SSC50983,128,0,0,0,0,131,49,0,0,0,0,54,6,0,0,0,0,6,185,0,0,0,3,193
SSC50984,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13
SSC50985,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,12
SSC50986,260,0,0,0,0,258,21,0,0,8,0,32,3,0,0,0,0,3,288,0,0,7,0,290
SSC50987,145,35,11,0,0,190,43,24,4,0,0,71,6,3,0,0,0,9,193,65,11,0,0,272
SSC50988,5362,1059,14,0,17,6465,989,251,9,0,0,1246,160,43,0,0,3,206,6515,1350,21,4,22,7915
SSC50989,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,13
SSC50990,1873,412,595,0,0,2886,103,93,159,0,0,356,34,17,23,0,0,71,2010,524,776,0,0,3312
SSC50991,15,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,16
SSC50992,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC50993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50994,734,4,4,7,5,748,222,0,0,0,0,223,31,0,0,0,0,33,987,5,7,7,8,1006
SSC50995,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC50996,13,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,24
SSC50997,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC50998,1130,250,71,0,0,1455,60,41,56,0,0,160,11,8,7,0,0,27,1204,296,141,0,0,1639
SSC50999,164,24,7,0,7,201,32,9,3,0,0,44,6,0,0,0,0,5,200,33,7,0,8,255
SSC51000,28,0,0,0,0,28,3,0,0,0,0,3,0,0,0,0,0,0,35,0,0,0,0,35
SSC51001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51002,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,11
SSC51003,58,0,0,0,0,63,6,0,0,0,0,6,0,0,0,0,0,3,72,0,0,0,0,76
SSC51004,15,0,0,0,0,20,72,0,0,0,0,75,0,0,0,0,0,3,91,0,0,3,0,97
SSC51005,1935,360,91,19,3,2406,205,67,9,0,0,283,34,6,3,0,0,46,2175,437,100,16,3,2733
SSC51006,951,4,0,0,0,964,108,0,0,0,0,108,15,0,0,0,0,14,1070,4,0,0,0,1082
SSC51007,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14
SSC51008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51009,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC51010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51011,2064,775,899,12,4,3752,168,57,164,0,0,386,44,16,31,0,0,91,2269,855,1091,16,8,4231
SSC51012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51013,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC51014,83,5,0,3,0,89,36,0,0,0,0,37,3,0,0,0,0,3,124,5,0,3,5,139
SSC51015,334,8,0,0,3,342,79,5,0,0,0,84,19,0,0,0,0,18,426,13,0,0,3,452
SSC51016,902,30,0,0,0,929,103,5,0,0,0,105,21,0,0,0,0,21,1025,35,0,0,0,1061
SSC51017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51020,1720,456,110,5,13,2297,125,31,19,0,0,178,26,8,0,0,3,43,1868,496,129,5,12,2514
SSC51021,615,0,16,0,0,631,133,0,0,0,0,134,19,0,0,0,0,19,766,0,18,0,0,782
SSC51022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
