SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC51195,3,4,3,0,3,17,3,16
SSC51196,0,3,6,3,3,14,0,14
SSC51197,0,21,60,43,67,187,0,191
SSC51198,82,755,888,316,196,2236,48,2284
SSC51199,124,770,768,287,134,2076,63,2142
SSC51200,0,5,10,3,3,20,0,23
SSC51201,0,0,11,3,7,20,0,20
SSC51202,0,6,7,6,3,25,0,25
SSC51203,0,5,3,0,3,9,0,14
SSC51204,0,0,0,0,0,4,0,3
SSC51205,0,10,18,3,0,27,0,32
SSC51206,0,9,0,0,0,9,0,10
SSC51207,10,352,657,185,105,1310,21,1327
SSC51208,0,0,0,0,3,5,0,5
SSC51209,0,0,4,0,0,7,0,7
SSC51210,30,259,207,103,49,643,25,669
SSC51211,3,61,182,52,20,317,3,319
SSC51212,21,131,120,51,28,345,12,363
SSC51213,14,119,218,65,70,500,13,513
SSC51214,0,53,76,27,8,165,10,172
SSC51215,11,26,31,8,17,92,6,104
SSC51216,0,4,4,4,4,15,0,15
SSC51217,0,0,3,3,4,14,0,14
SSC51218,960,2423,856,130,36,4402,170,4571
SSC51219,0,0,0,0,0,0,0,0
SSC51220,0,6,25,14,15,60,0,61
SSC51221,0,3,0,0,0,6,0,6
SSC51222,17,660,1654,387,146,2865,38,2904
SSC51223,0,0,11,3,5,22,0,19
SSC51224,49,281,317,109,50,802,38,841
SSC51225,5,31,64,47,44,196,7,204
SSC51226,0,14,10,6,0,24,3,26
SSC51227,3,24,15,6,8,51,0,52
SSC51228,0,14,18,15,17,64,0,63
SSC51229,0,0,4,4,7,19,0,19
SSC51230,0,3,7,0,0,14,0,12
SSC51231,0,4,12,3,4,24,0,24
SSC51232,28,122,98,40,24,317,16,327
SSC51233,0,14,19,17,24,82,4,80
SSC51234,0,3,8,3,12,28,3,31
SSC51235,70,606,613,238,142,1665,64,1728
SSC51236,0,52,102,66,58,280,12,291
SSC51237,0,3,0,0,4,12,0,12
SSC51238,0,6,23,5,8,48,0,48
SSC51239,3,3,8,0,0,14,6,17
SSC51240,0,10,18,6,9,43,0,43
SSC51241,21,4,3,0,0,27,3,30
SSC51242,0,0,0,0,0,0,0,0
SSC51243,3,29,28,21,10,87,4,89
SSC51244,0,23,24,13,3,62,0,65
SSC51245,0,25,51,23,14,116,3,119
SSC51246,3,16,24,3,3,49,0,49
SSC51247,23,201,227,88,30,561,36,592
SSC51248,37,335,539,215,88,1210,61,1274
SSC51249,106,1168,1819,690,338,4129,117,4241
SSC51250,0,0,0,0,0,0,0,0
SSC51251,0,25,45,13,5,88,11,100
SSC51252,0,6,15,17,7,43,3,44
SSC51253,0,24,26,10,5,67,0,67
SSC51254,0,0,0,0,0,0,0,0
SSC51255,0,0,0,3,0,4,0,6
SSC51256,0,0,0,0,0,6,0,3
SSC51257,15,107,94,36,17,265,10,272
SSC51258,0,3,9,0,5,19,0,17
SSC51259,0,21,46,35,12,109,4,115
SSC51260,138,772,796,253,139,2105,74,2172
SSC51261,0,4,7,4,4,23,0,23
SSC51262,0,0,0,0,3,9,0,9
SSC51263,0,0,4,3,0,9,0,6
SSC51264,9,119,200,77,43,446,29,474
SSC51265,0,8,7,5,0,17,0,17
SSC51266,4,23,29,9,3,62,6,66
SSC51267,70,701,1189,519,269,2746,71,2812
SSC51268,4,18,31,12,4,72,4,77
SSC51269,84,242,185,71,24,613,41,653
SSC51270,7,41,69,27,37,178,3,181
SSC51271,13,314,284,116,60,786,29,815
SSC51272,0,4,0,3,0,4,0,4
SSC51273,0,0,4,3,3,14,0,17
SSC51274,0,3,3,9,8,26,0,26
SSC51275,0,0,3,3,4,9,0,14
SSC51276,124,588,680,194,75,1665,62,1730
SSC51277,0,8,15,9,0,30,0,34
SSC51278,0,24,14,23,11,66,7,74
SSC51279,0,0,11,4,3,16,0,16
SSC51280,0,0,0,0,0,0,0,0
SSC51281,0,0,0,0,3,5,0,10
SSC51282,3,6,27,23,16,73,4,76
SSC51283,0,0,0,0,0,0,0,0
SSC51284,0,0,0,0,0,0,0,0
SSC51285,39,513,631,178,79,1443,64,1508
SSC51286,0,7,10,7,6,39,0,40
SSC51287,66,611,844,270,118,1909,36,1949
SSC51288,363,1733,1320,338,155,3914,163,4080
SSC51289,0,41,92,42,36,218,3,222
SSC51290,561,2613,1814,590,254,5833,235,6072
SSC51291,8,6,3,7,3,25,4,30
SSC51292,0,0,0,0,0,0,0,0
SSC51293,4,9,8,6,3,33,3,40
SSC51294,68,45,43,27,7,183,24,211
SSC51295,6,48,46,30,29,157,10,161
SSC51296,0,33,98,60,58,246,8,254
SSC51297,31,434,948,458,385,2264,33,2295
SSC51298,0,14,27,15,16,76,0,77
SSC51299,0,9,18,17,14,59,5,68
SSC51300,0,0,0,0,0,5,0,4
SSC51301,65,303,427,185,99,1086,32,1115
SSC51302,0,0,0,0,0,0,0,0
SSC51303,20,3,0,0,0,23,15,37
SSC51304,0,4,8,6,6,23,3,24
SSC51305,0,4,31,7,12,51,0,51
SSC51306,0,0,3,3,4,11,0,11
SSC51307,0,4,8,4,7,22,0,26
SSC51308,114,910,1112,441,209,2786,92,2873
SSC51309,3,6,15,12,14,56,0,56
SSC51310,37,234,373,141,84,864,17,881
SSC51311,34,203,278,122,51,690,14,707
SSC51312,4,86,163,65,33,345,6,358
SSC51313,0,0,0,0,0,0,0,0
SSC51314,0,0,0,0,0,0,0,0
SSC51315,0,6,13,5,9,32,3,38
SSC51316,0,0,6,5,9,23,0,26
SSC51317,5,53,117,82,80,333,9,341
SSC51318,0,3,14,5,8,33,0,33
SSC51319,306,2623,2684,642,223,6474,162,6634
SSC51320,0,0,0,0,0,0,0,0
SSC51321,0,22,76,29,21,151,10,154
SSC51322,0,4,5,3,0,16,0,16
SSC51323,0,0,5,0,0,3,0,3
SSC51324,0,0,8,9,3,26,0,24
SSC51325,0,6,13,7,3,28,3,29
SSC51326,31,784,1721,635,300,3467,70,3543
SSC51327,0,13,22,12,14,61,0,65
SSC51328,6,151,256,163,175,748,24,777
SSC51329,68,844,1417,519,278,3125,110,3233
SSC51330,0,12,10,0,12,36,4,36
SSC51331,4,51,121,45,22,236,3,239
SSC51332,0,0,0,3,0,3,0,3
SSC51333,0,0,0,0,0,0,0,0
SSC51334,56,464,684,258,116,1588,30,1616
SSC51335,109,737,617,133,48,1640,40,1676
SSC51336,0,0,0,0,0,0,0,0
SSC51337,133,719,547,169,86,1647,64,1716
SSC51338,0,0,0,0,0,0,0,0
SSC51339,0,4,17,3,0,21,4,23
SSC51340,9,170,178,85,33,465,8,476
SSC51341,10,236,419,144,49,862,21,876
SSC51342,6,96,107,38,20,264,15,280
SSC51343,13,275,536,222,101,1150,29,1181
SSC51344,0,0,0,0,0,0,0,0
SSC51345,0,0,0,0,0,0,0,0
SSC51346,0,3,8,3,5,20,0,20
SSC51347,0,0,0,0,0,0,0,0
SSC51348,30,393,506,215,145,1289,45,1325
SSC51349,75,538,1173,475,276,2541,55,2593
SSC51350,0,0,0,3,0,3,0,3
SSC51351,17,152,146,69,35,412,28,442
SSC51352,222,1247,1278,368,154,3271,95,3365
SSC51353,0,0,5,4,0,7,0,7
SSC51354,31,121,118,44,19,336,20,358
SSC51355,0,0,0,0,6,8,0,8
SSC51356,0,0,3,0,9,16,0,16
SSC51357,90,496,448,113,55,1211,54,1262
SSC51358,0,0,3,0,3,5,0,5
SSC51359,0,10,17,7,7,40,0,39
SSC51360,31,337,562,176,73,1182,31,1208
SSC51361,149,765,1091,448,185,2644,138,2785
SSC51362,90,497,608,234,86,1520,64,1586
SSC51363,0,0,3,0,4,7,0,8
SSC51364,0,3,8,9,12,31,0,29
SSC51365,0,0,0,3,0,3,0,3
SSC51366,78,665,831,307,161,2043,55,2098
SSC51367,0,0,4,0,3,11,0,12
SSC51368,6,10,0,0,0,15,0,15
SSC51369,0,3,4,3,3,11,0,11
SSC51370,335,2164,1776,431,212,4920,114,5032
SSC51371,0,13,25,9,6,56,3,63
SSC51372,0,4,8,0,5,14,4,17
SSC51373,0,0,3,0,0,7,0,7
SSC51374,0,3,13,3,10,24,0,23
SSC51375,0,0,5,7,7,19,0,19
SSC51376,0,3,0,3,0,10,0,10
SSC51377,0,0,0,0,4,4,0,4
SSC51378,0,0,8,3,0,6,0,9
SSC51379,13,352,496,184,97,1133,30,1167
SSC51380,3,9,11,3,3,30,0,27
SSC51381,0,3,9,5,10,25,0,25
SSC51382,16,83,88,45,26,260,12,273
SSC51383,36,656,1550,550,271,3062,45,3104
SSC51384,89,260,243,79,44,715,42,755
SSC51385,261,1293,1372,486,252,3660,170,3838
SSC51386,106,540,455,126,57,1286,72,1360
SSC51387,0,15,12,9,0,33,0,34
SSC51388,0,7,28,21,15,78,4,80
SSC51389,0,0,3,0,0,5,0,5
SSC51390,155,83,25,3,4,268,4,278
SSC51391,137,671,607,207,80,1705,59,1760
SSC51392,0,5,8,4,3,21,0,20
SSC51393,0,5,52,40,48,140,3,143
SSC51394,100,850,1518,554,264,3281,68,3350
SSC51395,0,5,15,10,9,46,0,45
SSC51396,0,0,0,0,0,0,0,0
SSC51397,9,124,331,151,178,788,21,812
SSC51398,0,0,0,0,0,0,0,0
SSC51399,0,39,165,95,76,379,9,382
SSC51400,0,28,78,65,50,219,4,225
SSC51401,0,0,3,0,0,3,0,3
SSC51402,60,432,458,134,76,1163,34,1195
SSC51403,0,0,0,0,0,3,0,3
SSC51404,41,20,0,0,0,63,3,63
SSC51405,403,1828,1232,212,92,3771,87,3859
SSC51406,108,970,1506,480,208,3271,69,3342
SSC51407,0,4,9,6,3,27,0,27
SSC51408,22,170,230,80,31,529,15,545
SSC51409,187,917,1094,444,285,2936,87,3020
SSC51410,40,341,630,193,73,1280,30,1312
SSC51411,0,9,8,3,10,34,3,31
SSC51412,0,0,0,0,0,0,0,0
SSC51413,0,8,14,16,7,44,4,42
SSC51414,0,0,3,0,0,3,0,5
SSC51415,0,0,4,3,3,6,0,6
SSC51416,0,0,0,0,0,0,0,0
SSC51417,0,0,0,0,0,0,0,0
SSC51418,0,0,0,0,0,0,0,0
SSC51419,5,36,22,17,20,106,5,110
SSC51420,9,32,22,3,3,69,0,74
SSC51421,0,0,0,0,0,3,0,3
SSC51422,30,12,3,0,4,52,9,59
SSC51423,0,3,3,0,6,8,0,8
SSC51424,38,675,1431,497,228,2871,52,2924
SSC51425,6,156,229,64,27,483,10,489
SSC51426,0,0,3,7,3,9,0,9
SSC51427,0,4,4,0,6,14,0,14
SSC51428,0,5,10,7,6,29,0,29
SSC51429,27,16,7,3,0,49,0,50
SSC51430,0,0,7,3,5,15,0,15
SSC51431,3,19,33,17,16,85,3,89
SSC51432,0,4,4,3,7,21,0,18
SSC51433,0,3,3,3,7,12,0,12
SSC51434,0,0,0,0,0,0,0,0
SSC51435,5,287,719,302,210,1530,25,1557
SSC51436,0,0,13,3,6,21,3,30
SSC51437,307,2456,3071,1245,717,7793,218,8014
SSC51438,4,61,57,14,4,138,4,149
SSC51439,0,0,12,0,13,24,0,26
SSC51440,0,0,0,0,0,0,0,0
SSC51441,0,7,8,7,4,16,0,16
SSC51442,0,8,7,6,0,26,0,28
SSC51443,13,324,371,113,57,876,21,892
SSC51444,0,0,0,3,0,10,0,10
SSC51445,31,200,178,85,52,548,33,581
SSC51446,0,0,0,0,3,4,0,4
SSC51447,0,0,0,0,0,0,0,0
SSC51448,0,0,0,0,0,6,0,6
SSC51449,0,20,37,31,27,116,4,114
SSC51450,0,6,12,0,5,20,3,23
SSC51451,0,0,0,0,0,3,0,3
SSC51452,0,0,0,0,0,0,0,0
SSC51453,0,26,13,5,6,53,0,55
SSC51454,0,0,14,12,6,36,3,38
SSC51455,0,0,0,0,0,0,0,0
SSC51456,24,229,468,154,87,960,28,990
SSC51457,0,0,0,0,4,6,0,6
SSC51458,283,1556,970,221,83,3110,95,3209
SSC51459,0,0,0,0,0,0,0,0
SSC51460,0,3,13,3,3,24,0,24
SSC51461,28,284,411,174,100,998,34,1027
SSC51462,0,4,10,3,3,18,0,18
SSC51463,0,0,5,3,0,12,0,12
SSC51464,0,16,33,20,21,92,6,100
SSC51465,0,0,0,0,0,0,0,0
SSC51466,0,10,24,8,17,59,0,59
SSC51467,0,0,0,0,3,3,0,3
SSC51468,3,42,78,34,45,203,3,207
SSC51469,0,4,9,4,6,22,0,20
SSC51470,0,17,18,5,3,45,3,48
SSC51471,39,288,299,106,38,776,24,802
SSC51472,33,141,156,72,27,422,29,450
SSC51473,0,0,0,0,0,0,0,0
SSC51474,0,3,3,4,3,15,0,15
SSC51475,0,185,333,139,102,756,9,763
SSC51476,353,1687,1166,266,110,3582,122,3701
SSC51477,0,0,0,0,0,0,0,0
SSC51478,13,76,120,35,33,278,13,286
SSC51479,0,0,0,0,0,0,0,0
SSC51480,17,143,163,39,26,382,17,396
SSC51481,0,4,9,3,13,29,0,30
SSC51482,0,0,0,6,0,10,0,10
SSC51483,0,3,10,0,0,16,0,16
SSC51484,0,0,8,3,3,11,0,11
SSC51485,0,0,3,4,4,11,0,11
SSC51486,17,202,305,150,113,791,34,821
SSC51487,35,205,204,74,61,579,26,610
SSC51488,150,1291,1751,621,296,4109,116,4232
SSC51489,0,3,5,0,3,21,0,18
SSC51490,0,0,4,4,3,16,0,16
SSC51491,0,21,17,21,22,86,3,92
SSC51492,0,0,0,0,0,0,0,0
SSC51493,0,0,0,0,0,0,0,0
SSC51494,3,76,121,75,45,317,6,323
SSC51495,0,0,3,3,3,14,0,14
SSC51496,9,72,77,12,4,171,8,185
SSC51497,0,4,8,6,9,28,0,23
SSC51498,0,0,12,7,0,13,0,19
SSC51499,0,0,0,0,0,0,0,0
SSC51500,0,0,6,0,4,6,0,9
SSC51501,0,0,3,3,3,7,0,7
SSC51502,0,0,0,0,0,3,0,3
SSC51503,3,21,35,21,26,107,3,111
SSC51504,9,221,488,137,95,955,19,980
SSC51505,0,4,7,4,10,21,3,22
SSC51506,17,323,609,241,88,1281,31,1307
SSC51507,0,8,22,8,13,49,0,49
SSC51508,0,3,7,0,3,14,0,15
SSC51509,0,12,7,7,12,42,4,49
SSC51510,25,419,560,158,92,1263,21,1281
SSC51511,192,1304,1646,659,428,4232,129,4363
SSC51512,0,0,3,3,5,12,0,12
SSC51513,0,8,13,12,11,47,0,47
SSC51514,57,54,11,3,3,129,3,131
SSC51515,0,0,3,0,0,9,0,9
SSC51516,0,5,11,0,3,17,0,17
SSC51517,30,29,14,4,4,81,3,81
SSC51518,158,1178,1418,526,318,3591,112,3711
SSC51519,0,7,6,3,5,18,0,17
SSC51520,34,295,380,184,123,1011,48,1054
SSC51521,0,0,3,0,0,4,0,4
SSC51522,0,3,11,4,12,28,0,28
SSC51523,0,0,0,3,0,5,0,5
SSC51524,0,34,91,45,40,217,7,222
SSC51525,48,422,566,195,104,1342,31,1373
SSC51526,0,8,16,0,5,26,5,29
SSC51527,0,0,8,0,4,13,0,13
SSC51528,9,157,323,134,88,718,17,734
SSC51529,0,11,22,15,13,55,3,63
SSC51530,15,138,224,65,34,484,14,495
SSC51531,0,13,18,20,8,60,0,64
SSC51532,0,3,0,0,12,13,0,13
SSC51533,16,349,863,324,209,1761,31,1788
SSC51534,4,31,45,33,42,161,4,160
SSC51535,0,0,3,0,3,5,0,5
SSC51536,0,11,19,8,8,47,0,47
SSC51537,0,5,5,3,0,18,0,18
SSC51538,0,7,17,7,6,37,3,42
SSC51539,3,9,7,13,16,51,5,55
SSC51540,0,0,0,6,4,12,0,12
SSC51541,0,0,0,0,0,0,0,0
SSC51542,74,902,1309,412,214,2911,60,2966
SSC51543,0,8,8,3,0,25,0,25
SSC51544,0,0,0,0,0,6,0,6
SSC51545,0,5,13,9,12,35,0,35
SSC51546,0,11,7,8,8,26,0,26
SSC51547,0,0,0,0,0,0,0,0
SSC51548,279,1756,1567,394,165,4162,206,4371
SSC51549,55,592,1062,309,147,2160,26,2193
SSC51550,0,3,9,8,7,21,0,19
SSC51551,4,127,230,88,34,478,17,495
SSC51552,0,0,0,0,3,7,0,7
SSC51553,195,1296,1144,374,161,3174,132,3307
SSC51554,0,0,0,0,0,0,0,0
SSC51555,0,0,0,3,3,8,0,8
SSC51556,0,10,17,11,17,52,0,58
SSC51557,25,154,60,17,3,266,10,277
SSC51558,0,0,6,0,0,8,0,8
SSC51559,0,0,3,0,3,10,0,10
SSC51560,0,3,3,0,0,5,0,5
SSC51561,11,136,222,54,33,463,20,476
SSC51562,136,694,554,122,57,1561,25,1583
SSC51563,0,0,0,0,0,0,3,0
SSC51564,422,1456,534,70,25,2508,67,2575
SSC51565,3,5,11,11,4,38,3,37
SSC51566,0,13,49,34,23,114,0,121
SSC51567,0,3,3,3,5,15,3,23
SSC51568,5,5,6,3,8,25,0,25
SSC51569,9,37,50,40,49,185,4,185
SSC51570,0,43,59,38,28,178,9,181
SSC51571,0,6,8,3,12,27,0,31
SSC51572,192,987,837,193,95,2296,102,2405
SSC51573,0,7,26,3,13,47,4,54
SSC51574,0,0,8,0,5,10,3,14
SSC51575,0,3,0,0,0,3,0,3
SSC51576,0,20,45,15,19,106,0,102
SSC51577,116,426,414,129,46,1130,23,1155
SSC51578,0,28,57,28,20,133,8,140
SSC51579,0,0,4,0,0,3,0,3
SSC51580,0,0,0,0,0,0,0,0
SSC51581,0,0,3,8,3,9,0,13
SSC51582,0,0,0,0,0,3,0,3
SSC51583,0,0,0,0,0,0,0,0
SSC51584,7,37,52,29,24,150,9,155
SSC51585,22,176,317,93,54,655,22,679
SSC51586,0,3,4,0,0,5,0,5
SSC51587,0,0,4,5,6,15,0,15
SSC51588,0,0,0,0,0,3,0,3
SSC51589,0,4,7,4,5,16,0,23
SSC51590,0,0,0,0,4,4,0,4
SSC51591,0,0,6,0,0,4,0,6
SSC51592,0,0,4,0,5,12,0,14
SSC51593,172,706,676,169,82,1811,62,1873
SSC51594,10,12,7,0,0,36,3,33
SSC51595,136,1542,2608,970,513,5766,101,5872
SSC51596,0,14,24,9,8,49,0,47
SSC51597,13,70,131,61,56,322,15,341
SSC51598,8,20,22,4,4,59,6,63
SSC51599,5,31,63,33,44,179,9,187
SSC51600,130,750,868,283,155,2190,79,2270
SSC51601,20,35,25,3,5,86,5,95
SSC51602,0,8,27,11,8,49,3,53
SSC51603,0,4,13,15,10,40,0,42
SSC51604,0,4,0,4,0,8,0,15
SSC51605,0,4,25,17,11,55,0,59
SSC51606,21,318,914,399,217,1874,28,1900
SSC51607,0,23,38,21,6,89,7,95
SSC51608,145,541,318,104,46,1162,59,1224
SSC51609,0,0,0,0,0,0,6,8
SSC51610,0,0,4,0,0,4,0,4
SSC51611,0,0,3,0,0,4,0,4
SSC51612,0,21,23,17,10,77,3,77
SSC51613,0,0,9,4,7,15,0,15
SSC51614,0,3,3,0,8,12,0,12
SSC51615,15,119,140,60,25,357,13,373
SSC51616,0,0,8,0,3,8,0,8
SSC51617,0,11,21,12,5,47,0,53
SSC51618,52,271,216,75,26,641,32,671
SSC51619,0,20,26,13,3,65,11,69
SSC51620,44,164,162,65,16,449,12,457
SSC51621,117,494,621,183,111,1529,38,1568
SSC51622,0,0,0,0,0,0,0,0
SSC51623,3,41,78,47,39,205,8,216
SSC51624,83,722,1360,567,361,3096,44,3144
SSC51625,0,3,10,10,8,28,0,28
SSC51626,0,0,0,0,0,0,0,0
SSC51627,0,0,0,8,3,14,0,14
SSC51628,0,0,3,0,0,8,0,8
SSC51629,3,57,91,62,46,261,15,268
SSC51630,4,82,166,80,101,428,8,443
SSC51631,0,0,5,9,11,25,0,25
SSC51632,0,0,8,3,0,13,0,13
SSC51633,0,12,9,11,7,34,3,41
SSC51634,22,131,171,63,83,477,19,492
SSC51635,3,14,33,21,28,99,0,97
SSC51636,0,0,0,0,0,0,0,0
SSC51637,20,55,56,12,18,166,6,172
SSC51638,0,3,0,0,3,12,0,12
SSC51639,53,92,53,21,13,226,18,253
SSC51640,0,0,0,3,4,10,3,8
SSC51641,0,0,0,3,3,6,0,6
SSC51642,3,6,23,11,7,49,3,56
SSC51643,88,383,349,144,58,1020,60,1080
SSC51644,0,0,0,0,0,0,0,0
SSC51645,5,17,11,5,7,41,3,41
SSC51646,0,3,12,3,11,34,0,30
SSC51647,3,74,166,60,34,339,5,347
SSC51648,0,12,47,30,13,100,3,103
SSC51649,3,209,381,135,46,775,24,796
SSC51650,64,976,1217,412,151,2819,86,2910
SSC51651,0,0,3,3,3,11,0,11
SSC51652,0,0,0,0,0,0,3,3
SSC51653,87,663,1095,440,216,2501,59,2558
SSC51654,0,11,18,12,12,46,0,46
SSC51655,0,0,0,0,0,0,0,0
SSC51656,0,0,3,0,0,3,0,3
SSC51657,0,0,0,7,10,17,0,17
SSC51658,0,35,56,28,21,143,0,142
SSC51659,0,0,4,0,3,9,0,9
SSC51660,0,4,6,5,10,30,0,33
SSC51661,0,7,8,3,3,20,0,20
SSC51662,0,0,0,0,0,0,0,0
SSC51663,0,9,11,3,10,36,6,40
SSC51664,0,0,0,0,0,0,0,0
SSC51665,0,0,0,0,0,0,0,0
SSC51666,0,5,5,5,5,24,0,23
SSC51667,0,9,14,9,3,32,0,32
SSC51668,3,0,0,0,7,7,0,7
SSC51669,0,0,0,0,0,0,0,0
SSC51670,0,0,4,6,8,16,0,16
SSC51671,0,0,0,0,0,0,0,0
SSC51672,341,2119,1726,424,167,4772,120,4893
SSC51673,0,7,8,7,7,24,0,31
SSC51674,36,361,338,137,74,947,36,983
SSC51675,0,3,0,0,3,8,0,10
SSC51676,0,10,10,0,3,22,5,25
SSC51677,0,0,0,3,3,7,0,7
SSC51678,0,0,3,3,0,11,0,11
SSC51679,0,16,43,23,29,114,5,121
SSC51680,0,0,3,0,0,3,0,3
SSC51681,0,0,0,3,3,7,0,7
SSC51682,0,0,0,0,0,0,0,0
SSC51683,0,0,0,0,0,0,0,0
SSC59494,0,0,0,0,0,0,0,0
SSC59797,0,0,0,0,0,0,0,0
