SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC50781,0,18,36,20,15,88,3,85
SSC50782,0,8,13,6,6,35,4,39
SSC50783,0,0,7,3,5,18,0,18
SSC50784,0,8,9,0,0,21,0,21
SSC50785,0,8,9,3,19,39,0,37
SSC50786,5,47,60,23,10,144,12,153
SSC50787,0,0,14,3,14,33,0,33
SSC50788,0,0,3,0,0,9,0,9
SSC50789,0,0,0,0,0,4,3,7
SSC50790,0,0,0,3,6,13,0,13
SSC50791,0,9,9,3,0,25,0,24
SSC50792,160,545,574,196,134,1620,85,1708
SSC50793,0,0,0,0,0,0,0,0
SSC50794,0,0,6,0,3,7,0,12
SSC50795,0,0,3,0,4,3,0,3
SSC50796,0,0,7,0,0,7,0,7
SSC50797,0,0,0,0,0,3,0,3
SSC50798,8,46,27,6,0,88,6,92
SSC50799,0,0,4,4,4,9,0,9
SSC50800,70,59,21,10,0,161,4,163
SSC50801,12,17,7,3,3,46,13,59
SSC50802,0,0,0,0,0,0,0,0
SSC50803,0,3,3,3,3,12,0,12
SSC50804,0,0,3,4,0,5,0,5
SSC50805,0,0,3,3,5,12,0,12
SSC50806,3,0,0,0,0,3,0,3
SSC50807,0,41,58,43,48,186,9,197
SSC50808,3,0,0,0,0,3,0,3
SSC50809,0,0,0,0,0,0,0,0
SSC50810,16,70,65,25,16,196,11,208
SSC50811,0,0,3,0,0,7,0,9
SSC50812,0,0,0,0,0,3,0,3
SSC50813,0,8,9,5,11,34,0,33
SSC50814,0,0,3,0,0,10,0,10
SSC50815,0,0,3,0,3,6,0,6
SSC50816,0,0,4,3,0,5,0,5
SSC50817,0,6,5,3,5,25,0,25
SSC50818,0,0,0,0,0,0,0,0
SSC50819,20,548,706,210,75,1552,37,1586
