SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC50979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50980,11,8,17,6,0,5,0,3,3,0,0,0,0,0,0,11,6,10,0,0,0,0,0,0,100,75,58.8,54.5,37.5,47.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,6,10,3,17,0,0,0,11,0,8,0,0,3
SSC50981,36,27,59,16,3,22,0,11,9,0,0,0,0,0,0,21,12,38,4,7,16,0,0,0,58.3,44.4,64.4,44.4,51.9,52.5,0,0,0,0,3,3,0,10,9,0,0,0,4,0,5,0,0,0,0,0,0,4,0,5,24,24,51,3,0,3,25,18,42,4,4,7
SSC50982,345,313,658,160,80,235,36,71,106,23,13,33,22,11,33,235,176,408,90,116,203,9.4,6.3,8.1,68.1,56.2,62,63.5,52.4,56.8,7,5,14,0,4,6,14,26,42,26,54,73,124,39,161,3,5,10,3,5,9,131,51,184,330,308,639,23,30,56,267,249,521,82,79,154
SSC50983,223,207,433,71,54,128,27,25,54,6,3,9,12,5,13,110,96,205,97,81,174,10.9,5.2,6.3,49.3,46.4,47.3,46.6,39.6,44.1,4,5,4,4,0,6,9,17,27,7,16,20,38,17,58,3,7,10,0,0,0,42,27,68,192,173,365,63,48,116,117,105,220,121,100,224
SSC50984,9,12,19,4,3,8,3,6,6,0,0,0,0,0,0,6,4,13,4,3,6,0,0,0,66.7,33.3,68.4,77.8,75,73.7,0,0,0,0,0,3,3,4,4,0,0,0,5,0,5,0,0,0,0,0,0,5,0,3,10,12,21,0,0,0,8,4,11,6,6,4
SSC50985,13,15,23,10,5,10,0,0,0,0,0,0,0,0,0,10,7,15,3,10,7,0,0,0,76.9,46.7,65.2,76.9,33.3,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,5,12,15,29,0,0,0,12,11,21,3,3,5
SSC50986,356,343,697,176,95,272,38,98,135,14,14,27,13,17,24,235,221,458,102,114,218,5.5,7.7,5.2,66,64.4,65.7,64,60.3,62.3,5,3,8,0,11,11,6,41,47,21,29,50,147,50,203,3,3,5,3,7,17,156,63,221,351,344,693,66,63,122,254,241,500,144,153,297
SSC50987,318,327,640,105,88,192,20,50,70,14,23,37,16,7,27,160,169,329,92,102,193,10,4.1,8.2,50.3,51.7,51.4,43.7,49.2,46.7,0,8,10,0,3,3,13,34,51,17,18,33,54,23,78,11,8,16,5,13,18,74,42,113,257,250,504,58,64,122,165,162,329,124,136,264
SSC50988,8966,9104,18072,3962,2258,6215,1217,2199,3411,255,274,529,542,429,968,5972,5156,11129,2443,3417,5865,9.1,8.3,8.7,66.6,56.6,61.6,60.6,52,56.2,300,322,618,103,159,260,1114,1426,2542,775,831,1605,2152,891,3040,82,121,204,132,219,350,2358,1234,3591,8105,8177,16284,1707,1672,3382,5372,5517,10892,4112,3971,8084
