SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC50001,27,20,53,17,6,23,4,3,7,0,0,4,0,0,0,20,15,38,7,6,8,0,0,0,74.1,75,71.7,77.8,45,64.2,0,0,0,0,0,0,7,4,10,0,3,4,3,4,12,0,0,0,0,0,0,3,4,12,30,21,47,3,7,10,17,14,26,19,14,25
SSC50002,469,501,968,214,98,310,67,168,237,18,26,42,20,14,31,322,304,622,123,178,300,6.2,4.6,5,68.7,60.7,64.3,63.8,58.3,60.8,3,12,20,11,21,27,42,81,122,48,61,110,153,75,229,3,6,15,11,13,22,164,95,264,469,474,943,120,116,238,263,259,520,300,301,607
SSC50003,39,33,75,18,4,21,12,18,27,0,0,0,3,0,4,26,24,50,5,9,14,11.5,0,8,66.7,72.7,66.7,76.9,66.7,64,0,0,0,0,0,0,0,5,5,0,3,5,16,3,16,0,0,0,0,0,0,17,7,23,41,39,86,0,3,3,30,34,61,12,4,17
SSC50004,17,12,28,13,0,14,3,3,8,3,0,3,0,0,0,18,8,20,0,0,0,0,0,0,105.9,66.7,71.4,111.8,25,89.3,0,0,0,0,0,0,3,3,4,0,3,3,6,0,6,0,0,0,0,0,0,6,0,8,18,8,29,0,0,4,11,9,21,3,8,12
SSC50005,26,14,46,8,5,17,3,4,6,0,0,0,0,0,0,18,13,23,10,7,15,0,0,0,69.2,92.9,50,42.3,64.3,50,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,9,25,21,45,3,5,8,19,8,28,16,9,24
SSC50006,562,611,1170,222,134,352,111,176,290,13,21,26,13,8,21,353,336,688,176,234,410,3.7,2.4,3.1,62.8,55,58.8,61.6,54.2,57.1,32,27,59,22,32,54,90,131,225,57,79,135,107,49,157,5,15,13,10,13,24,126,72,196,452,487,943,117,131,246,318,346,658,269,268,538
SSC50007,19,17,38,13,9,23,3,10,7,0,3,3,0,0,0,16,18,32,3,4,3,0,0,0,84.2,105.9,84.2,84.2,129.4,86.8,0,0,0,0,0,0,0,5,5,3,3,4,3,0,0,0,0,0,0,0,3,5,3,8,19,16,43,0,0,5,17,13,26,4,6,11
SSC50008,3179,3190,6371,1516,823,2336,444,849,1293,109,80,186,213,153,366,2281,1899,4181,769,1151,1917,9.3,8.1,8.8,71.8,59.5,65.6,65.1,54.9,59.9,62,67,123,22,47,64,256,384,640,246,266,512,770,345,1116,38,47,88,38,83,119,844,475,1324,3279,3236,6516,449,451,898,2383,2391,4773,1203,1141,2348
SSC50009,4,8,9,0,3,3,0,5,5,0,0,0,0,0,0,0,6,4,3,0,4,0,0,0,0,75,44.4,0,100,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,4,4,9,0,3,3,3,3,5,0,3,3
SSC50010,987,1039,2019,470,267,741,134,308,439,27,33,62,36,25,57,666,634,1299,259,362,624,5.4,3.9,4.4,67.5,61,64.3,63.9,58.5,61.5,79,60,143,27,46,74,221,263,485,111,117,227,161,75,241,6,8,14,14,26,39,184,112,291,1003,1011,2015,152,170,326,650,663,1312,454,495,954
SSC50011,2234,2406,4639,1377,804,2173,221,674,893,102,93,195,118,110,231,1815,1682,3496,228,551,777,6.5,6.5,6.6,81.2,69.9,75.4,76.1,65.3,70.3,59,50,117,20,44,62,203,387,593,233,338,565,755,392,1144,32,60,93,40,54,96,824,507,1334,1644,1676,3322,1039,1165,2202,163,162,324,2287,2445,4730
SSC50012,10,4,19,6,3,8,0,3,3,0,0,0,0,0,0,6,4,15,0,3,3,0,0,0,60,100,78.9,60,150,57.9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,8,7,18,0,0,0,4,3,9,3,3,7
SSC50013,231,244,479,120,48,163,13,73,87,11,7,18,19,9,27,162,143,302,63,92,156,11.7,6.3,8.9,70.1,58.6,63,62.3,52.5,55.9,0,3,3,0,3,4,11,18,28,17,23,41,90,41,135,3,6,11,4,12,14,101,61,156,266,272,537,23,22,51,207,211,422,74,69,141
SSC50014,55,42,90,29,13,39,8,12,20,0,0,4,0,0,0,34,20,62,10,15,28,0,0,0,61.8,47.6,68.9,67.3,59.5,70,0,0,0,0,0,0,3,9,9,3,3,9,8,3,9,0,0,0,0,0,0,11,3,17,62,47,108,3,0,3,44,30,72,16,8,22
SSC50015,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,100,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,3,8,0,3,3,0,0,3,6,3,8
SSC50016,177,172,347,90,40,132,18,63,85,12,6,21,12,8,20,133,116,253,35,50,82,9,6.9,7.9,75.1,67.4,72.9,67.8,63.4,68.6,0,0,0,0,3,3,9,16,24,11,28,33,70,28,104,0,3,4,6,4,8,81,35,115,194,191,389,26,36,58,122,115,233,93,107,195
SSC50017,33,25,56,22,8,29,4,6,12,0,0,0,0,0,0,22,16,45,0,0,3,0,0,0,66.7,64,80.4,78.8,56,73.2,0,0,0,0,0,0,3,4,9,4,3,11,6,0,5,0,0,0,3,0,0,7,3,12,30,21,51,0,0,0,28,21,41,4,3,7
SSC50018,8,3,9,3,0,5,0,0,0,0,0,0,0,0,0,8,3,9,0,0,0,0,0,0,100,100,100,37.5,0,55.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,0,5
SSC50019,127,82,210,54,19,66,21,25,42,7,8,15,4,0,3,84,49,127,32,35,69,4.8,0,2.4,66.1,59.8,60.5,64.6,63.4,58.6,0,4,4,0,0,0,8,4,16,5,3,9,46,5,49,0,0,0,0,8,8,48,12,54,116,84,205,14,11,20,91,63,157,30,26,64
SSC50020,29,24,50,13,4,15,4,12,13,3,0,3,3,0,3,24,14,37,7,6,12,12.5,0,8.1,82.8,58.3,74,69,66.7,62,0,0,0,0,3,3,0,3,3,0,0,3,12,6,17,0,0,0,0,0,3,15,6,20,29,18,48,5,0,6,23,14,41,9,3,18
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,2782,3028,5806,1234,646,1881,432,794,1227,52,70,124,108,100,207,1826,1612,3440,743,1201,1948,5.9,6.2,6,65.6,53.2,59.2,61.8,49.9,55.7,299,228,525,82,128,207,816,840,1652,270,306,575,322,165,487,13,21,33,36,78,112,369,267,640,2471,2686,5161,583,587,1173,1532,1696,3230,1436,1508,2944
SSC50023,25,20,40,13,5,22,0,4,4,0,0,0,0,0,0,18,17,30,8,6,13,0,0,0,72,85,75,52,45,65,0,0,0,0,0,0,0,4,3,0,4,4,6,4,6,0,0,0,0,0,0,6,4,6,26,24,47,4,4,7,14,13,30,9,9,23
SSC50024,1648,1828,3476,745,420,1160,257,523,782,38,58,91,84,64,151,1123,1068,2185,459,706,1163,7.5,6,6.9,68.1,58.4,62.9,63.1,54.8,58.5,175,143,319,43,90,133,418,493,913,176,198,375,215,104,317,4,22,23,15,37,54,231,163,389,1571,1727,3295,311,349,657,1031,1161,2194,805,871,1672
SSC50025,210,213,425,97,50,146,22,68,86,13,10,22,10,3,8,138,128,264,64,78,134,7.2,2.3,3,65.7,60.1,62.1,62.9,60.1,59.8,4,3,8,0,10,12,25,39,57,28,22,46,69,26,104,3,5,11,3,4,10,77,40,119,213,232,444,25,26,50,164,175,335,75,72,153
SSC50026,5247,5679,10925,1883,1016,2900,521,995,1523,161,160,329,453,356,810,3023,2533,5558,1687,2570,4254,15,14.1,14.6,57.6,44.6,50.9,48.9,38.2,43.5,62,79,144,34,44,78,229,386,615,279,430,715,1248,722,1969,80,133,217,84,140,228,1417,1002,2412,4732,4889,9622,999,1191,2187,2970,2987,5962,2427,2767,5195
SSC50027,24,14,40,16,7,23,3,4,8,0,0,0,0,0,0,15,14,28,4,4,5,0,0,0,62.5,100,70,79.2,78.6,77.5,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,22,18,40,0,0,0,18,14,32,4,0,10
SSC50028,5,3,9,3,0,3,0,3,5,0,3,5,0,0,0,5,3,9,0,0,0,0,0,0,100,100,100,60,200,144.4,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,12,0,0,0,4,0,4,3,3,11
SSC50029,14,16,35,14,9,20,0,3,3,0,0,3,0,0,0,15,14,30,0,3,3,0,0,0,107.1,87.5,85.7,100,75,74.3,0,0,0,0,0,0,3,3,6,3,5,8,0,0,3,0,0,0,3,0,3,4,0,6,20,13,36,0,0,0,19,11,33,0,3,3
SSC50030,47,43,89,21,4,24,3,18,21,3,0,3,3,0,0,33,25,53,9,19,24,9.1,0,0,70.2,58.1,59.6,57.4,51.2,53.9,0,0,0,0,4,4,3,7,10,0,7,11,3,0,7,0,0,0,5,0,4,7,4,7,42,48,88,3,5,10,35,35,72,6,13,21
SSC50031,1101,1116,2219,533,377,907,126,261,383,50,33,80,39,34,77,747,711,1458,245,308,551,5.2,4.8,5.3,67.8,63.7,65.7,64.4,60.1,61.7,57,50,105,22,39,56,149,187,338,112,116,224,224,98,320,4,4,17,16,32,51,252,131,387,919,926,1844,197,202,403,545,547,1092,533,551,1084
SSC50032,972,1133,2102,481,275,756,129,249,382,33,25,54,38,47,81,675,602,1275,239,486,724,5.6,7.8,6.4,69.4,53.1,60.7,66.2,48.5,56.7,25,27,49,14,16,29,94,151,243,82,112,198,283,142,424,11,22,34,23,35,55,322,196,520,970,1109,2078,163,195,361,594,681,1277,470,539,1004
SSC50033,3,6,10,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,100,0,30,100,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,9,10,0,0,0,3,0,5,0,0,3
SSC50034,542,541,1082,196,130,326,93,124,218,16,9,24,41,28,69,348,291,636,156,217,378,11.8,9.6,10.8,64.2,53.8,58.8,56.3,48.6,52.5,13,27,43,14,11,26,59,98,156,45,49,89,122,51,175,5,12,12,5,12,21,139,72,209,512,514,1026,85,79,165,356,334,692,230,249,476
SSC50035,2401,2705,5106,1153,603,1751,323,787,1112,62,89,144,109,72,184,1652,1546,3194,639,1031,1670,6.6,4.7,5.8,68.8,57.2,62.6,64.1,54.7,58.9,201,153,361,63,97,157,573,662,1238,244,281,531,406,169,571,17,17,31,46,83,126,462,266,733,2371,2674,5041,373,456,827,1578,1744,3324,1086,1328,2412
SSC50036,3247,3459,6712,1923,1010,2933,386,1190,1577,96,123,217,207,135,342,2611,2459,5071,519,897,1419,7.9,5.5,6.7,80.4,71.1,75.6,74.1,67.2,70.4,165,124,289,62,111,169,481,661,1135,276,379,661,829,384,1212,38,52,94,46,88,140,920,524,1446,3546,3728,7271,613,619,1230,2379,2534,4911,1582,1604,3183
SSC50037,2122,2306,4433,1345,651,1996,234,740,968,78,94,174,101,106,203,1755,1590,3343,273,601,868,5.8,6.7,6.1,82.7,69,75.4,78.1,64.4,70.8,121,111,237,43,60,103,376,529,907,211,288,499,547,266,815,23,39,63,32,52,84,596,366,959,2375,2478,4847,482,512,995,1196,1223,2418,1391,1483,2872
SSC50038,610,647,1252,130,84,217,87,138,230,32,20,54,29,15,42,274,258,537,296,340,635,10.6,5.8,7.8,44.9,39.9,42.9,40.8,37.4,40,13,7,14,4,3,9,49,53,99,32,66,103,176,81,261,4,18,23,10,26,38,195,123,318,543,566,1109,74,92,161,368,395,762,229,242,469
SSC50039,5274,5650,10921,2686,1205,3894,473,1618,2084,210,181,393,307,279,591,3677,3284,6960,1189,1961,3152,8.3,8.5,8.5,69.7,58.1,63.7,63.9,53.2,58.3,62,61,120,41,108,142,352,619,967,365,546,916,1675,879,2552,72,133,204,106,159,269,1857,1171,3031,5295,5516,10811,1059,1143,2196,2998,3126,6120,2977,3184,6165
SSC50040,3547,3877,7425,2256,1292,3549,350,1094,1445,122,124,244,208,200,406,2937,2707,5642,415,999,1416,7.1,7.4,7.2,82.8,69.8,76,76.9,64.7,70.5,87,97,179,38,73,104,353,572,927,378,506,881,1027,565,1597,48,73,119,43,93,132,1119,730,1848,3275,3431,6705,1236,1314,2555,1315,1313,2632,2876,3128,6003
SSC50041,4,3,8,3,0,3,0,0,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,75,0,87.5,75,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,3,0,6,0,0,0,3,0,3
SSC50042,6,9,15,6,3,8,0,3,3,0,0,0,0,0,0,6,7,9,0,0,0,0,0,0,100,77.8,60,100,66.7,73.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,11,0,0,0,8,3,13,0,3,3
SSC50043,19,17,42,14,4,21,0,8,11,0,0,0,0,0,0,17,12,34,0,6,7,0,0,0,89.5,70.6,81,73.7,70.6,76.2,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,3,4,6,8,26,25,51,3,3,6,21,19,38,8,5,13
SSC50044,10,9,23,9,4,11,0,3,3,0,0,0,0,0,0,10,6,19,0,0,3,0,0,0,100,66.7,82.6,90,77.8,60.9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,12,5,15,0,0,3,8,3,9,7,6,8
SSC50045,22,13,34,16,3,19,0,3,3,0,0,0,0,0,0,18,7,21,3,3,3,0,0,0,81.8,53.8,61.8,72.7,46.2,64.7,0,0,0,0,0,0,0,3,3,0,0,0,3,3,9,0,3,3,0,0,0,5,4,9,21,16,34,0,0,0,15,12,25,7,0,4
SSC50046,7,5,16,9,4,12,0,3,3,0,0,0,0,0,0,9,7,13,3,0,3,0,0,0,128.6,140,81.3,128.6,140,93.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,20,4,0,3,10,3,14,3,4,7
SSC50047,4,4,14,3,4,4,0,0,0,0,0,0,0,0,0,5,4,8,0,3,3,0,0,0,125,100,57.1,75,100,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,6,5,13,0,0,0,3,5,7,0,3,3
SSC50048,87,75,165,57,37,100,12,20,34,0,0,3,3,0,4,77,61,142,10,15,21,3.9,0,2.8,88.5,81.3,86.1,79.3,76,83,0,0,0,0,3,3,6,18,22,4,7,8,19,13,32,0,0,0,3,3,4,20,13,32,83,82,165,11,8,24,56,44,106,29,36,68
SSC50049,10,6,11,3,0,3,0,0,0,0,0,0,0,0,0,3,0,8,3,3,8,0,0,0,30,0,72.7,30,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,9,0,0,0,3,9,9,0,0,0
SSC50050,25,16,40,12,3,14,0,3,0,0,3,0,0,0,0,9,7,20,3,6,4,0,0,0,36,43.8,50,48,56.3,35,0,0,0,0,0,0,0,3,3,0,0,0,10,3,12,0,0,0,0,0,0,10,5,10,12,11,25,0,0,3,10,8,23,4,6,8
SSC50051,448,459,904,194,130,324,45,97,144,27,19,47,28,13,39,284,264,552,137,168,312,9.9,4.9,7.1,63.4,57.5,61.1,59.4,53.6,57,6,3,8,3,3,4,11,33,41,25,49,75,169,60,232,5,17,24,8,12,20,184,90,277,485,464,946,44,43,87,336,327,662,170,166,338
SSC50052,62,71,131,34,27,59,9,15,25,0,5,6,0,0,0,48,48,88,12,17,26,0,0,0,77.4,67.6,67.2,69.4,66.2,68.7,0,0,0,0,0,0,0,3,7,0,3,9,12,13,20,3,0,4,0,0,3,19,10,26,66,70,132,4,4,14,56,55,112,18,14,33
SSC50053,4242,4573,8811,1875,1091,2963,543,1032,1575,121,134,255,213,159,369,2745,2422,5158,1147,1739,2886,7.8,6.6,7.2,64.7,53,58.5,59.9,49.4,54.4,146,140,286,52,105,153,561,746,1305,382,402,781,943,419,1363,37,42,78,55,107,157,1034,564,1599,3734,4058,7796,764,743,1504,2413,2719,5128,1930,1907,3837
SSC50054,11150,11890,23041,6398,3298,9690,1000,3104,4101,459,442,900,593,664,1259,8451,7507,15956,1728,3539,5269,7,8.8,7.9,75.8,63.1,69.3,70.5,57.6,63.8,189,189,379,89,214,307,825,1455,2280,922,1329,2252,3670,1957,5626,125,278,398,185,330,514,3973,2561,6537,10750,11209,21961,2913,3210,6121,4201,4247,8450,8384,9180,17572
SSC50055,5254,4989,10241,2098,1128,3225,739,1003,1738,146,146,288,418,297,718,3399,2571,5966,1340,1956,3297,12.3,11.6,12,64.7,51.5,58.3,56.8,45.6,51.3,152,134,291,45,66,106,522,626,1146,450,477,928,997,541,1536,79,81,164,96,111,202,1174,737,1909,4155,3998,8153,1458,1323,2781,2103,2071,4173,3166,2933,6093
SSC50056,225,256,476,78,44,115,22,66,95,9,12,20,8,9,17,118,126,251,87,110,194,6.8,7.1,6.8,52.4,49.2,52.7,48.4,47.7,48.3,7,6,15,3,12,9,28,40,61,33,37,67,56,27,78,6,8,11,4,9,14,64,38,102,207,232,446,20,31,51,167,175,342,58,83,139
SSC50057,16,8,20,5,0,9,0,0,0,0,0,0,0,0,3,10,3,7,4,8,9,0,0,42.9,62.5,37.5,35,31.3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,10,19,3,3,6,5,4,9,5,4,14
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,32,27,61,10,3,10,3,9,19,3,3,8,0,3,3,18,21,40,13,10,20,0,14.3,7.5,56.3,77.8,65.6,50,55.6,60.7,3,0,3,0,0,0,3,0,6,0,3,9,11,4,13,0,0,0,0,0,4,8,5,20,35,34,67,3,0,3,23,22,46,10,8,18
SSC50060,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50061,7423,7560,14981,3528,1922,5455,1022,2111,3131,253,249,502,491,406,897,5285,4691,9984,1789,2607,4396,9.3,8.7,9,71.2,62.1,66.6,64.7,56.6,60.7,126,133,257,60,105,169,636,855,1489,529,652,1176,1894,877,2772,74,128,200,98,198,302,2067,1209,3278,7784,7948,15734,847,838,1687,5806,5929,11732,2550,2568,5123
SSC50062,12,15,19,9,3,7,0,0,0,3,0,4,0,0,0,11,10,16,0,0,5,0,0,0,91.7,66.7,84.2,100,20,57.9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,3,6,9,15,24,0,0,0,6,8,13,0,4,5
SSC50063,37,22,59,9,5,18,8,4,6,0,0,3,3,0,7,23,8,33,13,10,26,13,0,21.2,62.2,36.4,55.9,45.9,40.9,45.8,0,0,0,0,0,0,3,0,3,0,3,7,7,0,13,0,0,0,0,0,0,7,4,10,31,22,58,0,4,4,29,14,40,9,7,16
SSC50064,24,14,41,4,4,7,3,6,10,0,0,0,0,0,0,7,5,17,9,7,16,0,0,0,29.2,35.7,41.5,29.2,71.4,41.5,0,0,0,0,0,0,0,3,4,0,4,6,9,3,10,0,0,0,0,0,0,9,3,10,13,18,33,7,3,10,16,13,26,4,5,8
SSC50065,24,20,40,6,5,14,0,4,7,0,0,0,0,0,0,8,16,26,6,3,13,0,0,0,33.3,80,65,25,45,52.5,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,0,0,0,0,0,0,4,0,6,12,16,27,3,4,9,14,12,23,5,5,12
SSC50066,115,123,237,66,26,93,10,36,49,12,13,23,0,0,3,89,80,165,18,35,54,0,0,1.8,77.4,65,69.6,76.5,61,69.6,0,0,0,0,0,3,11,12,25,4,12,13,41,24,68,0,3,3,0,4,5,43,28,72,113,124,233,16,19,28,63,72,132,62,56,121
SSC50067,153,38,189,100,14,115,8,3,9,7,0,7,21,12,29,132,30,163,6,11,16,15.9,40,17.8,86.3,78.9,86.2,75.2,44.7,69.3,0,0,0,3,0,3,15,3,18,4,0,6,43,5,50,0,0,0,7,4,17,52,10,63,120,43,163,32,9,42,54,24,74,98,25,116
SSC50068,860,845,1711,457,261,714,129,226,349,30,27,53,43,31,72,647,544,1193,155,256,409,6.6,5.7,6,75.2,64.4,69.7,71.6,60.8,65.2,47,36,88,10,19,33,122,141,265,78,88,167,246,94,343,10,16,28,6,34,45,271,142,416,654,621,1276,312,311,621,467,452,914,455,452,903
SSC50069,3258,3531,6793,1891,1090,2979,370,931,1301,122,157,279,225,219,445,2605,2392,5003,437,949,1388,8.6,9.2,8.9,80,67.7,73.6,73.1,61.7,67.1,79,82,161,38,62,96,271,539,812,286,441,722,956,560,1513,39,71,112,55,84,130,1046,714,1760,3200,3396,6591,917,971,1890,1337,1362,2698,2421,2668,5090
SSC50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50071,94,31,123,70,7,77,4,8,14,8,3,14,0,0,0,84,21,102,0,7,7,0,0,0,89.4,67.7,82.9,87.2,58.1,85.4,3,0,3,0,3,3,12,5,18,11,3,9,34,4,40,0,0,0,0,0,3,34,4,38,65,28,98,24,5,25,33,22,54,50,18,64
SSC50072,11,8,21,9,0,12,0,0,6,0,0,0,0,0,0,7,3,16,3,5,4,0,0,0,63.6,37.5,76.2,81.8,0,85.7,0,0,0,0,0,0,0,3,3,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,9,10,21,0,0,0,9,7,15,3,0,0
SSC50073,11,5,12,6,0,4,0,0,0,0,0,0,0,0,0,4,5,11,3,3,3,0,0,0,36.4,100,91.7,54.5,0,33.3,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,4,4,7,3,6,10,3,6,10
SSC50074,9,11,21,4,0,3,0,3,3,0,0,0,0,0,0,4,3,11,6,3,3,0,0,0,44.4,27.3,52.4,44.4,27.3,28.6,0,0,0,0,0,0,0,0,0,0,5,5,3,0,3,0,0,0,0,0,0,3,0,3,15,5,17,0,0,0,12,3,15,0,0,4
SSC50075,376,362,737,158,70,228,47,114,163,19,13,28,18,19,39,247,213,457,115,140,250,7.3,8.9,8.5,65.7,58.8,62,59.6,54.4,56.9,0,6,9,4,7,12,19,31,45,15,30,43,106,50,152,3,8,19,0,13,18,114,73,184,385,361,745,55,55,103,301,279,588,123,133,254
SSC50076,1813,151,1961,1267,106,1371,46,10,56,105,12,120,6,0,6,1424,127,1551,20,3,21,0.4,0,0.4,78.5,84.1,79.1,78.2,84.8,78.9,20,3,26,4,4,11,136,24,160,130,7,138,729,23,751,15,0,17,28,7,34,765,29,799,1106,79,1185,314,38,356,376,22,401,1047,98,1147
SSC50077,127,121,244,58,34,91,16,34,49,4,3,10,9,4,13,84,75,158,30,44,75,10.7,5.3,8.2,66.1,62,64.8,61.4,58.7,61.5,3,3,8,3,5,7,18,21,41,6,12,24,27,13,35,0,0,3,0,7,7,27,18,42,119,111,231,14,19,36,93,94,180,46,39,85
SSC50078,4079,4392,8466,1998,1233,3225,493,1108,1598,120,145,267,243,174,411,2852,2659,5512,992,1494,2484,8.5,6.5,7.5,69.9,60.5,65.1,64,56.6,60.1,170,193,370,90,156,244,597,847,1440,359,457,820,959,459,1411,38,54,93,55,87,139,1044,601,1648,3900,4048,7948,695,726,1418,2531,2668,5201,1864,1935,3799
SSC50079,1484,1590,3075,660,389,1051,243,436,682,33,33,69,85,68,159,1031,924,1959,399,600,992,8.2,7.4,8.1,69.5,58.1,63.7,63.1,54,58.6,145,102,243,35,43,87,377,439,816,123,181,313,236,87,329,7,7,21,21,43,65,265,140,413,1477,1564,3046,227,216,443,1059,1129,2195,613,598,1208
SSC50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50081,1536,1467,3004,970,526,1492,97,299,399,66,55,124,46,67,115,1176,946,2127,115,299,413,3.9,7.1,5.4,76.6,64.5,70.8,73.8,60,67.1,42,48,86,12,53,64,134,245,384,120,148,272,515,184,700,16,43,60,24,29,53,558,252,807,1161,1093,2254,674,648,1323,252,229,481,1388,1323,2705
