SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50001,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,5,0,3,0,0,0,29,..,0,4,11,3,3,3,0,0,26,..,0,0,3,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,17,..,..,..,..,..,..,..,..,17,..,8,..,..,..,..,..,..,..,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,13,3,18,7,4,3,0,0,62
SSC50002,..,0,0,0,0,0,0,3,0,5,..,0,4,0,7,7,17,5,9,44,3,5,0,4,0,5,0,0,0,16,125,66,64,95,81,67,47,32,12,584,..,0,69,108,117,88,65,45,10,497,..,16,23,28,23,12,12,0,0,111,..,0,4,15,8,5,0,0,0,36,294,..,..,..,..,..,..,..,..,294,..,54,..,..,..,..,..,..,..,54,..,32,6,0,0,0,0,0,0,43,..,0,3,0,0,0,3,0,0,8,..,3,0,0,0,0,0,0,0,3,..,0,4,0,0,0,0,3,0,11,..,0,7,3,11,17,22,7,9,77,3,6,3,4,0,3,0,0,0,25,296,113,116,160,163,130,95,57,19,1148
SSC50003,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,11,4,3,3,12,3,0,3,0,47,..,0,3,9,14,8,3,0,0,42,..,0,3,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,25,..,..,..,..,..,..,..,..,25,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,7,..,0,0,0,0,3,3,5,0,7,0,0,0,0,0,0,0,0,0,0,25,8,11,13,12,14,7,4,0,89
SSC50004,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,15,..,0,3,4,5,5,3,0,0,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,7,..,..,..,..,..,..,..,..,7,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,3,7,4,5,3,0,0,30
SSC50005,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,3,3,0,0,0,25,..,0,3,5,4,3,0,0,0,19,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,8,15,..,..,..,..,..,..,..,..,15,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,8,9,6,3,5,8,3,0,58
SSC50006,..,3,7,0,0,5,7,0,0,16,..,3,7,6,11,24,24,29,9,114,0,3,3,0,0,4,4,5,0,19,66,61,50,54,96,135,87,45,22,607,..,0,23,51,92,130,102,38,10,449,..,9,29,13,33,45,14,0,0,144,..,0,0,12,14,6,3,4,3,48,137,..,..,..,..,..,..,..,..,137,..,44,..,..,..,..,..,..,..,44,..,29,11,0,3,3,4,0,0,53,..,3,0,0,0,3,3,0,3,10,..,0,0,3,0,0,0,0,0,5,..,3,20,0,3,8,9,0,0,41,..,6,22,5,27,41,49,32,18,200,0,6,4,0,3,3,11,5,0,32,137,100,113,87,184,247,189,82,33,1178
SSC50007,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,0,5,0,0,21,..,0,0,7,10,4,7,0,0,26,..,4,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,6,7,10,4,10,0,0,45
SSC50008,..,12,10,3,10,7,4,3,0,42,..,5,15,14,19,57,54,50,19,229,3,14,11,3,4,11,9,0,0,53,732,527,488,502,557,529,260,142,39,3779,..,27,359,618,787,701,325,145,22,2986,..,48,160,120,100,61,20,0,0,515,..,12,51,66,101,60,20,19,5,338,1502,..,..,..,..,..,..,..,..,1502,..,532,..,..,..,..,..,..,..,532,..,344,211,60,24,17,0,0,0,652,..,75,48,13,24,33,32,20,10,249,..,31,35,14,9,10,3,0,0,103,..,25,45,41,24,19,11,9,0,174,..,12,35,46,52,99,82,69,21,420,11,22,22,9,8,14,11,3,0,109,1514,1142,965,991,1139,1007,498,259,62,7568
SSC50009,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,4,0,0,3,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,12
SSC50010,..,4,8,3,0,0,0,0,0,22,..,0,12,7,11,23,25,26,17,114,3,0,5,0,0,8,0,3,3,22,240,117,145,187,184,155,102,62,34,1224,..,0,112,268,238,194,145,66,19,1047,..,12,56,32,25,11,9,0,0,145,..,0,3,19,25,17,4,5,11,84,508,..,..,..,..,..,..,..,..,508,..,145,..,..,..,..,..,..,..,145,..,63,39,8,10,6,3,0,0,126,..,19,10,0,0,5,0,0,3,45,..,9,7,3,0,0,0,0,0,19,..,8,22,3,0,0,3,0,0,46,..,7,18,16,27,33,40,38,22,198,7,4,5,3,3,7,0,4,3,36,514,270,273,348,336,280,209,117,56,2402
SSC50011,..,26,19,0,0,0,0,0,0,42,..,14,39,21,24,31,16,4,0,160,7,13,9,3,3,3,0,0,0,39,753,434,748,453,327,147,84,16,0,2955,..,48,638,579,391,164,103,15,3,1945,..,209,471,125,75,14,10,3,0,903,..,21,60,73,63,17,10,0,0,237,1494,..,..,..,..,..,..,..,..,1494,..,236,..,..,..,..,..,..,..,236,..,148,38,12,5,0,0,0,0,205,..,39,25,4,9,14,13,3,0,103,..,15,14,8,0,0,0,0,0,40,..,40,47,3,5,3,0,0,0,103,..,30,107,75,53,42,26,4,0,333,19,33,19,7,5,6,3,0,0,80,1508,816,1412,872,611,260,161,28,3,5672
SSC50012,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,..,0,0,3,3,6,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,6,0,0,0,16
SSC50013,..,0,0,0,0,0,0,0,0,4,..,5,0,0,3,3,8,0,0,21,3,0,0,0,0,0,3,0,0,5,72,28,26,40,54,45,23,5,0,294,..,3,18,44,67,61,34,11,3,241,..,0,9,15,16,11,0,0,0,55,..,0,3,5,3,3,0,0,0,15,135,..,..,..,..,..,..,..,..,135,..,23,..,..,..,..,..,..,..,23,..,27,4,0,0,0,0,0,0,30,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,4,6,4,8,14,14,0,0,52,4,3,0,0,3,0,3,0,0,13,137,61,45,72,100,94,48,12,4,578
SSC50014,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,7,6,5,4,0,0,48,..,0,3,10,13,10,10,3,0,48,..,0,4,0,3,6,0,0,0,12,..,0,0,0,0,0,0,0,0,0,28,..,..,..,..,..,..,..,..,28,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,3,..,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,28,3,14,8,20,20,15,3,0,108
SSC50015,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,7
SSC50016,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,8,62,23,15,38,32,28,22,3,0,226,..,0,8,58,49,37,30,8,0,192,..,3,13,5,9,5,0,0,0,40,..,0,0,0,6,0,4,0,0,9,111,..,..,..,..,..,..,..,..,111,..,19,..,..,..,..,..,..,..,19,..,15,5,0,3,0,0,0,0,19,..,3,3,0,0,0,4,0,0,14,..,4,0,0,0,0,0,0,0,3,..,0,0,0,0,3,0,0,0,4,..,0,0,0,0,9,3,0,0,10,3,4,0,0,0,0,0,0,0,10,114,51,31,69,74,51,40,7,3,438
SSC50017,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,7,0,0,0,21,..,0,0,8,3,7,3,0,0,29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,3,6,4,9,3,11,3,0,0,44
SSC50018,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,9
SSC50019,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,13,5,22,15,20,12,3,0,97,..,0,4,18,24,27,16,4,0,96,..,0,0,7,5,4,0,0,0,21,..,0,0,0,0,0,0,0,0,5,35,..,..,..,..,..,..,..,..,35,..,16,..,..,..,..,..,..,..,16,..,15,7,0,0,0,0,0,0,18,..,0,0,0,0,3,3,0,0,6,..,3,0,0,3,0,0,0,0,5,..,0,0,0,0,3,0,0,0,3,..,0,5,0,0,0,3,0,0,10,0,0,0,0,0,0,3,0,0,9,35,35,19,30,36,36,34,3,0,228
SSC50020,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,0,0,27,..,0,0,4,12,12,5,0,0,32,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,5,..,..,..,..,..,..,..,5,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,5,5,4,12,7,11,3,0,54
SSC50021,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,..,21,28,4,5,5,0,3,0,65,..,18,32,23,28,61,86,64,53,372,6,12,12,3,5,4,9,5,0,58,510,409,378,420,449,462,366,184,84,3254,..,7,231,539,639,638,491,242,57,2847,..,43,139,58,48,42,32,3,0,368,..,0,15,45,71,42,10,10,15,208,1026,..,..,..,..,..,..,..,..,1026,..,428,..,..,..,..,..,..,..,428,..,181,119,34,9,19,0,0,0,360,..,61,31,4,0,8,16,6,11,135,..,13,19,5,8,3,0,0,0,47,..,36,63,13,5,10,4,7,3,137,..,36,68,48,75,100,121,85,70,599,8,22,25,9,7,8,13,8,0,102,1038,827,720,754,862,864,684,364,149,6264
SSC50023,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,3,0,5,3,3,3,0,27,..,0,5,3,12,4,0,0,0,25,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,15,..,..,..,..,..,..,..,..,15,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,15,3,3,8,15,10,5,4,0,53
SSC50024,..,29,12,0,0,3,0,0,0,47,..,10,12,0,17,38,57,45,33,215,0,9,0,0,0,3,4,3,0,25,379,294,209,269,303,296,200,117,66,2133,..,0,149,419,390,412,253,128,49,1802,..,15,68,21,20,35,5,3,0,175,..,0,8,19,68,38,10,5,11,162,731,..,..,..,..,..,..,..,..,731,..,337,..,..,..,..,..,..,..,337,..,102,79,17,13,7,4,0,0,222,..,22,18,6,3,9,9,4,9,81,..,21,20,3,3,4,0,0,0,53,..,42,46,7,8,9,3,0,0,116,..,13,21,14,43,57,69,65,40,317,0,12,7,0,3,3,7,3,0,38,731,576,416,510,542,574,365,208,111,4026
SSC50025,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,9,0,0,11,0,0,0,0,0,0,0,0,0,3,60,21,13,33,50,36,30,7,3,250,..,0,7,48,68,60,36,15,3,240,..,0,8,4,12,8,6,0,0,41,..,0,0,3,6,3,0,0,0,13,106,..,..,..,..,..,..,..,..,106,..,23,..,..,..,..,..,..,..,23,..,23,3,0,0,0,0,0,0,25,..,0,0,0,0,3,4,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,..,0,0,0,3,3,9,0,0,19,4,0,0,0,0,0,0,0,0,10,114,51,18,61,92,84,55,15,8,491
SSC50026,..,30,28,17,29,27,18,5,0,155,..,27,68,70,101,168,203,182,74,895,28,24,25,25,20,19,13,12,11,179,1213,810,908,731,742,748,598,396,137,6277,..,68,616,567,511,640,574,339,68,3387,..,259,360,178,191,86,32,6,0,1111,..,85,187,261,224,121,62,37,30,1015,2441,..,..,..,..,..,..,..,..,2441,..,377,..,..,..,..,..,..,..,377,..,435,211,114,56,36,8,0,0,850,..,118,54,20,43,71,49,22,10,396,..,69,45,26,21,14,4,0,0,172,..,77,72,55,82,64,34,12,4,397,..,49,162,201,254,335,332,266,108,1709,54,54,67,47,37,32,21,16,14,349,2500,1599,1773,1468,1413,1395,1118,702,234,12200
SSC50027,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,19,..,0,3,0,0,3,4,0,0,16,..,0,0,0,3,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,11,..,..,..,..,..,..,..,..,11,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,3,3,5,14,4,0,0,40
SSC50028,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,..,0,5,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,12
SSC50029,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,3,0,0,0,13,..,0,4,8,3,6,0,0,0,25,..,0,3,0,3,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,12,..,..,..,..,..,..,..,..,12,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,8,8,6,0,0,0,41
SSC50030,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,6,15,0,4,0,10,6,0,8,0,53,..,0,6,3,17,7,7,3,4,47,..,0,0,0,3,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,17,..,..,..,..,..,..,..,..,17,..,0,..,..,..,..,..,..,..,0,..,7,3,0,0,0,0,0,0,9,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,5,7,0,0,0,0,0,0,0,0,3,21,9,7,8,25,9,6,8,4,94
SSC50031,..,16,17,3,3,4,0,0,0,51,..,5,16,11,21,23,23,9,4,117,3,10,8,0,4,3,3,0,0,33,150,140,167,158,170,189,123,28,13,1142,..,8,83,191,184,232,158,53,7,907,..,25,67,41,53,28,18,5,0,238,..,0,12,16,34,20,7,6,3,90,315,..,..,..,..,..,..,..,..,315,..,92,..,..,..,..,..,..,..,92,..,67,51,3,7,5,0,0,0,127,..,12,7,4,3,3,8,6,4,44,..,3,4,3,0,6,3,0,0,25,..,29,49,12,15,14,9,0,3,136,..,11,29,35,34,43,44,18,4,223,12,9,9,0,7,5,4,3,0,49,327,272,314,298,333,361,243,86,18,2252
SSC50032,..,3,3,0,4,0,3,0,0,19,..,0,16,7,12,23,64,78,13,211,0,0,10,0,0,0,3,7,0,26,277,130,198,197,137,105,141,136,21,1341,..,11,182,267,176,121,119,99,24,1001,..,29,84,35,27,7,3,4,0,194,..,3,10,25,32,8,5,9,0,99,528,..,..,..,..,..,..,..,..,528,..,107,..,..,..,..,..,..,..,107,..,81,38,4,3,3,0,0,0,135,..,9,10,8,0,6,3,0,0,46,..,5,3,3,3,0,0,0,0,17,..,14,13,4,4,0,6,3,0,43,..,5,22,13,22,36,75,93,20,275,4,0,12,0,4,3,3,7,0,41,531,271,377,364,272,189,213,214,46,2477
SSC50033,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SSC50034,..,0,12,5,4,0,0,0,0,22,..,0,5,0,5,25,16,23,7,83,0,0,0,3,5,0,3,0,0,14,105,56,114,88,84,62,47,46,7,617,..,6,84,94,60,55,45,34,0,384,..,4,44,35,22,10,5,5,0,128,..,0,8,19,19,10,8,3,0,70,226,..,..,..,..,..,..,..,..,226,..,47,..,..,..,..,..,..,..,47,..,36,20,6,6,3,0,0,0,73,..,14,8,4,3,6,0,3,3,39,..,3,6,3,3,0,0,0,0,21,..,0,21,18,11,10,0,0,0,58,..,0,16,13,32,37,28,30,16,168,6,3,7,7,4,3,4,3,0,32,226,116,221,195,162,130,96,79,22,1246
SSC50035,..,18,35,12,3,4,0,0,0,67,..,8,30,16,27,48,56,68,41,286,3,14,10,0,8,0,4,3,0,53,565,410,261,399,502,332,272,193,83,3014,..,8,176,521,694,502,376,234,71,2571,..,17,86,62,78,36,11,3,0,290,..,0,7,41,69,28,15,13,15,186,1100,..,..,..,..,..,..,..,..,1100,..,472,..,..,..,..,..,..,..,472,..,183,94,25,24,16,0,0,0,345,..,15,4,7,4,5,9,7,4,53,..,11,4,3,3,0,0,0,0,24,..,25,75,21,8,7,5,0,0,145,..,19,47,39,61,81,84,88,60,486,14,17,16,10,13,7,12,3,0,100,1112,774,511,719,947,679,512,355,150,5764
SSC50036,..,16,25,3,7,13,5,0,0,69,..,13,22,23,28,41,29,22,3,178,12,17,3,9,13,0,3,3,0,59,1118,616,581,886,663,328,174,72,18,4456,..,11,506,1263,980,420,239,82,8,3504,..,57,209,165,84,22,11,0,0,559,..,5,34,101,111,35,10,7,4,311,2278,..,..,..,..,..,..,..,..,2278,..,638,..,..,..,..,..,..,..,638,..,344,108,27,15,5,0,0,0,498,..,66,38,14,16,27,19,10,5,194,..,31,43,17,6,3,3,0,0,100,..,33,66,21,15,17,12,3,3,163,..,18,67,55,48,62,37,22,3,321,12,33,12,17,18,3,3,4,0,103,2294,1242,1081,1668,1298,595,336,138,27,8674
