SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC51419,0,4,6,41,48,26,37,69,50,269
SSC51420,0,0,3,32,31,16,24,33,36,164
SSC51421,0,0,0,0,0,0,0,0,0,5
SSC51422,0,0,3,110,35,7,3,33,118,299
SSC51423,0,0,3,6,4,4,0,0,0,14
SSC51424,12,4,39,1662,1937,825,684,1381,347,6832
SSC51425,3,0,12,225,335,127,116,162,76,1036
SSC51426,0,0,0,8,5,0,5,5,4,26
SSC51427,0,0,0,13,10,10,0,0,6,31
SSC51428,0,0,0,19,25,13,8,14,11,86
SSC51429,0,0,0,117,164,51,17,253,189,785
SSC51430,0,0,0,5,5,7,6,7,3,31
SSC51431,0,0,3,18,46,32,38,29,25,190
SSC51432,0,0,0,12,4,7,10,10,0,48
SSC51433,0,0,0,8,16,0,0,3,3,39
SSC51434,0,0,0,0,0,0,0,0,0,0
SSC51435,4,0,20,871,1090,534,393,667,186,3741
SSC51436,0,0,0,13,10,9,12,16,12,71
SSC51437,115,48,269,4073,4813,2130,1859,4683,1156,18709
SSC51438,7,0,14,57,54,37,39,79,44,303
SSC51439,0,0,0,5,18,5,11,17,5,58
SSC51440,0,0,0,4,0,0,0,0,0,5
SSC51441,0,0,0,14,10,5,5,4,4,43
SSC51442,0,0,0,8,13,10,4,13,4,57
SSC51443,3,0,0,447,578,208,239,373,244,2086
SSC51444,0,0,0,3,3,4,3,4,0,22
SSC51445,9,0,17,200,279,159,183,230,133,1183
SSC51446,0,0,0,3,3,6,0,0,3,11
SSC51447,0,0,0,0,0,0,0,0,0,0
SSC51448,0,0,0,3,4,0,0,0,0,4
SSC51449,0,0,3,43,79,52,48,35,20,276
SSC51450,0,0,0,11,4,9,14,8,421,468
SSC51451,0,0,0,0,0,0,0,0,0,4
SSC51452,0,0,0,0,0,0,0,0,0,0
SSC51453,0,0,3,25,21,16,13,17,22,108
SSC51454,0,4,4,9,18,19,14,4,14,82
SSC51455,0,0,0,0,0,0,0,0,0,0
SSC51456,11,10,67,583,664,316,228,369,129,2286
SSC51457,0,0,0,3,5,0,0,0,0,15
SSC51458,69,28,181,1637,1630,522,376,1411,505,6088
SSC51459,0,0,0,0,0,0,0,4,0,4
SSC51460,0,0,0,7,23,5,6,3,6,54
SSC51461,10,0,24,397,585,311,302,458,304,2362
SSC51462,0,0,0,3,13,6,4,6,6,35
SSC51463,0,0,0,7,4,6,4,0,3,22
SSC51464,0,0,0,43,54,41,32,50,30,254
SSC51465,0,0,0,0,0,0,0,0,4,4
SSC51466,0,0,4,29,43,25,21,14,27,152
SSC51467,0,0,0,0,0,0,0,0,3,5
SSC51468,3,3,7,101,125,65,66,81,34,484
SSC51469,0,0,0,7,12,12,10,3,5,46
SSC51470,0,0,0,18,28,13,17,10,8,100
SSC51471,11,3,17,345,437,197,189,379,138,1690
SSC51472,3,0,3,187,228,105,117,231,168,1036
SSC51473,0,0,0,0,0,0,0,0,0,4
SSC51474,0,0,0,9,5,5,6,7,7,36
SSC51475,4,0,5,361,519,260,227,309,136,1823
SSC51476,36,14,79,2127,2016,599,471,1748,710,7681
SSC51477,0,0,0,0,0,0,0,0,0,0
SSC51478,0,0,0,144,150,72,73,155,93,681
SSC51479,0,0,0,0,0,0,0,0,0,0
SSC51480,11,0,18,213,256,97,79,159,66,858
