SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC50083,160,158,444,2833,3621,1353,893,2280,982,11967
SSC50084,19,3,41,242,327,138,88,267,128,1194
SSC50085,0,0,3,20,37,19,17,18,7,116
SSC50086,47,15,116,1006,1164,529,391,717,310,4112
SSC50087,0,0,0,0,0,0,0,0,0,0
SSC50088,0,0,0,9,10,7,5,5,3,52
SSC50089,0,0,0,3,12,4,4,8,11,38
SSC50090,29,23,86,1311,1418,665,546,1713,469,6118
SSC50091,33,19,95,1113,1218,513,390,821,368,4421
SSC50092,7,3,16,479,594,352,307,358,151,2239
SSC50093,50,6,96,1576,1664,768,715,1968,601,7298
SSC50094,0,0,3,16,34,16,20,16,6,114
SSC50095,0,0,0,8,11,3,9,6,12,38
SSC50096,0,0,0,4,10,3,5,0,10,27
SSC50097,0,0,0,24,35,16,9,13,7,108
SSC50098,11,9,26,1360,1607,620,528,1201,384,5694
SSC50099,0,0,0,3,9,0,3,0,3,19
SSC50100,0,0,4,17,20,8,13,26,10,89
SSC50101,0,0,0,23,40,20,22,15,8,131
SSC50102,14,4,40,725,896,397,321,613,195,3137
SSC50103,0,0,3,39,49,42,44,35,16,223
SSC50104,10,4,23,260,350,156,117,261,120,1267
SSC50105,64,32,161,1312,1414,461,411,1491,691,5780
SSC50106,3,0,8,35,54,19,21,36,22,192
SSC50107,0,0,0,36,40,18,27,26,25,170
SSC50108,0,0,0,6,6,4,0,3,0,20
SSC50109,0,0,0,17,37,13,12,12,21,114
SSC50110,7,0,14,925,903,368,334,1185,265,3976
SSC50111,384,167,698,1711,1500,449,360,3080,953,8060
SSC50112,14,3,26,255,315,151,135,246,136,1237
SSC50113,0,0,0,8,6,6,0,3,0,25
SSC50114,0,0,0,0,0,0,0,0,0,0
SSC50115,5,0,7,966,1181,473,467,984,273,4343
SSC50116,14,10,36,121,221,121,152,224,149,988
SSC50117,48,38,148,1139,1380,641,442,974,317,4890
SSC50118,3,3,13,129,170,88,67,66,46,567
SSC50119,77,110,299,1341,1570,695,476,949,458,5484
SSC50120,0,0,0,0,3,0,0,0,0,5
SSC50121,0,0,0,23,39,31,22,42,19,179
SSC50122,0,0,0,6,3,0,4,3,0,18
SSC50123,4,0,4,240,308,130,65,155,118,1013
SSC50124,0,0,0,0,0,0,0,0,0,0
SSC50125,0,0,0,12,7,8,9,8,11,51
SSC50126,0,0,15,138,240,125,147,190,113,956
SSC50127,0,0,0,0,0,0,0,0,0,0
SSC50128,0,0,0,4,0,3,0,0,0,4
SSC50129,0,0,9,182,283,149,128,141,83,976
SSC50130,0,0,0,9,18,10,10,4,16,58
SSC50131,0,0,0,4,17,6,9,9,4,61
SSC50132,14,52,87,207,279,145,105,196,214,1148
SSC50133,0,0,0,11,8,9,6,11,9,53
SSC50134,0,0,0,3,12,8,3,3,3,37
SSC50135,0,0,0,5,4,0,3,0,0,22
SSC50136,0,0,3,7,13,8,3,8,10,50
SSC50137,3,3,14,163,231,112,134,176,97,906
SSC50138,0,0,0,4,4,3,3,3,0,17
SSC50139,0,0,0,7,6,5,3,5,3,31
SSC50140,0,0,0,33,28,19,24,33,4,139
SSC50141,0,0,0,7,10,3,3,3,0,21
SSC50142,0,0,0,17,39,32,31,24,16,155
SSC50143,0,0,0,25,35,16,9,12,34,134
SSC50144,0,0,0,0,3,0,0,0,0,3
SSC50145,3,0,3,23,22,15,16,13,4,99
SSC50146,0,0,0,4,4,3,8,12,3,30
SSC50147,0,0,0,0,0,0,3,0,0,7
SSC50148,137,32,294,1063,1180,642,435,961,254,4537
SSC50149,0,0,0,0,7,0,0,0,4,12
SSC50150,0,0,0,0,0,0,0,0,0,0
SSC50151,0,0,0,12,25,18,27,8,12,103
SSC50152,0,0,0,3,7,7,4,10,0,26
SSC50153,0,0,0,4,6,0,3,3,4,27
SSC50154,0,0,0,0,0,0,0,0,0,4
SSC50155,0,0,0,6,18,5,7,5,3,49
SSC50156,0,0,0,0,14,4,3,0,8,33
SSC50157,0,0,0,13,35,14,10,9,7,92
SSC50158,0,0,0,18,16,3,8,4,3,52
SSC50159,7,5,21,762,902,356,348,859,517,3742
SSC50160,0,0,0,6,12,6,6,4,3,42
SSC50161,0,4,10,104,164,122,120,153,54,720
SSC50162,0,0,0,83,91,57,65,45,21,362
SSC50163,0,0,0,11,21,6,4,7,5,59
SSC50164,0,0,0,17,15,11,7,6,3,61
SSC50165,0,0,0,17,19,13,12,12,10,84
SSC50166,0,0,0,10,7,6,4,5,3,35
SSC50167,0,0,0,16,18,4,11,4,4,59
SSC50168,8,3,12,119,170,71,71,77,19,534
SSC50169,7,0,20,169,282,149,135,164,68,970
SSC50170,0,0,0,3,5,0,4,3,3,16
SSC50171,0,0,0,7,5,5,3,3,0,23
SSC50172,18,13,34,123,171,104,116,141,97,747
SSC50173,0,0,0,642,713,233,195,605,169,2558
SSC50174,0,0,0,4,24,12,6,10,12,68
SSC50175,0,0,0,4,3,10,10,5,5,39
SSC50176,0,0,0,6,9,3,3,4,11,31
SSC50177,0,0,4,58,87,47,51,50,47,335
SSC50178,21,5,56,412,467,178,131,325,156,1674
SSC50179,0,0,0,0,0,0,3,0,0,3
SSC50180,29,14,72,361,639,377,311,389,263,2331
SSC50181,3,0,5,154,178,101,80,100,58,668
SSC50182,0,0,0,7,5,3,8,3,4,33
SSC50183,134,141,345,616,920,477,360,700,486,3564
SSC50184,0,0,0,152,161,57,54,82,44,560
SSC50185,4,4,12,141,178,77,53,157,190,795
SSC50186,0,0,0,0,0,0,3,6,3,13
SSC50187,4,0,9,408,499,215,233,539,201,2096
SSC50188,0,0,3,39,58,36,26,15,32,208
SSC50189,9,23,38,103,136,69,77,141,101,626
SSC50190,12,8,22,581,718,224,200,767,734,3226
SSC50191,0,0,0,32,20,17,10,12,15,96
SSC50192,0,4,6,31,42,27,23,47,42,202
SSC50193,0,0,0,24,40,14,12,17,3,111
SSC50194,0,0,0,0,0,0,0,0,0,0
SSC50195,0,0,3,24,32,14,7,29,28,132
SSC50196,12,3,18,99,98,81,73,144,61,557
SSC50197,6,0,11,156,232,121,116,198,96,916
SSC50198,0,0,0,5,3,3,5,3,3,19
SSC50199,0,0,0,4,8,3,3,6,13,41
SSC50200,0,0,3,457,524,218,168,441,282,2095
SSC50201,217,37,368,1528,1661,884,666,1412,276,6422
SSC50202,0,0,0,3,0,0,0,0,0,4
SSC50203,0,0,0,12,22,6,8,10,4,66
SSC50204,3,0,3,17,21,18,10,20,8,101
SSC50205,0,0,0,0,7,8,3,9,3,34
SSC50206,0,0,0,0,0,0,0,0,0,8
SSC50207,4,12,32,828,1053,525,491,727,520,4135
SSC50208,0,0,0,0,0,0,0,0,0,0
SSC50209,0,0,0,3,14,11,3,5,9,43
SSC50210,108,22,181,718,892,383,241,678,375,3284
SSC50211,0,0,0,7,0,0,0,0,0,7
SSC50212,0,0,0,10,7,5,0,0,5,19
SSC50213,0,0,0,12,9,3,8,0,13,43
SSC50214,0,0,5,10,10,3,7,8,6,44
SSC50215,0,0,0,4,3,9,3,0,0,26
SSC50216,0,0,0,0,0,0,0,0,0,0
SSC50217,0,3,6,114,167,92,96,63,48,579
SSC50218,0,0,0,0,3,0,0,0,0,7
SSC50219,0,0,3,4,9,3,7,3,448,481
SSC50220,0,0,0,0,0,0,0,0,0,4
SSC50221,0,0,3,709,772,327,219,477,92,2584
SSC50222,0,0,6,33,75,37,20,13,21,199
SSC50223,0,0,0,5,16,16,15,15,10,77
SSC50224,0,0,0,0,0,4,0,4,0,12
SSC50225,0,0,0,0,0,0,0,0,0,3
SSC50226,13,0,17,588,541,158,106,459,298,2153
SSC50227,32,21,82,315,419,187,156,353,217,1648
SSC50228,10,12,39,2296,2540,951,857,1960,1055,9658
SSC50229,60,19,89,2496,3053,1174,1191,2159,720,10793
SSC50230,5,3,9,934,1166,402,288,730,601,4125
SSC50231,0,0,3,12,12,10,14,3,5,56
SSC50232,0,0,0,3,0,0,0,0,4,8
SSC50233,0,0,0,33,32,22,26,40,19,169
SSC50234,77,24,128,286,363,180,157,465,218,1676
SSC50235,0,0,0,6,13,6,0,16,0,38
SSC50236,0,0,0,3,4,4,4,0,0,14
SSC50237,4,0,4,120,96,39,98,123,35,506
SSC50238,0,0,0,6,3,0,0,6,4,24
SSC50239,12,24,54,684,849,416,360,904,309,3523
SSC50240,0,0,0,5,7,4,0,3,4,23
SSC50241,0,0,0,0,0,0,0,3,3,13
SSC50242,0,0,0,9,15,9,10,3,0,49
SSC50243,0,0,0,5,0,0,3,3,0,12
SSC50244,70,67,213,6177,6547,2940,2428,5900,2171,26167
SSC50245,34,12,84,1131,1127,399,331,1573,478,5038
SSC50246,0,0,0,0,0,0,0,0,3,5
SSC50247,3,4,5,77,105,56,47,92,64,442
SSC50248,0,0,0,0,0,0,0,0,12,17
SSC50249,0,0,0,3,3,0,0,3,0,13
SSC50250,4,4,27,341,525,271,261,339,202,1941
SSC50251,0,0,0,35,31,12,21,20,11,123
SSC50252,0,0,0,10,0,4,0,3,34,49
SSC50253,0,0,0,3,0,7,3,7,0,21
SSC50254,3,0,3,85,74,67,28,60,57,367
SSC50255,0,0,0,4,4,3,3,0,0,13
SSC50256,0,0,0,0,0,0,0,0,0,0
SSC50257,0,0,3,12,34,22,8,16,10,101
SSC50258,0,0,0,10,27,11,8,34,6,87
SSC50259,0,0,0,195,234,133,97,172,45,872
SSC50260,99,32,170,807,1022,468,407,1078,521,4311
SSC50261,27,12,87,1201,1541,861,544,730,234,5105
SSC50262,68,58,170,1348,1420,450,372,1375,605,5569
SSC50263,0,0,0,3,19,19,17,12,11,72
SSC50264,0,14,22,117,149,70,79,95,105,615
SSC50265,0,3,3,72,83,37,36,69,41,327
SSC50266,6,0,9,21,43,17,12,50,30,181
SSC50267,0,0,0,0,0,0,3,0,0,5
SSC50268,11,0,25,1358,1484,700,503,1129,256,5440
SSC50269,0,0,0,5,17,7,4,10,3,38
SSC50270,0,0,0,11,7,8,3,5,4,43
SSC50271,0,0,0,23,24,3,12,12,8,86
SSC50272,17,13,57,659,828,401,330,523,400,3143
SSC50273,5,3,5,162,154,102,64,123,983,1592
SSC50274,0,0,0,8,7,3,0,17,9,50
SSC50275,0,0,0,26,47,23,18,26,8,149
SSC50276,9,3,26,990,1169,435,356,892,263,4098
SSC50277,15,9,39,120,149,63,46,141,65,575
SSC50278,3,0,6,76,120,60,56,82,64,460
SSC50279,0,0,0,24,33,18,20,19,28,147
SSC50280,0,0,0,206,285,106,88,172,59,912
SSC50281,0,0,0,0,0,3,5,0,0,13
SSC50282,0,0,0,11,4,3,6,3,8,42
SSC50283,3,0,5,26,40,23,18,13,11,127
SSC50284,0,0,3,14,24,13,14,15,15,90
SSC50285,0,0,0,7,16,5,6,8,15,51
SSC50286,0,0,0,10,11,8,7,3,3,40
SSC50287,0,0,0,4,0,3,3,3,0,10
SSC50288,0,0,0,3,0,0,0,3,13,19
SSC50289,9,3,21,325,407,190,187,239,139,1483
SSC50290,0,6,5,124,221,97,91,130,80,749
SSC50291,0,0,0,8,5,3,5,7,0,27
SSC50292,7,5,37,696,766,368,233,483,116,2659
SSC50293,104,33,266,1315,1378,787,567,950,298,5302
SSC50294,0,0,5,52,72,44,41,48,21,268
SSC50295,184,61,399,1790,1779,802,567,1313,717,6964
SSC50296,11,4,30,2497,2685,981,881,2330,782,10153
SSC50297,0,0,0,3,0,0,0,0,0,5
SSC50298,0,0,0,0,3,0,0,0,0,7
SSC50299,0,0,0,0,0,0,0,0,0,0
SSC50300,66,45,189,1369,1514,647,530,1766,842,6664
SSC50301,0,0,0,13,10,7,0,3,0,37
SSC50302,0,0,0,0,0,0,0,0,0,0
SSC50303,3,3,10,319,285,94,56,294,82,1133
SSC50304,0,0,0,0,0,0,0,5,16,19
SSC50305,0,0,0,11,4,8,10,8,3,41
SSC50306,0,0,0,14,21,6,10,12,7,67
SSC50307,0,0,0,3,8,4,0,0,4,19
SSC50308,3,0,8,221,300,116,112,185,403,1330
SSC50309,50,44,144,999,1470,801,850,1289,754,6153
SSC50310,0,0,0,11,5,7,5,6,8,43
SSC50311,0,7,12,104,148,90,65,91,49,542
SSC50312,0,0,0,48,52,30,19,42,10,193
SSC50313,0,0,0,3,14,5,0,10,3,29
SSC50314,0,0,3,0,9,0,3,3,0,20
SSC50315,192,113,474,3403,3594,1200,776,2352,1062,12380
SSC50316,0,0,0,28,37,32,35,23,43,200
SSC50317,20,8,45,762,900,391,247,607,141,3055
SSC50318,0,0,0,4,4,3,4,0,0,16
SSC50319,57,28,130,517,729,390,366,889,374,3264
SSC50320,17,8,61,924,967,512,379,828,254,3864
SSC50321,0,0,6,73,95,67,74,77,38,415
SSC50322,0,0,0,0,3,0,0,0,3,3
SSC50323,54,7,90,958,1184,450,360,1027,464,4437
SSC50324,11,4,36,416,370,172,104,209,79,1348
SSC50325,0,0,0,0,0,0,3,0,3,8
SSC50326,4,0,3,140,138,70,70,176,115,713
SSC50327,0,0,0,0,0,0,0,0,0,3
SSC50328,108,31,189,1048,1374,560,576,1435,552,5543
SSC50329,0,3,4,58,75,44,53,49,35,315
SSC50330,0,0,0,23,18,12,16,15,14,98
SSC50331,0,0,0,13,15,10,3,0,9,54
SSC50332,0,0,3,19,26,14,14,19,14,105
SSC50333,3,0,4,83,146,91,80,90,96,597
SSC50334,3,0,3,25,37,23,18,32,12,147
SSC50335,0,0,0,0,0,0,0,3,3,3
SSC50336,0,0,0,12,10,6,3,5,12,49
SSC50337,0,0,0,55,44,21,7,44,12,188
SSC50338,0,0,0,0,0,0,0,3,3,7
SSC50339,10,9,32,109,187,77,77,126,105,682
SSC50340,0,0,0,6,14,11,3,8,3,41
SSC50341,0,0,0,0,0,0,0,0,0,0
SSC50342,100,32,212,1659,1726,745,505,948,482,6068
SSC50343,0,0,0,5,7,5,0,6,11,33
SSC50344,0,0,0,3,6,3,0,3,4,20
SSC50345,0,0,0,5,15,3,8,3,3,39
SSC50346,0,3,12,252,414,211,181,164,155,1372
SSC50347,0,0,0,3,5,3,4,0,0,12
SSC50348,0,0,0,7,9,5,0,0,0,34
SSC50349,37,17,71,1134,1351,549,439,928,337,4741
SSC50350,0,0,0,13,13,3,7,13,8,49
SSC50351,3,3,10,61,87,46,44,105,41,397
SSC50352,9,14,50,1146,725,225,121,1352,261,3835
SSC50353,0,0,5,38,41,26,20,23,18,164
SSC50354,0,0,0,22,35,30,34,23,23,162
SSC50355,0,0,0,19,20,22,16,23,18,112
SSC50356,0,0,3,64,111,45,48,58,53,372
SSC50357,0,0,0,6,4,7,0,0,7,19
SSC50358,0,0,0,21,35,19,7,37,38,150
SSC50359,0,0,0,6,3,0,7,6,3,29
SSC50360,0,0,0,3,4,0,3,3,5,24
SSC50361,0,0,0,3,3,7,3,0,6,25
SSC50362,0,0,0,20,7,3,4,35,8,80
SSC50363,7,4,23,135,168,65,96,148,87,698
SSC50364,0,0,0,9,16,13,0,4,6,48
SSC50365,0,0,0,4,7,4,0,4,0,19
SSC50366,23,3,42,1462,1590,615,445,1198,265,5575
SSC50367,0,0,0,40,25,20,11,24,17,128
SSC50368,0,0,0,3,9,0,7,3,0,21
SSC50369,0,0,0,0,0,0,0,0,0,0
SSC50370,13,3,23,336,372,137,106,162,63,1178
SSC50371,3,0,3,29,49,28,23,27,16,175
SSC50372,8,0,8,4,6,13,7,16,8,53
SSC50373,32,8,75,910,814,472,413,562,174,3346
SSC50374,12,0,18,153,151,78,70,122,57,626
SSC50375,6,7,26,1509,1808,810,721,1233,434,6516
SSC50376,0,0,0,25,18,5,15,26,32,127
SSC50377,3,0,5,168,249,100,94,105,71,783
SSC50378,0,0,0,0,0,0,0,0,0,0
SSC50379,0,0,5,217,152,87,20,170,95,737
SSC50380,0,0,0,0,3,3,0,0,0,13
SSC50381,0,3,12,45,85,43,36,40,31,287
SSC50382,0,0,0,3,10,3,8,6,9,30
SSC50383,11,6,18,1281,1375,629,464,1216,246,5215
SSC50384,0,0,0,3,5,0,3,0,0,16
SSC50385,4,0,11,86,104,58,58,58,36,400
SSC50386,0,0,0,103,163,83,73,83,49,552
SSC50387,3,0,10,66,85,53,35,50,31,312
SSC50388,4,0,9,223,261,114,145,181,59,978
SSC50389,14,6,37,617,925,466,332,377,173,2885
SSC50390,0,0,0,8,15,5,7,0,0,34
SSC50391,0,0,0,0,0,0,0,0,0,6
SSC50392,0,0,0,6,13,0,0,6,6,28
SSC50393,0,0,0,3,3,0,3,4,3,24
SSC50394,0,0,0,4,0,3,0,3,0,11
SSC50395,11,4,33,823,1196,649,643,905,357,4573
SSC50396,0,0,4,531,534,196,182,559,152,2154
SSC50397,0,0,0,3,8,4,0,3,15,27
SSC50398,0,0,0,53,65,32,28,54,28,252
SSC50399,0,0,3,138,171,108,76,122,63,676
SSC50400,0,0,0,12,13,7,9,3,3,43
SSC50401,0,0,3,18,16,8,8,11,3,62
SSC50402,3,3,14,116,172,79,63,115,94,635
SSC50403,23,23,78,376,592,325,243,373,241,2152
SSC50404,9,0,22,492,568,249,324,494,590,2726
SSC50405,0,0,0,4,3,3,3,8,0,18
SSC50406,0,0,0,6,11,7,5,0,7,34
SSC50407,0,0,0,4,9,0,3,0,0,20
SSC50408,287,96,673,4730,5121,2220,1792,4620,1255,19738
SSC50409,0,0,0,3,0,0,3,0,4,17
SSC50410,0,0,0,33,39,25,17,23,21,155
SSC50411,0,0,0,18,22,16,14,21,9,95
SSC50412,0,0,0,0,0,0,0,4,0,4
SSC50413,0,0,0,7,12,3,7,3,4,40
SSC50414,0,0,3,476,655,271,153,338,202,2088
SSC50415,11,3,32,181,275,171,158,215,129,1129
SSC50416,0,0,0,5,9,3,0,0,4,25
SSC50417,0,0,0,0,0,0,0,0,3,5
SSC50418,34,9,76,370,541,334,313,411,278,2249
SSC50419,0,0,0,10,6,3,3,9,6,35
SSC50420,0,0,0,10,21,10,5,6,14,69
SSC50421,0,0,0,0,0,0,0,0,0,0
SSC50422,57,24,161,1869,1980,715,530,1159,605,6851
SSC50423,3,0,10,63,89,43,58,75,35,364
SSC50424,0,0,0,4,9,5,3,8,13,41
SSC50425,3,0,6,273,302,129,140,153,102,1102
SSC50426,0,0,0,0,0,0,0,0,0,0
SSC50427,0,0,0,4,4,0,0,3,6,23
SSC50428,0,0,0,0,3,3,4,0,0,10
SSC50429,0,0,0,11,16,8,11,7,7,57
SSC50430,164,25,272,953,1328,628,593,1461,425,5401
SSC50431,0,0,0,4,3,9,4,3,0,20
SSC50432,0,0,0,9,6,7,4,8,8,41
SSC50433,0,0,0,3,4,4,0,5,3,19
SSC50434,0,0,3,33,46,25,41,20,24,188
SSC50435,0,0,3,23,34,16,18,33,38,166
SSC50436,0,0,0,42,59,18,41,36,31,227
SSC50437,134,72,316,2896,3549,1785,1281,1918,591,12019
SSC50438,0,0,0,0,0,0,0,0,0,0
SSC50439,0,0,0,4,0,5,0,0,0,11
SSC50440,15,6,56,864,1166,614,483,588,327,4037
SSC50441,3,0,3,62,16,8,6,38,26,156
SSC50442,0,0,0,6,12,8,8,12,7,52
SSC50443,0,0,0,4,3,3,0,0,0,7
SSC50444,0,0,0,3,3,0,3,3,0,15
SSC50445,0,0,7,68,120,60,55,73,71,454
SSC50446,0,0,0,11,25,10,8,5,12,71
SSC50447,0,0,0,3,0,5,3,10,0,26
SSC50448,0,0,0,4,14,3,7,12,0,41
SSC50449,0,0,0,19,22,9,8,11,8,78
SSC50450,0,0,0,4,7,7,4,7,15,45
SSC50451,47,24,132,645,867,426,379,708,284,3310
SSC50452,17,0,30,993,977,413,350,1281,372,4384
SSC50453,0,3,13,115,193,74,56,142,98,677
SSC50454,0,0,0,13,10,6,4,4,0,34
SSC50455,0,0,0,3,0,3,0,3,0,11
SSC50456,43,67,170,1591,1746,769,569,872,486,6027
SSC50457,0,0,0,0,0,0,0,3,0,3
SSC50458,0,0,0,7,9,3,9,3,17,51
SSC50459,0,0,0,4,0,0,0,0,0,7
SSC50460,0,0,0,0,4,0,0,0,0,8
SSC50461,0,0,0,3,3,10,4,0,3,27
SSC50462,0,0,0,3,3,0,0,0,0,11
SSC50463,41,11,70,2710,2252,605,349,2494,1567,9971
SSC50464,0,0,0,38,48,24,22,27,17,181
SSC50465,0,0,0,3,0,3,0,0,8,13
SSC50466,0,6,6,32,32,14,21,96,55,249
SSC50467,48,28,125,2127,2298,816,559,1703,971,8477
SSC50468,0,0,0,12,10,3,0,7,3,33
SSC50469,0,0,0,3,9,4,6,0,5,33
SSC50470,0,3,9,12,28,11,13,13,21,107
SSC50471,126,44,240,1332,1716,889,804,1436,605,6782
SSC50472,26,18,67,612,736,342,248,666,237,2838
SSC50473,46,5,88,910,1089,460,361,647,196,3661
SSC50474,0,0,0,9,3,5,5,3,3,34
SSC50475,0,0,3,317,395,117,89,197,138,1255
SSC50476,0,0,3,21,11,8,3,30,19,100
SSC50477,0,0,0,3,7,0,3,3,0,20
SSC50478,0,0,0,3,4,0,0,0,4,10
SSC50479,0,0,0,10,22,20,10,23,14,100
SSC50480,0,0,0,51,95,58,46,41,19,309
SSC50481,46,138,236,3821,4411,1729,1627,3481,1424,16482
SSC50482,0,0,0,3,0,0,0,5,3,11
SSC50483,68,47,135,611,672,255,184,667,259,2652
SSC50484,0,0,0,10,3,0,0,9,6,25
SSC50485,25,3,32,42,39,33,28,106,37,288
SSC50486,0,0,0,16,36,14,16,27,9,122
SSC50487,0,0,0,0,0,0,0,0,0,0
SSC50488,0,0,0,3,8,4,0,0,0,16
SSC50489,0,0,0,0,3,4,4,3,0,11
SSC50490,84,36,189,649,971,606,507,997,408,4135
SSC50491,91,21,149,333,399,192,136,470,338,1866
SSC50492,0,0,0,0,0,0,0,0,0,0
SSC50493,0,0,0,3,16,4,4,14,20,58
SSC50494,0,0,0,0,3,0,0,0,0,4
SSC50495,0,0,0,10,4,3,8,3,0,24
SSC50496,0,5,14,436,567,262,199,297,221,1981
SSC50497,0,0,0,0,5,4,4,8,10,35
SSC50498,0,0,0,11,6,5,6,9,4,37
SSC50499,30,19,105,838,1216,581,519,840,331,4335
SSC50500,0,0,3,45,43,39,24,19,22,188
SSC50501,112,15,166,844,991,441,329,795,216,3620
SSC50502,0,0,0,0,0,0,0,0,0,0
SSC50503,0,0,0,0,0,0,0,0,0,0
SSC50504,0,0,0,0,0,0,0,0,0,0
SSC50505,0,0,0,0,0,0,0,0,0,0
SSC50506,8,0,14,209,218,184,45,180,172,1007
SSC50507,0,0,0,0,0,0,0,0,0,0
SSC50508,43,18,180,1667,1779,947,610,709,257,5974
SSC50509,0,0,0,0,0,0,0,0,0,0
SSC50510,0,0,7,39,73,31,29,26,26,225
SSC50511,0,0,0,3,14,7,11,10,80,122
SSC50512,0,0,0,0,0,0,0,0,0,0
SSC50513,0,0,0,4,9,3,8,6,0,26
SSC50514,0,0,0,8,8,0,0,21,10,45
SSC50515,5,7,13,178,226,120,84,197,64,868
SSC50516,76,64,198,2284,2705,1217,983,2310,869,10373
SSC50517,0,0,0,5,7,8,5,5,8,40
SSC50518,0,0,7,56,83,36,38,43,45,299
SSC50519,0,0,0,3,4,0,0,17,29,48
SSC50520,65,48,190,1857,2069,719,389,1323,992,7343
SSC50521,12,13,35,138,194,107,119,256,109,925
SSC50522,0,0,0,3,3,3,0,0,0,8
SSC50523,0,0,0,86,129,78,116,95,38,541
SSC50524,0,0,0,16,8,3,10,15,0,45
SSC50525,0,0,0,19,13,11,13,16,5,86
SSC50526,0,0,0,12,12,0,0,23,29,77
SSC50527,0,0,0,101,67,7,3,198,337,720
SSC50528,0,0,0,16,11,4,4,20,11,63
SSC50529,0,0,0,16,22,18,22,8,28,111
SSC50530,0,0,0,5,3,0,0,4,6,18
SSC50531,8,3,20,385,501,290,225,324,103,1828
SSC50532,13,8,56,542,735,386,339,506,255,2764
SSC50533,0,0,0,13,15,10,8,13,7,62
SSC50534,112,23,168,484,608,278,242,694,367,2679
SSC50535,0,0,0,0,0,0,0,3,0,6
SSC50536,0,0,0,16,18,6,9,11,16,77
SSC50537,0,0,4,87,64,47,43,83,43,365
SSC50538,0,0,0,17,85,33,8,29,7,180
SSC50539,0,0,0,0,0,0,0,3,47,51
SSC50540,4,0,19,454,644,316,284,345,200,2248
SSC50541,0,0,0,11,21,6,12,12,12,69
SSC50542,0,0,0,0,9,8,0,0,3,15
SSC50543,0,0,0,3,12,4,7,3,0,31
SSC50544,0,0,0,0,0,0,0,0,0,0
SSC50545,0,0,0,0,0,0,0,0,5,5
SSC50546,4,3,14,91,174,86,88,135,72,645
SSC50547,0,0,0,5,4,4,0,4,11,30
SSC50548,41,7,70,1412,1526,620,613,2124,587,6882
SSC50549,13,6,20,153,192,102,88,153,94,779
SSC50550,10,3,36,473,699,358,274,317,140,2249
SSC50551,6,8,19,480,615,270,251,468,204,2287
SSC50552,0,0,0,4,15,4,9,3,5,43
SSC50553,0,0,0,10,6,4,4,3,3,29
SSC50554,34,16,67,512,466,173,98,697,281,2217
SSC50555,3,4,12,139,212,95,92,113,60,717
SSC50556,0,0,3,21,34,13,13,5,4,84
SSC50557,0,0,0,15,23,7,9,9,5,70
SSC50558,0,0,0,5,5,6,8,10,12,44
SSC50559,8,9,20,224,239,135,107,224,51,977
SSC50560,0,0,0,97,94,37,37,48,47,360
SSC50561,0,0,0,0,0,0,0,0,4,6
SSC50562,5,3,9,100,96,34,70,108,59,469
SSC50563,0,0,0,6,9,3,7,3,5,26
SSC50564,0,3,16,658,760,348,313,486,233,2804
SSC50565,0,0,5,23,60,41,28,23,14,197
SSC50566,0,0,0,5,6,8,3,9,6,40
SSC50567,17,6,26,74,103,52,69,100,75,470
SSC50568,0,0,0,3,3,0,3,4,0,10
SSC50569,23,7,62,586,803,416,347,405,175,2736
SSC50570,0,0,0,3,10,3,8,3,0,28
SSC50571,0,0,0,0,0,0,0,0,0,0
SSC50572,194,102,443,3111,3737,1684,1542,4349,1708,16134
SSC50573,3,0,6,30,50,26,22,38,23,187
SSC50574,0,0,0,4,0,3,3,4,3,20
SSC50575,0,0,0,27,25,11,7,16,13,99
SSC50576,0,0,0,22,35,18,27,20,19,147
SSC50577,0,0,3,32,67,38,45,57,22,263
SSC50578,0,0,0,12,14,11,7,3,3,51
SSC50579,0,0,0,11,18,7,3,8,3,44
SSC50580,3,3,7,34,83,41,46,56,52,305
SSC50581,168,54,355,1387,1948,1017,992,2014,729,8086
SSC50582,0,0,0,9,10,4,3,3,17,43
SSC50583,52,33,104,427,557,292,238,504,212,2234
SSC50584,0,0,3,26,59,43,40,37,29,228
SSC50585,34,9,89,1781,2326,1033,813,1317,407,7674
SSC50586,0,0,0,5,0,0,0,0,0,10
SSC50587,0,0,0,3,16,12,14,11,9,61
SSC50588,0,0,0,0,3,0,0,0,0,8
SSC50589,0,0,0,16,34,35,21,8,9,128
SSC50590,0,0,0,0,0,0,0,0,0,0
SSC50591,0,3,6,16,30,19,20,35,29,156
SSC50592,29,25,66,343,426,177,103,313,286,1656
SSC50593,0,0,0,0,0,3,0,0,0,4
SSC50594,0,0,0,0,6,7,3,7,8,35
SSC50595,0,0,0,8,5,6,7,9,0,33
SSC50596,0,0,0,10,17,13,8,6,0,55
SSC50597,40,92,164,798,1022,467,398,524,305,3508
SSC50598,0,0,0,13,10,5,8,3,0,39
SSC50599,0,0,0,13,11,5,5,6,3,35
SSC50600,3,0,4,295,208,72,41,232,243,1096
SSC50601,101,60,271,2231,2905,1443,1299,2370,893,11141
SSC50602,3,0,3,34,55,33,32,47,23,220
