SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC50767,46,650,633,110,1474,0.7,1115,2.2
SSC50768,34,0,1281,50,1812,0.9,1624,2.9
SSC50769,36,0,966,175,2083,0.6,2041,2.6
SSC50770,40,0,1286,0,3124,0.5,2874,2.7
SSC50771,51,0,374,150,725,1,450,1.5
SSC50772,45,0,425,0,1124,0,1124,2.4
SSC50773,37,0,2575,0,0,0,0,0
SSC50774,39,0,669,50,1625,0.8,1375,3
SSC50775,33,1400,443,310,1077,0.9,1009,2.9
SSC50776,35,1509,619,300,1399,0.8,1180,2.3
SSC50777,49,542,527,95,933,0.7,850,2.2
SSC50778,53,0,669,0,1562,0.8,1625,2.9
SSC50779,55,2023,523,180,982,0.7,1107,2.4
SSC50780,52,0,900,0,2250,0.7,1458,1.6
SSC50781,48,1603,784,243,1974,0.8,1625,2.3
SSC50782,47,1950,554,150,979,0.7,928,2.2
SSC50783,47,0,669,0,1499,0.7,1187,2
SSC50784,35,0,575,100,1124,0.6,825,2.1
SSC50785,49,1452,575,0,1375,0.6,1125,2.3
SSC50786,44,650,629,150,1428,0.7,1107,2.1
SSC50787,46,1350,830,0,1924,0.6,1850,2.7
SSC50788,46,0,687,0,1625,0,1499,2
SSC50789,36,0,1839,0,0,0,1124,1
SSC50790,32,0,949,0,2624,0.6,2250,2.3
SSC50791,60,477,455,150,1125,0.5,880,1.6
SSC50792,33,2203,970,225,2156,1,1901,2.6
SSC50793,58,0,1437,0,0,0,0,0
SSC50794,52,0,1083,0,2749,0.6,2374,2.5
SSC50795,51,0,1187,0,0,0,0,0
SSC50796,43,0,949,0,0,0,0,2
SSC50797,58,0,575,0,0,0,0,0
SSC50798,27,1700,519,310,1142,0.8,1031,2.5
SSC50799,51,0,575,0,966,0.9,966,3
SSC50800,25,0,273,75,721,1.2,835,3.6
SSC50801,35,0,677,33,780,1.1,687,2.5
SSC50802,29,0,537,0,0,0,0,0
SSC50803,46,0,924,0,1875,0.6,1375,2
SSC50804,55,0,725,0,1625,0.6,1625,2
SSC50805,33,0,1104,0,2124,0.6,1916,2.6
SSC50806,37,0,900,0,0,0,1149,1
SSC50807,41,2100,621,300,1487,0.8,1399,3
SSC50808,39,0,1375,0,0,0,0,2
SSC50809,40,0,2158,0,0,0,0,0
SSC50810,40,1181,856,150,2071,0.7,1383,2.3
SSC50811,36,0,949,0,2250,1,2124,3
SSC50812,44,0,900,0,0,0,0,0
SSC50813,45,290,1077,66,2333,0.8,1542,2
SSC50814,42,0,537,0,725,0.5,725,2
SSC50815,62,0,474,0,1524,0,724,2
SSC50816,47,0,1208,0,1874,0.4,1624,1.5
SSC50817,33,0,833,0,1625,0.7,1199,3
SSC50818,47,0,0,0,0,0,0,0
SSC50819,30,1950,693,360,1724,0.8,1554,2.8
SSC50820,33,2000,1139,350,2670,0.8,2396,2.8
SSC50821,50,1700,654,250,1244,0.7,1054,2.1
SSC50822,31,2312,811,460,2196,0.8,2178,3.2
SSC50823,55,1517,546,250,1228,0.7,945,2
SSC50824,33,1603,494,320,1318,0.9,1203,2.8
SSC50825,47,1000,630,0,1312,0.8,1125,2.1
SSC50826,35,2100,811,380,2179,0.8,1861,2.6
SSC50827,38,679,1577,90,982,0.8,1257,2.5
SSC50828,21,0,1375,0,0,0,0,0
SSC50829,30,1647,611,325,1456,0.8,1411,3
SSC50830,53,1500,506,250,1025,0.7,843,2.1
SSC50831,33,2300,1151,450,2794,0.8,2222,2.1
SSC50832,52,1733,438,199,1037,0.7,746,2.1
SSC50833,41,2000,767,460,2364,0.7,2154,2.9
SSC50834,0,0,0,0,0,0,0,0
SSC50835,34,0,1672,0,2367,0.8,2191,2.6
SSC50836,42,2167,548,290,1446,0.9,1268,3
SSC50837,36,867,1218,147,1571,0.9,1300,2.3
SSC50838,46,1993,710,373,2062,0.7,1982,2.9
SSC50839,0,0,0,0,0,0,0,0
SSC50840,42,2024,685,350,2086,0.7,1788,2.8
SSC50841,64,0,477,0,1124,0.5,966,1.7
SSC50842,38,0,450,0,1124,1.2,1125,4
SSC50843,47,2167,512,55,1093,0.7,1125,2.5
SSC50844,45,1733,664,285,1733,0.8,1431,2.6
SSC50845,49,0,1125,0,2249,0,1875,1
SSC50846,42,0,3000,0,0,0,0,0
SSC50847,24,0,624,0,1624,0,1624,4
SSC50848,36,1408,495,300,1233,0.8,1069,2.5
SSC50849,36,1300,481,180,1077,0.8,818,2.4
SSC50850,43,0,1062,0,0,0,1375,1
SSC50851,0,0,0,0,0,0,0,0
SSC50852,33,0,1624,0,4750,0.7,2750,3.1
SSC50853,54,1300,556,200,1174,0.6,1100,2.2
SSC50854,41,2427,759,300,2179,0.8,2125,3.2
SSC50855,33,0,749,0,1749,0.5,899,2.5
SSC50856,44,1733,668,305,1643,0.8,1474,2.6
SSC50857,52,1408,547,150,1274,0.8,1166,2.2
SSC50858,43,1980,474,150,1292,0.7,899,1.9
SSC50859,37,300,985,100,1937,0.8,1906,2.8
SSC50860,38,0,774,0,3249,0,2750,0
SSC50861,38,0,1416,0,1562,1,1125,1
SSC50862,34,1733,587,350,1463,0.8,1328,2.6
SSC50863,45,0,612,0,900,1.3,849,1.5
SSC50864,34,1638,547,320,1362,0.8,1200,2.7
SSC50865,36,2167,784,450,2147,0.8,1950,2.8
SSC50866,36,2186,759,350,2244,0.7,1996,2.9
SSC50867,28,0,725,0,0,0,0,1
SSC50868,63,0,450,0,0,0,0,0
SSC50869,47,0,924,0,2750,0.6,2250,1.7
SSC50870,46,2000,646,440,2151,0.7,1937,2.7
SSC50871,39,1517,698,260,1724,0.7,1235,2.3
SSC50872,40,2012,757,400,1983,0.7,1785,2.8
SSC50873,37,0,2500,0,0,0,0,0
SSC50874,56,555,849,0,2249,0.7,1624,1.8
SSC50875,47,0,649,0,0,0,0,0
SSC50876,55,0,749,0,1875,0.5,1562,2.5
SSC50877,40,0,949,0,1999,0.6,1375,2.5
SSC50878,0,0,0,0,0,0,0,0
SSC50879,35,0,575,0,1624,1.2,1375,3.3
SSC50880,59,3949,515,0,1812,0.6,1624,2.1
SSC50881,48,1486,494,280,1093,0.7,805,1.9
SSC50882,40,1300,602,205,1376,0.7,1118,2.4
SSC50883,52,0,762,0,1875,0.4,1087,1.4
SSC50884,36,2500,762,325,2363,0.8,1817,2.7
SSC50885,47,1300,525,100,1375,0.7,1100,2.5
SSC50886,36,1757,548,369,1534,0.8,1419,2.9
SSC50887,50,3250,612,0,1583,0.6,1541,2
SSC50888,35,2000,725,200,1902,0.8,1819,3.1
SSC50889,32,1767,703,50,1160,1.3,1410,3.2
SSC50890,49,0,1024,0,2083,0.5,1792,2.4
SSC50891,42,2167,752,250,2178,0.8,1958,2.8
SSC50892,36,0,2460,0,0,1,3750,1
SSC50893,36,1733,700,340,1580,0.8,1325,2.6
SSC50894,45,2167,792,500,2171,0.7,2050,3.1
SSC50895,43,2500,891,500,2705,0.7,2271,2.8
SSC50896,36,0,1375,0,0,0,0,0
SSC50897,51,0,900,0,1416,0.5,1416,2
SSC50898,41,0,1187,0,3125,0.8,3062,2.4
SSC50899,25,0,0,0,0,0,0,0
SSC50900,0,0,0,0,0,0,0,0
SSC50901,45,2167,700,175,1980,0.8,1560,2.6
SSC50902,48,0,767,0,1875,0.7,1093,1.3
SSC50903,41,1530,626,300,1395,0.8,1166,2.3
SSC50904,0,0,0,0,0,0,0,0
SSC50905,59,0,1468,0,2499,0.4,1458,1.5
SSC50906,50,1800,774,150,1625,0.6,1350,2.2
SSC50907,34,1950,891,310,2055,0.9,1449,2
SSC50908,47,1733,849,129,1562,0.6,1406,2.3
SSC50909,31,0,840,0,2249,0,1125,2.2
SSC50910,32,1745,672,316,1691,0.8,1485,2.8
SSC50911,51,0,899,0,0,0,0,0
SSC50912,35,2000,611,370,1731,0.7,1498,2.7
SSC50913,44,900,548,180,1318,0.7,1089,2.7
SSC50914,57,0,687,0,1375,2,1374,2
SSC50915,38,1300,507,290,1145,0.8,955,2.2
SSC50916,37,600,845,123,1452,0.8,1394,2.5
SSC50917,39,0,1125,0,0,0.2,1375,1.5
SSC50918,46,1408,697,300,1875,0.8,1666,2.8
SSC50919,42,0,560,0,1062,0.9,1062,3.3
SSC50920,50,1439,435,98,900,0.8,824,2.4
SSC50921,0,0,0,0,0,0,0,0
SSC50922,40,2339,818,400,2329,0.8,1876,2.6
SSC50923,53,3000,694,236,2493,0.8,1300,2.3
SSC50924,41,0,632,100,1156,1,1104,1.9
SSC50925,51,0,900,0,1624,0.4,1375,1.5
SSC50926,37,0,1014,0,2250,0.7,2166,3.2
SSC50927,42,0,850,0,1958,0.6,1375,2.3
SSC50928,36,1116,641,186,1690,0.8,1288,2.4
SSC50929,37,1733,530,350,1314,0.7,1121,2.5
SSC50930,46,953,457,0,1874,0.7,899,2.5
SSC50931,43,2703,639,120,1483,0.9,1458,2.7
SSC50932,33,0,675,0,1187,0.6,1125,1.9
SSC50933,31,0,675,0,0,0,2250,0
SSC50934,38,1700,589,330,1467,0.8,1239,2.5
SSC50935,51,1733,737,149,1724,0.6,1386,2.2
SSC50936,53,1798,781,300,1830,0.7,1419,2.2
