SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC50619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,3,3,0,12,0,34
SSC50620,4,21,9,27,22,31,21,12,0,150,5,12,6,12,32,38,23,16,44,188,147,369,341,432,643,650,353,452,76,3473
SSC50621,7,5,9,11,15,21,10,14,0,91,0,9,3,8,8,9,5,19,15,74,91,231,186,221,296,354,189,315,29,1908
SSC50622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
SSC50623,0,5,3,8,7,11,6,10,0,46,3,6,0,4,5,12,3,9,13,59,46,163,103,126,203,207,112,227,26,1217
SSC50624,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,12,16,8,4,10,9,13,3,76
SSC50625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50626,0,0,0,3,8,12,4,7,3,33,3,6,0,3,4,3,0,9,7,38,31,102,68,85,121,111,61,136,17,738
SSC50627,0,0,3,0,4,0,0,3,0,12,0,0,0,0,0,0,0,4,6,7,17,10,17,19,23,27,12,44,11,176
SSC50628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,3,3,4,4,12,0,35
