SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC51563,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SSC51564,814,1569,0,0,5,36,0,0,162,555,174,589,7,24,22,66,18,51,46,136,214,723,0,0,6,13,0,0,41,86,45,102,0,4,19,42,50,92,69,137,112,237,45,99,1192,2627
SSC51565,21,39,0,7,0,3,0,0,3,21,9,31,0,0,0,0,0,0,0,0,9,31,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,3,3,3,12,0,0,28,75
SSC51566,43,81,0,0,9,55,0,17,27,119,46,186,0,3,0,9,14,38,19,52,60,242,0,0,0,0,0,4,4,12,4,15,0,3,0,0,3,3,6,13,12,22,0,0,110,344
SSC51567,8,19,0,0,0,6,0,0,4,13,3,22,0,7,0,3,0,3,3,9,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,52
SSC51568,9,14,0,0,0,7,0,0,11,43,10,46,0,0,0,0,4,3,4,3,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,69
SSC51569,63,130,3,11,6,16,4,21,16,72,27,118,7,23,3,5,19,68,30,100,58,220,0,0,0,0,0,0,4,13,4,13,0,5,0,3,0,7,6,14,5,20,0,10,129,378
SSC51570,81,155,0,0,7,33,6,19,11,38,24,87,0,7,3,9,8,32,18,52,40,133,0,0,0,4,0,5,6,17,5,24,0,3,0,3,6,17,9,22,17,43,0,3,133,341
SSC51571,15,23,0,0,0,0,0,4,8,24,6,33,0,0,0,0,3,8,3,8,12,34,0,0,0,6,0,0,0,3,4,8,0,0,0,0,0,3,0,3,3,13,0,0,24,69
SSC51572,607,1210,7,38,43,227,6,28,412,1486,471,1785,29,122,37,137,82,255,146,512,618,2298,3,9,13,44,14,40,124,336,154,432,9,29,22,56,115,242,150,331,303,764,59,134,1585,4404
SSC51573,20,45,0,0,0,0,0,4,6,30,10,40,0,3,0,0,0,4,3,6,7,44,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,34,97
SSC51574,3,3,0,0,0,0,0,0,0,11,7,16,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,11,23
SSC51575,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51576,34,64,0,15,3,8,0,4,37,136,41,161,0,6,0,0,5,21,8,27,46,188,0,3,0,0,0,0,4,13,8,18,0,0,0,0,4,8,4,8,8,25,0,0,90,280
SSC51577,271,528,0,3,24,109,3,24,220,803,247,939,8,28,31,111,43,128,81,264,330,1211,0,0,9,18,0,5,55,131,59,152,3,5,18,35,48,87,62,126,123,283,11,28,737,2042
SSC51578,55,99,0,0,3,7,0,3,45,173,44,183,3,15,7,16,9,29,18,62,63,247,0,3,0,0,0,3,5,9,7,20,0,0,0,3,0,0,0,3,11,21,0,0,127,369
SSC51579,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51580,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SSC51581,10,13,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,4,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26
SSC51582,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC51583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51584,55,101,0,9,3,12,3,11,26,113,31,139,0,0,3,8,3,6,7,18,35,158,0,0,0,3,0,4,3,9,7,20,0,3,0,3,3,3,3,10,9,27,0,0,103,293
SSC51585,173,339,4,25,30,151,9,48,226,896,275,1121,6,31,14,44,27,96,52,166,327,1290,0,0,4,18,7,20,31,83,36,120,0,0,0,3,12,27,14,31,52,148,8,19,554,1787
SSC51586,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,0,3,12
SSC51587,8,13,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26
SSC51588,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC51589,5,14,0,0,0,5,0,8,3,8,4,22,0,5,0,0,0,0,0,5,5,23,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,0,5,4,0,0,14,41
SSC51590,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC51591,6,7,0,0,0,7,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15
SSC51592,4,14,0,0,0,0,0,3,4,4,3,11,0,0,0,0,0,3,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,13,26
SSC51593,405,799,12,69,40,171,16,70,341,1279,408,1589,13,64,22,75,45,140,80,275,492,1867,3,9,24,92,11,51,109,305,153,462,20,59,30,62,101,224,149,341,301,800,32,65,1227,3532
SSC51594,3,5,0,0,0,0,5,31,16,66,20,90,0,0,0,0,0,0,0,0,20,90,0,0,0,3,0,0,9,30,12,32,0,0,0,0,3,6,7,11,15,41,0,0,33,138
SSC51595,1449,2874,28,151,434,1945,45,219,1349,5288,1865,7595,218,891,369,1271,479,1508,1067,3678,2931,11272,9,29,85,291,9,32,180,502,284,851,42,128,105,252,183,398,323,783,610,1638,73,154,5053,15935
SSC51596,19,35,0,0,0,3,0,0,5,34,12,37,0,0,0,3,0,3,3,7,12,46,0,0,0,3,0,0,0,0,0,3,0,0,3,6,3,3,8,8,9,11,0,0,33,99
SSC51597,131,254,0,0,13,32,0,0,69,294,79,327,0,0,3,4,20,52,22,57,104,385,0,0,3,9,0,0,8,27,10,33,0,0,0,3,9,26,14,25,24,53,0,3,258,705
SSC51598,15,29,0,0,0,4,0,0,3,6,3,12,0,0,0,0,3,6,3,6,3,19,0,0,0,0,0,6,3,5,5,11,0,0,0,0,5,10,5,10,10,21,8,7,37,80
SSC51599,67,127,0,10,14,54,0,10,49,205,62,274,3,8,3,10,8,26,16,53,74,325,0,0,0,5,0,3,5,10,7,20,0,0,3,6,6,15,10,19,16,38,0,0,155,489
SSC51600,620,1236,11,55,53,242,11,40,347,1311,414,1653,28,124,62,205,99,308,185,637,604,2289,3,7,10,45,4,7,62,155,76,209,6,23,18,45,56,125,86,191,157,401,69,147,1451,4075
SSC51601,22,45,5,25,0,8,0,3,7,48,13,87,0,0,0,0,7,14,7,14,17,98,0,0,0,3,3,15,13,42,20,64,0,0,0,3,8,26,11,28,25,88,3,12,73,242
SSC51602,12,25,0,0,7,28,0,0,11,46,13,69,0,0,0,3,5,16,6,22,26,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,116
SSC51603,18,30,0,0,4,20,0,0,8,28,13,45,0,4,5,13,3,10,4,19,20,67,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,5,3,5,3,10,0,0,39,112
SSC51604,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,10
SSC51605,21,39,0,0,3,11,0,0,13,40,17,53,0,3,3,8,0,3,4,16,19,66,0,0,0,3,0,0,3,11,3,13,0,0,0,0,0,3,0,3,8,16,0,3,44,130
