SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC50001,3,7,0,3,3,16,0,0,6,19,11,35,0,0,0,3,0,4,3,5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,3,0,0,21,56
SSC50002,143,269,3,13,16,77,9,39,114,436,140,565,3,15,14,35,20,60,38,109,177,680,0,0,4,13,0,0,18,51,24,59,3,9,4,12,8,9,9,23,37,88,0,3,352,1033
SSC50003,10,17,0,0,0,0,0,0,13,45,13,45,0,0,0,4,7,13,5,16,16,57,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,20,78
SSC50004,9,17,0,0,0,4,0,0,0,5,3,8,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,13,28
SSC50005,7,10,0,8,0,0,0,0,0,8,3,15,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,4,0,7,3,12,0,0,0,0,0,3,0,3,6,16,0,0,13,47
SSC50006,202,400,0,7,11,51,3,17,53,197,71,267,0,5,17,45,16,50,32,97,102,367,0,9,4,10,3,12,10,24,22,55,3,3,3,6,21,50,32,63,51,121,3,9,362,891
SSC50007,9,19,0,0,0,0,0,0,3,12,3,12,0,0,0,4,0,3,3,5,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41
SSC50008,665,1327,26,149,137,695,26,122,501,1975,692,2940,95,387,97,319,253,804,437,1508,1133,4455,3,13,28,95,20,67,111,311,158,486,22,65,27,66,128,282,176,415,335,905,38,88,2170,6769
SSC50009,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SSC50010,262,515,3,18,40,168,6,26,207,803,256,1013,22,105,27,84,53,149,99,342,357,1350,0,0,6,22,3,11,23,60,34,93,3,8,16,46,29,62,52,113,85,211,10,30,717,2104
SSC50011,603,1183,3,24,68,322,25,120,650,2356,756,2821,22,84,55,170,72,215,146,470,899,3291,3,10,13,34,9,23,142,362,161,432,3,15,25,60,44,102,76,174,234,607,17,39,1767,5117
SSC50012,3,6,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
SSC50013,78,143,0,3,10,44,4,31,44,170,62,245,0,10,3,9,12,40,17,57,76,305,0,0,3,8,3,20,9,14,10,44,0,3,0,0,0,3,4,7,18,48,0,3,173,500
SSC50014,12,32,0,0,0,0,0,4,12,44,15,49,0,0,0,0,3,9,3,9,18,57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,0,0,35,95
SSC50015,0,0,0,0,0,0,0,0,0,7,0,7,0,4,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12
SSC50016,54,115,0,4,10,36,4,9,36,156,51,209,5,18,4,13,10,23,18,60,65,261,0,0,0,0,0,0,7,15,7,15,0,7,0,7,3,4,6,14,14,25,4,9,135,409
SSC50017,9,17,0,0,0,0,0,0,3,17,5,15,0,0,0,0,0,8,0,8,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC50019,23,48,0,11,4,13,0,3,15,45,19,77,3,12,3,12,14,34,17,60,32,137,0,0,0,5,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,5,3,9,69,197
SSC50020,8,20,0,0,0,0,0,0,3,19,3,19,0,0,3,13,3,6,3,18,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,53
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,793,1559,8,49,85,374,13,46,412,1592,514,2058,66,262,116,398,178,539,361,1192,874,3254,3,7,19,65,0,0,65,158,87,227,17,48,31,74,72,148,118,267,210,498,32,70,1906,5376
SSC50023,6,18,0,7,0,0,0,0,4,25,7,29,0,0,0,3,0,0,0,3,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,48
SSC50024,443,879,3,34,50,234,0,11,300,1164,363,1437,40,163,93,325,83,264,221,744,585,2183,0,7,12,39,6,23,36,84,57,150,17,47,33,84,59,122,111,250,163,398,22,42,1210,3502
SSC50025,79,151,3,25,8,25,0,4,34,133,42,190,5,13,4,16,10,37,22,73,64,266,0,0,0,0,0,0,7,28,7,28,0,0,4,7,3,12,4,16,18,45,0,3,160,460
SSC50026,1171,2347,17,115,66,322,54,239,680,2675,815,3356,27,125,52,156,238,742,312,1022,1132,4380,13,64,56,201,44,151,478,1300,583,1719,40,126,62,133,328,690,431,953,1012,2677,81,173,3402,9575
SSC50027,4,13,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,15,35
SSC50028,0,7,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
SSC50029,8,12,0,0,0,0,0,0,6,18,6,18,0,0,0,3,0,5,3,4,7,22,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,15,39
SSC50030,16,31,0,0,0,0,0,3,8,26,10,33,0,0,0,0,3,13,3,13,12,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,26,79
SSC50031,346,678,3,15,18,77,7,35,125,477,152,595,8,48,33,100,52,158,93,302,248,897,0,0,5,13,3,21,32,78,38,115,0,6,12,30,30,69,46,108,85,221,13,23,693,1813
SSC50032,281,551,3,16,21,107,15,58,222,832,259,1018,14,48,24,83,52,146,84,279,348,1292,3,16,7,25,0,0,35,101,50,141,6,16,8,20,35,77,49,110,96,250,9,18,732,2104
SSC50033,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SSC50034,140,271,6,17,14,60,0,3,79,299,97,382,8,17,6,31,14,50,25,98,122,482,0,0,4,12,3,9,31,83,39,101,3,4,6,7,26,64,31,82,75,184,13,21,350,963
SSC50035,614,1205,17,76,124,569,16,64,402,1570,558,2276,55,214,122,407,140,447,308,1064,869,3342,0,4,21,57,4,13,55,134,77,209,9,35,27,53,75,146,109,237,185,443,8,20,1675,5012
SSC50036,611,1198,24,116,194,848,34,156,875,3414,1123,4535,95,390,122,429,169,533,385,1351,1509,5880,6,21,30,89,18,52,127,333,171,501,17,56,33,89,88,181,141,324,309,821,34,83,2473,7982
SSC50037,436,858,12,42,85,390,21,94,810,3079,925,3605,30,121,62,191,72,214,160,527,1087,4125,3,3,11,49,3,3,100,266,118,323,4,16,13,33,42,90,59,143,173,465,12,31,1714,5479
SSC50038,241,471,0,0,10,41,5,9,46,173,59,221,3,24,13,29,16,50,33,106,96,328,0,0,8,18,0,0,13,30,22,49,0,0,3,4,20,38,25,42,38,91,4,6,378,898
SSC50039,1456,2819,26,127,186,811,54,256,1212,4700,1476,5890,62,236,120,371,259,779,438,1386,1910,7273,7,51,49,162,19,86,273,762,355,1050,16,52,42,86,137,289,195,435,544,1482,33,69,3945,11649
SSC50040,905,1768,20,131,138,625,38,186,1048,3986,1247,4928,52,220,93,289,123,371,267,883,1516,5805,7,33,30,92,19,66,197,538,251,726,19,67,42,89,101,210,157,364,407,1093,29,61,2855,8729
SSC50041,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SSC50042,3,6,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,17
SSC50043,6,9,0,0,0,4,0,0,9,28,5,31,0,0,0,3,4,11,5,11,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49
SSC50044,4,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
SSC50045,3,3,0,0,0,3,0,0,3,13,3,19,0,0,0,0,3,14,3,14,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32
SSC50046,4,10,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,24
SSC50047,0,3,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
SSC50048,35,69,0,0,3,5,0,4,12,50,13,56,0,0,0,0,11,23,6,26,24,78,0,0,0,0,0,0,3,6,3,4,0,0,0,0,0,0,0,0,3,4,0,0,58,155
SSC50049,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
SSC50050,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,7,23
SSC50051,166,333,7,32,11,63,4,25,58,247,87,356,0,12,3,13,27,82,37,106,116,468,0,6,4,9,3,13,15,44,27,72,0,0,0,3,16,33,14,33,39,106,0,3,327,909
SSC50052,16,29,0,3,4,14,4,21,6,19,13,60,0,0,3,8,6,14,5,22,20,83,0,0,0,0,0,3,3,3,3,12,0,0,0,4,0,0,3,7,7,19,0,3,47,134
SSC50053,1119,2212,8,38,87,395,18,66,623,2314,730,2822,39,174,81,262,209,662,330,1096,1056,3913,9,38,29,96,4,21,143,366,184,516,23,65,44,105,190,395,258,563,440,1085,69,152,2684,7359
SSC50054,2733,5263,72,395,436,1984,151,676,3060,11638,3718,14688,159,638,248,795,433,1320,837,2756,4558,17445,18,97,86,316,44,156,551,1511,701,2070,45,131,69,149,215,473,328,757,1026,2825,77,153,8389,25690
SSC50055,1081,2194,20,108,103,527,21,123,811,3015,960,3772,41,182,68,219,134,425,238,831,1193,4598,14,55,35,139,27,117,301,799,376,1115,28,96,69,147,250,549,343,796,721,1903,109,241,3104,8945
SSC50056,102,197,3,20,4,23,0,0,15,62,23,104,0,10,0,3,7,23,12,38,35,145,0,0,3,8,0,0,6,15,11,30,0,0,0,5,5,15,7,12,21,43,0,0,157,379
SSC50057,0,4,0,0,0,0,0,0,5,14,5,14,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,9,19
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,13,15,0,0,0,6,0,0,5,24,9,25,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,7,0,5,0,0,21,51
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50061,1489,2956,70,429,279,1362,93,418,1145,4449,1585,6651,218,913,263,947,569,1832,1056,3688,2638,10339,27,146,82,315,30,104,311,891,446,1455,69,231,92,224,319,712,477,1172,925,2624,80,169,5134,16082
SSC50062,5,10,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22
SSC50063,12,21,0,0,0,0,0,3,3,5,4,8,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,5,0,3,3,4,0,0,0,3,0,3,0,7,5,9,0,0,21,45
SSC50064,7,17,0,0,0,0,0,0,3,14,3,14,0,0,0,0,0,4,0,4,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36
SSC50065,9,16,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,4,17,39
SSC50066,40,74,0,0,3,14,3,7,18,79,22,101,0,4,5,7,3,15,9,33,35,130,0,0,0,10,0,3,3,10,5,21,0,0,0,0,0,3,0,3,9,20,3,4,85,225
SSC50067,0,0,0,12,0,0,0,8,4,22,9,39,0,0,0,0,3,13,3,13,8,52,0,0,0,0,0,5,3,6,6,16,0,0,0,0,3,8,3,8,9,21,0,0,13,73
SSC50068,226,445,8,37,29,131,8,24,150,556,186,755,26,99,28,91,63,203,112,391,300,1149,0,0,3,9,0,0,23,54,24,63,0,3,5,15,23,58,30,76,50,135,5,11,590,1738
SSC50069,692,1358,28,162,125,578,51,222,878,3343,1080,4301,44,171,64,199,97,327,202,697,1282,4997,13,60,32,139,24,85,243,657,310,932,19,67,38,93,116,244,176,400,483,1335,39,76,2494,7764
SSC50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50071,5,14,0,0,0,0,0,0,7,23,7,23,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,0,0,3,10,0,0,20,46
SSC50072,3,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SSC50073,6,7,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22
SSC50074,0,6,0,0,0,5,0,3,0,0,3,11,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19
SSC50075,89,176,3,25,14,65,9,40,47,207,79,329,17,64,9,27,32,95,56,182,130,516,0,0,3,11,0,4,12,40,17,58,0,0,4,4,6,19,13,25,29,85,0,0,250,774
SSC50076,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50077,35,68,0,0,4,20,3,12,17,57,18,84,0,9,5,16,14,51,21,78,45,161,0,4,0,0,0,0,0,0,0,8,0,0,0,0,3,4,3,4,6,13,0,0,82,239
SSC50078,1054,2070,8,57,97,447,18,83,721,2681,845,3269,68,274,91,313,186,570,339,1156,1187,4420,10,39,25,70,10,41,178,442,222,594,21,60,48,105,171,368,241,537,458,1127,55,116,2753,7738
SSC50079,357,715,5,41,69,320,5,20,229,891,316,1279,37,157,65,234,110,335,213,730,530,2006,3,19,14,44,3,4,33,87,54,149,8,23,18,45,54,111,79,173,133,321,11,22,1026,3065
SSC50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50081,296,577,9,38,52,231,14,71,463,1848,537,2189,18,65,26,80,31,102,73,247,611,2431,4,19,7,21,6,23,46,120,57,187,0,4,6,11,22,45,30,68,89,248,4,14,998,3278
SSC50082,344,664,3,23,38,164,12,61,194,751,250,999,12,44,16,52,52,172,82,266,331,1264,3,10,14,60,3,14,58,172,83,255,3,3,15,36,45,95,66,130,141,390,7,19,821,2334
SSC50083,1581,3106,10,69,129,564,12,50,1071,3957,1220,4637,77,317,151,502,202,638,426,1453,1651,6097,0,8,35,115,10,29,181,437,223,587,14,54,62,135,207,441,288,628,510,1219,95,199,3833,10614
SSC50084,132,256,0,14,13,63,0,13,62,248,79,333,5,23,4,23,12,37,28,80,103,411,0,0,0,10,6,21,28,87,35,115,0,4,9,21,28,63,41,90,78,203,9,23,330,890
SSC50085,16,32,0,0,3,12,0,0,23,70,25,80,0,0,0,0,4,6,4,6,29,88,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,41,127
SSC50086,512,1006,9,56,43,191,14,59,336,1235,398,1543,31,108,44,147,99,310,172,566,573,2107,4,6,8,34,7,20,82,204,98,268,14,31,30,69,94,205,144,309,237,572,22,44,1345,3729
SSC50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50088,8,19,0,0,3,8,0,0,9,26,11,29,0,0,0,0,0,0,0,0,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,51
SSC50089,6,11,0,0,0,3,0,0,4,12,4,12,0,0,0,0,0,4,0,4,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31
SSC50090,736,1480,30,169,75,352,24,107,521,1950,645,2577,40,168,55,195,145,470,243,825,883,3403,4,41,22,62,15,53,103,302,147,453,10,36,32,73,129,278,168,384,314,828,57,128,2001,5840
SSC50091,515,998,3,14,46,186,8,31,406,1527,459,1751,23,105,71,248,110,333,204,686,662,2439,3,23,13,65,7,28,79,191,107,305,13,52,32,77,114,231,162,360,267,661,29,62,1475,4166
SSC50092,319,619,12,61,48,236,19,87,193,777,267,1163,36,165,32,110,93,277,163,553,428,1713,0,0,3,11,0,13,18,43,23,69,3,4,4,5,14,37,21,47,45,113,13,19,802,2470
SSC50093,747,1492,23,125,108,522,40,189,536,2171,708,3008,64,284,88,309,257,821,412,1415,1115,4429,8,29,32,116,34,111,153,420,217,667,18,66,50,114,199,426,270,606,484,1269,54,116,2403,7307
SSC50094,10,22,0,3,3,10,3,7,13,41,19,68,0,8,0,0,3,7,3,17,23,86,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,6,4,5,5,18,0,4,42,125
SSC50095,10,13,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,10,22
SSC50096,3,8,0,0,0,0,0,0,0,9,0,9,0,3,3,6,0,4,3,17,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24
SSC50097,17,37,0,0,3,9,0,0,3,17,4,27,0,3,0,9,5,16,11,27,14,57,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,3,0,3,3,10,0,3,33,95
SSC50098,629,1230,11,77,80,372,31,131,677,2578,804,3154,65,248,72,244,178,571,311,1064,1115,4212,3,25,24,99,14,44,106,284,152,457,10,29,26,63,97,210,131,306,283,760,23,55,2053,6255
SSC50099,6,7,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19
SSC50100,18,29,0,0,0,5,0,4,3,20,9,28,0,0,0,3,4,8,5,11,11,43,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,3,7,0,0,30,78
SSC50101,30,55,0,6,0,7,0,0,17,56,17,71,0,0,0,0,3,6,3,4,22,73,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,4,3,6,0,0,54,140
SSC50102,409,794,10,70,43,204,16,58,272,1028,351,1363,20,85,29,98,105,333,155,511,502,1874,0,9,22,71,3,16,80,215,106,306,7,29,19,50,65,131,91,209,196,518,9,24,1118,3209
SSC50103,34,71,0,0,4,24,0,0,11,46,18,70,3,19,4,7,7,35,16,57,32,123,0,0,0,8,0,0,4,19,9,26,0,0,3,6,3,10,7,13,16,39,0,3,83,235
SSC50104,144,277,0,8,3,33,8,44,82,308,97,389,4,15,9,34,39,107,49,151,148,539,0,13,9,33,6,24,28,87,49,157,3,10,8,14,26,64,38,89,85,243,16,30,395,1094
SSC50105,653,1303,6,34,31,163,12,68,380,1402,430,1664,24,94,47,154,117,368,186,615,613,2287,0,18,13,37,10,36,94,266,122,357,9,26,24,53,111,248,144,330,265,685,60,124,1597,4395
SSC50106,24,48,0,0,4,3,0,4,19,60,20,74,0,0,0,10,4,10,6,24,28,91,0,0,0,0,0,0,3,12,3,12,0,0,3,0,0,0,3,4,4,20,0,0,55,162
SSC50107,19,32,0,0,3,19,4,12,16,62,23,90,3,10,0,3,0,6,9,21,31,112,0,0,0,0,0,3,0,3,0,11,3,7,0,0,4,9,7,18,8,23,0,0,56,162
SSC50108,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
SSC50109,16,27,0,0,3,7,0,0,5,32,12,43,0,7,0,3,3,13,9,17,16,64,0,0,0,0,0,0,3,10,3,10,0,0,0,0,3,8,3,8,3,16,0,0,39,105
SSC50110,318,647,22,119,100,497,32,149,445,1804,596,2571,46,204,55,192,122,417,223,815,819,3385,3,17,16,56,4,19,75,201,102,293,10,47,20,48,64,147,100,245,202,540,24,51,1356,4619
SSC50111,630,1273,6,33,31,132,13,51,277,1033,322,1258,17,74,36,119,53,162,104,355,425,1611,3,21,10,21,6,17,72,201,92,258,4,26,26,59,73,158,111,243,202,499,112,245,1369,3628
SSC50112,175,340,0,0,11,67,3,15,90,334,107,415,6,21,13,46,19,50,35,123,145,535,0,0,4,12,3,10,18,41,27,72,0,0,9,20,12,37,26,55,47,128,6,15,379,1022
SSC50113,7,13,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,11,27
SSC50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50115,391,779,12,81,81,405,24,101,692,2663,813,3259,33,124,36,136,68,206,139,456,952,3715,8,31,24,80,7,32,137,406,172,546,12,23,23,49,48,113,83,186,258,736,18,36,1609,5269
SSC50116,167,323,0,9,10,39,4,14,47,181,62,240,3,11,6,17,16,44,25,67,85,309,0,4,5,15,0,4,16,50,21,68,0,0,0,6,6,20,13,20,30,93,4,13,291,741
SSC50117,636,1248,4,21,86,390,26,110,346,1321,460,1838,54,214,92,311,162,500,307,1025,767,2861,4,12,18,54,11,33,77,200,101,302,14,54,28,59,68,140,112,256,213,555,24,49,1641,4718
SSC50118,93,181,0,9,12,48,3,24,32,127,49,207,13,41,15,58,15,54,44,149,86,354,0,0,3,4,0,0,3,9,8,11,0,9,0,3,7,10,10,17,13,31,0,4,196,572
SSC50119,728,1425,7,38,84,382,11,57,402,1498,506,1974,59,226,94,309,129,384,279,921,784,2899,0,3,18,64,3,4,82,234,104,305,16,56,30,73,68,137,115,260,227,564,29,58,1770,4947
SSC50120,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC50121,34,62,0,0,0,3,0,0,12,46,9,45,0,3,0,3,3,4,7,11,18,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,52,124
SSC50122,4,6,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,4,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20
SSC50123,117,229,3,11,13,57,3,19,117,449,138,536,4,8,9,24,13,40,20,69,162,611,0,0,0,0,0,0,35,93,35,93,0,0,0,0,13,22,13,22,45,109,7,13,337,968
SSC50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50125,10,15,0,7,0,3,0,0,6,27,7,33,0,0,0,0,0,0,0,0,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,20,54
SSC50126,176,344,3,9,8,49,8,25,60,235,79,321,6,12,5,16,22,60,28,87,110,406,0,0,3,17,7,10,12,39,20,69,0,0,3,3,9,21,14,25,36,89,3,4,325,844
SSC50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50128,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC50129,158,303,3,12,14,53,4,22,92,354,112,447,4,9,7,32,14,49,27,99,138,541,0,4,8,20,0,4,24,79,33,110,0,3,6,8,4,9,9,21,44,132,3,3,346,979
SSC50130,7,17,0,0,0,0,0,0,8,26,8,26,0,0,0,0,3,3,3,3,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,19,49
