SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC51548,277,305,577,591,738,1330,0,0,0,33,41,70,0,0,3,1181,1393,2577,19,30,48,64,84,146,12,17,34,6,7,10,9,26,33,3,3,11,21,24,41,24,44,68,70,86,158,6,6,15,3,0,4,104,136,236,157,158,310,4,3,9,2302,2795,5104,198,192,390,68,55,116,7,14,22,0,0,0,23,31,55,22,26,49,46,63,108,2069,1758,3828,25,13,43,10,18,20,2106,1788,3894,552,535,1093,5558,5742,11301
SSC51549,37,30,66,597,603,1193,0,0,0,30,30,58,0,0,0,726,778,1505,11,12,18,52,55,109,12,10,15,3,3,10,4,11,14,3,3,10,17,20,34,27,22,52,48,47,97,0,3,3,0,3,4,79,118,195,82,102,181,3,0,5,1683,1815,3496,32,33,65,18,28,46,8,13,15,0,0,0,0,0,3,11,9,22,13,12,26,1210,921,2129,12,8,23,7,10,22,1235,937,2175,232,206,441,3249,3072,6321
SSC51550,0,0,0,5,10,13,0,0,0,0,0,0,0,0,0,8,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,0,0,0,0,0,0,7,5,12,5,0,3,32,28,55
SSC51551,6,6,11,128,161,286,0,0,0,5,8,13,0,0,0,125,174,305,3,3,6,0,4,4,11,13,22,0,0,0,10,6,23,0,0,0,5,7,13,13,5,19,6,9,18,0,0,0,3,3,3,25,32,56,28,23,52,0,0,0,359,458,811,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,3,4,4,282,225,510,0,0,5,0,0,0,284,228,511,69,71,142,721,769,1487
SSC51552,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10
SSC51553,51,77,124,758,980,1741,0,0,0,72,92,161,0,0,0,686,863,1546,25,37,61,0,4,4,25,36,61,3,11,15,16,21,36,0,0,0,8,21,26,32,31,64,87,92,175,8,14,27,19,27,48,127,190,320,131,159,290,3,3,9,2010,2574,4584,13,13,22,20,10,33,3,0,4,3,4,6,3,3,8,12,19,28,20,27,48,1498,1342,2839,12,8,20,6,17,26,1523,1363,2884,388,428,819,4018,4496,8517
SSC51554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC51555,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,5,3,10,0,0,0,15,14,30
SSC51556,0,0,0,20,22,43,0,0,0,3,0,0,0,0,0,14,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,7,0,9,0,0,0,39,37,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,64,0,0,0,0,0,0,34,31,64,8,5,14,80,71,155
SSC51557,3,3,6,55,70,126,0,0,0,6,0,6,0,0,0,46,69,114,3,3,4,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,10,11,19,0,0,0,0,0,0,9,7,15,8,3,12,0,0,0,138,177,312,0,0,0,3,3,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,84,59,137,0,0,0,0,0,0,84,55,140,23,23,48,245,265,507
SSC51558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,5,0,8,0,0,3,9,7,17
SSC51559,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,3,0,7,0,0,0,15,9,24
SSC51560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,13,0,9,3,0,4,13,3,18
SSC51561,3,3,10,77,84,164,0,0,0,11,15,29,0,0,0,158,186,343,5,11,15,0,0,0,0,4,4,8,23,28,6,12,21,0,0,0,0,0,3,0,3,5,17,20,32,3,4,5,9,5,16,24,20,44,22,16,40,0,0,0,349,403,752,3,3,4,3,5,5,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,298,223,520,0,4,4,0,0,0,298,220,525,87,59,142,747,699,1447
SSC51562,36,36,73,193,258,451,0,0,0,12,15,26,0,0,0,368,516,886,0,0,0,30,33,67,0,3,3,3,3,5,5,8,15,0,3,3,9,13,20,10,13,19,22,27,47,0,4,0,0,0,0,24,40,62,41,40,82,0,0,4,726,963,1689,50,40,87,17,19,31,11,13,27,0,0,0,9,4,7,12,10,18,14,17,33,848,726,1579,14,4,14,6,3,13,870,740,1605,216,209,426,1936,2040,3978
SSC51563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,4,5,10,3,0,6,14,9,20
SSC51564,69,99,168,221,208,425,0,0,0,22,14,32,0,0,0,522,519,1042,0,6,8,55,48,105,5,5,12,0,0,0,9,9,12,3,0,6,7,16,27,12,18,22,34,31,65,0,0,0,0,9,11,39,36,74,45,80,131,0,0,0,986,1005,1985,96,93,189,54,54,109,9,15,26,0,0,0,5,5,12,13,19,28,14,23,39,1111,878,1988,20,16,31,3,9,9,1139,901,2039,536,522,1054,2899,2707,5608
SSC51565,0,0,0,20,16,32,0,0,0,7,3,8,0,0,0,7,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,11,0,0,0,0,0,0,35,29,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,36,3,0,3,0,0,0,21,14,38,9,6,12,66,52,114
SSC51566,0,0,4,47,54,98,0,0,0,3,3,8,0,0,0,41,30,73,0,0,0,0,0,0,6,7,11,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,3,4,0,0,0,0,0,0,11,7,16,6,4,12,0,0,0,123,108,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,77,137,0,0,0,0,0,0,68,77,137,19,15,31,207,204,410
SSC51567,0,0,0,11,5,13,0,0,0,6,5,15,0,0,0,3,3,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,25,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,5,3,11,4,3,10,34,29,58
SSC51568,0,0,0,6,7,9,0,0,0,0,0,0,0,0,0,15,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,33,23,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,20,0,0,0,0,0,0,9,4,20,10,3,17,52,37,89
