SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC50194,0,0,0,0,0
SSC50195,23,11,5,0,72
SSC50196,46,40,15,3,277
SSC50197,74,56,27,8,439
SSC50198,4,4,0,0,14
SSC50199,7,3,0,0,18
SSC50200,155,52,3,0,1351
SSC50201,708,605,318,230,4265
SSC50202,0,0,0,0,3
SSC50203,4,0,0,0,28
SSC50204,4,14,0,0,56
SSC50205,4,0,0,0,9
SSC50206,0,0,0,0,3
SSC50207,392,219,70,17,2408
SSC50208,0,0,0,0,0
SSC50209,3,0,0,0,24
SSC50210,438,254,106,76,2135
SSC50211,0,0,0,0,7
SSC50212,0,0,0,0,6
SSC50213,10,3,0,0,40
SSC50214,6,0,0,0,21
SSC50215,0,0,0,0,9
SSC50216,0,0,0,0,0
SSC50217,40,32,14,3,345
SSC50218,0,0,0,0,3
SSC50219,21,16,0,0,468
SSC50220,0,0,0,0,0
SSC50221,254,68,14,3,1711
SSC50222,21,13,0,0,152
SSC50223,13,3,0,0,37
SSC50224,0,0,0,0,7
SSC50225,0,3,0,0,3
SSC50226,242,119,42,5,1541
SSC50227,139,132,97,30,840
SSC50228,400,271,99,15,5748
SSC50229,570,255,87,34,6349
SSC50230,424,157,40,5,2802
SSC50231,3,9,0,0,21
SSC50232,3,0,0,0,4
SSC50233,15,13,5,3,82
SSC50234,98,75,109,54,838
SSC50235,10,6,0,0,21
SSC50236,0,5,0,0,9
SSC50237,25,5,0,0,174
SSC50238,0,0,0,0,15
SSC50239,293,161,72,34,1703
SSC50240,3,0,0,0,11
SSC50241,0,0,0,0,10
SSC50242,3,3,0,0,23
SSC50243,0,0,0,0,5
SSC50244,1932,917,329,113,16102
SSC50245,247,149,64,21,3320
SSC50246,0,0,0,0,5
SSC50247,54,37,5,4,239
SSC50248,11,0,0,0,13
SSC50249,4,7,0,0,8
SSC50250,148,116,38,11,1000
SSC50251,12,6,3,0,66
SSC50252,5,0,0,0,43
SSC50253,3,0,0,0,8
SSC50254,26,26,3,0,192
SSC50255,0,0,0,0,6
SSC50256,0,0,0,0,0
SSC50257,8,7,3,0,56
SSC50258,11,7,8,0,35
SSC50259,52,41,12,0,481
SSC50260,342,220,96,58,2233
SSC50261,689,503,141,41,3483
SSC50262,352,258,136,85,3597
SSC50263,9,4,0,0,44
SSC50264,71,63,36,12,394
SSC50265,42,14,9,3,178
SSC50266,25,8,3,9,103
SSC50267,0,0,0,0,0
SSC50268,405,199,57,11,3255
SSC50269,0,0,0,0,16
SSC50270,7,0,0,0,20
SSC50271,10,0,0,0,50
SSC50272,225,197,77,20,1730
SSC50273,92,42,10,4,1299
SSC50274,0,0,0,0,32
SSC50275,18,11,4,0,73
SSC50276,235,114,53,9,2530
SSC50277,41,36,52,18,309
SSC50278,46,30,19,3,236
SSC50279,9,10,6,0,75
SSC50280,103,48,27,0,571
SSC50281,0,0,0,0,5
SSC50282,3,3,0,0,16
SSC50283,13,9,3,3,72
SSC50284,10,10,4,0,54
SSC50285,7,6,0,0,31
SSC50286,6,4,0,0,24
SSC50287,0,0,0,0,5
SSC50288,4,3,0,0,12
SSC50289,190,101,29,9,919
SSC50290,90,49,24,3,447
SSC50291,3,0,0,0,17
SSC50292,334,192,82,15,1936
SSC50293,702,423,368,157,3718
SSC50294,36,20,9,3,145
SSC50295,791,714,466,256,5127
SSC50296,595,280,95,14,6067
SSC50297,0,0,0,0,0
SSC50298,0,0,0,0,8
SSC50299,0,0,0,0,0
SSC50300,401,286,190,85,3913
SSC50301,0,0,0,0,20
SSC50302,0,0,0,0,0
SSC50303,64,26,10,4,728
SSC50304,3,0,0,0,13
SSC50305,5,0,0,0,15
SSC50306,16,4,0,0,41
SSC50307,0,0,0,0,6
SSC50308,108,61,24,5,919
SSC50309,506,372,180,66,3106
SSC50310,7,3,0,0,28
SSC50311,58,35,22,6,318
SSC50312,21,15,6,0,112
SSC50313,3,6,0,0,14
SSC50314,0,0,0,0,9
SSC50315,1156,701,390,257,8708
SSC50316,18,14,4,0,110
SSC50317,418,220,64,16,1897
SSC50318,0,0,0,0,4
SSC50319,281,254,179,64,1633
SSC50320,422,265,116,27,2263
SSC50321,35,22,5,3,205
SSC50322,0,0,0,0,3
SSC50323,298,215,118,28,2609
SSC50324,160,73,32,16,881
SSC50325,0,3,0,0,5
SSC50326,66,42,16,0,344
SSC50327,0,0,0,0,3
SSC50328,463,276,168,71,2831
SSC50329,19,14,5,5,173
SSC50330,8,6,0,0,51
SSC50331,4,3,0,0,28
SSC50332,11,6,5,0,61
SSC50333,92,83,29,0,368
SSC50334,7,16,3,0,65
SSC50335,0,0,0,0,3
SSC50336,12,3,0,0,29
SSC50337,13,4,3,0,129
SSC50338,3,0,0,0,7
SSC50339,59,34,22,13,334
SSC50340,3,3,0,0,20
SSC50341,0,0,0,0,0
SSC50342,916,586,247,120,4685
SSC50343,8,0,0,0,21
SSC50344,0,0,0,0,7
SSC50345,3,0,0,0,13
SSC50346,137,65,30,8,946
SSC50347,0,0,0,0,11
SSC50348,0,0,0,0,20
SSC50349,399,262,93,37,2993
SSC50350,4,4,0,0,24
SSC50351,36,20,14,0,185
SSC50352,128,164,115,38,2274
SSC50353,29,14,0,0,102
SSC50354,13,16,4,0,98
SSC50355,14,19,6,0,75
SSC50356,32,40,10,3,199
SSC50357,0,0,0,0,15
SSC50358,21,17,3,0,85
SSC50359,0,0,0,0,12
SSC50360,0,0,0,0,15
SSC50361,3,0,4,0,16
SSC50362,9,0,0,0,46
SSC50363,60,39,17,6,348
SSC50364,7,0,0,0,17
SSC50365,0,0,0,0,6
SSC50366,518,224,92,21,3425
SSC50367,15,12,3,0,77
SSC50368,0,5,3,0,14
SSC50369,0,0,0,0,0
SSC50370,141,110,45,9,878
SSC50371,16,21,5,0,86
SSC50372,5,9,0,6,35
SSC50373,481,391,171,41,2476
SSC50374,47,15,12,4,302
SSC50375,415,241,65,14,3982
SSC50376,13,3,5,0,69
SSC50377,49,11,3,0,529
SSC50378,0,0,0,0,0
SSC50379,43,17,10,0,373
SSC50380,0,0,0,0,5
SSC50381,35,22,9,3,151
SSC50382,0,5,0,0,17
SSC50383,245,143,74,4,2949
SSC50384,0,0,0,0,7
SSC50385,36,25,9,0,229
SSC50386,75,24,12,0,318
SSC50387,28,14,3,4,148
SSC50388,112,64,13,4,562
SSC50389,401,335,123,13,2031
SSC50390,7,4,0,0,20
SSC50391,0,3,0,0,3
SSC50392,4,0,0,0,15
SSC50393,0,4,0,0,9
SSC50394,3,0,0,0,8
SSC50395,448,427,162,13,2667
SSC50396,66,31,3,3,1423
SSC50397,4,3,0,0,14
SSC50398,29,12,3,0,120
SSC50399,53,21,8,0,374
SSC50400,3,11,0,0,29
SSC50401,7,0,4,3,33
SSC50402,60,64,18,7,372
SSC50403,240,226,112,40,1279
SSC50404,276,107,22,8,1643
SSC50405,0,0,0,0,9
SSC50406,3,8,0,0,21
SSC50407,6,0,0,0,14
SSC50408,1667,1138,834,267,11629
SSC50409,0,0,0,0,3
SSC50410,15,13,3,0,85
SSC50411,10,9,0,0,50
SSC50412,0,0,0,0,3
SSC50413,10,3,0,0,24
SSC50414,180,35,5,0,1457
SSC50415,119,111,41,5,603
SSC50416,0,0,0,0,11
SSC50417,0,0,0,0,5
SSC50418,212,169,102,46,1220
SSC50419,8,3,3,0,23
SSC50420,6,3,0,0,43
SSC50421,0,0,0,0,0
SSC50422,634,285,156,64,4788
SSC50423,30,25,11,0,172
SSC50424,10,5,0,0,26
SSC50425,87,44,12,0,686
SSC50426,0,0,0,0,0
SSC50427,3,4,0,0,13
SSC50428,0,0,0,0,8
SSC50429,3,3,0,0,24
SSC50430,490,501,312,144,2894
SSC50431,0,0,0,0,6
SSC50432,9,4,0,0,26
SSC50433,5,0,0,0,6
SSC50434,26,30,4,3,115
SSC50435,23,11,4,0,103
SSC50436,27,14,8,0,97
SSC50437,1442,1022,329,154,8031
SSC50438,0,0,0,0,0
SSC50439,0,0,0,0,7
SSC50440,355,309,132,30,2775
SSC50441,10,4,0,0,80
SSC50442,8,5,0,0,22
SSC50443,0,0,0,0,0
SSC50444,3,0,0,0,4
SSC50445,49,43,14,0,245
SSC50446,10,19,10,0,50
SSC50447,3,4,0,0,17
SSC50448,3,0,0,0,20
SSC50449,6,5,6,0,38
SSC50450,6,6,4,0,25
SSC50451,327,204,126,46,1781
SSC50452,222,126,57,9,2653
SSC50453,64,46,13,12,377
SSC50454,3,4,0,0,18
SSC50455,0,0,0,0,0
SSC50456,849,454,214,102,4362
SSC50457,0,0,0,0,0
SSC50458,3,3,0,0,35
SSC50459,0,0,0,0,3
SSC50460,0,0,0,0,3
SSC50461,3,3,3,0,12
SSC50462,3,0,0,0,4
SSC50463,806,437,148,33,7667
SSC50464,26,4,4,0,94
SSC50465,0,0,0,0,6
SSC50466,35,34,19,3,126
SSC50467,626,283,121,51,5982
SSC50468,0,0,0,0,14
SSC50469,0,0,0,0,20
SSC50470,7,3,0,3,48
SSC50471,514,345,275,149,3685
SSC50472,241,154,74,29,1609
SSC50473,465,235,81,26,2342
SSC50474,5,3,0,0,26
SSC50475,35,17,3,0,836
SSC50476,8,16,3,0,54
SSC50477,0,0,0,0,4
SSC50478,0,0,0,0,8
SSC50479,7,5,0,0,46
SSC50480,71,18,11,0,209
SSC50481,773,445,294,174,9561
SSC50482,0,3,0,0,10
SSC50483,162,86,107,81,1593
SSC50484,7,0,0,0,12
SSC50485,22,46,28,3,147
SSC50486,0,7,4,0,49
SSC50487,0,0,0,0,0
SSC50488,4,0,0,0,5
SSC50489,0,0,0,0,7
SSC50490,329,505,317,75,2090
SSC50491,173,115,111,71,1048
SSC50492,0,0,0,0,0
SSC50493,4,3,0,0,37
SSC50494,0,0,0,0,4
SSC50495,3,3,0,0,16
SSC50496,184,117,29,3,1301
SSC50497,5,0,0,0,27
SSC50498,0,3,0,0,14
SSC50499,443,388,176,56,2462
SSC50500,32,22,0,0,118
SSC50501,351,226,132,78,2195
SSC50502,0,0,0,0,0
SSC50503,0,0,0,0,0
SSC50504,0,0,0,0,0
SSC50505,0,0,0,0,0
SSC50506,59,22,4,5,510
SSC50507,0,0,0,0,0
SSC50508,829,396,190,93,4380
SSC50509,0,0,0,0,0
SSC50510,35,22,11,0,139
SSC50511,8,3,3,0,96
SSC50512,0,0,0,0,0
SSC50513,0,0,3,0,12
SSC50514,6,0,0,0,31
SSC50515,73,47,19,7,447
SSC50516,851,490,266,110,5558
SSC50517,3,0,0,0,17
SSC50518,29,17,10,7,169
SSC50519,9,0,0,0,41
SSC50520,841,571,263,89,5318
SSC50521,102,84,38,12,433
SSC50522,0,0,0,0,6
SSC50523,74,59,10,0,267
SSC50524,6,4,0,0,19
SSC50525,9,0,0,0,34
SSC50526,10,0,0,0,49
SSC50527,3,0,0,0,581
SSC50528,5,0,0,0,27
SSC50529,7,7,0,0,60
SSC50530,0,0,0,0,15
SSC50531,274,123,39,12,1166
SSC50532,301,250,97,24,1597
SSC50533,3,3,3,0,30
SSC50534,228,145,111,44,1451
SSC50535,0,0,0,0,3
SSC50536,9,0,0,0,42
SSC50537,32,10,8,0,169
SSC50538,7,0,0,0,45
SSC50539,3,9,0,0,47
SSC50540,290,149,65,8,1396
SSC50541,5,7,3,0,39
SSC50542,3,0,0,0,5
SSC50543,0,0,0,0,13
SSC50544,0,0,0,0,0
SSC50545,0,0,0,0,5
SSC50546,51,47,18,3,342
SSC50547,4,4,0,0,23
SSC50548,412,287,116,21,3246
SSC50549,86,55,24,8,441
SSC50550,323,199,76,20,1488
SSC50551,154,74,27,10,1216
SSC50552,12,4,4,0,28
SSC50553,0,0,0,0,13
SSC50554,98,87,52,43,1595
SSC50555,67,26,9,0,425
SSC50556,8,4,0,0,54
SSC50557,4,9,3,0,31
SSC50558,0,5,0,0,27
SSC50559,125,64,29,10,521
SSC50560,58,12,10,0,271
SSC50561,0,0,0,0,3
SSC50562,35,21,5,8,217
SSC50563,8,0,0,0,17
SSC50564,164,86,52,4,1677
SSC50565,41,51,13,0,146
SSC50566,0,5,0,0,19
SSC50567,48,36,14,8,230
SSC50568,0,0,0,0,3
SSC50569,379,326,160,36,1831
SSC50570,3,0,0,0,15
SSC50571,0,0,0,0,0
SSC50572,1074,771,518,202,8329
SSC50573,28,14,11,3,139
SSC50574,0,0,0,0,13
SSC50575,0,0,3,0,56
SSC50576,18,15,3,0,66
SSC50577,27,34,5,3,121
SSC50578,4,3,0,0,28
SSC50579,3,7,0,0,22
SSC50580,40,18,8,0,151
SSC50581,562,470,519,144,3985
SSC50582,5,6,0,0,32
SSC50583,230,165,115,68,1337
SSC50584,28,14,5,0,125
SSC50585,706,642,171,32,4830
SSC50586,0,0,0,0,3
SSC50587,20,3,6,0,31
SSC50588,0,3,0,0,3
SSC50589,4,0,0,0,29
SSC50590,0,0,0,0,0
SSC50591,15,31,13,5,93
SSC50592,192,133,76,36,1152
SSC50593,0,0,0,0,4
SSC50594,3,0,0,0,19
SSC50595,3,0,0,0,23
SSC50596,8,3,0,0,30
SSC50597,291,239,164,125,2344
SSC50598,8,3,0,0,29
SSC50599,10,3,0,0,23
SSC50600,88,30,10,3,601
SSC50601,1081,796,383,144,6446
SSC50602,18,18,3,0,117
SSC50603,4,6,0,0,27
SSC50604,4,0,0,0,18
SSC50605,351,331,121,29,2508
SSC50606,0,0,0,0,0
SSC50607,694,462,254,153,5351
SSC50608,135,64,13,0,2423
SSC50609,121,34,15,3,1168
SSC50610,6,0,3,0,46
SSC50611,329,119,21,5,4513
SSC50612,4,3,0,0,20
SSC50613,203,163,92,26,1394
SSC50614,0,0,0,0,14
SSC50615,0,0,0,0,0
SSC50616,44,38,16,0,193
SSC50617,13,11,5,0,367
SSC50618,64,61,42,8,408
SSC50619,9,9,3,0,43
SSC50620,469,246,80,15,3322
SSC50621,310,220,83,11,1765
SSC50622,0,0,0,0,8
SSC50623,214,107,36,0,1153
SSC50624,22,10,3,0,86
SSC50625,0,0,0,0,0
SSC50626,136,96,35,3,676
SSC50627,48,32,10,0,237
SSC50628,0,3,0,0,37
SSC50629,14,7,4,0,59
SSC50630,5,0,0,0,46
SSC50631,687,463,260,56,5299
SSC50632,38,13,6,0,137
SSC50633,153,69,24,10,1518
SSC50634,67,22,5,0,694
SSC50635,10,3,0,0,41
SSC50636,1176,627,204,54,5621
SSC50637,125,102,34,3,714
SSC50638,4,3,3,0,27
SSC50639,293,135,104,94,2106
SSC50640,3,3,0,0,15
SSC50641,10,0,0,0,22
SSC50642,3,4,0,0,27
SSC50643,294,146,37,5,2630
SSC50644,21,14,0,0,67
SSC50645,0,3,6,0,28
SSC50646,0,0,0,0,0
SSC50647,3,0,0,0,10
SSC50648,0,0,0,0,14
SSC50649,0,0,0,0,3
SSC50650,3,0,0,0,27
SSC50651,32,16,5,3,153
SSC50652,87,77,20,7,406
SSC50653,20,13,4,0,62
SSC50654,0,3,0,0,6
SSC50655,83,61,21,8,355
SSC50656,17,10,5,0,64
SSC50657,0,0,0,0,23
SSC50658,0,3,0,0,12
SSC50659,436,272,93,28,3589
SSC50660,19,15,5,0,131
SSC50661,0,0,0,0,9
SSC50662,524,164,60,4,2615
SSC50663,3,0,0,0,23
SSC50664,6,0,0,0,11
SSC50665,5,0,0,0,8
SSC50666,491,239,128,36,3287
SSC50667,3,4,3,0,15
SSC50668,472,333,205,179,5022
SSC50669,3,0,0,0,17
SSC50670,14,9,0,0,38
SSC50671,9,0,3,0,35
SSC50672,0,0,0,0,0
SSC50673,4,3,0,0,19
SSC50674,10,0,0,0,28
SSC50675,4,0,0,0,21
SSC50676,18,18,5,0,65
SSC50677,0,0,0,0,12
SSC50678,22,26,3,3,118
SSC50679,284,175,33,9,1359
SSC50680,219,96,40,5,1508
SSC50681,9,14,3,0,64
SSC50682,92,68,21,7,595
SSC50683,0,4,3,0,11
SSC50684,10,13,4,0,67
SSC50685,4,0,0,0,29
SSC50686,3,3,0,0,24
SSC50687,10,9,3,0,73
SSC50688,29,10,9,3,154
SSC50689,0,0,0,0,12
SSC50690,3,0,0,0,18
SSC50691,146,34,10,0,1223
SSC50692,3,3,0,0,33
SSC50693,7,4,0,0,52
SSC50694,7,3,0,0,17
SSC50695,93,110,142,100,900
SSC50696,704,342,172,69,4945
SSC50697,288,163,112,88,2908
SSC50698,45,37,14,0,172
SSC50699,10,0,0,0,157
SSC50700,180,121,62,6,808
SSC50701,0,0,0,0,14
SSC50702,653,636,368,112,3762
SSC50703,9,3,0,0,74
SSC50704,186,153,52,11,768
SSC50705,0,0,0,0,0
SSC50706,88,59,9,7,345
SSC50707,236,99,48,12,1896
SSC50708,8,4,0,0,26
SSC50709,494,375,113,49,2775
SSC50710,12,0,0,0,42
SSC50711,6,3,0,0,99
SSC50712,40,16,4,0,336
SSC50713,80,40,11,0,679
SSC50714,45,61,16,0,211
SSC50715,0,0,0,0,10
SSC50716,41,23,10,0,125
SSC50717,3,3,0,0,40
SSC50718,127,60,25,9,969
SSC50719,857,453,207,53,4636
SSC50720,13,0,0,0,35
SSC50721,12,3,0,0,34
SSC50722,12,4,0,0,93
SSC50723,4,0,0,0,9
SSC50724,41,12,0,0,190
SSC50725,86,55,12,5,684
SSC50726,31,28,9,0,183
SSC50727,0,0,0,0,7
SSC50728,11,18,6,0,85
SSC50729,0,0,0,0,0
SSC50730,8,3,0,0,24
SSC50731,8,4,0,0,54
SSC50732,24,7,0,0,151
SSC50733,27,10,4,3,137
SSC50734,662,516,301,109,4843
SSC50735,0,0,0,0,0
SSC50736,234,145,88,47,1455
SSC50737,3,3,0,0,21
SSC50738,9,7,3,0,42
SSC50739,18,0,4,4,161
SSC50740,6,0,3,0,18
SSC50741,58,42,38,18,364
SSC50742,739,527,240,131,4782
SSC50743,109,98,37,0,464
SSC50744,3,3,0,0,12
SSC50745,0,0,0,0,3
SSC50746,373,189,59,29,2442
SSC50747,24,9,0,0,50
SSC50748,284,169,77,19,2399
SSC50749,0,0,0,0,0
SSC50750,378,235,138,34,3266
SSC50751,57,44,11,0,477
SSC50752,133,74,20,5,825
SSC50753,0,0,0,0,12
SSC50754,16,9,0,0,118
SSC50755,18,22,3,0,111
SSC50756,0,4,0,0,10
SSC50757,35,21,9,0,144
SSC50758,1292,683,335,249,6559
SSC50759,0,0,0,0,5
SSC50760,427,185,87,47,3172
SSC50761,0,0,0,0,6
SSC50762,18,5,0,0,89
SSC50763,3,0,0,0,14
SSC50764,0,7,0,0,11
SSC50765,86,58,39,21,525
SSC50766,7,10,0,0,41
SSC50767,35,12,9,0,131
SSC50768,4,3,0,0,12
SSC50769,4,0,0,0,26
SSC50770,7,0,0,0,21
SSC50771,5,3,0,0,23
SSC50772,0,0,0,0,5
SSC50773,7,0,0,0,66
SSC50774,8,3,0,0,21
SSC50775,174,137,46,4,1319
SSC50776,45,40,25,0,420
SSC50777,17,10,5,0,94
SSC50778,4,0,4,0,24
SSC50779,25,19,3,0,89
SSC50780,5,3,0,3,25
SSC50781,35,17,8,0,129
SSC50782,12,9,5,0,48
SSC50783,0,0,0,0,16
SSC50784,8,3,3,0,42
SSC50785,8,14,3,0,52
SSC50786,20,23,8,9,146
SSC50787,4,4,0,0,33
SSC50788,0,0,0,0,7
SSC50789,4,0,0,0,39
SSC50790,3,0,0,0,13
SSC50791,15,7,0,0,27
SSC50792,398,126,31,4,2609
SSC50793,0,0,0,0,4
SSC50794,0,0,0,0,6
SSC50795,4,0,0,0,8
SSC50796,0,0,0,0,5
SSC50797,4,0,0,0,5
SSC50798,3,6,4,3,100
SSC50799,6,0,0,0,6
SSC50800,16,4,0,0,138
SSC50801,21,8,0,0,97
SSC50802,0,0,0,0,3
SSC50803,3,0,0,0,12
SSC50804,0,0,0,0,4
SSC50805,0,0,0,0,11
SSC50806,0,0,0,0,6
SSC50807,54,40,13,0,317
SSC50808,3,0,0,0,34
SSC50809,8,0,0,0,45
SSC50810,35,24,14,3,237
SSC50811,4,0,0,0,7
SSC50812,0,0,0,0,3
SSC50813,8,0,0,0,33
SSC50814,3,0,0,0,10
SSC50815,4,4,0,0,13
SSC50816,0,3,0,0,10
SSC50817,3,0,0,0,26
SSC50818,0,0,0,0,7
SSC50819,193,168,66,11,2120
SSC50820,117,38,26,3,957
SSC50821,78,69,33,12,350
SSC50822,525,218,94,8,5462
SSC50823,16,17,13,0,113
SSC50824,271,166,75,20,2339
SSC50825,0,0,0,0,18
SSC50826,238,109,64,26,1797
SSC50827,84,13,8,0,479
SSC50828,0,0,0,0,3
SSC50829,134,69,20,0,1299
SSC50830,21,27,6,3,110
SSC50831,201,99,49,21,2168
SSC50832,43,25,6,0,139
SSC50833,1273,591,163,55,5666
SSC50834,0,0,0,0,4
SSC50835,32,8,0,0,316
SSC50836,14,21,0,0,84
SSC50837,50,23,6,3,386
SSC50838,331,162,43,7,1404
SSC50839,0,0,0,0,0
SSC50840,735,592,296,83,4148
SSC50841,5,0,4,0,11
SSC50842,0,0,0,0,5
SSC50843,8,4,0,0,22
SSC50844,149,108,46,8,710
SSC50845,0,0,0,0,3
SSC50846,0,0,0,0,6
SSC50847,0,0,0,0,4
SSC50848,190,130,68,14,1472
SSC50849,65,69,21,5,518
SSC50850,0,0,0,0,9
SSC50851,0,0,0,0,0
