SSC_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SSC50001,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,15,0,3,0,0,0,3,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50002,0,3,0,0,3,0,0,0,0,5,22,66,51,52,40,26,10,19,0,284,0,11,3,0,3,3,0,0,0,27,3,0,0,0,0,0,7,13,0,21,0,4,3,3,6,8,7,12,0,35,0,0,0,0,0,0,0,0,0,11,4,3,7,12,3,17,14,22,0,83,0,0,3,0,0,0,0,0,0,6,0,19,13,9,6,11,3,8,3,68,3,13,10,8,8,7,0,4,0,51,0,3,0,5,3,0,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,14,0,9,0,5,8,4,5,0,0,31,6,11,0,3,0,6,0,3,0,27,0,0,5,4,9,0,4,4,0,30,7,6,3,11,7,12,0,5,0,52,5,5,15,26,14,6,0,3,0,73,0,0,0,0,0,0,0,0,0,4
SSC50003,0,0,0,0,0,0,0,0,0,0,0,7,4,4,0,0,0,3,0,22,0,3,0,9,3,0,3,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,3,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SSC50005,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,13,0,0,4,0,0,0,0,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50006,0,0,0,3,0,0,0,0,3,13,13,65,52,67,48,32,20,26,3,326,0,3,0,3,0,5,4,7,0,22,0,0,0,0,0,0,0,0,0,3,0,3,0,8,3,4,9,0,0,23,0,0,0,0,0,3,3,0,0,6,3,3,3,4,8,9,8,12,0,40,0,3,0,0,0,0,0,3,0,5,0,15,9,14,3,6,3,6,0,58,3,13,8,16,13,9,11,11,0,83,0,7,6,3,0,0,3,6,0,21,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,0,4,3,3,0,3,0,19,0,5,4,8,0,12,0,10,0,47,0,8,0,3,0,0,4,0,0,18,0,9,0,3,13,3,4,11,0,43,3,13,15,14,10,23,5,13,0,83,6,11,21,20,31,12,5,6,0,118,0,3,0,0,0,4,0,5,0,10
SSC50007,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,18,0,0,3,3,0,3,0,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50008,0,9,6,9,13,7,3,3,15,72,57,303,245,300,385,219,82,137,24,1750,0,6,3,8,8,12,4,11,0,54,13,0,4,0,10,21,8,55,0,108,4,13,19,20,100,57,32,42,0,286,0,0,0,0,12,11,8,10,0,41,8,27,21,37,78,126,73,69,7,442,0,8,3,14,32,38,19,17,0,128,19,103,64,57,69,43,23,36,3,425,3,80,21,38,33,17,9,26,3,230,8,8,16,25,40,29,25,48,6,193,0,0,0,3,11,9,3,3,0,35,3,4,3,5,15,15,5,8,0,61,0,11,8,8,7,15,10,14,0,67,3,20,15,11,43,40,13,22,0,165,3,25,20,19,25,20,4,15,3,138,6,8,16,21,81,47,26,20,0,229,13,33,32,56,71,32,17,26,3,276,14,47,57,83,108,68,23,35,3,435,3,13,10,0,10,4,4,0,0,54
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50010,0,6,0,0,0,0,0,7,3,20,24,104,106,100,82,96,35,55,9,609,0,0,0,0,0,0,0,4,0,9,3,0,0,3,4,13,9,30,0,70,0,11,8,6,8,14,10,13,0,62,0,0,0,0,9,0,0,4,0,16,0,9,3,6,9,26,14,28,3,99,0,3,6,4,3,15,4,8,0,33,6,29,16,10,11,10,4,5,0,101,6,28,9,11,3,3,6,14,3,73,3,3,3,6,10,11,8,13,0,43,0,0,0,0,0,0,0,3,0,10,5,0,3,7,9,17,4,10,0,57,0,6,3,0,0,7,4,7,0,30,4,3,9,8,14,30,11,25,0,114,0,8,9,3,3,3,3,3,0,33,7,0,8,13,21,29,9,13,0,89,5,17,16,23,19,23,14,22,3,137,3,24,35,24,28,27,4,14,0,164,0,0,3,0,0,3,5,4,0,17
SSC50011,3,4,6,8,9,10,0,5,7,52,77,197,226,247,361,226,96,117,16,1565,0,4,0,3,3,4,0,3,0,18,16,6,3,0,4,13,12,127,3,191,7,3,3,4,31,30,26,15,0,117,3,0,0,0,10,12,3,3,0,27,17,17,19,23,67,173,59,114,7,495,3,3,3,6,28,23,13,16,0,83,9,67,41,44,89,51,30,33,3,360,5,57,29,28,25,26,11,28,0,199,8,0,12,11,13,11,6,25,0,88,0,0,3,0,8,11,6,5,0,28,4,0,6,9,32,23,9,6,0,95,4,0,5,0,10,12,3,7,0,45,7,4,11,11,46,38,14,19,0,159,3,14,9,15,22,24,8,19,0,119,21,4,13,11,66,59,29,17,3,222,8,24,29,32,59,37,19,25,0,246,24,43,64,91,132,41,25,27,4,451,0,7,6,5,3,3,4,0,0,33
SSC50012,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50013,0,0,0,0,0,0,0,0,0,3,6,30,27,20,23,10,6,10,3,130,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,35,8,0,58,0,0,0,0,0,3,3,0,0,16,0,0,0,0,6,3,0,6,0,23,0,0,3,0,0,7,0,4,0,16,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,3,0,5,0,16,0,6,3,3,0,0,0,0,0,15,0,4,0,0,0,0,5,3,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,3,0,8,0,3,0,0,17,0,7,8,5,7,3,4,4,0,39,0,3,5,3,5,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0
SSC50014,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,4,0,3,0,20,0,0,0,0,0,3,0,15,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50016,0,0,0,0,0,0,0,0,0,0,6,18,20,25,20,4,8,8,0,110,8,5,0,3,0,8,0,5,0,27,0,0,0,0,0,0,0,14,0,21,0,0,3,0,3,0,0,0,0,10,0,0,0,0,3,4,0,0,0,3,0,0,4,0,6,7,3,3,0,36,0,0,0,0,0,0,0,3,0,8,0,9,4,0,7,0,0,4,0,20,0,3,0,3,4,0,0,0,0,7,0,0,0,3,0,5,0,3,0,12,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,8,0,0,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,3,3,3,0,0,3,3,0,16,0,3,0,4,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
SSC50017,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,0,16,0,0,3,3,0,5,3,14,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50019,0,3,0,0,0,0,0,0,3,5,0,10,3,3,3,4,0,6,4,42,0,6,0,0,0,0,0,6,0,21,3,0,0,0,0,0,3,0,0,4,0,0,0,3,0,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,4,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
SSC50020,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,14,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,5,13,4,11,6,11,4,3,4,61,55,330,218,244,197,212,94,137,17,1513,0,3,3,3,0,0,0,7,0,23,8,11,15,8,16,40,21,73,0,185,5,7,11,10,24,44,9,21,0,129,0,0,3,0,4,3,5,11,0,30,5,19,11,21,22,61,18,82,4,244,0,11,8,10,13,17,7,14,0,80,10,90,35,35,26,33,15,32,0,284,5,63,28,26,16,10,10,19,0,183,5,12,10,9,15,20,12,18,0,96,0,3,3,5,11,4,3,10,0,38,3,25,11,13,14,25,17,21,0,123,5,22,19,12,18,46,18,26,0,161,3,44,29,41,36,94,42,99,5,388,0,14,7,10,10,13,3,6,0,73,9,7,5,16,31,26,15,27,0,134,7,65,49,37,35,39,23,35,0,286,12,76,63,79,67,69,36,55,0,456,3,18,3,12,8,10,0,3,3,61
SSC50023,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,17,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50024,3,10,12,3,7,5,0,3,3,42,45,209,176,139,158,138,62,61,9,1001,0,0,0,0,3,3,3,3,0,16,11,0,3,4,4,37,17,39,3,118,0,7,6,4,17,9,12,12,0,69,0,3,0,3,3,4,4,7,0,26,4,16,4,11,19,28,10,32,0,122,0,8,4,3,0,11,10,4,0,45,4,65,27,24,25,14,8,21,3,194,8,61,33,15,14,11,4,19,0,155,3,4,3,7,9,17,8,13,0,62,0,0,0,0,0,0,3,3,0,9,0,3,8,6,17,11,11,7,0,63,0,6,6,3,4,18,4,9,0,58,9,26,19,16,28,66,32,46,0,243,4,10,12,7,8,7,4,6,0,53,3,8,12,5,25,22,15,13,0,111,13,39,41,22,34,23,16,21,3,214,6,47,54,50,48,46,19,27,6,296,3,10,6,3,4,0,0,3,0,35
SSC50025,0,0,0,0,0,0,0,0,0,4,9,26,19,24,21,15,10,11,5,124,0,3,4,3,3,0,0,3,0,15,0,0,0,0,0,0,3,15,0,21,0,0,0,0,3,0,0,7,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,7,4,6,0,26,0,0,0,3,0,0,0,0,0,3,0,9,0,0,6,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,11,0,0,3,3,3,3,5,3,0,19,3,7,0,3,3,4,3,0,4,27,3,3,8,14,7,4,3,3,0,39,0,0,0,0,0,0,0,0,0,0
SSC50026,0,14,10,8,11,11,4,0,26,85,108,341,264,397,499,269,111,142,54,2178,0,3,3,0,16,5,3,6,0,39,15,4,0,3,17,12,12,68,3,138,15,25,11,21,123,84,66,37,0,387,4,0,3,3,22,14,8,7,0,54,15,25,21,40,91,121,52,84,13,456,9,5,0,8,43,32,24,22,3,150,17,96,65,108,137,61,41,30,10,572,9,91,30,40,42,25,13,22,5,276,16,12,32,46,73,62,60,79,6,382,3,3,0,5,7,10,3,3,0,44,3,0,8,6,11,13,4,4,0,52,8,3,4,3,19,20,11,4,0,64,10,20,6,13,50,33,15,15,0,157,8,35,23,30,39,17,22,13,4,200,13,9,17,26,96,39,34,28,3,264,15,54,49,54,65,30,26,33,4,333,32,81,94,140,142,97,32,52,9,671,3,8,7,6,10,0,3,6,0,47
SSC50027,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,13,0,0,0,4,0,3,3,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
