SSC_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SSC50706,0,0,3,0,0,0,0,0,0,4,9,23,18,34,20,20,3,16,3,145,3,15,5,0,3,7,0,18,3,55,3,0,0,0,0,0,3,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,5,0,6,0,28,0,0,0,0,0,0,0,0,0,6,0,5,0,5,4,5,0,3,0,26,3,3,0,7,0,0,0,0,0,20,0,3,0,0,0,3,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,0,0,3,9,0,3,0,22,0,0,4,0,3,0,0,0,0,10,3,0,0,0,3,3,0,0,0,15,0,7,3,9,4,8,7,14,0,50,0,0,4,11,7,9,0,4,0,32,0,3,0,0,0,0,0,0,0,6
SSC50707,0,3,3,0,5,3,0,0,13,38,34,116,66,121,165,133,73,129,18,852,0,0,0,0,0,0,0,0,0,0,23,12,14,7,16,61,90,282,4,504,6,0,0,3,8,14,22,23,0,79,0,0,0,0,10,3,4,7,0,26,0,16,0,7,14,26,14,49,4,129,0,6,0,3,4,12,10,7,0,43,7,35,15,20,41,23,15,21,4,180,0,41,26,26,27,18,6,18,3,156,3,5,3,11,11,19,8,30,0,92,0,3,0,3,3,0,0,0,0,8,0,0,0,0,3,5,3,4,0,17,0,0,4,0,10,6,0,10,0,32,4,0,3,3,14,18,3,15,0,62,3,12,3,3,9,3,4,6,3,44,3,7,3,10,33,28,11,18,0,115,9,9,10,18,34,27,14,31,0,149,8,9,12,27,53,36,15,12,3,181,0,6,0,3,0,0,0,3,0,15
SSC50708,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,0,0,3,0,17,3,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SSC50709,0,8,4,3,3,4,3,0,10,42,47,231,213,203,185,178,59,90,23,1228,0,0,3,0,0,0,0,0,0,8,12,3,0,3,14,20,17,52,0,122,4,8,8,10,23,23,7,15,0,97,0,0,0,0,10,5,5,6,0,26,3,23,27,28,38,90,36,70,0,307,0,0,5,3,9,10,8,14,3,48,7,67,48,37,27,25,10,27,0,240,7,61,20,13,8,13,6,13,0,142,3,5,5,4,11,13,7,19,0,68,0,5,9,4,0,4,3,7,0,33,0,8,12,10,11,36,8,16,0,97,0,5,4,7,9,16,7,13,0,58,4,24,19,12,22,42,25,38,7,190,0,19,11,6,11,15,5,6,3,77,9,14,10,14,45,34,11,15,3,144,13,51,48,55,40,40,27,42,0,304,14,47,59,62,60,34,15,21,0,300,6,15,6,7,0,3,3,8,0,45
SSC50710,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,0,20,0,0,0,0,4,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC50711,0,0,0,0,0,0,0,0,3,3,0,5,0,11,0,3,3,4,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,5,6,0,17,0,6,3,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0
SSC50712,0,0,0,0,0,0,0,0,3,3,5,21,11,14,20,6,5,24,3,112,0,0,0,0,0,0,0,0,0,0,14,9,5,0,7,4,16,104,6,163,0,0,3,0,0,0,5,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,3,0,0,0,3,3,7,4,3,3,0,0,3,0,24,0,3,3,3,0,4,0,8,0,25,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,6,0,0,0,0,3,0,3,0,0,11,0,0,0,5,3,0,0,6,0,14,0,3,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3
SSC50713,0,3,0,0,0,3,0,0,0,13,22,56,30,38,62,41,22,53,3,328,0,0,0,0,0,0,0,0,0,3,20,5,8,8,15,38,38,231,8,358,3,3,0,0,0,0,4,8,0,25,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,12,0,25,0,0,0,0,0,0,0,0,0,0,7,18,3,7,12,3,5,3,0,57,3,3,0,0,8,0,3,3,0,17,0,3,3,3,5,0,4,7,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,11,0,3,3,0,0,0,0,3,0,11,0,5,3,3,4,7,0,3,3,28,3,4,0,4,7,12,12,3,0,42,4,13,8,8,7,9,3,11,0,57,4,0,3,3,13,3,0,5,0,39,0,0,3,0,0,0,0,0,0,6
SSC50714,0,3,0,0,0,0,0,0,0,6,10,16,12,15,18,7,3,6,0,87,0,6,0,0,0,0,0,5,0,13,0,0,0,3,0,0,0,12,3,17,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,0,4,4,0,4,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,3,0,0,15,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,3,4,0,13,3,0,3,0,5,0,0,0,0,17,5,3,3,4,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0
SSC50715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
