SSC_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SSC50001,0,0,0,0,3,3,0,3,3,3,0,3,3,6,4,0,0,0,3,0,3,5,0,8,7,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,12,15,24
SSC50002,7,14,23,59,40,99,16,8,20,16,11,23,86,60,149,27,30,57,14,12,26,9,6,18,47,54,103,0,3,5,0,4,4,10,0,8,5,9,18,0,0,0,18,15,36,0,5,5,0,8,8,0,0,0,3,11,13,0,0,0,3,21,24,0,0,0,0,0,0,0,0,0,0,0,0,42,27,69,208,194,398
SSC50003,0,0,3,0,3,7,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,4,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,13,12,25
SSC50004,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5
SSC50005,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,3,7,9,11,17
SSC50006,7,3,7,22,16,41,0,6,8,7,0,11,30,23,51,26,29,54,3,0,3,17,7,21,43,42,77,0,0,0,5,3,3,0,3,3,3,8,16,0,0,0,8,16,24,0,3,3,0,6,8,0,0,0,7,12,18,0,0,0,9,19,33,3,3,8,0,0,0,0,0,0,3,4,10,41,53,97,142,159,305
SSC50007,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8
SSC50008,61,49,110,241,217,456,80,75,154,50,50,98,368,341,711,200,164,358,72,76,153,52,52,99,322,288,609,24,21,39,14,23,42,22,9,31,22,27,49,3,0,3,82,85,164,103,126,226,25,27,56,10,21,32,24,33,59,0,0,3,162,205,372,23,20,42,20,28,45,0,0,0,43,46,84,207,191,400,1244,1205,2451
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC50010,18,18,36,98,70,170,37,36,72,7,7,17,140,121,260,43,32,80,34,43,71,15,20,38,94,99,193,9,0,9,0,7,4,7,4,5,3,10,7,0,0,0,15,18,26,36,42,78,19,14,29,0,3,4,11,23,38,0,0,0,70,78,150,3,0,3,5,10,16,0,0,0,6,18,24,66,54,124,406,400,805
SSC50011,50,45,103,239,208,450,41,35,72,63,61,128,339,310,648,113,111,223,24,29,55,36,21,60,173,164,340,17,13,34,7,11,18,18,16,30,29,30,56,0,0,0,67,66,133,33,48,81,11,36,46,8,25,28,32,48,80,0,0,0,83,155,237,7,9,17,12,18,32,0,0,0,13,27,40,273,269,537,1001,1044,2044
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3
SSC50013,5,10,12,30,17,49,3,8,13,0,0,3,39,29,64,24,19,42,4,5,11,4,4,3,28,27,54,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,3,3,9,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,5,5,0,0,0,0,5,5,22,34,54,95,107,206
SSC50014,0,0,0,7,3,10,3,0,3,0,0,0,7,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,10,7,20
SSC50015,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50016,9,0,5,13,22,39,7,4,7,4,12,17,24,41,62,16,11,30,3,4,6,4,0,3,25,22,39,3,0,3,0,0,0,0,0,0,0,3,6,0,0,0,8,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,3,3,3,15,15,30,76,85,163
SSC50017,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,8,12,21
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50019,0,0,0,0,3,4,5,0,3,0,0,0,4,3,10,3,5,12,5,3,6,8,3,7,15,13,26,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,9,14,37,24,59
SSC50020,0,0,0,3,0,3,0,0,0,0,0,3,3,0,4,0,0,0,5,0,5,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,16
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,43,47,89,179,165,345,31,40,77,30,40,72,246,249,495,77,59,135,66,57,123,92,98,187,230,213,442,9,5,19,3,11,12,14,5,15,10,20,32,3,0,3,38,45,78,133,134,271,36,33,73,16,20,32,24,39,65,0,3,3,215,228,445,7,12,18,4,23,25,0,0,0,14,35,47,232,248,482,1007,1065,2074
SSC50023,0,0,3,5,3,5,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,16
SSC50024,22,31,51,130,117,248,31,44,73,16,19,34,170,182,354,94,98,192,28,31,63,41,38,78,163,171,332,7,3,17,4,9,17,7,3,12,6,9,17,0,0,0,34,24,58,99,114,211,25,25,54,11,15,26,18,28,47,0,0,0,155,185,344,3,6,7,12,11,18,0,0,0,12,18,30,92,89,179,651,698,1351
SSC50025,3,3,4,18,19,37,11,5,16,4,4,7,32,29,64,16,17,32,0,3,4,5,8,15,27,20,48,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,4,3,0,4,0,4,5,0,0,0,0,7,9,0,0,0,4,11,13,0,0,0,0,0,0,0,0,0,0,4,4,16,15,34,84,90,175
SSC50026,89,77,166,430,403,829,41,40,78,73,68,140,542,505,1045,270,238,510,16,15,32,44,66,116,329,329,654,34,45,77,21,48,76,36,35,78,39,59,100,0,0,3,140,188,328,29,48,76,33,44,76,7,13,29,28,64,91,0,3,3,94,175,270,14,23,39,21,34,58,3,3,6,41,64,103,746,792,1541,1978,2132,4110
SSC50027,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,12,9,17
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50029,0,0,0,5,3,5,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,7,6,12
SSC50030,0,0,0,6,9,13,0,0,0,0,0,0,6,9,13,0,3,6,0,0,0,0,3,3,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,15,22,30
SSC50031,9,11,20,26,24,57,28,37,64,19,5,29,77,68,146,25,15,37,20,28,49,11,15,27,58,55,110,7,3,5,8,0,3,3,0,3,9,4,16,0,0,0,20,7,32,29,38,64,7,13,18,3,0,9,13,22,37,0,0,0,53,70,127,7,3,9,4,8,15,0,0,0,8,13,22,142,111,250,373,336,716
SSC50032,21,21,41,87,78,165,12,25,42,15,10,29,114,120,229,42,33,76,15,15,27,9,14,28,66,64,127,10,3,14,6,6,9,7,7,12,7,8,19,0,0,0,26,24,50,22,25,48,3,12,13,5,0,8,9,18,31,0,0,0,38,56,94,3,9,8,7,9,12,0,0,0,6,12,22,77,78,151,342,374,714
SSC50033,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,9
SSC50034,5,9,12,36,31,61,12,10,25,6,3,13,51,48,102,21,21,39,14,8,23,9,10,13,43,29,74,0,3,5,3,5,4,4,0,3,3,3,11,0,0,0,13,13,26,13,12,28,5,5,6,0,3,7,4,17,23,0,0,0,27,34,63,0,0,3,3,3,4,0,0,0,6,3,6,50,41,90,190,179,367
SSC50035,28,36,58,147,126,274,108,122,233,23,35,64,281,286,569,56,39,92,109,326,436,71,45,116,236,409,648,8,11,15,3,3,10,14,4,15,4,9,17,0,0,0,28,26,53,96,145,240,32,30,66,10,21,37,24,42,69,3,0,3,170,240,410,6,9,9,8,18,24,0,0,0,19,23,39,159,174,334,914,1202,2114
SSC50036,77,69,145,497,446,947,43,52,96,45,45,88,582,539,1127,273,265,537,111,112,222,80,84,164,465,460,924,15,15,34,18,18,39,33,12,42,23,33,57,0,0,0,87,87,173,87,139,223,37,47,83,9,24,32,39,57,98,0,0,0,170,267,436,11,10,26,18,25,42,0,0,0,32,40,71,179,161,342,1595,1631,3226
SSC50037,78,75,156,406,354,763,39,36,72,25,18,42,462,412,875,122,96,216,52,56,107,22,31,54,190,183,376,14,7,24,8,12,20,16,8,25,24,41,65,0,0,0,59,73,131,49,75,123,21,26,55,3,12,15,30,60,90,0,0,0,109,171,281,4,4,8,15,18,31,0,0,0,17,27,44,129,146,280,1048,1089,2137
SSC50038,0,3,5,27,25,51,0,0,0,0,3,6,24,32,54,37,25,60,0,0,0,3,3,3,36,28,65,0,4,4,0,0,0,3,0,3,3,7,5,0,0,0,8,8,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,39,55,96,114,126,239
SSC50039,116,95,205,656,649,1307,104,112,215,59,50,107,817,819,1636,393,375,769,95,105,199,52,57,110,546,537,1078,25,15,34,5,36,39,44,22,68,39,86,122,4,0,5,114,158,275,13,47,62,16,31,50,11,18,34,41,88,125,0,0,0,80,189,271,4,8,18,15,32,48,0,0,0,22,48,66,543,554,1094,2232,2397,4632
SSC50040,87,98,185,396,362,755,87,63,153,151,123,274,638,546,1181,173,174,347,67,81,148,120,112,233,361,369,731,20,16,39,8,20,33,28,20,41,39,71,107,0,3,3,93,124,217,48,79,133,16,42,60,19,8,28,36,69,101,0,0,0,115,206,326,15,17,35,12,33,43,0,0,3,25,49,78,266,259,521,1592,1650,3239
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50043,3,0,3,3,3,7,0,0,0,0,0,0,3,3,7,0,3,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,18
SSC50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50045,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10
SSC50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7
SSC50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8
SSC50048,3,0,3,6,7,14,0,3,3,0,0,0,6,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,13,19,36
SSC50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,15,12,8,19
SSC50051,3,6,13,58,33,98,5,3,12,0,0,4,72,42,106,22,29,53,6,5,11,0,5,7,29,38,63,0,3,5,0,3,3,0,3,3,3,11,10,0,0,0,6,18,24,0,0,0,0,3,3,0,0,0,3,3,11,0,0,0,4,7,12,0,0,3,3,0,3,0,0,0,5,0,4,38,35,72,152,143,298
SSC50052,0,0,0,4,8,8,0,0,3,0,0,0,3,10,14,10,5,21,0,3,3,0,0,3,12,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,10,22,27,38,64
SSC50053,43,58,101,198,190,393,116,103,217,28,29,60,349,322,671,100,111,212,101,107,201,26,13,46,230,232,457,35,28,58,18,31,50,17,17,36,30,40,66,0,0,0,97,118,218,116,102,220,53,44,97,9,12,23,23,55,79,0,0,0,198,215,416,20,14,33,18,28,48,0,0,3,40,45,87,421,507,930,1377,1494,2873
SSC50054,279,257,538,1405,1367,2774,197,239,440,279,265,543,1885,1876,3754,699,714,1417,85,110,198,236,253,493,1024,1077,2106,61,87,143,21,65,89,80,52,136,71,157,227,3,7,7,241,364,606,162,241,401,54,147,198,25,62,83,108,214,317,0,6,7,348,659,1011,15,38,52,50,126,172,3,0,3,66,160,228,1301,1215,2513,5143,5607,10754
SSC50055,95,97,192,280,258,537,75,77,151,48,54,102,408,384,788,225,193,419,58,50,110,38,44,81,312,296,604,68,43,113,83,95,171,30,24,54,52,96,146,4,0,4,235,253,494,94,127,228,100,84,180,21,25,42,58,64,121,0,3,3,272,298,567,64,51,115,37,58,98,0,0,0,107,115,216,709,677,1392,2136,2121,4262
SSC50056,0,3,4,6,8,16,0,0,0,4,0,4,16,8,20,12,11,26,0,0,0,3,4,4,16,20,35,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,4,4,19,20,39,51,63,116
SSC50057,0,0,0,0,3,8,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,8
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,3,3,4,0,0,0,0,0,0,4,3,4,0,3,3,3,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,11,8,23
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,8,5
SSC50061,89,104,193,594,500,1095,198,216,409,84,86,169,879,804,1681,535,493,1021,210,196,406,103,126,224,842,808,1659,55,44,96,27,36,62,61,32,93,42,82,127,0,3,7,186,205,389,250,338,588,57,67,126,27,50,80,56,86,143,0,3,3,394,542,936,25,33,56,35,66,106,0,7,9,61,109,168,471,433,905,2928,3004,5926
SSC50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,7
SSC50063,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,8,4,14
SSC50064,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,11
SSC50065,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,9,8,14
SSC50066,0,0,7,12,8,21,0,0,0,0,0,0,14,6,22,8,12,17,0,0,0,3,3,3,6,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,16,11,32,42,46,90
SSC50067,0,0,0,7,5,12,0,0,0,0,0,0,7,5,12,3,3,4,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,0,11,25,16,35
SSC50068,16,12,23,55,49,106,6,11,15,20,11,37,83,76,158,27,29,52,25,14,34,31,21,55,75,64,142,9,4,9,7,3,9,5,4,8,5,7,11,0,0,0,22,13,36,30,32,61,7,6,9,4,3,14,11,8,22,0,0,0,45,53,103,0,3,0,0,8,7,0,0,0,0,10,15,73,62,133,317,286,605
SSC50069,82,66,150,387,366,749,135,138,266,32,34,65,555,528,1086,243,242,488,39,38,80,40,39,76,322,320,639,22,25,48,13,29,39,35,24,57,39,42,76,0,0,0,103,120,223,68,100,168,36,51,91,11,18,33,45,66,111,0,7,7,160,240,400,18,22,38,16,40,58,0,0,0,35,61,94,307,278,588,1567,1620,3188
SSC50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50071,0,0,0,7,8,6,0,0,0,0,0,0,7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,22,14,32
SSC50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50073,0,0,0,0,0,0,0,3,8,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,11
