SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC50746,37,121,23,22,4,259,39,11,121,29,28,9,233,5,7,18,0,9,0,37,3,4,9,0,26,4,52,8,6,33,7,16,7,71,246,125,750,219,289,53,1676
SSC50747,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,6,9,0,28
SSC50748,4,40,13,37,0,116,20,0,88,49,70,8,232,0,0,4,3,9,0,19,3,0,13,14,50,4,82,3,3,17,10,41,24,90,113,23,351,266,654,92,1489
SSC50749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50750,19,69,23,23,7,169,22,9,89,42,57,14,237,3,0,10,8,10,0,36,4,3,19,12,57,4,98,10,0,10,16,37,12,86,191,62,633,306,714,86,1988
SSC50751,0,3,0,3,3,5,0,0,3,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,13,6,39,6,70
SSC50752,9,19,13,16,3,52,0,5,23,16,24,3,64,0,0,0,0,3,3,12,0,0,7,4,20,0,34,0,0,0,0,15,4,21,22,20,131,83,258,18,523
SSC50753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC50754,0,4,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,0,8,3,0,0,10,3,0,15,4,26,5,64
SSC50755,3,0,0,5,0,6,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,0,0,0,7,15,32,10,71
SSC50756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC50757,0,0,0,3,0,8,0,0,3,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,4,0,3,4,3,3,6,52,10,84
SSC50758,87,308,74,104,13,659,42,33,230,140,127,19,591,13,0,33,11,18,0,74,7,3,28,35,116,7,194,11,0,37,20,69,7,142,273,207,1399,818,1558,132,4383
SSC50759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50760,28,139,38,39,5,278,20,11,133,85,89,5,347,0,0,6,7,18,4,38,0,0,13,20,83,5,120,3,0,11,14,52,5,82,114,70,586,426,1053,73,2331
SSC50761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
SSC50762,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,20,0,38
SSC50763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11
SSC50764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
SSC50765,7,18,3,6,0,40,0,0,8,9,9,3,30,0,0,0,0,0,0,0,0,0,3,0,12,0,18,0,0,0,0,6,3,13,3,12,89,42,139,37,315
SSC50766,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,15
SSC50767,0,0,3,4,0,11,0,0,7,4,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,17,14,43,10,91
SSC50768,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,14
SSC50769,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,0,21
SSC50770,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,4,0,17
SSC50771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50772,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC50773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,30,0,35
SSC50774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,18
SSC50775,8,11,9,31,0,57,4,7,21,27,58,6,122,0,0,3,3,5,3,14,3,0,9,4,21,0,37,0,0,3,8,9,12,36,27,16,118,119,317,60,654
SSC50776,4,5,9,3,0,22,0,3,9,0,9,3,28,0,0,0,0,0,0,3,0,0,0,0,9,0,10,0,0,0,0,4,0,8,4,14,32,26,136,5,222
SSC50777,0,3,0,4,0,7,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,32,7,54
SSC50778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,13
SSC50779,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,12,16,4,46
SSC50780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,13
SSC50781,0,9,3,3,0,19,0,0,5,0,3,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,22,17,30,3,81
SSC50782,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,0,4,0,17,4,26
SSC50783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,16
SSC50784,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0,9,0,14
SSC50785,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,4,18,0,29
SSC50786,0,11,0,0,0,10,0,0,0,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,5,3,20,11,42,3,88
SSC50787,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,4,10,0,28
SSC50788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC50789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,15,0,20
SSC50790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,12
SSC50791,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,12
SSC50792,32,93,18,45,5,210,15,20,122,54,53,13,273,6,0,17,5,18,4,42,3,3,3,6,52,5,72,0,0,3,5,42,14,68,79,80,458,283,771,85,1760
SSC50793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC50794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC50795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
SSC50796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50798,0,0,3,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,3,0,10,12,32,0,51
SSC50799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50800,8,10,0,5,0,24,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,4,17,3,21,0,56
SSC50801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,4,40,0,54
SSC50802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,14
SSC50804,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC50805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,9
SSC50806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50807,3,8,0,3,0,13,0,0,8,9,8,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,6,0,3,30,26,91,9,161
SSC50808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,13
SSC50809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,0,27
SSC50810,4,9,0,7,0,16,0,0,3,3,5,0,14,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,0,0,3,0,3,0,3,36,14,89,11,157
SSC50811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SSC50812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50813,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,16,0,23
SSC50814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
SSC50815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC50816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8
SSC50817,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,24
SSC50818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50819,25,63,17,20,0,141,8,5,44,53,67,10,192,0,0,0,3,6,0,9,0,0,3,13,54,0,72,0,0,9,5,42,4,62,42,40,216,249,752,45,1347
SSC50820,6,44,11,12,0,79,10,5,39,21,11,3,78,0,0,0,0,3,0,8,0,0,0,4,31,0,32,0,0,0,0,6,5,16,30,33,185,114,337,23,720
SSC50821,0,4,3,0,0,11,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,3,8,0,7,30,24,82,28,173
SSC50822,39,159,57,67,6,373,52,18,210,120,116,22,538,0,0,13,11,20,3,50,4,0,32,36,139,14,233,9,0,31,25,69,27,160,273,130,1188,746,1602,162,4098
SSC50823,0,0,0,0,0,0,3,3,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,3,0,3,3,3,13,16,31,0,61
SSC50824,9,44,17,20,9,117,15,3,63,47,63,9,198,0,3,8,6,8,0,29,0,0,12,8,32,0,55,3,0,10,13,30,19,69,122,33,414,255,476,78,1379
SSC50825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,10
SSC50826,27,52,20,19,4,145,23,8,66,19,20,0,138,3,0,12,6,4,0,26,4,0,11,3,25,0,47,3,0,13,9,13,4,51,131,66,461,208,307,35,1213
SSC50827,0,6,0,3,0,15,0,0,4,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,5,13,7,36,34,170,10,272
SSC50828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC50829,7,22,10,15,0,58,3,0,35,29,39,6,116,0,0,6,0,4,0,12,0,0,0,9,26,0,41,0,0,0,3,23,3,31,26,16,143,121,423,41,774
SSC50830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,4,26,0,38
SSC50831,18,65,15,7,4,149,38,12,157,30,18,10,262,4,0,12,6,0,3,34,3,0,18,10,21,0,48,11,3,33,9,5,3,65,248,90,750,192,241,32,1549
SSC50832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,4,7,39,9,62
SSC50833,64,293,78,69,6,628,52,42,270,122,96,24,605,3,0,26,11,17,6,56,9,4,27,18,79,3,137,18,7,48,33,62,15,175,369,223,1514,702,1042,134,3991
SSC50834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50835,0,3,0,3,0,9,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,6,32,18,104,3,161
SSC50836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,10,10,24,0,39
SSC50837,12,4,0,3,3,25,0,0,4,4,10,0,20,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,4,0,4,10,10,41,39,110,7,212
SSC50838,18,62,22,35,4,142,6,7,54,33,23,8,139,0,3,4,0,7,0,13,0,0,3,0,29,0,34,0,0,3,3,21,5,32,32,32,195,139,489,36,929
SSC50839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50840,52,182,45,70,10,419,27,25,119,66,64,10,304,3,0,9,5,8,0,31,0,3,14,22,102,10,156,4,0,22,19,42,8,92,168,151,709,446,1013,80,2563
SSC50841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50842,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC50843,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7
SSC50844,14,34,16,10,0,81,9,5,26,25,22,3,90,3,0,0,0,4,0,9,0,0,0,3,19,0,25,0,0,3,0,11,3,15,18,22,105,76,213,23,460
SSC50845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SSC50846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SSC50848,15,31,9,20,5,88,4,7,36,30,57,4,140,0,0,5,3,3,0,10,0,0,4,4,25,3,39,0,0,3,6,16,13,41,26,33,174,126,364,69,789
SSC50849,7,6,10,9,0,35,0,0,8,4,21,0,39,0,0,0,0,3,0,4,0,0,0,0,11,0,10,0,0,0,0,5,0,9,0,8,34,40,151,19,258
SSC50850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4
SSC50851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9
SSC50853,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,12,14,0,40
SSC50854,4,16,13,16,3,63,4,0,21,19,14,7,70,0,0,3,0,6,0,8,0,0,0,0,28,0,28,0,0,5,5,14,3,31,10,12,93,131,371,40,660
SSC50855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11
SSC50856,13,43,9,10,0,85,11,13,36,27,20,5,106,0,0,0,3,5,0,11,0,0,3,5,13,0,18,0,0,3,5,16,3,25,24,30,134,106,226,20,536
SSC50857,0,0,0,3,0,7,0,3,0,3,4,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,5,23,3,50
SSC50858,0,0,0,0,0,3,0,0,3,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,17,0,28
SSC50859,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,0,25
SSC50860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,17
SSC50862,12,42,15,18,0,97,3,8,46,36,32,9,146,5,0,3,0,3,0,9,3,3,5,6,26,0,44,3,3,3,9,23,10,48,90,45,307,173,329,53,990
SSC50863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,10
SSC50864,12,49,30,59,5,177,22,7,101,87,124,22,366,0,0,9,11,16,0,37,3,7,23,22,97,10,155,3,0,26,18,46,28,129,146,48,542,489,1173,146,2544
SSC50865,22,104,25,43,7,213,17,10,122,46,65,8,272,3,0,3,7,15,0,31,0,0,13,18,57,0,94,0,0,15,15,28,11,68,101,66,646,384,683,94,1974
SSC50866,16,63,12,21,5,124,3,9,41,39,31,3,124,0,0,0,0,4,0,3,0,0,0,0,16,0,24,0,0,7,4,24,3,43,39,29,199,153,433,32,894
SSC50867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9
SSC50870,3,20,3,3,0,45,0,3,14,9,11,0,42,0,0,0,0,0,0,3,0,0,0,0,14,0,19,0,0,4,3,5,4,18,16,8,58,50,116,14,272
SSC50871,8,20,0,8,0,36,3,4,21,10,15,3,50,0,0,3,0,0,0,3,0,0,0,0,11,0,15,0,0,0,3,7,3,10,7,12,61,28,131,8,256
SSC50872,13,39,23,34,9,125,5,13,58,41,54,11,180,0,0,12,0,7,0,23,0,3,3,8,84,3,98,3,0,12,4,41,7,76,45,60,302,225,682,69,1387
SSC50873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
SSC50874,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,14
SSC50875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7
SSC50877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC50880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,6
SSC50881,22,59,23,28,5,149,18,5,74,53,97,10,261,0,0,5,3,11,0,17,0,3,6,11,60,0,86,0,4,5,6,42,5,58,86,49,353,275,793,69,1626
SSC50882,24,53,13,31,0,131,3,5,33,28,67,5,152,0,0,8,9,17,0,33,0,0,0,6,44,0,56,0,0,0,3,21,5,33,30,35,161,128,603,56,1016
SSC50883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SSC50884,29,95,24,13,9,220,31,20,96,31,27,8,209,4,0,13,3,9,0,30,3,0,15,5,21,0,44,5,0,27,8,12,7,54,201,89,594,210,304,48,1450
SSC50885,0,0,0,5,0,6,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,27,3,41
SSC50886,24,78,47,76,10,252,24,18,106,88,128,27,395,3,0,10,17,11,0,41,3,0,24,17,110,5,157,0,0,18,16,43,32,113,105,68,593,481,1191,177,2615
SSC50887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,20
SSC50888,3,4,0,5,0,14,0,0,0,4,12,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,3,0,3,5,3,20,14,68,5,119
SSC50889,0,8,0,4,8,21,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,3,3,25,21,84,12,147
SSC50890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,17
SSC50891,0,5,0,3,0,9,0,3,3,0,3,0,12,0,0,3,0,0,0,6,0,0,0,0,11,0,10,0,0,0,0,13,0,12,8,13,30,23,86,10,160
SSC50892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,3,7,0,12,40,3,98,57,312,10,520
SSC50893,42,138,44,55,4,295,19,17,104,48,51,7,239,3,0,15,8,22,0,45,5,0,17,16,63,7,106,3,3,32,16,66,18,139,98,95,744,420,1129,126,2611
SSC50894,5,3,9,5,3,26,7,0,8,10,3,3,28,0,0,0,0,0,0,3,0,0,3,3,12,0,21,0,0,0,0,13,3,18,13,10,43,43,129,16,253
SSC50895,16,74,16,16,3,139,11,7,46,17,17,6,109,0,0,3,7,0,0,16,0,0,4,4,9,0,20,0,0,10,4,13,7,36,76,49,323,130,211,34,823
SSC50896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC50897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
