SSC_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SSC50001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,4,3,3,4,3,0,24
SSC50002,8,11,3,3,3,0,0,0,0,34,3,3,9,9,7,4,0,3,0,33,13,3,78,21,19,7,11,18,5,172,0,0,0,0,0,3,0,3,0,9,5,0,0,0,3,0,3,0,0,10,0,3,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,4,0,10,54,84,94,52,42,29,16,24,3,401
SSC50003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,0,7,4,3,0,0,26
SSC50004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14
SSC50005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6
SSC50006,7,19,0,9,5,0,0,7,0,44,7,9,3,3,8,0,3,0,0,34,15,7,38,10,17,12,3,9,0,109,3,0,0,3,0,0,3,0,0,8,0,0,3,3,5,3,0,0,0,16,3,0,0,0,0,0,0,0,0,3,6,9,0,3,3,0,0,0,0,16,75,196,53,44,47,18,15,27,0,483
SSC50007,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,3,0,10
SSC50008,15,31,22,28,35,15,7,18,6,167,17,29,31,50,35,20,9,23,3,210,54,35,353,105,86,47,66,75,10,832,0,3,8,8,7,3,7,6,0,49,3,4,6,18,13,14,3,8,0,68,5,5,5,3,0,0,3,3,0,20,3,7,9,15,9,6,10,10,13,72,181,424,461,280,272,139,114,166,40,2077
SSC50009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3
SSC50010,10,28,13,11,9,3,3,3,0,81,12,14,15,14,15,3,0,4,0,73,20,9,50,25,18,9,9,10,7,161,0,0,0,3,3,0,0,0,0,9,3,0,3,0,6,4,0,0,0,14,3,5,0,3,3,0,0,4,0,13,6,3,0,0,6,0,0,0,11,25,163,362,99,80,109,47,16,33,16,925
SSC50011,10,46,16,34,25,8,0,7,0,152,35,49,27,94,46,20,5,16,3,300,66,45,455,108,87,62,56,86,8,974,4,3,4,15,18,17,3,11,0,72,4,0,4,15,13,5,6,10,0,69,0,10,3,7,3,3,0,5,0,27,3,4,8,18,8,12,3,12,3,70,211,472,559,367,283,150,99,152,14,2312
SSC50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9
SSC50013,3,7,3,0,0,0,0,0,0,14,0,5,3,3,0,0,5,0,0,18,5,0,59,14,11,3,11,9,3,106,0,0,0,0,3,3,0,3,0,10,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,9,8,31,69,16,22,7,19,14,3,192
SSC50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,4,0,0,3,0,22
SSC50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC50016,3,3,0,0,0,0,0,3,0,13,3,0,0,5,0,0,0,0,0,12,6,0,34,8,6,3,10,12,0,85,0,0,0,0,0,4,0,0,0,4,4,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,28,18,33,19,15,6,14,22,0,159
SSC50017,4,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,26,3,0,0,0,0,0,3,0,30
SSC50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,24,0,0,0,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,9,11,24,3,4,0,7,4,0,63
SSC50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,4,3,0,0,0,0,0,24
SSC50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50022,37,55,12,15,31,17,5,5,5,179,31,32,21,16,23,13,4,3,4,146,68,23,98,38,39,33,6,18,4,319,0,0,0,10,9,3,0,3,0,21,8,7,4,6,13,7,0,3,0,53,7,16,0,0,9,3,0,3,0,43,4,10,4,6,9,0,0,3,4,47,524,1088,198,151,300,149,28,58,44,2529
SSC50023,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,13
SSC50024,24,38,13,16,27,8,3,4,0,136,19,11,12,16,25,14,3,3,0,98,32,10,66,29,22,10,13,13,4,198,0,5,0,3,8,7,0,0,0,20,4,0,3,3,3,4,0,3,0,22,4,12,0,3,7,3,0,0,0,27,3,10,3,3,3,4,0,3,3,34,260,651,126,123,190,85,26,44,22,1525
SSC50025,3,8,6,0,0,3,0,0,0,16,0,0,3,3,3,0,0,0,0,12,5,6,33,8,6,0,8,3,0,76,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,23,57,42,20,15,15,15,4,6,188
SSC50026,10,28,23,28,31,12,11,12,3,149,35,42,34,80,43,14,17,17,3,281,62,32,441,194,122,84,130,114,18,1196,6,3,17,18,14,29,7,24,0,114,6,6,5,31,22,10,20,9,3,109,3,3,4,3,4,3,3,10,0,33,8,9,7,24,19,12,20,37,8,142,174,406,570,458,312,191,235,240,42,2628
SSC50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,3,0,0,13
SSC50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,9
SSC50029,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,20
SSC50030,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,12,5,0,0,0,0,0,3,0,31
SSC50031,22,22,12,11,13,8,0,0,3,83,10,11,13,17,21,10,3,5,0,86,22,14,92,19,27,11,19,15,0,232,0,0,5,5,0,0,0,3,0,17,5,0,7,5,7,3,0,3,0,27,0,3,3,0,0,3,3,0,3,19,6,0,7,6,10,3,3,3,0,41,161,269,148,76,119,47,29,37,19,909
SSC50032,9,15,7,11,7,4,3,3,0,58,6,18,9,16,21,3,0,4,0,80,24,10,127,35,35,17,18,21,3,282,0,5,5,0,5,0,3,3,0,25,0,3,3,7,8,3,5,5,0,33,5,0,0,4,6,4,0,3,0,13,3,0,3,0,3,0,0,0,3,23,72,205,162,90,97,41,39,42,10,771
SSC50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC50034,0,4,4,3,3,3,0,0,0,15,3,7,11,9,3,5,3,4,0,46,11,5,46,12,12,6,13,10,0,112,0,0,0,0,3,3,0,0,0,10,0,0,0,5,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,41,126,76,42,48,19,21,18,6,385
SSC50035,42,47,8,19,19,9,0,5,3,155,34,33,17,29,29,24,3,10,3,176,80,18,136,35,50,37,15,21,11,404,0,0,0,6,5,4,0,3,0,18,8,7,6,10,28,7,4,3,0,78,14,4,0,0,6,3,0,0,0,28,3,11,7,3,9,3,0,3,8,52,474,838,204,157,260,139,29,67,34,2209
SSC50036,31,54,27,29,47,12,12,5,3,214,45,56,42,55,59,24,9,16,6,311,93,57,431,115,108,51,64,66,14,993,4,5,7,11,10,17,4,7,0,64,10,9,7,20,28,7,4,10,0,87,3,6,3,5,4,0,3,3,0,38,7,11,11,17,14,10,3,8,11,83,393,952,586,311,415,158,121,139,44,3111
SSC50037,25,35,18,19,25,8,4,7,0,144,36,43,35,59,47,15,8,8,0,252,53,41,287,62,98,22,46,42,7,665,3,0,13,7,12,10,3,7,0,49,8,5,6,11,14,7,6,4,0,58,8,7,0,0,4,3,0,3,0,33,3,4,3,3,9,0,0,0,3,30,278,738,416,219,303,104,90,97,22,2276
SSC50038,0,5,3,0,3,3,0,0,0,15,0,0,0,3,0,5,0,0,0,18,16,3,51,25,4,15,8,22,0,143,0,0,0,3,0,4,0,8,0,12,0,0,0,0,5,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,3,0,18,34,43,68,42,28,35,7,34,3,295
SSC50039,28,61,38,39,26,9,17,16,0,232,66,44,73,88,63,25,22,20,6,405,130,65,815,216,182,131,203,153,28,1919,10,3,12,10,34,26,11,24,4,133,17,18,19,45,21,14,20,15,0,168,0,4,10,3,0,5,6,7,0,40,14,10,20,11,9,11,20,28,13,132,369,806,1025,476,405,261,314,284,58,3990
SSC50040,31,43,33,36,40,13,11,10,0,220,70,67,62,130,88,27,26,15,11,498,123,57,499,197,158,77,103,84,16,1319,5,3,7,17,22,10,9,7,0,77,5,11,7,26,17,10,9,9,0,96,3,7,0,9,3,5,3,3,0,39,4,19,8,14,11,16,15,3,8,100,386,682,667,511,467,218,219,174,45,3366
SSC50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,0,0,3,0,0,6,0,17
SSC50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
SSC50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,11
SSC50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
SSC50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
SSC50048,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,10,0,7,0,3,0,3,9,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,9,0,5,0,3,5,0,61
SSC50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14
SSC50051,0,11,3,9,0,0,3,3,0,33,0,0,3,3,8,0,3,3,0,20,14,11,59,22,14,3,17,20,0,166,0,0,3,5,0,3,0,0,0,16,0,0,0,0,5,0,0,3,0,10,0,3,0,0,0,0,0,0,0,5,0,0,0,4,0,0,3,0,0,12,30,50,75,48,37,12,30,33,0,310
SSC50052,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,6,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,4,3,3,0,3,0,40
SSC50053,33,47,29,32,31,13,13,14,4,214,43,40,57,65,61,26,26,24,8,344,72,32,427,95,101,54,81,88,18,958,7,3,3,4,8,5,4,3,0,39,15,5,12,22,18,15,3,8,0,99,0,9,6,3,10,3,3,8,0,46,6,3,5,11,13,17,0,5,13,75,333,888,629,325,368,222,162,200,55,3177
SSC50054,96,125,82,117,90,35,24,23,8,603,146,150,152,263,190,83,35,44,18,1081,316,199,1951,559,436,225,391,282,65,4425,25,12,36,40,57,39,26,41,3,269,26,14,47,98,56,41,38,24,8,357,10,23,19,14,20,12,7,10,0,114,28,23,28,48,27,28,28,37,18,272,945,1935,2433,1344,1104,533,607,520,138,9555
SSC50055,27,26,31,34,20,11,20,17,0,195,48,43,76,104,47,30,50,44,5,446,46,40,389,196,87,53,97,118,25,1056,3,4,10,13,13,13,12,29,0,93,10,4,12,34,14,7,13,23,0,120,8,5,4,3,7,4,4,13,0,58,5,7,22,16,10,9,14,15,20,119,262,529,637,581,328,202,296,371,72,3280
SSC50056,5,5,4,3,4,0,0,0,0,17,6,3,0,5,0,0,0,5,0,20,12,3,10,5,3,6,7,7,0,46,0,3,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,35,33,22,18,12,11,9,19,0,157
SSC50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,5,0,0,5,0,23
SSC50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50061,53,75,41,65,65,21,20,26,3,361,75,73,75,95,103,52,18,24,0,514,160,78,836,285,202,130,206,146,45,2090,15,0,8,16,28,23,14,18,3,133,16,11,23,52,42,30,19,16,9,198,9,15,5,14,22,3,4,4,5,84,7,19,39,30,26,17,17,18,11,176,513,1013,1090,700,647,353,332,318,83,5051
SSC50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,10
SSC50063,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,3,0,0,4,0,0,0,14
SSC50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11
SSC50065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,10
SSC50066,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,5,26,3,7,8,3,0,0,54,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,15,26,25,11,8,12,3,0,0,97
SSC50067,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,22,0,0,0,14,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,15,27,0,3,0,25,6,0,85
SSC50068,4,10,14,8,13,3,3,0,3,57,12,21,10,9,11,3,5,9,0,74,33,14,102,27,28,21,17,20,0,262,0,0,0,3,3,0,0,0,0,12,3,0,3,3,14,0,3,3,0,26,3,3,0,0,0,0,0,0,0,13,0,0,4,7,3,0,5,0,0,25,108,214,153,80,113,40,41,32,11,789
SSC50069,10,32,29,37,33,6,17,13,3,183,39,47,44,119,63,34,13,19,3,383,75,44,549,151,138,63,77,118,12,1229,5,4,3,11,28,13,8,14,0,80,9,5,19,17,31,8,13,6,0,95,4,15,12,8,6,0,5,7,0,58,3,0,16,9,7,7,7,10,10,79,241,570,728,448,412,188,163,229,41,3020
SSC50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50071,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,3,4,17,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,19,24,3,0,0,10,6,0,71
SSC50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
SSC50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC50075,0,3,0,0,0,0,0,0,0,8,3,7,0,3,5,4,0,0,0,22,9,3,46,15,10,5,7,3,0,99,0,0,0,3,3,0,0,0,0,11,3,0,3,3,3,0,0,0,0,12,0,0,0,0,0,0,0,3,0,3,0,0,3,0,4,0,3,0,0,12,23,42,55,27,28,15,14,7,3,223
SSC50076,4,7,30,3,3,0,0,3,0,51,8,9,35,3,3,0,6,22,3,90,14,11,503,4,16,0,76,109,15,742,0,0,5,0,0,0,0,9,0,17,3,0,11,0,0,0,7,12,0,34,0,0,0,0,0,0,0,4,0,10,0,0,5,0,0,0,6,13,3,29,56,123,615,20,35,0,99,183,23,1157
