SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC51440,0,0,0,0,0,0,0,0,0,4
SSC51441,13,0,3,3,5,0,3,4,0,34
SSC51442,11,3,3,6,0,0,0,10,0,29
SSC51443,143,174,423,101,147,52,375,85,18,1521
SSC51444,7,0,0,0,0,0,0,3,0,14
SSC51445,60,80,81,57,61,34,60,51,16,503
SSC51446,3,0,0,0,0,0,0,0,0,5
SSC51447,0,0,0,0,0,0,0,0,0,0
SSC51448,3,0,0,0,0,0,0,0,0,4
SSC51449,50,21,19,29,14,15,7,18,3,176
SSC51450,4,0,5,5,0,3,0,3,0,29
SSC51451,0,0,0,0,0,0,0,0,0,0
SSC51452,0,0,0,0,0,0,0,0,0,0
SSC51453,5,0,7,3,3,5,9,3,0,44
SSC51454,25,4,0,3,3,5,4,8,0,54
SSC51455,0,0,0,0,0,0,0,0,0,0
SSC51456,254,470,161,130,163,135,30,54,16,1404
SSC51457,8,0,0,0,0,0,0,0,0,8
SSC51458,383,957,526,399,518,369,223,347,47,3768
SSC51459,4,0,0,0,0,0,0,0,0,4
SSC51460,11,3,0,3,3,3,3,7,0,36
SSC51461,95,125,283,119,137,101,129,170,24,1179
SSC51462,11,5,0,3,4,0,3,0,0,24
SSC51463,7,4,0,3,0,0,0,0,0,16
SSC51464,40,17,34,9,10,3,12,30,4,158
SSC51465,0,0,0,0,0,0,0,0,0,0
SSC51466,25,14,15,7,6,0,6,11,0,95
SSC51467,7,0,0,0,0,0,0,0,0,5
SSC51468,46,33,54,24,37,16,36,28,3,275
SSC51469,8,4,3,0,0,0,0,4,0,19
SSC51470,6,4,21,0,4,0,14,8,0,72
SSC51471,65,106,152,116,96,113,120,152,17,935
SSC51472,23,32,106,61,40,54,58,89,17,480
SSC51473,0,0,0,0,0,0,0,0,0,0
SSC51474,16,0,0,0,0,0,3,0,0,29
SSC51475,109,123,261,158,128,128,115,149,7,1162
SSC51476,548,1424,651,540,633,366,253,434,71,4921
SSC51477,0,0,0,0,0,0,0,0,0,0
SSC51478,28,30,91,37,59,27,103,51,12,436
SSC51479,0,0,0,0,0,0,0,0,0,0
SSC51480,51,94,69,55,73,63,41,57,0,502
SSC51481,28,3,3,0,3,0,3,5,3,55
SSC51482,10,0,0,0,0,0,0,0,0,13
SSC51483,16,0,0,0,0,0,0,0,0,28
SSC51484,15,7,0,0,3,3,0,4,3,37
SSC51485,8,0,0,0,0,0,3,0,0,18
SSC51486,89,120,207,92,150,111,131,144,14,1068
SSC51487,89,61,92,69,50,50,72,86,8,573
SSC51488,421,699,1121,681,649,529,546,659,92,5406
SSC51489,12,7,0,0,0,0,0,6,0,27
SSC51490,13,3,0,5,0,0,0,3,0,31
SSC51491,28,13,13,10,17,3,24,23,0,130
SSC51492,0,0,0,0,0,0,0,0,0,0
SSC51493,0,0,0,0,0,0,0,0,0,0
SSC51494,49,69,86,44,62,30,34,45,13,441
SSC51495,3,3,3,7,0,3,0,0,3,19
SSC51496,31,22,23,19,17,18,10,28,3,161
SSC51497,15,3,6,0,8,3,3,11,0,56
SSC51498,11,0,3,3,0,0,0,0,0,24
SSC51499,0,0,0,0,0,0,0,0,0,0
SSC51500,11,0,0,0,0,0,0,3,0,15
SSC51501,5,0,0,0,3,0,0,0,0,13
SSC51502,3,0,0,0,0,0,0,0,0,5
SSC51503,31,11,25,7,11,4,28,13,3,130
