SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC50853,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,9,0,0,0,3,5,3,3,0,12,0,0,0,3,8,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,11,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,3,13,17,10,6,0,58
SSC50854,5,3,0,0,0,0,13,0,4,0,6,5,0,0,0,18,12,11,31,35,18,8,0,0,117,9,17,41,52,31,16,7,0,172,27,59,96,110,82,39,10,4,431,9,0,6,3,3,3,0,0,18,4,5,8,10,6,3,0,0,40,35,71,109,122,93,49,10,4,486,0,0,0,5,4,7,0,0,14,27,23,31,57,34,23,8,0,207,81,126,235,278,178,97,31,3,1026
SSC50855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,0,3,0,7,0,14
SSC50856,5,8,13,3,0,0,36,0,6,4,12,11,3,3,0,39,0,24,44,41,37,23,10,3,175,3,19,20,50,35,26,12,0,156,29,35,38,59,74,35,12,7,281,10,4,0,0,3,4,0,0,27,4,0,3,7,3,5,3,0,28,42,46,40,66,80,41,13,4,335,0,0,0,3,0,0,3,0,8,25,15,13,25,30,11,13,4,140,73,114,130,198,197,108,49,19,890
SSC50857,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,4,4,11,4,0,0,21,0,0,0,0,4,4,0,0,12,0,3,4,3,12,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,3,4,4,14,0,0,0,29,0,0,0,3,0,0,0,0,4,5,0,4,0,3,3,0,0,17,6,10,11,18,38,14,0,4,91
SSC50858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,4,3,0,0,0,11,0,0,3,6,4,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,8,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,4,7,0,3,0,0,15,4,5,11,13,10,10,0,0,56
SSC50859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,9,0,0,3,0,3,0,0,0,12,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,6,13,3,6,6,3,0,0,39
SSC50860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,3,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,7,4,3,0,0,0,19,10,10,7,8,7,0,0,0,44
SSC50862,32,19,18,5,3,0,119,4,13,19,8,5,3,0,0,56,33,179,108,47,27,21,15,4,424,20,66,47,35,45,20,15,0,243,61,106,77,57,69,37,35,8,448,14,6,0,3,3,3,0,0,38,0,6,10,5,5,0,3,0,40,76,123,93,68,84,44,36,12,519,3,4,3,3,5,3,0,0,27,43,61,44,33,39,20,33,15,277,176,490,333,216,216,110,103,28,1666
