SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC50260,329,35,23,7,0,0,6,394
SSC50261,943,36,15,8,3,0,3,1012
SSC50262,473,44,20,8,0,0,3,547
SSC50263,8,0,0,0,0,0,0,7
SSC50264,92,9,0,0,0,0,0,102
SSC50265,25,3,7,0,0,0,0,34
SSC50266,6,0,0,0,0,0,0,9
SSC50267,0,0,0,0,0,0,0,0
SSC50268,1047,82,59,3,5,0,3,1205
SSC50269,6,0,0,0,0,0,0,3
SSC50270,9,0,0,0,0,0,0,9
SSC50271,17,0,0,0,0,0,0,17
SSC50272,372,34,25,4,0,0,0,441
SSC50273,97,7,4,0,0,0,0,109
SSC50274,3,0,0,0,0,0,0,3
SSC50275,19,0,3,0,0,0,0,17
SSC50276,665,51,24,7,0,0,7,760
SSC50277,27,12,3,0,0,0,0,42
SSC50278,31,0,3,0,0,0,0,40
SSC50279,12,3,0,0,0,0,0,15
SSC50280,141,9,3,0,0,0,3,154
SSC50281,0,0,0,0,0,0,0,4
SSC50282,4,0,0,0,0,0,0,4
SSC50283,19,0,0,0,0,0,0,19
SSC50284,6,3,3,0,0,0,0,13
SSC50285,9,0,0,0,0,0,0,9
SSC50286,7,0,0,0,0,0,0,7
SSC50287,0,0,0,0,0,0,0,0
SSC50288,0,0,0,0,0,0,0,0
SSC50289,202,9,17,3,0,0,0,230
SSC50290,101,7,4,0,0,0,0,118
SSC50291,3,0,0,0,0,0,0,3
SSC50292,468,20,12,4,0,0,0,501
SSC50293,902,43,18,4,0,0,3,966
SSC50294,21,0,0,0,0,0,0,25
SSC50295,730,58,3,6,0,0,0,797
SSC50296,1350,121,76,24,3,0,5,1580
SSC50297,4,0,0,0,0,0,0,4
SSC50298,0,0,0,0,0,0,0,0
SSC50299,0,0,0,0,0,0,0,0
SSC50300,652,42,34,6,0,0,5,739
SSC50301,5,0,0,0,0,0,0,5
SSC50302,0,0,0,0,0,0,0,0
SSC50303,66,0,5,0,0,0,0,80
SSC50304,0,0,0,0,0,0,0,0
SSC50305,3,0,0,0,0,0,0,5
SSC50306,3,0,0,0,0,0,0,8
SSC50307,4,0,0,0,0,0,0,5
SSC50308,134,18,9,0,0,0,0,156
SSC50309,624,74,56,13,0,0,12,772
SSC50310,9,0,0,0,0,0,0,10
SSC50311,64,4,8,0,0,0,0,71
SSC50312,14,6,0,0,0,0,0,21
SSC50313,3,0,0,0,0,0,0,3
SSC50314,3,0,0,0,0,0,0,3
SSC50315,1106,76,23,14,0,0,0,1216
SSC50316,29,0,0,0,0,0,0,36
SSC50317,510,31,12,3,0,0,3,555
SSC50318,6,0,0,0,0,0,0,6
SSC50319,233,41,26,3,4,0,5,303
SSC50320,598,30,15,7,0,0,0,647
SSC50321,44,9,5,0,0,0,0,64
SSC50322,0,0,0,0,0,0,0,0
SSC50323,407,41,13,8,0,0,3,469
SSC50324,244,12,4,0,0,0,0,256
SSC50325,0,0,0,0,0,0,0,0
SSC50326,53,5,6,3,0,0,0,66
SSC50327,0,0,0,0,0,0,0,0
SSC50328,504,81,43,7,0,0,6,647
SSC50329,42,3,0,0,0,0,0,49
SSC50330,13,0,0,0,0,0,0,19
SSC50331,7,0,0,0,0,0,0,5
SSC50332,15,0,0,0,0,0,0,15
SSC50333,51,3,3,0,0,0,3,60
SSC50334,9,0,0,0,0,0,0,14
SSC50335,0,0,0,0,0,0,0,0
SSC50336,7,0,0,0,0,0,0,10
SSC50337,0,0,0,0,0,0,0,0
SSC50338,0,0,0,0,0,0,0,0
SSC50339,41,6,8,3,0,0,3,63
SSC50340,0,0,0,0,0,0,4,8
SSC50341,0,0,0,0,0,0,0,0
SSC50342,822,43,19,0,0,0,0,877
SSC50343,3,0,0,0,0,0,0,3
SSC50344,0,0,0,0,0,0,0,0
SSC50345,7,0,0,0,0,0,0,6
SSC50346,234,11,10,0,0,0,0,258
SSC50347,3,0,0,0,0,0,0,3
SSC50348,5,0,0,0,0,0,0,5
SSC50349,574,51,34,9,0,0,0,670
SSC50350,12,0,0,0,0,0,0,8
SSC50351,46,3,3,0,0,0,0,51
SSC50352,157,0,0,0,0,0,0,154
SSC50353,26,0,0,0,0,0,0,29
SSC50354,26,0,0,0,0,0,0,21
SSC50355,10,0,0,0,0,0,0,10
SSC50356,32,0,7,0,0,0,0,43
SSC50357,3,0,0,0,0,0,0,3
SSC50358,3,0,0,0,0,0,0,7
SSC50359,5,0,0,0,0,0,0,8
SSC50360,0,0,0,0,0,0,0,0
SSC50361,0,0,0,0,0,0,0,3
SSC50362,0,0,0,0,0,0,0,0
SSC50363,80,6,3,0,0,0,0,89
SSC50364,3,0,0,0,0,0,0,4
SSC50365,0,0,0,0,0,0,0,3
SSC50366,961,69,36,6,0,0,4,1076
SSC50367,18,0,0,0,0,0,0,21
SSC50368,3,0,0,0,0,0,0,3
SSC50369,0,0,0,0,0,0,0,0
SSC50370,160,10,3,0,0,0,0,176
SSC50371,25,0,0,0,0,0,0,22
SSC50372,3,0,0,0,0,0,0,4
SSC50373,641,21,15,0,0,0,0,675
SSC50374,78,6,11,3,0,0,0,95
SSC50375,1101,97,76,12,0,0,11,1299
SSC50376,15,0,0,0,0,0,0,21
SSC50377,153,13,9,3,0,0,0,172
SSC50378,0,0,0,0,0,0,0,0
SSC50379,64,14,3,11,0,3,5,101
SSC50380,3,0,0,0,0,0,0,3
SSC50381,29,0,0,0,0,0,0,27
SSC50382,0,0,0,0,0,0,0,0
SSC50383,1133,65,36,20,0,3,3,1260
SSC50384,0,0,0,0,0,0,0,3
SSC50385,57,3,4,0,0,0,0,62
SSC50386,83,3,0,3,0,0,4,95
SSC50387,33,0,0,0,0,0,0,37
SSC50388,172,16,3,0,0,0,0,192
SSC50389,473,27,14,0,0,0,3,521
SSC50390,0,0,0,0,0,0,0,0
SSC50391,3,0,0,0,0,0,0,3
SSC50392,5,0,0,0,0,0,0,5
SSC50393,3,0,0,0,0,0,0,3
SSC50394,0,0,0,0,0,0,0,0
SSC50395,584,55,28,3,0,0,4,672
SSC50396,381,22,11,3,0,0,0,414
SSC50397,0,0,0,0,0,0,0,0
SSC50398,35,3,0,0,0,0,0,39
SSC50399,108,11,3,4,0,0,0,132
SSC50400,7,3,0,0,0,0,0,9
SSC50401,3,0,0,0,0,0,0,5
SSC50402,46,3,3,0,0,0,0,57
SSC50403,178,16,22,0,0,0,0,219
SSC50404,225,23,13,10,0,3,14,282
SSC50405,0,0,0,0,0,0,0,0
SSC50406,0,0,0,0,0,0,0,3
SSC50407,3,0,0,0,0,0,0,3
SSC50408,2632,158,62,27,7,3,10,2886
SSC50409,3,0,0,0,0,0,0,3
SSC50410,32,0,0,0,0,0,0,30
SSC50411,18,0,0,0,0,0,0,13
SSC50412,0,0,0,0,0,0,0,0
SSC50413,3,0,0,0,0,0,0,3
SSC50414,327,19,9,3,0,0,8,360
SSC50415,118,8,3,3,0,0,0,141
SSC50416,0,0,0,0,0,0,0,0
SSC50417,0,0,0,0,0,0,0,0
SSC50418,247,14,7,0,0,0,0,276
SSC50419,0,0,0,0,0,0,0,0
SSC50420,7,0,0,0,0,0,0,7
SSC50421,0,0,0,0,0,0,0,0
SSC50422,908,64,20,8,0,0,3,1002
SSC50423,44,7,0,0,0,0,0,44
SSC50424,8,0,0,0,0,0,0,8
SSC50425,173,7,8,0,0,0,0,190
SSC50426,0,0,0,0,0,0,0,0
SSC50427,0,0,0,0,0,0,0,0
SSC50428,8,0,0,0,0,0,0,8
SSC50429,8,0,0,0,0,0,0,8
SSC50430,402,44,31,8,0,0,3,493
SSC50431,4,0,0,0,0,0,0,4
SSC50432,4,0,0,0,0,0,0,7
SSC50433,3,0,0,0,0,0,0,3
SSC50434,15,0,0,0,0,0,0,23
SSC50435,15,0,0,0,0,0,0,14
SSC50436,17,3,0,0,0,0,3,22
SSC50437,2141,123,50,13,0,0,11,2337
SSC50438,0,0,0,0,0,0,0,0
SSC50439,0,0,0,0,0,0,0,0
SSC50440,608,30,26,0,0,0,3,669
SSC50441,3,0,0,0,0,0,4,10
SSC50442,8,0,0,0,0,0,0,8
SSC50443,0,0,0,0,0,0,0,0
SSC50444,0,0,0,0,0,0,0,0
SSC50445,44,4,3,0,0,0,0,53
SSC50446,3,0,0,0,0,0,0,3
SSC50447,3,0,0,0,0,0,0,7
SSC50448,6,0,0,0,0,0,0,6
SSC50449,11,0,0,0,0,0,0,11
SSC50450,4,0,0,0,0,0,0,8
SSC50451,302,23,13,3,0,0,0,352
SSC50452,604,24,21,16,4,0,3,675
SSC50453,70,9,9,3,0,0,3,94
SSC50454,4,0,0,0,0,0,0,3
SSC50455,0,0,0,0,0,0,0,0
SSC50456,870,65,20,3,0,0,0,949
SSC50457,0,0,0,0,0,0,0,0
SSC50458,5,0,0,0,0,0,0,7
SSC50459,0,0,0,0,0,0,0,0
SSC50460,3,0,0,0,0,0,0,3
SSC50461,0,0,0,0,0,0,0,0
SSC50462,3,0,0,0,0,0,0,3
SSC50463,469,38,9,3,0,0,0,511
SSC50464,28,0,0,0,0,0,0,25
SSC50465,0,0,0,0,0,0,0,0
SSC50466,3,0,0,0,0,0,0,4
SSC50467,877,51,24,3,0,0,10,968
SSC50468,4,0,0,0,0,0,0,8
SSC50469,6,0,0,0,0,0,0,10
SSC50470,13,0,0,0,0,0,0,13
SSC50471,774,94,67,15,3,0,9,952
SSC50472,343,20,19,3,0,0,3,390
SSC50473,570,36,20,5,0,0,3,632
SSC50474,3,0,0,0,0,0,0,3
SSC50475,203,14,18,0,0,0,0,235
SSC50476,0,0,0,0,0,0,0,0
SSC50477,3,0,0,0,0,0,0,3
SSC50478,3,0,0,0,0,0,0,3
SSC50479,10,0,0,0,0,0,0,12
SSC50480,33,3,3,0,0,0,0,43
SSC50481,2659,221,178,30,0,6,19,3110
SSC50482,0,0,0,0,0,0,0,0
SSC50483,299,21,8,9,0,0,3,341
SSC50484,0,0,0,0,0,0,0,0
SSC50485,11,0,0,0,0,0,0,10
SSC50486,13,0,0,0,0,0,0,18
SSC50487,0,0,0,0,0,0,0,0
SSC50488,0,0,0,0,0,0,0,0
SSC50489,3,0,0,0,0,0,0,4
SSC50490,284,39,12,4,0,0,6,342
SSC50491,108,9,9,0,0,0,3,126
SSC50492,0,0,0,0,0,0,0,0
SSC50493,0,0,0,0,0,0,0,0
SSC50494,0,0,0,0,0,0,0,0
SSC50495,4,0,0,0,0,0,0,4
SSC50496,248,15,7,0,0,0,0,271
SSC50497,0,0,0,0,0,0,0,0
SSC50498,8,0,0,0,0,0,0,8
SSC50499,389,49,33,4,0,0,4,481
SSC50500,22,3,0,0,0,0,0,25
SSC50501,422,31,16,7,0,0,0,478
SSC50502,0,0,0,0,0,0,0,0
SSC50503,0,0,0,0,0,0,0,0
SSC50504,0,0,0,0,0,0,0,0
SSC50505,0,0,0,0,0,0,0,0
SSC50506,67,7,7,3,3,0,3,86
SSC50507,0,0,0,0,0,0,0,0
SSC50508,1226,54,12,6,0,0,0,1302
SSC50509,0,0,0,0,0,0,0,0
SSC50510,12,0,4,0,0,0,0,20
SSC50511,3,3,0,0,0,0,0,5
SSC50512,0,0,0,0,0,0,0,0
SSC50513,7,0,0,0,0,0,0,7
SSC50514,0,0,0,0,0,0,0,0
SSC50515,116,10,10,0,0,0,0,141
SSC50516,1193,138,87,29,6,3,8,1459
SSC50517,3,0,0,0,0,0,0,4
SSC50518,33,4,0,0,0,0,0,41
SSC50519,0,0,0,0,0,0,0,0
SSC50520,530,49,14,5,3,0,0,601
SSC50521,49,13,4,0,0,0,0,60
SSC50522,0,0,0,0,0,0,0,0
SSC50523,64,4,0,0,0,0,0,71
SSC50524,3,0,0,0,0,0,0,4
SSC50525,12,0,0,0,0,0,0,12
SSC50526,0,0,0,0,0,0,0,0
SSC50527,0,0,0,0,0,0,0,0
SSC50528,0,0,0,0,0,0,0,0
SSC50529,7,0,0,0,0,0,0,15
SSC50530,3,0,0,0,0,0,0,3
SSC50531,305,16,9,3,0,0,0,342
SSC50532,250,30,23,3,0,0,0,309
SSC50533,7,0,0,0,0,0,0,9
SSC50534,174,16,5,3,0,0,4,208
SSC50535,0,0,0,0,0,0,0,0
SSC50536,5,0,0,3,0,0,0,13
SSC50537,36,3,3,0,0,0,0,44
SSC50538,16,3,0,4,0,0,5,28
SSC50539,3,0,0,0,0,0,0,3
SSC50540,353,24,4,0,0,0,0,389
SSC50541,4,0,0,0,0,0,0,6
SSC50542,0,0,0,0,0,0,0,0
SSC50543,5,0,0,0,0,0,0,3
SSC50544,0,0,0,0,0,0,0,0
SSC50545,0,0,0,0,0,0,0,0
SSC50546,81,7,0,0,0,0,0,91
SSC50547,0,0,0,0,0,0,0,0
SSC50548,790,66,52,21,0,3,8,940
SSC50549,80,10,12,0,0,0,0,106
SSC50550,355,31,13,5,3,0,0,402
SSC50551,278,35,24,5,0,0,7,346
SSC50552,6,0,0,0,0,0,0,6
SSC50553,3,0,0,0,0,0,0,4
SSC50554,157,3,5,7,0,0,0,173
SSC50555,103,9,0,0,0,0,0,121
SSC50556,14,0,0,0,0,0,0,14
SSC50557,10,0,0,0,0,0,0,10
SSC50558,7,0,0,0,0,0,0,7
SSC50559,130,12,9,0,0,0,0,151
SSC50560,59,4,0,0,0,0,0,65
SSC50561,0,0,0,0,0,0,0,0
SSC50562,58,4,0,0,0,0,0,60
SSC50563,3,0,0,0,0,0,0,3
SSC50564,432,36,30,0,0,0,3,508
SSC50565,14,0,0,0,0,0,0,14
SSC50566,7,0,0,0,0,0,0,7
SSC50567,28,5,3,0,0,0,0,41
SSC50568,4,0,0,0,0,0,0,4
SSC50569,383,33,16,0,0,0,0,434
SSC50570,6,0,0,0,0,0,0,3
SSC50571,0,0,0,0,0,0,0,0
SSC50572,1803,142,117,40,6,0,15,2123
SSC50573,27,0,0,0,0,0,0,24
SSC50574,3,0,0,0,0,0,0,3
SSC50575,14,0,0,0,0,0,0,14
SSC50576,16,0,0,0,0,0,0,18
SSC50577,9,0,0,0,0,0,0,16
SSC50578,8,0,0,0,0,0,0,9
SSC50579,5,0,0,0,0,0,0,8
SSC50580,20,0,0,0,0,0,0,30
SSC50581,744,92,57,14,0,0,14,925
SSC50582,5,0,0,0,0,0,0,5
SSC50583,254,34,13,3,0,0,6,309
SSC50584,32,0,0,0,0,0,0,38
SSC50585,1119,89,42,13,0,0,3,1266
SSC50586,0,0,0,0,0,0,0,0
SSC50587,3,0,0,0,0,0,0,3
SSC50588,0,0,0,0,0,0,0,0
SSC50589,7,0,0,0,0,0,3,17
SSC50590,0,0,0,0,0,0,0,0
SSC50591,3,0,0,0,0,0,0,3
SSC50592,179,15,0,0,0,0,0,195
SSC50593,0,0,0,0,0,0,0,0
SSC50594,3,0,0,0,0,0,0,3
SSC50595,8,0,0,0,0,0,0,8
SSC50596,7,0,0,0,0,0,0,7
SSC50597,660,25,14,3,0,0,0,704
SSC50598,3,0,0,0,0,0,0,3
SSC50599,5,0,0,0,0,0,0,10
SSC50600,58,4,8,11,3,0,6,92
SSC50601,1460,125,104,12,3,3,8,1708
SSC50602,26,5,3,0,0,0,0,30
SSC50603,3,0,0,0,0,0,0,3
SSC50604,0,0,0,0,0,0,0,0
SSC50605,534,41,26,8,0,3,3,618
SSC50606,0,0,0,0,0,0,0,0
SSC50607,800,80,39,4,0,0,3,926
SSC50608,706,46,29,10,0,0,3,784
SSC50609,339,22,23,4,0,0,0,385
SSC50610,11,3,0,0,0,0,0,13
SSC50611,1358,73,45,14,0,0,0,1494
